J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-06-24,2021-09-15,22580,فسبزوار,FSBZ
1400-06-27,2021-09-18,23707,فسبزوار,FSBZ
1400-06-28,2021-09-19,24256,فسبزوار,FSBZ
1400-06-29,2021-09-20,25463,فسبزوار,FSBZ
1400-06-30,2021-09-21,26735,فسبزوار,FSBZ
1400-06-31,2021-09-22,27277,فسبزوار,FSBZ
1400-07-03,2021-09-25,26431,فسبزوار,FSBZ
1400-07-04,2021-09-26,25990,فسبزوار,FSBZ
1400-07-06,2021-09-28,26511,فسبزوار,FSBZ
1400-07-07,2021-09-29,26742,فسبزوار,FSBZ
1400-07-10,2021-10-02,26930,فسبزوار,FSBZ
1400-07-11,2021-10-03,26590,فسبزوار,FSBZ
1400-07-12,2021-10-04,26410,فسبزوار,FSBZ
1400-07-14,2021-10-06,26027,فسبزوار,FSBZ
1400-07-17,2021-10-09,24899,فسبزوار,FSBZ
1400-07-18,2021-10-10,24964,فسبزوار,FSBZ
1400-07-19,2021-10-11,25290,فسبزوار,FSBZ
1400-07-20,2021-10-12,26019,فسبزوار,FSBZ
1400-07-21,2021-10-13,25383,فسبزوار,FSBZ
1400-07-24,2021-10-16,26626,فسبزوار,FSBZ
1400-07-25,2021-10-17,25701,فسبزوار,FSBZ
1400-07-26,2021-10-18,25651,فسبزوار,FSBZ
1400-07-27,2021-10-19,25203,فسبزوار,FSBZ
1400-07-28,2021-10-20,25217,فسبزوار,FSBZ
1400-08-01,2021-10-23,25217,فسبزوار,FSBZ
1400-08-03,2021-10-25,24711,فسبزوار,FSBZ
1400-08-04,2021-10-26,25210,فسبزوار,FSBZ
1400-08-05,2021-10-27,25405,فسبزوار,FSBZ
1400-08-08,2021-10-30,25174,فسبزوار,FSBZ
1400-08-09,2021-10-31,24639,فسبزوار,FSBZ
1400-08-10,2021-11-01,25001,فسبزوار,FSBZ
1400-08-11,2021-11-02,25232,فسبزوار,FSBZ
1400-08-12,2021-11-03,25600,فسبزوار,FSBZ
1400-08-15,2021-11-06,25860,فسبزوار,FSBZ
1400-08-16,2021-11-07,25232,فسبزوار,FSBZ
1400-08-17,2021-11-08,25449,فسبزوار,FSBZ
1400-08-18,2021-11-09,25506,فسبزوار,FSBZ
1400-08-19,2021-11-10,25795,فسبزوار,FSBZ
1400-08-22,2021-11-13,25369,فسبزوار,FSBZ
1400-08-23,2021-11-14,25506,فسبزوار,FSBZ
1400-08-24,2021-11-15,25550,فسبزوار,FSBZ
1400-08-25,2021-11-16,25579,فسبزوار,FSBZ
1400-08-26,2021-11-17,25586,فسبزوار,FSBZ
1400-08-29,2021-11-20,25008,فسبزوار,FSBZ
1400-08-30,2021-11-21,25290,فسبزوار,FSBZ
1400-09-01,2021-11-22,25094,فسبزوار,FSBZ
1400-09-02,2021-11-23,25094,فسبزوار,FSBZ
1400-09-03,2021-11-24,25398,فسبزوار,FSBZ
1400-09-06,2021-11-27,24791,فسبزوار,FSBZ
1400-09-07,2021-11-28,24921,فسبزوار,FSBZ
1400-09-08,2021-11-29,24545,فسبزوار,FSBZ
1400-09-09,2021-11-30,24285,فسبزوار,FSBZ
1400-09-10,2021-12-01,24567,فسبزوار,FSBZ
1400-09-13,2021-12-04,24430,فسبزوار,FSBZ
1400-09-14,2021-12-05,24560,فسبزوار,FSBZ
1400-09-15,2021-12-06,25282,فسبزوار,FSBZ
1400-09-16,2021-12-07,25282,فسبزوار,FSBZ
1400-09-17,2021-12-08,25145,فسبزوار,FSBZ
1400-09-20,2021-12-11,24762,فسبزوار,FSBZ
1400-09-21,2021-12-12,24928,فسبزوار,FSBZ
1400-09-22,2021-12-13,24343,فسبزوار,FSBZ
1400-09-23,2021-12-14,24350,فسبزوار,FSBZ
1400-09-24,2021-12-15,24343,فسبزوار,FSBZ
1400-09-27,2021-12-18,24278,فسبزوار,FSBZ
1400-09-28,2021-12-19,23924,فسبزوار,FSBZ
1400-09-29,2021-12-20,24278,فسبزوار,FSBZ
1400-09-30,2021-12-21,24863,فسبزوار,FSBZ
1400-10-01,2021-12-22,25709,فسبزوار,FSBZ
1400-10-04,2021-12-25,25232,فسبزوار,FSBZ
1400-10-05,2021-12-26,25268,فسبزوار,FSBZ
1400-10-06,2021-12-27,25290,فسبزوار,FSBZ
1400-10-07,2021-12-28,25210,فسبزوار,FSBZ
1400-10-08,2021-12-29,24878,فسبزوار,FSBZ
1400-10-11,2022-01-01,24863,فسبزوار,FSBZ
1400-10-12,2022-01-02,24979,فسبزوار,FSBZ
1400-10-13,2022-01-03,24856,فسبزوار,FSBZ
1400-10-14,2022-01-04,24755,فسبزوار,FSBZ
1400-10-15,2022-01-05,24798,فسبزوار,FSBZ
1400-10-18,2022-01-08,24791,فسبزوار,FSBZ
1400-10-19,2022-01-09,24726,فسبزوار,FSBZ
1400-10-20,2022-01-10,24711,فسبزوار,FSBZ
1400-10-21,2022-01-11,24711,فسبزوار,FSBZ
1400-10-22,2022-01-12,24719,فسبزوار,FSBZ
1400-10-25,2022-01-15,24726,فسبزوار,FSBZ
1400-10-26,2022-01-16,24567,فسبزوار,FSBZ
1400-10-27,2022-01-17,24639,فسبزوار,FSBZ
1400-10-28,2022-01-18,24567,فسبزوار,FSBZ
1400-10-29,2022-01-19,24567,فسبزوار,FSBZ
1400-11-02,2022-01-22,24451,فسبزوار,FSBZ
1400-11-03,2022-01-23,24126,فسبزوار,FSBZ
1400-11-04,2022-01-24,24285,فسبزوار,FSBZ
1400-11-05,2022-01-25,23555,فسبزوار,FSBZ
1400-11-09,2022-01-29,24336,فسبزوار,FSBZ
1400-11-10,2022-01-30,24350,فسبزوار,FSBZ
1400-11-11,2022-01-31,24365,فسبزوار,FSBZ
1400-11-12,2022-02-01,24365,فسبزوار,FSBZ
1400-11-13,2022-02-02,24365,فسبزوار,FSBZ
1400-11-16,2022-02-05,24372,فسبزوار,FSBZ
1400-11-17,2022-02-06,24336,فسبزوار,FSBZ
1400-11-18,2022-02-07,24350,فسبزوار,FSBZ
1400-11-19,2022-02-08,24350,فسبزوار,FSBZ
1400-11-24,2022-02-13,24271,فسبزوار,FSBZ
1400-11-25,2022-02-14,25492,فسبزوار,FSBZ
1400-11-27,2022-02-16,24863,فسبزوار,FSBZ
1400-11-30,2022-02-19,24321,فسبزوار,FSBZ
1400-12-01,2022-02-20,24054,فسبزوار,FSBZ
1400-12-02,2022-02-21,24784,فسبزوار,FSBZ
1400-12-04,2022-02-23,25441,فسبزوار,FSBZ
1400-12-07,2022-02-26,25253,فسبزوار,FSBZ
1400-12-08,2022-02-27,25441,فسبزوار,FSBZ
1400-12-09,2022-02-28,26005,فسبزوار,FSBZ
1400-12-17,2022-03-08,26609,فسبزوار,FSBZ
