J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-07,2001-03-27,51,دفرا,FTIR
1380-01-08,2001-03-28,51,دفرا,FTIR
1380-01-29,2001-04-18,51,دفرا,FTIR
1380-02-10,2001-04-30,51,دفرا,FTIR
1380-02-16,2001-05-06,51,دفرا,FTIR
1380-02-18,2001-05-08,51,دفرا,FTIR
1380-02-23,2001-05-13,51,دفرا,FTIR
1380-02-25,2001-05-15,48,دفرا,FTIR
1380-02-26,2001-05-16,48,دفرا,FTIR
1380-02-30,2001-05-20,51,دفرا,FTIR
1380-02-31,2001-05-21,51,دفرا,FTIR
1380-03-07,2001-05-28,53,دفرا,FTIR
1380-03-08,2001-05-29,55,دفرا,FTIR
1380-03-09,2001-05-30,55,دفرا,FTIR
1380-03-12,2001-06-02,54,دفرا,FTIR
1380-03-13,2001-06-03,54,دفرا,FTIR
1380-03-21,2001-06-11,54,دفرا,FTIR
1380-04-18,2001-07-09,54,دفرا,FTIR
1380-04-23,2001-07-14,55,دفرا,FTIR
1380-04-30,2001-07-21,55,دفرا,FTIR
1380-04-31,2001-07-22,55,دفرا,FTIR
1380-05-08,2001-07-30,58,دفرا,FTIR
1380-05-09,2001-07-31,58,دفرا,FTIR
1380-05-10,2001-08-01,58,دفرا,FTIR
1380-05-13,2001-08-04,58,دفرا,FTIR
1380-05-17,2001-08-08,58,دفرا,FTIR
1380-06-06,2001-08-28,58,دفرا,FTIR
1380-06-11,2001-09-02,59,دفرا,FTIR
1380-07-15,2001-10-07,26,دفرا,FTIR
1380-07-30,2001-10-22,27,دفرا,FTIR
1380-08-01,2001-10-23,28,دفرا,FTIR
1380-08-27,2001-11-18,28,دفرا,FTIR
1380-08-30,2001-11-21,29,دفرا,FTIR
1380-09-03,2001-11-24,29,دفرا,FTIR
1380-09-05,2001-11-26,30,دفرا,FTIR
1380-09-14,2001-12-05,30,دفرا,FTIR
1380-09-17,2001-12-08,31,دفرا,FTIR
1380-09-27,2001-12-18,31,دفرا,FTIR
1380-10-04,2001-12-25,31,دفرا,FTIR
1380-10-15,2002-01-05,32,دفرا,FTIR
1380-10-22,2002-01-12,32,دفرا,FTIR
1380-10-23,2002-01-13,32,دفرا,FTIR
1380-12-21,2002-03-12,23,دفرا,FTIR
1381-03-20,2002-06-10,23,دفرا,FTIR
1381-04-03,2002-06-24,24,دفرا,FTIR
1381-04-05,2002-06-26,24,دفرا,FTIR
1381-04-16,2002-07-07,25,دفرا,FTIR
1381-04-18,2002-07-09,26,دفرا,FTIR
1381-05-05,2002-07-27,32,دفرا,FTIR
1381-05-16,2002-08-07,45,دفرا,FTIR
1381-06-19,2002-09-10,47,دفرا,FTIR
1381-06-20,2002-09-11,49,دفرا,FTIR
1381-06-23,2002-09-14,49,دفرا,FTIR
1381-06-24,2002-09-15,49,دفرا,FTIR
1381-06-26,2002-09-17,50,دفرا,FTIR
1381-08-05,2002-10-27,50,دفرا,FTIR
1381-08-06,2002-10-28,50,دفرا,FTIR
1381-08-07,2002-10-29,50,دفرا,FTIR
1381-08-11,2002-11-02,50,دفرا,FTIR
1381-08-20,2002-11-11,52,دفرا,FTIR
1381-08-21,2002-11-12,55,دفرا,FTIR
1381-08-25,2002-11-16,58,دفرا,FTIR
1381-08-26,2002-11-17,58,دفرا,FTIR
1381-09-20,2002-12-11,55,دفرا,FTIR
1381-10-14,2003-01-04,52,دفرا,FTIR
1381-10-16,2003-01-06,52,دفرا,FTIR
1381-10-21,2003-01-11,52,دفرا,FTIR
1381-10-22,2003-01-12,52,دفرا,FTIR
1381-11-12,2003-02-01,51,دفرا,FTIR
1381-12-26,2003-03-17,50,دفرا,FTIR
1381-12-28,2003-03-19,50,دفرا,FTIR
1382-03-10,2003-05-31,50,دفرا,FTIR
1382-04-08,2003-06-29,49,دفرا,FTIR
1382-06-02,2003-08-24,38,دفرا,FTIR
1382-06-03,2003-08-25,37,دفرا,FTIR
1382-06-09,2003-08-31,37,دفرا,FTIR
1382-06-10,2003-09-01,36,دفرا,FTIR
1382-06-15,2003-09-06,36,دفرا,FTIR
1382-06-24,2003-09-15,36,دفرا,FTIR
1382-06-26,2003-09-17,35,دفرا,FTIR
1382-06-30,2003-09-21,35,دفرا,FTIR
1382-06-31,2003-09-22,34,دفرا,FTIR
1382-08-05,2003-10-27,34,دفرا,FTIR
1382-08-21,2003-11-12,34,دفرا,FTIR
1382-08-27,2003-11-18,34,دفرا,FTIR
1382-09-10,2003-12-01,34,دفرا,FTIR
1382-11-07,2004-01-27,34,دفرا,FTIR
1382-11-08,2004-01-28,34,دفرا,FTIR
1382-11-11,2004-01-31,34,دفرا,FTIR
1382-11-14,2004-02-03,34,دفرا,FTIR
1382-11-19,2004-02-08,34,دفرا,FTIR
1382-11-26,2004-02-15,34,دفرا,FTIR
1382-12-10,2004-02-29,35,دفرا,FTIR
1383-02-09,2004-04-28,20,دفرا,FTIR
1383-02-12,2004-05-01,20,دفرا,FTIR
1383-02-13,2004-05-02,21,دفرا,FTIR
1383-02-20,2004-05-09,21,دفرا,FTIR
1383-02-22,2004-05-11,21,دفرا,FTIR
1383-03-16,2004-06-05,21,دفرا,FTIR
1383-05-31,2004-08-21,15,دفرا,FTIR
1383-06-01,2004-08-22,15,دفرا,FTIR
1383-06-02,2004-08-23,15,دفرا,FTIR
1383-06-03,2004-08-24,14,دفرا,FTIR
1383-06-07,2004-08-28,14,دفرا,FTIR
1383-06-30,2004-09-20,14,دفرا,FTIR
1383-07-01,2004-09-22,15,دفرا,FTIR
1383-07-06,2004-09-27,16,دفرا,FTIR
1383-07-13,2004-10-04,16,دفرا,FTIR
1383-07-14,2004-10-05,16,دفرا,FTIR
1383-07-15,2004-10-06,17,دفرا,FTIR
1383-07-18,2004-10-09,17,دفرا,FTIR
1383-07-19,2004-10-10,18,دفرا,FTIR
1383-10-20,2005-01-09,12,دفرا,FTIR
1383-10-21,2005-01-10,12,دفرا,FTIR
1383-10-23,2005-01-12,12,دفرا,FTIR
1383-10-26,2005-01-15,12,دفرا,FTIR
1383-10-27,2005-01-16,12,دفرا,FTIR
1383-10-28,2005-01-17,12,دفرا,FTIR
1383-11-04,2005-01-23,12,دفرا,FTIR
1383-11-05,2005-01-24,12,دفرا,FTIR
1383-11-07,2005-01-26,12,دفرا,FTIR
1383-11-11,2005-01-30,13,دفرا,FTIR
1383-11-12,2005-01-31,14,دفرا,FTIR
1383-11-13,2005-02-01,14,دفرا,FTIR
1383-11-14,2005-02-02,14,دفرا,FTIR
1383-11-17,2005-02-05,15,دفرا,FTIR
1383-11-28,2005-02-16,14,دفرا,FTIR
1383-12-03,2005-02-21,14,دفرا,FTIR
1383-12-08,2005-02-26,13,دفرا,FTIR
1383-12-09,2005-02-27,13,دفرا,FTIR
1383-12-15,2005-03-05,13,دفرا,FTIR
1383-12-16,2005-03-06,13,دفرا,FTIR
1383-12-17,2005-03-07,13,دفرا,FTIR
1383-12-19,2005-03-09,13,دفرا,FTIR
1383-12-22,2005-03-12,13,دفرا,FTIR
1383-12-23,2005-03-13,13,دفرا,FTIR
1383-12-24,2005-03-14,13,دفرا,FTIR
1383-12-25,2005-03-15,13,دفرا,FTIR
1384-01-23,2005-04-12,13,دفرا,FTIR
