J-Date,Date,Adj Close,Ticker,Ticker(4)
1393-08-21,2014-11-12,566,قاسم,GASZ
1393-08-24,2014-11-15,595,قاسم,GASZ
1393-08-25,2014-11-16,625,قاسم,GASZ
1393-08-26,2014-11-17,656,قاسم,GASZ
1393-08-27,2014-11-18,689,قاسم,GASZ
1393-08-28,2014-11-19,723,قاسم,GASZ
1393-09-01,2014-11-22,759,قاسم,GASZ
1393-09-02,2014-11-23,797,قاسم,GASZ
1393-09-03,2014-11-24,837,قاسم,GASZ
1393-09-04,2014-11-25,879,قاسم,GASZ
1393-09-05,2014-11-26,923,قاسم,GASZ
1393-09-08,2014-11-29,969,قاسم,GASZ
1393-09-09,2014-11-30,1017,قاسم,GASZ
1393-09-10,2014-12-01,1068,قاسم,GASZ
1393-09-11,2014-12-02,1114,قاسم,GASZ
1393-09-12,2014-12-03,1123,قاسم,GASZ
1393-09-15,2014-12-06,1099,قاسم,GASZ
1393-09-16,2014-12-07,1060,قاسم,GASZ
1393-09-17,2014-12-08,1088,قاسم,GASZ
1393-09-18,2014-12-09,1011,قاسم,GASZ
1393-09-19,2014-12-10,992,قاسم,GASZ
1393-09-23,2014-12-14,951,قاسم,GASZ
1393-09-24,2014-12-15,908,قاسم,GASZ
1393-09-25,2014-12-16,867,قاسم,GASZ
1393-09-26,2014-12-17,865,قاسم,GASZ
1393-09-29,2014-12-20,895,قاسم,GASZ
1393-10-01,2014-12-22,923,قاسم,GASZ
1393-10-03,2014-12-24,871,قاسم,GASZ
1393-10-06,2014-12-27,861,قاسم,GASZ
1393-10-07,2014-12-28,867,قاسم,GASZ
1393-10-08,2014-12-29,849,قاسم,GASZ
1393-10-09,2014-12-30,827,قاسم,GASZ
1393-10-10,2014-12-31,813,قاسم,GASZ
1393-10-13,2015-01-03,844,قاسم,GASZ
1393-10-14,2015-01-04,877,قاسم,GASZ
1393-10-15,2015-01-05,831,قاسم,GASZ
1393-10-16,2015-01-06,820,قاسم,GASZ
1393-10-17,2015-01-07,813,قاسم,GASZ
1393-10-20,2015-01-10,778,قاسم,GASZ
1393-10-21,2015-01-11,768,قاسم,GASZ
1393-10-22,2015-01-12,792,قاسم,GASZ
1393-10-23,2015-01-13,769,قاسم,GASZ
1393-10-24,2015-01-14,756,قاسم,GASZ
1393-10-27,2015-01-17,772,قاسم,GASZ
1393-10-28,2015-01-18,747,قاسم,GASZ
1393-10-29,2015-01-19,721,قاسم,GASZ
1393-10-30,2015-01-20,687,قاسم,GASZ
1393-11-01,2015-01-21,663,قاسم,GASZ
1393-11-04,2015-01-24,642,قاسم,GASZ
1393-11-05,2015-01-25,648,قاسم,GASZ
1393-11-06,2015-01-26,625,قاسم,GASZ
1393-11-07,2015-01-27,627,قاسم,GASZ
1393-11-08,2015-01-28,659,قاسم,GASZ
1393-11-11,2015-01-31,685,قاسم,GASZ
1393-11-12,2015-02-01,671,قاسم,GASZ
1393-11-13,2015-02-02,687,قاسم,GASZ
1393-11-14,2015-02-03,719,قاسم,GASZ
1393-11-15,2015-02-04,750,قاسم,GASZ
1393-11-18,2015-02-07,752,قاسم,GASZ
1393-11-19,2015-02-08,731,قاسم,GASZ
1393-11-20,2015-02-09,692,قاسم,GASZ
1393-11-21,2015-02-10,691,قاسم,GASZ
1393-11-25,2015-02-14,684,قاسم,GASZ
1393-11-26,2015-02-15,695,قاسم,GASZ
1393-11-27,2015-02-16,718,قاسم,GASZ
1393-11-28,2015-02-17,746,قاسم,GASZ
1393-11-29,2015-02-18,753,قاسم,GASZ
1393-12-24,2015-03-15,725,قاسم,GASZ
1393-12-25,2015-03-16,715,قاسم,GASZ
1393-12-26,2015-03-17,682,قاسم,GASZ
1393-12-27,2015-03-18,692,قاسم,GASZ
1394-01-05,2015-03-25,686,قاسم,GASZ
1394-01-08,2015-03-28,723,قاسم,GASZ
1394-01-09,2015-03-29,717,قاسم,GASZ
1394-01-10,2015-03-30,701,قاسم,GASZ
1394-01-11,2015-03-31,686,قاسم,GASZ
1394-01-15,2015-04-04,728,قاسم,GASZ
1394-01-16,2015-04-05,759,قاسم,GASZ
1394-01-17,2015-04-06,721,قاسم,GASZ
1394-01-18,2015-04-07,697,قاسم,GASZ
1394-01-19,2015-04-08,700,قاسم,GASZ
1394-01-22,2015-04-11,671,قاسم,GASZ
1394-01-23,2015-04-12,648,قاسم,GASZ
1394-01-24,2015-04-13,667,قاسم,GASZ
1394-01-25,2015-04-14,662,قاسم,GASZ
1394-01-26,2015-04-15,638,قاسم,GASZ
1394-01-29,2015-04-18,650,قاسم,GASZ
1394-01-30,2015-04-19,652,قاسم,GASZ
1394-01-31,2015-04-20,640,قاسم,GASZ
1394-02-01,2015-04-21,643,قاسم,GASZ
1394-02-02,2015-04-22,642,قاسم,GASZ
1394-02-05,2015-04-25,634,قاسم,GASZ
1394-02-06,2015-04-26,627,قاسم,GASZ
1394-02-07,2015-04-27,616,قاسم,GASZ
1394-02-08,2015-04-28,596,قاسم,GASZ
1394-02-09,2015-04-29,590,قاسم,GASZ
1394-02-13,2015-05-03,589,قاسم,GASZ
1394-02-14,2015-05-04,588,قاسم,GASZ
1394-02-15,2015-05-05,585,قاسم,GASZ
1394-02-16,2015-05-06,583,قاسم,GASZ
1394-02-19,2015-05-09,555,قاسم,GASZ
1394-02-20,2015-05-10,532,قاسم,GASZ
1394-02-21,2015-05-11,513,قاسم,GASZ
1394-02-22,2015-05-12,507,قاسم,GASZ
1394-02-23,2015-05-13,490,قاسم,GASZ
1394-02-27,2015-05-17,515,قاسم,GASZ
1394-02-28,2015-05-18,500,قاسم,GASZ
1394-02-29,2015-05-19,491,قاسم,GASZ
1394-02-30,2015-05-20,473,قاسم,GASZ
1394-03-04,2015-05-25,461,قاسم,GASZ
1394-03-05,2015-05-26,439,قاسم,GASZ
1394-03-06,2015-05-27,434,قاسم,GASZ
1394-03-09,2015-05-30,453,قاسم,GASZ
1394-03-10,2015-05-31,446,قاسم,GASZ
1394-03-11,2015-06-01,435,قاسم,GASZ
1394-03-12,2015-06-02,432,قاسم,GASZ
1394-03-16,2015-06-06,423,قاسم,GASZ
1394-03-17,2015-06-07,406,قاسم,GASZ
1394-03-18,2015-06-08,387,قاسم,GASZ
1394-03-19,2015-06-09,369,قاسم,GASZ
1394-03-20,2015-06-10,368,قاسم,GASZ
1394-03-23,2015-06-13,383,قاسم,GASZ
1394-03-24,2015-06-14,387,قاسم,GASZ
1394-03-25,2015-06-15,373,قاسم,GASZ
1394-03-26,2015-06-16,382,قاسم,GASZ
1394-03-27,2015-06-17,389,قاسم,GASZ
1394-03-30,2015-06-20,378,قاسم,GASZ
1394-03-31,2015-06-21,377,قاسم,GASZ
1394-04-01,2015-06-22,390,قاسم,GASZ
1394-04-02,2015-06-23,410,قاسم,GASZ
1394-04-03,2015-06-24,425,قاسم,GASZ
1394-04-06,2015-06-27,418,قاسم,GASZ
1394-04-07,2015-06-28,407,قاسم,GASZ
1394-04-08,2015-06-29,416,قاسم,GASZ
1394-04-09,2015-06-30,423,قاسم,GASZ
1394-04-10,2015-07-01,405,قاسم,GASZ
1394-04-13,2015-07-04,414,قاسم,GASZ
1394-04-14,2015-07-05,406,قاسم,GASZ
1394-04-15,2015-07-06,415,قاسم,GASZ
1394-04-16,2015-07-07,422,قاسم,GASZ
1394-04-20,2015-07-11,411,قاسم,GASZ
1394-04-21,2015-07-12,410,قاسم,GASZ
1394-04-22,2015-07-13,409,قاسم,GASZ
1394-04-23,2015-07-14,402,قاسم,GASZ
