J-Date,Date,Adj Close,Ticker,Ticker(4)
1381-11-01,2003-01-21,4509,پلوله,GAZP
1381-11-02,2003-01-22,4621,پلوله,GAZP
1381-11-05,2003-01-25,4737,پلوله,GAZP
1381-11-06,2003-01-26,4855,پلوله,GAZP
1381-11-07,2003-01-27,4734,پلوله,GAZP
1381-11-08,2003-01-28,4640,پلوله,GAZP
1381-11-09,2003-01-29,4654,پلوله,GAZP
1381-11-12,2003-02-01,4576,پلوله,GAZP
1381-11-13,2003-02-02,4463,پلوله,GAZP
1381-11-14,2003-02-03,4508,پلوله,GAZP
1381-11-15,2003-02-04,4510,پلوله,GAZP
1381-11-16,2003-02-05,4621,پلوله,GAZP
1381-11-19,2003-02-08,4619,پلوله,GAZP
1381-11-20,2003-02-09,4510,پلوله,GAZP
1381-11-21,2003-02-10,4509,پلوله,GAZP
1381-11-26,2003-02-15,4509,پلوله,GAZP
1381-11-27,2003-02-16,4510,پلوله,GAZP
1381-11-28,2003-02-17,4509,پلوله,GAZP
1381-11-29,2003-02-18,4462,پلوله,GAZP
1381-11-30,2003-02-19,4556,پلوله,GAZP
1381-12-03,2003-02-22,4556,پلوله,GAZP
1381-12-05,2003-02-24,4509,پلوله,GAZP
1381-12-11,2003-03-02,4467,پلوله,GAZP
1381-12-12,2003-03-03,4462,پلوله,GAZP
1381-12-13,2003-03-04,4508,پلوله,GAZP
1381-12-19,2003-03-10,4396,پلوله,GAZP
1381-12-20,2003-03-11,4396,پلوله,GAZP
1381-12-21,2003-03-12,4368,پلوله,GAZP
1381-12-24,2003-03-15,4321,پلوله,GAZP
1381-12-25,2003-03-16,4274,پلوله,GAZP
1381-12-26,2003-03-17,4307,پلوله,GAZP
1382-01-06,2003-03-26,4414,پلوله,GAZP
1382-01-17,2003-04-06,4524,پلوله,GAZP
1382-01-18,2003-04-07,4524,پلوله,GAZP
1382-01-19,2003-04-08,4462,پلوله,GAZP
1382-01-20,2003-04-09,4509,پلوله,GAZP
1382-01-23,2003-04-12,4509,پلوله,GAZP
1382-01-24,2003-04-13,4462,پلوله,GAZP
1382-01-25,2003-04-14,4462,پلوله,GAZP
1382-01-26,2003-04-15,4415,پلوله,GAZP
1382-01-27,2003-04-16,4415,پلوله,GAZP
1382-01-30,2003-04-19,4396,پلوله,GAZP
1382-01-31,2003-04-20,4300,پلوله,GAZP
