J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-09-04,2003-11-25,113,ختوقا,GHAT
1382-09-08,2003-11-29,119,ختوقا,GHAT
1382-09-09,2003-11-30,125,ختوقا,GHAT
1382-09-10,2003-12-01,131,ختوقا,GHAT
1382-09-11,2003-12-02,124,ختوقا,GHAT
1382-09-12,2003-12-03,118,ختوقا,GHAT
1382-09-15,2003-12-06,112,ختوقا,GHAT
1382-09-16,2003-12-07,107,ختوقا,GHAT
1382-09-17,2003-12-08,107,ختوقا,GHAT
1382-09-18,2003-12-09,104,ختوقا,GHAT
1382-09-19,2003-12-10,98,ختوقا,GHAT
1382-09-22,2003-12-13,101,ختوقا,GHAT
1382-09-23,2003-12-14,104,ختوقا,GHAT
1382-09-24,2003-12-15,108,ختوقا,GHAT
1382-09-25,2003-12-16,109,ختوقا,GHAT
1382-09-26,2003-12-17,108,ختوقا,GHAT
1382-09-30,2003-12-21,108,ختوقا,GHAT
1382-10-01,2003-12-22,105,ختوقا,GHAT
1382-10-02,2003-12-23,104,ختوقا,GHAT
1382-10-06,2003-12-27,103,ختوقا,GHAT
1382-10-07,2003-12-28,99,ختوقا,GHAT
1382-10-08,2003-12-29,97,ختوقا,GHAT
1382-10-09,2003-12-30,97,ختوقا,GHAT
1382-10-10,2003-12-31,95,ختوقا,GHAT
1382-10-13,2004-01-03,93,ختوقا,GHAT
1382-10-14,2004-01-04,94,ختوقا,GHAT
1382-10-15,2004-01-05,95,ختوقا,GHAT
1382-10-16,2004-01-06,95,ختوقا,GHAT
1382-10-17,2004-01-07,95,ختوقا,GHAT
1382-10-20,2004-01-10,95,ختوقا,GHAT
1382-10-21,2004-01-11,95,ختوقا,GHAT
1382-10-23,2004-01-13,95,ختوقا,GHAT
1382-10-24,2004-01-14,95,ختوقا,GHAT
1382-10-29,2004-01-19,94,ختوقا,GHAT
1382-11-01,2004-01-21,93,ختوقا,GHAT
1382-11-06,2004-01-26,93,ختوقا,GHAT
1382-11-07,2004-01-27,91,ختوقا,GHAT
1382-11-08,2004-01-28,91,ختوقا,GHAT
1382-11-11,2004-01-31,91,ختوقا,GHAT
1382-11-15,2004-02-04,90,ختوقا,GHAT
1382-11-18,2004-02-07,88,ختوقا,GHAT
1382-11-19,2004-02-08,88,ختوقا,GHAT
1382-11-20,2004-02-09,88,ختوقا,GHAT
1382-11-28,2004-02-17,88,ختوقا,GHAT
1382-11-29,2004-02-18,85,ختوقا,GHAT
1382-12-04,2004-02-23,86,ختوقا,GHAT
1382-12-05,2004-02-24,90,ختوقا,GHAT
1382-12-06,2004-02-25,90,ختوقا,GHAT
1382-12-09,2004-02-28,90,ختوقا,GHAT
1382-12-10,2004-02-29,90,ختوقا,GHAT
1382-12-13,2004-03-03,89,ختوقا,GHAT
1382-12-16,2004-03-06,90,ختوقا,GHAT
1382-12-17,2004-03-07,90,ختوقا,GHAT
1382-12-18,2004-03-08,93,ختوقا,GHAT
1382-12-19,2004-03-09,91,ختوقا,GHAT
1382-12-20,2004-03-10,91,ختوقا,GHAT
1382-12-23,2004-03-13,90,ختوقا,GHAT
1382-12-24,2004-03-14,90,ختوقا,GHAT
1382-12-25,2004-03-15,90,ختوقا,GHAT
1382-12-26,2004-03-16,90,ختوقا,GHAT
1382-12-27,2004-03-17,92,ختوقا,GHAT
1383-01-09,2004-03-28,93,ختوقا,GHAT
1383-01-11,2004-03-30,97,ختوقا,GHAT
1383-01-15,2004-04-03,97,ختوقا,GHAT
1383-01-16,2004-04-04,101,ختوقا,GHAT
1383-01-17,2004-04-05,106,ختوقا,GHAT
1383-01-18,2004-04-06,109,ختوقا,GHAT
1383-01-19,2004-04-07,110,ختوقا,GHAT
1383-01-22,2004-04-10,111,ختوقا,GHAT
1383-01-24,2004-04-12,111,ختوقا,GHAT
1383-01-25,2004-04-13,111,ختوقا,GHAT
1383-01-26,2004-04-14,111,ختوقا,GHAT
1383-01-29,2004-04-17,113,ختوقا,GHAT
1383-01-30,2004-04-18,113,ختوقا,GHAT
1383-02-02,2004-04-21,113,ختوقا,GHAT
1383-02-05,2004-04-24,113,ختوقا,GHAT
1383-02-06,2004-04-25,113,ختوقا,GHAT
1383-02-13,2004-05-02,113,ختوقا,GHAT
1383-02-19,2004-05-08,113,ختوقا,GHAT
1383-02-20,2004-05-09,112,ختوقا,GHAT
1383-02-29,2004-05-18,112,ختوقا,GHAT
1383-03-02,2004-05-22,106,ختوقا,GHAT
1383-03-03,2004-05-23,102,ختوقا,GHAT
1383-03-04,2004-05-24,97,ختوقا,GHAT
1383-03-05,2004-05-25,97,ختوقا,GHAT
1383-03-06,2004-05-26,96,ختوقا,GHAT
1383-03-09,2004-05-29,96,ختوقا,GHAT
1383-03-10,2004-05-30,95,ختوقا,GHAT
1383-03-12,2004-06-01,95,ختوقا,GHAT
1383-03-13,2004-06-02,95,ختوقا,GHAT
1383-03-16,2004-06-05,95,ختوقا,GHAT
1383-03-17,2004-06-06,95,ختوقا,GHAT
1383-03-18,2004-06-07,95,ختوقا,GHAT
1383-04-01,2004-06-21,90,ختوقا,GHAT
1383-04-06,2004-06-26,90,ختوقا,GHAT
1383-04-07,2004-06-27,90,ختوقا,GHAT
1383-04-08,2004-06-28,89,ختوقا,GHAT
1383-04-09,2004-06-29,88,ختوقا,GHAT
1383-04-10,2004-06-30,88,ختوقا,GHAT
1383-04-14,2004-07-04,88,ختوقا,GHAT
1383-04-15,2004-07-05,88,ختوقا,GHAT
1383-04-16,2004-07-06,87,ختوقا,GHAT
1383-04-17,2004-07-07,84,ختوقا,GHAT
1383-04-20,2004-07-10,84,ختوقا,GHAT
1383-04-21,2004-07-11,84,ختوقا,GHAT
1383-04-22,2004-07-12,83,ختوقا,GHAT
1383-04-23,2004-07-13,83,ختوقا,GHAT
1383-04-24,2004-07-14,82,ختوقا,GHAT
1383-04-27,2004-07-17,82,ختوقا,GHAT
1383-04-29,2004-07-19,81,ختوقا,GHAT
1383-05-03,2004-07-24,79,ختوقا,GHAT
1383-05-04,2004-07-25,79,ختوقا,GHAT
1383-05-05,2004-07-26,78,ختوقا,GHAT
1383-05-06,2004-07-27,78,ختوقا,GHAT
1383-05-07,2004-07-28,78,ختوقا,GHAT
1383-05-10,2004-07-31,78,ختوقا,GHAT
1383-05-11,2004-08-01,78,ختوقا,GHAT
1383-05-12,2004-08-02,79,ختوقا,GHAT
1383-05-13,2004-08-03,78,ختوقا,GHAT
1383-05-14,2004-08-04,78,ختوقا,GHAT
1383-05-18,2004-08-08,78,ختوقا,GHAT
1383-05-19,2004-08-09,78,ختوقا,GHAT
1383-05-20,2004-08-10,78,ختوقا,GHAT
1383-05-21,2004-08-11,78,ختوقا,GHAT
1383-05-24,2004-08-14,77,ختوقا,GHAT
1383-05-26,2004-08-16,77,ختوقا,GHAT
1383-05-27,2004-08-17,77,ختوقا,GHAT
1383-06-17,2004-09-07,75,ختوقا,GHAT
1383-06-18,2004-09-08,74,ختوقا,GHAT
1383-06-21,2004-09-11,72,ختوقا,GHAT
1383-06-22,2004-09-12,72,ختوقا,GHAT
1383-06-24,2004-09-14,72,ختوقا,GHAT
1383-06-29,2004-09-19,72,ختوقا,GHAT
1383-06-30,2004-09-20,76,ختوقا,GHAT
1383-06-31,2004-09-21,76,ختوقا,GHAT
1383-07-01,2004-09-22,76,ختوقا,GHAT
1383-07-04,2004-09-25,76,ختوقا,GHAT
1383-07-21,2004-10-12,76,ختوقا,GHAT
1383-07-22,2004-10-13,80,ختوقا,GHAT
1383-07-26,2004-10-17,81,ختوقا,GHAT
1383-07-27,2004-10-18,85,ختوقا,GHAT
1383-07-28,2004-10-19,89,ختوقا,GHAT
1383-07-29,2004-10-20,93,ختوقا,GHAT
1383-08-02,2004-10-23,98,ختوقا,GHAT
1383-08-03,2004-10-24,101,ختوقا,GHAT
1383-08-04,2004-10-25,100,ختوقا,GHAT
1383-08-05,2004-10-26,105,ختوقا,GHAT
1383-08-09,2004-10-30,106,ختوقا,GHAT
1383-08-10,2004-10-31,102,ختوقا,GHAT
1383-08-11,2004-11-01,100,ختوقا,GHAT
1383-08-12,2004-11-02,100,ختوقا,GHAT
1383-08-13,2004-11-03,100,ختوقا,GHAT
1383-08-16,2004-11-06,104,ختوقا,GHAT
1383-08-18,2004-11-08,104,ختوقا,GHAT
1383-08-19,2004-11-09,101,ختوقا,GHAT
1383-08-20,2004-11-10,101,ختوقا,GHAT
1383-08-23,2004-11-13,101,ختوقا,GHAT
1383-08-25,2004-11-15,101,ختوقا,GHAT
1383-08-26,2004-11-16,101,ختوقا,GHAT
1383-08-30,2004-11-20,103,ختوقا,GHAT
1383-09-01,2004-11-21,103,ختوقا,GHAT
1383-09-02,2004-11-22,104,ختوقا,GHAT
1383-09-03,2004-11-23,108,ختوقا,GHAT
