J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-09-16,2015-12-07,0,قاروم,GHUP
1394-10-20,2016-01-10,0,قاروم,GHUP
1394-10-23,2016-01-13,0,قاروم,GHUP
1395-06-14,2016-09-04,0,قاروم,GHUP
1395-07-10,2016-10-01,0,قاروم,GHUP
1395-08-03,2016-10-24,0,قاروم,GHUP
1395-08-16,2016-11-06,0,قاروم,GHUP
1395-10-01,2016-12-21,0,قاروم,GHUP
1395-10-20,2017-01-09,0,قاروم,GHUP
1395-12-02,2017-02-20,0,قاروم,GHUP
1397-02-17,2018-05-07,0,قاروم,GHUP
1397-02-19,2018-05-09,0,قاروم,GHUP
1397-04-06,2018-06-27,0,قاروم,GHUP
1397-04-23,2018-07-14,0,قاروم,GHUP
1397-06-10,2018-09-01,0,قاروم,GHUP
1397-07-09,2018-10-01,0,قاروم,GHUP
1397-07-18,2018-10-10,0,قاروم,GHUP
1397-09-07,2018-11-28,0,قاروم,GHUP
1399-03-24,2020-06-13,1,قاروم,GHUP
1399-04-29,2020-07-19,1,قاروم,GHUP
1401-03-01,2022-05-22,188947,قاروم,GHUP
1401-03-02,2022-05-23,189557,قاروم,GHUP
1401-03-03,2022-05-24,188237,قاروم,GHUP
1401-03-04,2022-05-25,188188,قاروم,GHUP
1401-03-07,2022-05-28,187210,قاروم,GHUP
1401-03-08,2022-05-29,186134,قاروم,GHUP
1401-03-09,2022-05-30,186036,قاروم,GHUP
1401-03-10,2022-05-31,185987,قاروم,GHUP
1401-03-11,2022-06-01,185987,قاروم,GHUP
1401-03-16,2022-06-06,185645,قاروم,GHUP
1401-03-17,2022-06-07,181830,قاروم,GHUP
1401-03-18,2022-06-08,184716,قاروم,GHUP
1401-03-21,2022-06-11,184520,قاروم,GHUP
1401-03-22,2022-06-12,184324,قاروم,GHUP
1401-03-23,2022-06-13,184129,قاروم,GHUP
1401-03-24,2022-06-14,183835,قاروم,GHUP
1401-03-25,2022-06-15,182417,قاروم,GHUP
1401-03-28,2022-06-18,179043,قاروم,GHUP
1401-03-29,2022-06-19,177086,قاروم,GHUP
1401-03-30,2022-06-20,174397,قاروم,GHUP
1401-03-31,2022-06-21,171756,قاروم,GHUP
1401-04-01,2022-06-22,169115,قاروم,GHUP
1401-04-04,2022-06-25,164077,قاروم,GHUP
