J-Date,Date,Adj Close,Ticker,Ticker(4)
1398-06-13,2019-09-04,9463,غبهار,GKHP
1398-06-25,2019-09-16,10031,غبهار,GKHP
1398-06-26,2019-09-17,10332,غبهار,GKHP
1398-06-27,2019-09-18,10107,غبهار,GKHP
1398-06-30,2019-09-21,10332,غبهار,GKHP
1398-06-31,2019-09-22,10332,غبهار,GKHP
1398-07-01,2019-09-23,10952,غبهار,GKHP
1398-07-02,2019-09-24,11280,غبهار,GKHP
1398-07-03,2019-09-25,11616,غبهار,GKHP
1398-07-06,2019-09-28,11964,غبهار,GKHP
1398-07-07,2019-09-29,12323,غبهار,GKHP
1398-07-08,2019-09-30,12686,غبهار,GKHP
1398-07-09,2019-10-01,13067,غبهار,GKHP
1398-07-10,2019-10-02,13459,غبهار,GKHP
1398-07-13,2019-10-05,13839,غبهار,GKHP
1398-07-14,2019-10-06,14254,غبهار,GKHP
1398-07-15,2019-10-07,14680,غبهار,GKHP
1398-07-16,2019-10-08,15120,غبهار,GKHP
1398-07-17,2019-10-09,15416,غبهار,GKHP
1398-07-20,2019-10-12,15826,غبهار,GKHP
1398-07-21,2019-10-13,15347,غبهار,GKHP
1398-07-22,2019-10-14,14977,غبهار,GKHP
1398-07-23,2019-10-15,14528,غبهار,GKHP
1398-07-24,2019-10-16,14093,غبهار,GKHP
1398-07-28,2019-10-20,13389,غبهار,GKHP
1398-07-29,2019-10-21,13220,غبهار,GKHP
1398-07-30,2019-10-22,12688,غبهار,GKHP
1398-08-01,2019-10-23,13154,غبهار,GKHP
1398-08-04,2019-10-26,13391,غبهار,GKHP
1398-08-06,2019-10-28,12657,غبهار,GKHP
1398-08-08,2019-10-30,12970,غبهار,GKHP
1398-08-11,2019-11-02,12868,غبهار,GKHP
1398-08-12,2019-11-03,12683,غبهار,GKHP
1398-08-13,2019-11-04,12399,غبهار,GKHP
1398-08-14,2019-11-05,12491,غبهار,GKHP
1398-08-18,2019-11-09,12397,غبهار,GKHP
1398-08-19,2019-11-10,12391,غبهار,GKHP
1398-08-20,2019-11-11,12616,غبهار,GKHP
1398-08-21,2019-11-12,12976,غبهار,GKHP
1398-08-22,2019-11-13,12584,غبهار,GKHP
1398-08-25,2019-11-16,12639,غبهار,GKHP
1398-08-26,2019-11-17,12269,غبهار,GKHP
1398-08-27,2019-11-18,11905,غبهار,GKHP
1398-08-28,2019-11-19,11829,غبهار,GKHP
1398-08-29,2019-11-20,12305,غبهار,GKHP
1398-09-02,2019-11-23,12394,غبهار,GKHP
1398-09-03,2019-11-24,12467,غبهار,GKHP
1398-09-04,2019-11-25,12721,غبهار,GKHP
1398-09-05,2019-11-26,12633,غبهار,GKHP
1398-09-06,2019-11-27,12733,غبهار,GKHP
1398-09-09,2019-11-30,13111,غبهار,GKHP
1398-09-10,2019-12-01,13498,غبهار,GKHP
1398-09-11,2019-12-02,13820,غبهار,GKHP
1398-09-12,2019-12-03,14148,غبهار,GKHP
1398-09-13,2019-12-04,13987,غبهار,GKHP
1398-09-16,2019-12-07,13989,غبهار,GKHP
1398-09-17,2019-12-08,13693,غبهار,GKHP
1398-09-18,2019-12-09,14175,غبهار,GKHP
1398-09-19,2019-12-10,14006,غبهار,GKHP
1398-09-20,2019-12-11,13897,غبهار,GKHP
1398-09-23,2019-12-14,14450,غبهار,GKHP
1398-09-24,2019-12-15,14365,غبهار,GKHP
1398-09-25,2019-12-16,14857,غبهار,GKHP
1398-09-26,2019-12-17,14621,غبهار,GKHP
1398-09-27,2019-12-18,14740,غبهار,GKHP
1398-09-30,2019-12-21,14620,غبهار,GKHP
1398-10-01,2019-12-22,14479,غبهار,GKHP
1398-10-02,2019-12-23,14275,غبهار,GKHP
1398-10-03,2019-12-24,14193,غبهار,GKHP
1398-10-04,2019-12-25,14580,غبهار,GKHP
1398-10-07,2019-12-28,15013,غبهار,GKHP
1398-10-08,2019-12-29,15462,غبهار,GKHP
1398-10-09,2019-12-30,16187,غبهار,GKHP
1398-10-10,2019-12-31,16638,غبهار,GKHP
1398-10-11,2020-01-01,16945,غبهار,GKHP
1398-10-14,2020-01-04,16435,غبهار,GKHP
1398-10-15,2020-01-05,15942,غبهار,GKHP
1398-10-17,2020-01-07,15476,غبهار,GKHP
1398-10-18,2020-01-08,15168,غبهار,GKHP
1398-10-21,2020-01-11,15471,غبهار,GKHP
1398-10-22,2020-01-12,15934,غبهار,GKHP
1398-10-23,2020-01-13,15756,غبهار,GKHP
1398-10-24,2020-01-14,15568,غبهار,GKHP
1398-10-25,2020-01-15,15925,غبهار,GKHP
1398-10-28,2020-01-18,16304,غبهار,GKHP
1398-10-29,2020-01-19,16785,غبهار,GKHP
1398-10-30,2020-01-20,17102,غبهار,GKHP
1398-11-01,2020-01-21,17615,غبهار,GKHP
1398-11-02,2020-01-22,18143,غبهار,GKHP
1398-11-05,2020-01-25,18910,غبهار,GKHP
1398-11-06,2020-01-26,18417,غبهار,GKHP
1398-11-07,2020-01-27,18594,غبهار,GKHP
1398-11-08,2020-01-28,19174,غبهار,GKHP
1398-11-12,2020-02-01,19617,غبهار,GKHP
1398-11-13,2020-02-02,19030,غبهار,GKHP
1398-11-14,2020-02-03,19589,غبهار,GKHP
1398-11-15,2020-02-04,18677,غبهار,GKHP
1398-11-16,2020-02-05,18832,غبهار,GKHP
1398-11-19,2020-02-08,18079,غبهار,GKHP
1398-11-20,2020-02-09,17885,غبهار,GKHP
1398-11-21,2020-02-10,18207,غبهار,GKHP
1398-11-23,2020-02-12,17930,غبهار,GKHP
1398-11-26,2020-02-15,18580,غبهار,GKHP
1398-11-27,2020-02-16,18875,غبهار,GKHP
1398-11-28,2020-02-17,18359,غبهار,GKHP
1398-11-29,2020-02-18,18212,غبهار,GKHP
1398-11-30,2020-02-19,18834,غبهار,GKHP
1398-12-03,2020-02-22,19018,غبهار,GKHP
1398-12-04,2020-02-23,18870,غبهار,GKHP
1398-12-05,2020-02-24,18768,غبهار,GKHP
1398-12-06,2020-02-25,19475,غبهار,GKHP
1398-12-07,2020-02-26,19211,غبهار,GKHP
1398-12-10,2020-02-29,18988,غبهار,GKHP
1398-12-11,2020-03-01,18644,غبهار,GKHP
1398-12-12,2020-03-02,19078,غبهار,GKHP
1398-12-13,2020-03-03,19372,غبهار,GKHP
1398-12-14,2020-03-04,19135,غبهار,GKHP
1398-12-17,2020-03-07,18757,غبهار,GKHP
1398-12-19,2020-03-09,18523,غبهار,GKHP
1398-12-20,2020-03-10,18402,غبهار,GKHP
1398-12-21,2020-03-11,18406,غبهار,GKHP
1398-12-24,2020-03-14,17546,غبهار,GKHP
1398-12-25,2020-03-15,17418,غبهار,GKHP
1398-12-26,2020-03-16,17763,غبهار,GKHP
1398-12-27,2020-03-17,17561,غبهار,GKHP
1398-12-28,2020-03-18,17916,غبهار,GKHP
1399-01-05,2020-03-24,18229,غبهار,GKHP
1399-01-06,2020-03-25,18454,غبهار,GKHP
1399-01-09,2020-03-28,19351,غبهار,GKHP
1399-01-10,2020-03-29,19050,غبهار,GKHP
1399-01-11,2020-03-30,18928,غبهار,GKHP
1399-01-16,2020-04-04,18905,غبهار,GKHP
1399-01-17,2020-04-05,19614,غبهار,GKHP
1399-01-18,2020-04-06,19973,غبهار,GKHP
1399-01-19,2020-04-07,20460,غبهار,GKHP
1399-01-20,2020-04-08,21233,غبهار,GKHP
1399-01-23,2020-04-11,21870,غبهار,GKHP
1399-01-24,2020-04-12,21861,غبهار,GKHP
1399-01-25,2020-04-13,21595,غبهار,GKHP
1399-01-26,2020-04-14,20966,غبهار,GKHP
1399-01-27,2020-04-15,20644,غبهار,GKHP
1399-01-30,2020-04-18,22055,غبهار,GKHP
1399-01-31,2020-04-19,21766,غبهار,GKHP
1399-02-01,2020-04-20,21847,غبهار,GKHP
1399-02-02,2020-04-21,22192,غبهار,GKHP
1399-02-03,2020-04-22,22404,غبهار,GKHP
1399-02-06,2020-04-25,22971,غبهار,GKHP
1399-02-07,2020-04-26,22291,غبهار,GKHP
1399-02-08,2020-04-27,22437,غبهار,GKHP
1399-02-09,2020-04-28,21888,غبهار,GKHP
1399-02-10,2020-04-29,22319,غبهار,GKHP
1399-02-13,2020-05-02,22489,غبهار,GKHP
1399-02-14,2020-05-03,23163,غبهار,GKHP
1399-02-15,2020-05-04,22567,غبهار,GKHP
1399-02-16,2020-05-05,22244,غبهار,GKHP
1399-02-17,2020-05-06,21875,غبهار,GKHP
1399-02-20,2020-05-09,22554,غبهار,GKHP
1399-02-21,2020-05-10,21955,غبهار,GKHP
1399-02-22,2020-05-11,21701,غبهار,GKHP
1399-02-23,2020-05-12,21360,غبهار,GKHP
1399-02-24,2020-05-13,21556,غبهار,GKHP
1399-02-27,2020-05-16,22309,غبهار,GKHP
1399-02-28,2020-05-17,22666,غبهار,GKHP
1399-02-29,2020-05-18,23345,غبهار,GKHP
1399-02-30,2020-05-19,24512,غبهار,GKHP
1399-02-31,2020-05-20,25247,غبهار,GKHP
1399-03-03,2020-05-23,24493,غبهار,GKHP
1399-03-06,2020-05-26,24856,غبهار,GKHP
1399-03-07,2020-05-27,24360,غبهار,GKHP
1399-03-10,2020-05-30,25090,غبهار,GKHP
1399-03-11,2020-05-31,24089,غبهار,GKHP
1399-03-12,2020-06-01,23817,غبهار,GKHP
1399-03-13,2020-06-02,23433,غبهار,GKHP
1399-03-17,2020-06-06,24308,غبهار,GKHP
1399-03-18,2020-06-07,23848,غبهار,GKHP
1399-03-19,2020-06-08,24416,غبهار,GKHP
1399-03-20,2020-06-09,25159,غبهار,GKHP
1399-03-21,2020-06-10,24988,غبهار,GKHP
1399-03-24,2020-06-13,24746,غبهار,GKHP
1399-03-25,2020-06-14,24491,غبهار,GKHP
1399-03-26,2020-06-15,24585,غبهار,GKHP
1399-03-27,2020-06-16,24983,غبهار,GKHP
1399-03-31,2020-06-20,25794,غبهار,GKHP
1399-04-01,2020-06-21,26181,غبهار,GKHP
1399-04-02,2020-06-22,26024,غبهار,GKHP
1399-04-03,2020-06-23,25454,غبهار,GKHP
1399-04-04,2020-06-24,24889,غبهار,GKHP
1399-04-07,2020-06-27,25177,غبهار,GKHP
1399-04-08,2020-06-28,24598,غبهار,GKHP
1399-04-09,2020-06-29,24965,غبهار,GKHP
1399-04-10,2020-06-30,25088,غبهار,GKHP
1399-04-11,2020-07-01,24510,غبهار,GKHP
1399-04-14,2020-07-04,24234,غبهار,GKHP
1399-04-15,2020-07-05,24435,غبهار,GKHP
1399-04-16,2020-07-06,24501,غبهار,GKHP
1399-04-17,2020-07-07,24131,غبهار,GKHP
1399-04-18,2020-07-08,23753,غبهار,GKHP
1399-04-25,2020-07-15,25859,غبهار,GKHP
1399-04-28,2020-07-18,24916,غبهار,GKHP
1399-04-29,2020-07-19,25106,غبهار,GKHP
1399-04-30,2020-07-20,25434,غبهار,GKHP
1399-04-31,2020-07-21,26646,غبهار,GKHP
1399-05-01,2020-07-22,27188,غبهار,GKHP
1399-05-04,2020-07-25,27930,غبهار,GKHP
1399-05-05,2020-07-26,28765,غبهار,GKHP
1399-05-06,2020-07-27,29627,غبهار,GKHP
1399-05-07,2020-07-28,31108,غبهار,GKHP
1399-05-08,2020-07-29,32041,غبهار,GKHP
1399-05-11,2020-08-01,33001,غبهار,GKHP
1399-05-12,2020-08-02,33991,غبهار,GKHP
1399-05-13,2020-08-03,35691,غبهار,GKHP
1399-05-14,2020-08-04,34617,غبهار,GKHP
1399-05-15,2020-08-05,36283,غبهار,GKHP
1399-05-19,2020-08-09,36974,غبهار,GKHP
1399-05-20,2020-08-10,38081,غبهار,GKHP
1399-05-21,2020-08-11,39899,غبهار,GKHP
1399-05-22,2020-08-12,39839,غبهار,GKHP
1399-05-25,2020-08-15,41033,غبهار,GKHP
1399-05-26,2020-08-16,42263,غبهار,GKHP
1399-05-27,2020-08-17,44375,غبهار,GKHP
1399-05-28,2020-08-18,45648,غبهار,GKHP
1399-05-29,2020-08-19,47017,غبهار,GKHP
1399-06-01,2020-08-22,45608,غبهار,GKHP
1399-06-02,2020-08-23,45877,غبهار,GKHP
1399-06-03,2020-08-24,44709,غبهار,GKHP
1399-06-04,2020-08-25,42925,غبهار,GKHP
1399-06-05,2020-08-26,42044,غبهار,GKHP
1399-06-10,2020-08-31,40831,غبهار,GKHP
1399-06-11,2020-09-01,40558,غبهار,GKHP
1399-06-12,2020-09-02,39673,غبهار,GKHP
1399-06-15,2020-09-05,40444,غبهار,GKHP
1399-06-16,2020-09-06,40367,غبهار,GKHP
1399-06-17,2020-09-07,40213,غبهار,GKHP
1399-06-18,2020-09-08,39263,غبهار,GKHP
1399-06-19,2020-09-09,40080,غبهار,GKHP
1399-06-22,2020-09-12,40063,غبهار,GKHP
1399-06-23,2020-09-13,38862,غبهار,GKHP
1399-06-24,2020-09-14,38052,غبهار,GKHP
1399-06-25,2020-09-15,38797,غبهار,GKHP
1399-06-26,2020-09-16,38784,غبهار,GKHP
1399-06-29,2020-09-19,37621,غبهار,GKHP
1399-06-30,2020-09-20,36827,غبهار,GKHP
1399-06-31,2020-09-21,37602,غبهار,GKHP
1399-07-01,2020-09-22,37602,غبهار,GKHP
1399-07-02,2020-09-23,37520,غبهار,GKHP
1399-07-05,2020-09-26,35644,غبهار,GKHP
1399-07-07,2020-09-28,36001,غبهار,GKHP
1399-07-08,2020-09-29,35994,غبهار,GKHP
1399-07-09,2020-09-30,35249,غبهار,GKHP
1399-07-12,2020-10-03,35985,غبهار,GKHP
1399-07-13,2020-10-04,35978,غبهار,GKHP
1399-07-14,2020-10-05,35737,غبهار,GKHP
1399-07-16,2020-10-07,34994,غبهار,GKHP
1399-07-19,2020-10-10,35283,غبهار,GKHP
1399-07-20,2020-10-11,35274,غبهار,GKHP
1399-07-21,2020-10-12,35261,غبهار,GKHP
1399-07-22,2020-10-13,34529,غبهار,GKHP
1399-07-23,2020-10-14,35235,غبهار,GKHP
1399-07-27,2020-10-18,35233,غبهار,GKHP
1399-07-28,2020-10-19,35222,غبهار,GKHP
1399-07-29,2020-10-20,34493,غبهار,GKHP
1399-08-03,2020-10-24,35214,غبهار,GKHP
1399-08-05,2020-10-26,35207,غبهار,GKHP
1399-08-06,2020-10-27,34481,غبهار,GKHP
1399-08-10,2020-10-31,35201,غبهار,GKHP
1399-08-14,2020-11-04,35200,غبهار,GKHP
1399-08-17,2020-11-07,34472,غبهار,GKHP
1399-08-18,2020-11-08,35187,غبهار,GKHP
1399-08-24,2020-11-14,35187,غبهار,GKHP
1399-08-26,2020-11-16,35185,غبهار,GKHP
1399-08-27,2020-11-17,34459,غبهار,GKHP
1399-08-28,2020-11-18,35165,غبهار,GKHP
1399-09-01,2020-11-21,35164,غبهار,GKHP
1399-09-02,2020-11-22,35163,غبهار,GKHP
