J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-18,2001-04-07,78,قپیرا,GPSH
1380-01-19,2001-04-08,78,قپیرا,GPSH
1380-01-21,2001-04-10,78,قپیرا,GPSH
1380-01-25,2001-04-14,81,قپیرا,GPSH
1380-01-26,2001-04-15,82,قپیرا,GPSH
1380-01-27,2001-04-16,82,قپیرا,GPSH
1380-01-28,2001-04-17,83,قپیرا,GPSH
1380-02-01,2001-04-21,83,قپیرا,GPSH
1380-02-02,2001-04-22,83,قپیرا,GPSH
1380-02-04,2001-04-24,83,قپیرا,GPSH
1380-02-08,2001-04-28,83,قپیرا,GPSH
1380-02-09,2001-04-29,83,قپیرا,GPSH
1380-02-10,2001-04-30,83,قپیرا,GPSH
1380-02-11,2001-05-01,83,قپیرا,GPSH
1380-02-12,2001-05-02,83,قپیرا,GPSH
1380-02-16,2001-05-06,83,قپیرا,GPSH
1380-02-17,2001-05-07,83,قپیرا,GPSH
1380-02-19,2001-05-09,83,قپیرا,GPSH
1380-02-23,2001-05-13,83,قپیرا,GPSH
1380-02-25,2001-05-15,83,قپیرا,GPSH
1380-02-26,2001-05-16,83,قپیرا,GPSH
1380-02-29,2001-05-19,83,قپیرا,GPSH
1380-02-30,2001-05-20,83,قپیرا,GPSH
1380-02-31,2001-05-21,83,قپیرا,GPSH
1380-03-06,2001-05-27,83,قپیرا,GPSH
1380-03-07,2001-05-28,83,قپیرا,GPSH
1380-03-08,2001-05-29,83,قپیرا,GPSH
1380-03-13,2001-06-03,83,قپیرا,GPSH
1380-03-22,2001-06-12,79,قپیرا,GPSH
1380-03-23,2001-06-13,79,قپیرا,GPSH
1380-03-27,2001-06-17,82,قپیرا,GPSH
1380-03-29,2001-06-19,82,قپیرا,GPSH
1380-04-04,2001-06-25,82,قپیرا,GPSH
1380-04-06,2001-06-27,81,قپیرا,GPSH
1380-04-18,2001-07-09,80,قپیرا,GPSH
1380-04-26,2001-07-17,79,قپیرا,GPSH
1380-04-27,2001-07-18,79,قپیرا,GPSH
1380-04-31,2001-07-22,79,قپیرا,GPSH
1380-05-09,2001-07-31,75,قپیرا,GPSH
1380-05-10,2001-08-01,79,قپیرا,GPSH
1380-05-14,2001-08-05,80,قپیرا,GPSH
1380-05-15,2001-08-06,80,قپیرا,GPSH
1380-05-16,2001-08-07,80,قپیرا,GPSH
1380-05-17,2001-08-08,80,قپیرا,GPSH
1380-05-20,2001-08-11,80,قپیرا,GPSH
1380-05-21,2001-08-12,80,قپیرا,GPSH
1380-05-23,2001-08-14,82,قپیرا,GPSH
1380-05-24,2001-08-15,82,قپیرا,GPSH
1380-05-27,2001-08-18,82,قپیرا,GPSH
1380-05-28,2001-08-19,82,قپیرا,GPSH
1380-05-30,2001-08-21,83,قپیرا,GPSH
1380-05-31,2001-08-22,83,قپیرا,GPSH
1380-06-05,2001-08-27,83,قپیرا,GPSH
1380-06-07,2001-08-29,83,قپیرا,GPSH
1380-06-10,2001-09-01,83,قپیرا,GPSH
1380-06-11,2001-09-02,83,قپیرا,GPSH
1380-06-13,2001-09-04,83,قپیرا,GPSH
1380-06-14,2001-09-05,83,قپیرا,GPSH
1380-06-17,2001-09-08,83,قپیرا,GPSH
1380-06-20,2001-09-11,82,قپیرا,GPSH
1380-07-17,2001-10-09,75,قپیرا,GPSH
1380-07-30,2001-10-22,75,قپیرا,GPSH
1380-08-06,2001-10-28,75,قپیرا,GPSH
1380-08-09,2001-10-31,75,قپیرا,GPSH
1380-08-16,2001-11-07,75,قپیرا,GPSH
1380-08-21,2001-11-12,75,قپیرا,GPSH
1380-08-27,2001-11-18,76,قپیرا,GPSH
1380-08-28,2001-11-19,77,قپیرا,GPSH
1380-08-30,2001-11-21,78,قپیرا,GPSH
1380-09-03,2001-11-24,82,قپیرا,GPSH
1380-09-04,2001-11-25,86,قپیرا,GPSH
1380-09-05,2001-11-26,89,قپیرا,GPSH
1380-09-06,2001-11-27,89,قپیرا,GPSH
1380-09-07,2001-11-28,89,قپیرا,GPSH
1380-09-11,2001-12-02,89,قپیرا,GPSH
1380-09-20,2001-12-11,86,قپیرا,GPSH
1380-09-21,2001-12-12,86,قپیرا,GPSH
1380-09-24,2001-12-15,86,قپیرا,GPSH
1380-09-26,2001-12-17,89,قپیرا,GPSH
1380-09-28,2001-12-19,89,قپیرا,GPSH
1380-10-05,2001-12-26,89,قپیرا,GPSH
1380-10-08,2001-12-29,89,قپیرا,GPSH
1380-10-11,2002-01-01,87,قپیرا,GPSH
1380-10-12,2002-01-02,86,قپیرا,GPSH
1380-10-15,2002-01-05,84,قپیرا,GPSH
1380-10-16,2002-01-06,84,قپیرا,GPSH
1380-10-17,2002-01-07,84,قپیرا,GPSH
1380-10-18,2002-01-08,84,قپیرا,GPSH
1380-10-22,2002-01-12,84,قپیرا,GPSH
1380-10-23,2002-01-13,85,قپیرا,GPSH
1380-10-24,2002-01-14,85,قپیرا,GPSH
1380-10-25,2002-01-15,84,قپیرا,GPSH
1380-10-26,2002-01-16,85,قپیرا,GPSH
1380-10-29,2002-01-19,88,قپیرا,GPSH
1380-10-30,2002-01-20,92,قپیرا,GPSH
1380-11-01,2002-01-21,96,قپیرا,GPSH
1380-11-02,2002-01-22,93,قپیرا,GPSH
1380-11-03,2002-01-23,93,قپیرا,GPSH
1380-11-07,2002-01-27,92,قپیرا,GPSH
1380-11-08,2002-01-28,90,قپیرا,GPSH
1380-11-09,2002-01-29,89,قپیرا,GPSH
1380-11-10,2002-01-30,89,قپیرا,GPSH
1380-11-13,2002-02-02,89,قپیرا,GPSH
1380-11-14,2002-02-03,89,قپیرا,GPSH
1380-11-15,2002-02-04,88,قپیرا,GPSH
1380-11-16,2002-02-05,86,قپیرا,GPSH
1380-11-17,2002-02-06,87,قپیرا,GPSH
1380-11-23,2002-02-12,87,قپیرا,GPSH
1380-11-24,2002-02-13,86,قپیرا,GPSH
1380-11-27,2002-02-16,86,قپیرا,GPSH
1380-11-28,2002-02-17,86,قپیرا,GPSH
1380-11-29,2002-02-18,86,قپیرا,GPSH
1380-11-30,2002-02-19,86,قپیرا,GPSH
1380-12-01,2002-02-20,87,قپیرا,GPSH
1380-12-05,2002-02-24,92,قپیرا,GPSH
1380-12-06,2002-02-25,92,قپیرا,GPSH
1380-12-07,2002-02-26,92,قپیرا,GPSH
1380-12-08,2002-02-27,92,قپیرا,GPSH
1380-12-11,2002-03-02,92,قپیرا,GPSH
1380-12-13,2002-03-04,92,قپیرا,GPSH
1380-12-14,2002-03-05,96,قپیرا,GPSH
1380-12-15,2002-03-06,93,قپیرا,GPSH
1380-12-18,2002-03-09,94,قپیرا,GPSH
1380-12-19,2002-03-10,94,قپیرا,GPSH
1380-12-20,2002-03-11,99,قپیرا,GPSH
1380-12-21,2002-03-12,101,قپیرا,GPSH
1380-12-22,2002-03-13,102,قپیرا,GPSH
1380-12-25,2002-03-16,102,قپیرا,GPSH
1380-12-26,2002-03-17,101,قپیرا,GPSH
1380-12-27,2002-03-18,101,قپیرا,GPSH
1380-12-28,2002-03-19,101,قپیرا,GPSH
1381-01-06,2002-03-26,101,قپیرا,GPSH
1381-01-07,2002-03-27,101,قپیرا,GPSH
1381-01-10,2002-03-30,101,قپیرا,GPSH
1381-01-11,2002-03-31,101,قپیرا,GPSH
1381-01-14,2002-04-03,101,قپیرا,GPSH
1381-01-17,2002-04-06,101,قپیرا,GPSH
1381-01-18,2002-04-07,101,قپیرا,GPSH
1381-01-19,2002-04-08,101,قپیرا,GPSH
1381-01-20,2002-04-09,101,قپیرا,GPSH
1381-01-21,2002-04-10,101,قپیرا,GPSH
1381-01-24,2002-04-13,102,قپیرا,GPSH
1381-01-25,2002-04-14,103,قپیرا,GPSH
1381-01-26,2002-04-15,104,قپیرا,GPSH
1381-01-28,2002-04-17,106,قپیرا,GPSH
1381-01-31,2002-04-20,106,قپیرا,GPSH
1381-02-01,2002-04-21,108,قپیرا,GPSH
1381-02-02,2002-04-22,109,قپیرا,GPSH
1381-02-03,2002-04-23,112,قپیرا,GPSH
1381-02-04,2002-04-24,112,قپیرا,GPSH
1381-02-07,2002-04-27,112,قپیرا,GPSH
1381-02-08,2002-04-28,113,قپیرا,GPSH
1381-02-09,2002-04-29,118,قپیرا,GPSH
1381-02-10,2002-04-30,120,قپیرا,GPSH
1381-02-11,2002-05-01,120,قپیرا,GPSH
1381-02-14,2002-05-04,123,قپیرا,GPSH
1381-02-15,2002-05-05,127,قپیرا,GPSH
1381-02-16,2002-05-06,127,قپیرا,GPSH
1381-02-17,2002-05-07,127,قپیرا,GPSH
1381-02-18,2002-05-08,127,قپیرا,GPSH
1381-02-22,2002-05-12,127,قپیرا,GPSH
1381-02-24,2002-05-14,127,قپیرا,GPSH
1381-02-25,2002-05-15,129,قپیرا,GPSH
1381-02-28,2002-05-18,129,قپیرا,GPSH
1381-02-29,2002-05-19,133,قپیرا,GPSH
1381-02-30,2002-05-20,135,قپیرا,GPSH
1381-02-31,2002-05-21,142,قپیرا,GPSH
1381-03-01,2002-05-22,146,قپیرا,GPSH
1381-03-04,2002-05-25,149,قپیرا,GPSH
1381-03-05,2002-05-26,153,قپیرا,GPSH
1381-03-06,2002-05-27,157,قپیرا,GPSH
1381-03-07,2002-05-28,157,قپیرا,GPSH
1381-03-08,2002-05-29,153,قپیرا,GPSH
1381-03-11,2002-06-01,149,قپیرا,GPSH
1381-03-12,2002-06-02,149,قپیرا,GPSH
1381-03-13,2002-06-03,147,قپیرا,GPSH
1381-03-18,2002-06-08,146,قپیرا,GPSH
1381-03-19,2002-06-09,144,قپیرا,GPSH
1381-03-20,2002-06-10,141,قپیرا,GPSH
1381-03-21,2002-06-11,140,قپیرا,GPSH
1381-03-22,2002-06-12,137,قپیرا,GPSH
1381-03-25,2002-06-15,134,قپیرا,GPSH
1381-03-26,2002-06-16,138,قپیرا,GPSH
1381-03-27,2002-06-17,136,قپیرا,GPSH
1381-03-28,2002-06-18,137,قپیرا,GPSH
1381-03-29,2002-06-19,140,قپیرا,GPSH
1381-04-01,2002-06-22,140,قپیرا,GPSH
1381-04-02,2002-06-23,140,قپیرا,GPSH
1381-04-03,2002-06-24,138,قپیرا,GPSH
1381-04-04,2002-06-25,138,قپیرا,GPSH
1381-04-05,2002-06-26,137,قپیرا,GPSH
1381-04-08,2002-06-29,136,قپیرا,GPSH
1381-04-09,2002-06-30,136,قپیرا,GPSH
1381-04-10,2002-07-01,134,قپیرا,GPSH
1381-04-11,2002-07-02,131,قپیرا,GPSH
1381-04-12,2002-07-03,131,قپیرا,GPSH
1381-04-15,2002-07-06,132,قپیرا,GPSH
1381-04-17,2002-07-08,132,قپیرا,GPSH
1381-04-18,2002-07-09,132,قپیرا,GPSH
1381-04-19,2002-07-10,131,قپیرا,GPSH
1381-04-22,2002-07-13,129,قپیرا,GPSH
1381-04-23,2002-07-14,131,قپیرا,GPSH
1381-04-24,2002-07-15,132,قپیرا,GPSH
1381-04-25,2002-07-16,134,قپیرا,GPSH
1381-04-26,2002-07-17,136,قپیرا,GPSH
1381-04-29,2002-07-20,136,قپیرا,GPSH
1381-04-31,2002-07-22,135,قپیرا,GPSH
