J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-03-30,2012-06-19,451,ولتجار,GSIP
1391-03-31,2012-06-20,449,ولتجار,GSIP
1391-04-03,2012-06-23,427,ولتجار,GSIP
1391-04-04,2012-06-24,406,ولتجار,GSIP
1391-04-05,2012-06-25,385,ولتجار,GSIP
1391-04-11,2012-07-01,385,ولتجار,GSIP
1391-04-12,2012-07-02,384,ولتجار,GSIP
1391-04-13,2012-07-03,365,ولتجار,GSIP
1391-04-14,2012-07-04,347,ولتجار,GSIP
1391-04-18,2012-07-08,330,ولتجار,GSIP
1391-04-19,2012-07-09,330,ولتجار,GSIP
1391-04-20,2012-07-10,335,ولتجار,GSIP
1391-04-21,2012-07-11,343,ولتجار,GSIP
1391-04-24,2012-07-14,360,ولتجار,GSIP
1391-04-25,2012-07-15,377,ولتجار,GSIP
1391-04-26,2012-07-16,352,ولتجار,GSIP
1391-04-27,2012-07-17,393,ولتجار,GSIP
1391-04-31,2012-07-21,365,ولتجار,GSIP
1391-05-02,2012-07-23,347,ولتجار,GSIP
1391-05-03,2012-07-24,329,ولتجار,GSIP
1391-05-04,2012-07-25,313,ولتجار,GSIP
1391-05-07,2012-07-28,302,ولتجار,GSIP
1391-05-08,2012-07-29,300,ولتجار,GSIP
1391-05-09,2012-07-30,313,ولتجار,GSIP
1391-05-10,2012-07-31,302,ولتجار,GSIP
1391-05-11,2012-08-01,307,ولتجار,GSIP
1391-05-14,2012-08-04,302,ولتجار,GSIP
1391-05-15,2012-08-05,299,ولتجار,GSIP
1391-05-16,2012-08-06,296,ولتجار,GSIP
1391-05-17,2012-08-07,296,ولتجار,GSIP
1391-05-18,2012-08-08,298,ولتجار,GSIP
1391-05-21,2012-08-11,296,ولتجار,GSIP
1391-05-22,2012-08-12,296,ولتجار,GSIP
1391-05-23,2012-08-13,296,ولتجار,GSIP
1391-05-24,2012-08-14,296,ولتجار,GSIP
1391-05-25,2012-08-15,302,ولتجار,GSIP
1391-05-28,2012-08-18,302,ولتجار,GSIP
1391-05-31,2012-08-21,296,ولتجار,GSIP
1391-06-01,2012-08-22,296,ولتجار,GSIP
1391-06-04,2012-08-25,296,ولتجار,GSIP
1391-06-06,2012-08-27,296,ولتجار,GSIP
1391-06-12,2012-09-02,296,ولتجار,GSIP
1391-06-13,2012-09-03,296,ولتجار,GSIP
1391-06-14,2012-09-04,296,ولتجار,GSIP
1391-06-15,2012-09-05,296,ولتجار,GSIP
1391-06-18,2012-09-08,301,ولتجار,GSIP
1391-06-19,2012-09-09,296,ولتجار,GSIP
1391-06-20,2012-09-10,297,ولتجار,GSIP
1391-06-21,2012-09-11,297,ولتجار,GSIP
1391-06-25,2012-09-15,296,ولتجار,GSIP
1391-06-26,2012-09-16,296,ولتجار,GSIP
1391-06-27,2012-09-17,296,ولتجار,GSIP
1391-06-28,2012-09-18,296,ولتجار,GSIP
1391-06-29,2012-09-19,296,ولتجار,GSIP
1391-07-01,2012-09-22,296,ولتجار,GSIP
1391-07-02,2012-09-23,296,ولتجار,GSIP
1391-07-03,2012-09-24,296,ولتجار,GSIP
1391-07-04,2012-09-25,296,ولتجار,GSIP
1391-07-05,2012-09-26,296,ولتجار,GSIP
1391-07-08,2012-09-29,296,ولتجار,GSIP
1391-07-09,2012-09-30,296,ولتجار,GSIP
1391-07-10,2012-10-01,296,ولتجار,GSIP
1391-07-11,2012-10-02,296,ولتجار,GSIP
1391-07-12,2012-10-03,296,ولتجار,GSIP
1391-07-15,2012-10-06,296,ولتجار,GSIP
1391-07-16,2012-10-07,296,ولتجار,GSIP
1391-07-17,2012-10-08,296,ولتجار,GSIP
1391-07-18,2012-10-09,296,ولتجار,GSIP
1391-07-19,2012-10-10,296,ولتجار,GSIP
1391-07-22,2012-10-13,296,ولتجار,GSIP
1391-07-23,2012-10-14,296,ولتجار,GSIP
1391-07-24,2012-10-15,296,ولتجار,GSIP
1391-07-25,2012-10-16,296,ولتجار,GSIP
1391-07-26,2012-10-17,296,ولتجار,GSIP
1391-07-29,2012-10-20,296,ولتجار,GSIP
1391-07-30,2012-10-21,296,ولتجار,GSIP
1391-08-01,2012-10-22,296,ولتجار,GSIP
1391-08-02,2012-10-23,296,ولتجار,GSIP
1391-08-03,2012-10-24,296,ولتجار,GSIP
1391-08-06,2012-10-27,296,ولتجار,GSIP
1391-08-07,2012-10-28,296,ولتجار,GSIP
1391-08-08,2012-10-29,296,ولتجار,GSIP
1391-08-09,2012-10-30,296,ولتجار,GSIP
1391-08-10,2012-10-31,296,ولتجار,GSIP
1391-08-14,2012-11-04,296,ولتجار,GSIP
1391-08-15,2012-11-05,296,ولتجار,GSIP
1391-08-16,2012-11-06,296,ولتجار,GSIP
1391-08-17,2012-11-07,296,ولتجار,GSIP
1391-08-20,2012-11-10,296,ولتجار,GSIP
1391-08-21,2012-11-11,296,ولتجار,GSIP
1391-08-22,2012-11-12,296,ولتجار,GSIP
1391-08-23,2012-11-13,296,ولتجار,GSIP
1391-08-24,2012-11-14,296,ولتجار,GSIP
1391-08-27,2012-11-17,296,ولتجار,GSIP
1391-08-28,2012-11-18,296,ولتجار,GSIP
1391-08-29,2012-11-19,296,ولتجار,GSIP
1391-08-30,2012-11-20,296,ولتجار,GSIP
