J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-04-16,2001-07-07,8,شگل,GTSH
1380-04-17,2001-07-08,8,شگل,GTSH
1380-04-18,2001-07-09,9,شگل,GTSH
1380-05-09,2001-07-31,9,شگل,GTSH
1380-05-10,2001-08-01,9,شگل,GTSH
1380-05-13,2001-08-04,9,شگل,GTSH
1380-05-15,2001-08-06,9,شگل,GTSH
1380-05-16,2001-08-07,9,شگل,GTSH
1380-05-17,2001-08-08,9,شگل,GTSH
1380-05-20,2001-08-11,9,شگل,GTSH
1380-05-21,2001-08-12,9,شگل,GTSH
1380-05-22,2001-08-13,9,شگل,GTSH
1380-05-23,2001-08-14,9,شگل,GTSH
1380-05-24,2001-08-15,9,شگل,GTSH
1380-05-28,2001-08-19,9,شگل,GTSH
1380-05-29,2001-08-20,9,شگل,GTSH
1380-05-30,2001-08-21,9,شگل,GTSH
1380-05-31,2001-08-22,9,شگل,GTSH
1380-06-03,2001-08-25,9,شگل,GTSH
1380-06-04,2001-08-26,9,شگل,GTSH
1380-06-05,2001-08-27,9,شگل,GTSH
1380-06-06,2001-08-28,9,شگل,GTSH
1380-06-07,2001-08-29,9,شگل,GTSH
1380-06-10,2001-09-01,9,شگل,GTSH
1380-06-11,2001-09-02,9,شگل,GTSH
1380-06-12,2001-09-03,9,شگل,GTSH
1380-06-14,2001-09-05,9,شگل,GTSH
1380-06-17,2001-09-08,9,شگل,GTSH
1380-06-18,2001-09-09,9,شگل,GTSH
1380-06-19,2001-09-10,9,شگل,GTSH
1380-06-20,2001-09-11,9,شگل,GTSH
1380-06-21,2001-09-12,8,شگل,GTSH
1380-06-24,2001-09-15,8,شگل,GTSH
1380-06-25,2001-09-16,8,شگل,GTSH
1380-06-26,2001-09-17,8,شگل,GTSH
1380-06-27,2001-09-18,7,شگل,GTSH
1380-06-28,2001-09-19,8,شگل,GTSH
1380-06-31,2001-09-22,8,شگل,GTSH
1380-07-01,2001-09-23,8,شگل,GTSH
1380-07-03,2001-09-25,9,شگل,GTSH
1380-07-08,2001-09-30,8,شگل,GTSH
1380-07-10,2001-10-02,8,شگل,GTSH
1380-07-11,2001-10-03,8,شگل,GTSH
1380-07-14,2001-10-06,8,شگل,GTSH
1380-07-15,2001-10-07,9,شگل,GTSH
1380-07-16,2001-10-08,9,شگل,GTSH
1380-07-17,2001-10-09,8,شگل,GTSH
1380-07-18,2001-10-10,8,شگل,GTSH
1380-07-21,2001-10-13,8,شگل,GTSH
1380-07-22,2001-10-14,8,شگل,GTSH
1380-07-25,2001-10-17,8,شگل,GTSH
1380-07-28,2001-10-20,8,شگل,GTSH
1380-07-30,2001-10-22,9,شگل,GTSH
1380-08-02,2001-10-24,9,شگل,GTSH
1380-08-05,2001-10-27,9,شگل,GTSH
1380-08-06,2001-10-28,9,شگل,GTSH
1380-08-07,2001-10-29,9,شگل,GTSH
1380-08-08,2001-10-30,9,شگل,GTSH
1380-08-09,2001-10-31,9,شگل,GTSH
1380-08-12,2001-11-03,9,شگل,GTSH
1380-08-13,2001-11-04,9,شگل,GTSH
1380-08-14,2001-11-05,9,شگل,GTSH
1380-08-15,2001-11-06,9,شگل,GTSH
1380-08-16,2001-11-07,9,شگل,GTSH
1380-08-19,2001-11-10,9,شگل,GTSH
1380-08-20,2001-11-11,10,شگل,GTSH
1380-08-21,2001-11-12,10,شگل,GTSH
1380-08-22,2001-11-13,10,شگل,GTSH
1380-08-23,2001-11-14,10,شگل,GTSH
1380-08-26,2001-11-17,10,شگل,GTSH
1380-08-28,2001-11-19,9,شگل,GTSH
1380-08-29,2001-11-20,9,شگل,GTSH
1380-08-30,2001-11-21,9,شگل,GTSH
1380-09-03,2001-11-24,9,شگل,GTSH
1380-09-04,2001-11-25,9,شگل,GTSH
1380-09-05,2001-11-26,10,شگل,GTSH
1380-09-06,2001-11-27,10,شگل,GTSH
1380-09-07,2001-11-28,10,شگل,GTSH
1380-09-10,2001-12-01,10,شگل,GTSH
1380-09-12,2001-12-03,10,شگل,GTSH
1380-09-13,2001-12-04,10,شگل,GTSH
1380-09-14,2001-12-05,10,شگل,GTSH
1380-09-17,2001-12-08,10,شگل,GTSH
1380-09-18,2001-12-09,10,شگل,GTSH
1380-09-19,2001-12-10,10,شگل,GTSH
1380-09-20,2001-12-11,11,شگل,GTSH
1380-09-21,2001-12-12,11,شگل,GTSH
1380-09-24,2001-12-15,11,شگل,GTSH
1380-09-26,2001-12-17,12,شگل,GTSH
1380-09-27,2001-12-18,12,شگل,GTSH
1380-09-28,2001-12-19,12,شگل,GTSH
1380-10-01,2001-12-22,11,شگل,GTSH
1380-10-02,2001-12-23,11,شگل,GTSH
1380-10-03,2001-12-24,11,شگل,GTSH
1380-10-04,2001-12-25,11,شگل,GTSH
1380-10-05,2001-12-26,11,شگل,GTSH
1380-10-09,2001-12-30,11,شگل,GTSH
1380-10-10,2001-12-31,11,شگل,GTSH
1380-10-11,2002-01-01,11,شگل,GTSH
1380-10-12,2002-01-02,11,شگل,GTSH
1380-10-15,2002-01-05,11,شگل,GTSH
1380-10-16,2002-01-06,11,شگل,GTSH
1380-10-17,2002-01-07,11,شگل,GTSH
1380-10-18,2002-01-08,11,شگل,GTSH
1380-10-22,2002-01-12,11,شگل,GTSH
1380-10-23,2002-01-13,11,شگل,GTSH
1380-10-24,2002-01-14,11,شگل,GTSH
1380-10-25,2002-01-15,11,شگل,GTSH
1380-10-26,2002-01-16,11,شگل,GTSH
1380-10-29,2002-01-19,11,شگل,GTSH
1380-10-30,2002-01-20,11,شگل,GTSH
