J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-02-20,2022-05-10,5943,حگهر,GTTZ
1401-02-21,2022-05-11,6220,حگهر,GTTZ
1401-02-24,2022-05-14,6586,حگهر,GTTZ
1401-02-25,2022-05-15,6971,حگهر,GTTZ
1401-02-26,2022-05-16,7387,حگهر,GTTZ
1401-02-27,2022-05-17,7822,حگهر,GTTZ
1401-02-28,2022-05-18,8287,حگهر,GTTZ
1401-02-31,2022-05-21,8593,حگهر,GTTZ
1401-03-01,2022-05-22,8999,حگهر,GTTZ
1401-03-02,2022-05-23,8465,حگهر,GTTZ
1401-03-03,2022-05-24,8742,حگهر,GTTZ
1401-03-04,2022-05-25,8316,حگهر,GTTZ
1401-03-07,2022-05-28,7950,حگهر,GTTZ
1401-03-08,2022-05-29,8514,حگهر,GTTZ
1401-03-09,2022-05-30,8109,حگهر,GTTZ
1401-03-10,2022-05-31,7911,حگهر,GTTZ
1401-03-11,2022-06-01,8069,حگهر,GTTZ
1401-03-16,2022-06-06,7505,حگهر,GTTZ
1401-03-17,2022-06-07,7308,حگهر,GTTZ
1401-03-18,2022-06-08,7347,حگهر,GTTZ
1401-03-21,2022-06-11,7120,حگهر,GTTZ
1401-03-22,2022-06-12,7535,حگهر,GTTZ
1401-03-23,2022-06-13,7308,حگهر,GTTZ
1401-03-24,2022-06-14,7219,حگهر,GTTZ
1401-03-25,2022-06-15,7060,حگهر,GTTZ
1401-03-28,2022-06-18,6774,حگهر,GTTZ
1401-03-29,2022-06-19,6942,حگهر,GTTZ
1401-03-30,2022-06-20,7209,حگهر,GTTZ
1401-04-05,2022-06-26,6750,حگهر,GTTZ
1401-04-06,2022-06-27,7130,حگهر,GTTZ
1401-04-07,2022-06-28,6950,حگهر,GTTZ
1401-04-08,2022-06-29,6910,حگهر,GTTZ
1401-04-11,2022-07-02,6850,حگهر,GTTZ
1401-04-12,2022-07-03,6950,حگهر,GTTZ
1401-04-13,2022-07-04,6860,حگهر,GTTZ
1401-04-14,2022-07-05,6770,حگهر,GTTZ
1401-04-15,2022-07-06,6560,حگهر,GTTZ
1401-04-18,2022-07-09,6680,حگهر,GTTZ
1401-04-20,2022-07-11,6590,حگهر,GTTZ
1401-04-21,2022-07-12,6700,حگهر,GTTZ
1401-04-22,2022-07-13,6700,حگهر,GTTZ
1401-04-25,2022-07-16,6690,حگهر,GTTZ
1401-04-26,2022-07-17,6660,حگهر,GTTZ
1401-04-28,2022-07-19,6700,حگهر,GTTZ
1401-04-29,2022-07-20,6590,حگهر,GTTZ
1401-05-01,2022-07-23,6790,حگهر,GTTZ
1401-05-02,2022-07-24,6610,حگهر,GTTZ
1401-05-03,2022-07-25,6400,حگهر,GTTZ
1401-05-04,2022-07-26,6690,حگهر,GTTZ
1401-05-05,2022-07-27,6900,حگهر,GTTZ
1401-05-08,2022-07-30,6740,حگهر,GTTZ
1401-05-09,2022-07-31,6810,حگهر,GTTZ
1401-05-10,2022-08-01,6770,حگهر,GTTZ
1401-05-11,2022-08-02,7130,حگهر,GTTZ
1401-05-12,2022-08-03,7470,حگهر,GTTZ
1401-05-15,2022-08-06,7290,حگهر,GTTZ
1401-05-18,2022-08-09,7210,حگهر,GTTZ
1401-05-19,2022-08-10,7100,حگهر,GTTZ
1401-05-22,2022-08-13,7320,حگهر,GTTZ
1401-05-23,2022-08-14,7170,حگهر,GTTZ
1401-05-24,2022-08-15,7380,حگهر,GTTZ
1401-05-25,2022-08-16,7290,حگهر,GTTZ
1401-05-26,2022-08-17,7170,حگهر,GTTZ
1401-05-29,2022-08-20,7220,حگهر,GTTZ
1401-05-30,2022-08-21,7250,حگهر,GTTZ
1401-05-31,2022-08-22,7340,حگهر,GTTZ
1401-06-01,2022-08-23,7390,حگهر,GTTZ
1401-06-02,2022-08-24,7850,حگهر,GTTZ
1401-06-05,2022-08-27,7520,حگهر,GTTZ
1401-06-06,2022-08-28,7800,حگهر,GTTZ
1401-06-07,2022-08-29,7750,حگهر,GTTZ
1401-06-08,2022-08-30,7940,حگهر,GTTZ
1401-06-09,2022-08-31,8000,حگهر,GTTZ
1401-06-12,2022-09-03,8000,حگهر,GTTZ
1401-06-13,2022-09-04,8000,حگهر,GTTZ
1401-06-14,2022-09-05,8040,حگهر,GTTZ
1401-06-15,2022-09-06,8070,حگهر,GTTZ
1401-06-16,2022-09-07,8110,حگهر,GTTZ
1401-06-19,2022-09-10,8170,حگهر,GTTZ
1401-06-20,2022-09-11,8100,حگهر,GTTZ
1401-06-21,2022-09-12,8200,حگهر,GTTZ
1401-06-22,2022-09-13,8140,حگهر,GTTZ
1401-06-23,2022-09-14,8160,حگهر,GTTZ
1401-06-27,2022-09-18,8190,حگهر,GTTZ
1401-06-28,2022-09-19,8270,حگهر,GTTZ
1401-06-29,2022-09-20,8300,حگهر,GTTZ
1401-06-30,2022-09-21,8310,حگهر,GTTZ
1401-07-02,2022-09-24,8300,حگهر,GTTZ
1401-07-04,2022-09-26,8310,حگهر,GTTZ
1401-07-06,2022-09-28,8340,حگهر,GTTZ
1401-07-09,2022-10-01,8360,حگهر,GTTZ
1401-07-10,2022-10-02,8360,حگهر,GTTZ
1401-07-11,2022-10-03,8370,حگهر,GTTZ
1401-07-12,2022-10-04,8390,حگهر,GTTZ
1401-07-16,2022-10-08,8420,حگهر,GTTZ
1401-07-17,2022-10-09,8370,حگهر,GTTZ
1401-07-18,2022-10-10,8480,حگهر,GTTZ
1401-07-19,2022-10-11,8410,حگهر,GTTZ
1401-07-20,2022-10-12,8310,حگهر,GTTZ
1401-07-23,2022-10-15,8570,حگهر,GTTZ
1401-07-24,2022-10-16,8720,حگهر,GTTZ
1401-07-25,2022-10-17,8750,حگهر,GTTZ
1401-07-26,2022-10-18,8710,حگهر,GTTZ
1401-07-27,2022-10-19,8710,حگهر,GTTZ
1401-07-30,2022-10-22,8730,حگهر,GTTZ
1401-08-01,2022-10-23,8730,حگهر,GTTZ
1401-08-02,2022-10-24,8720,حگهر,GTTZ
1401-08-03,2022-10-25,8760,حگهر,GTTZ
1401-08-04,2022-10-26,8850,حگهر,GTTZ
1401-08-07,2022-10-29,8940,حگهر,GTTZ
1401-08-08,2022-10-30,8880,حگهر,GTTZ
1401-08-09,2022-10-31,9060,حگهر,GTTZ
1401-08-10,2022-11-01,9170,حگهر,GTTZ
1401-08-11,2022-11-02,9360,حگهر,GTTZ
1401-08-14,2022-11-05,9960,حگهر,GTTZ
1401-08-15,2022-11-06,9960,حگهر,GTTZ
1401-08-16,2022-11-07,10000,حگهر,GTTZ
1401-08-17,2022-11-08,9930,حگهر,GTTZ
1401-08-18,2022-11-09,10030,حگهر,GTTZ
1401-08-21,2022-11-12,10000,حگهر,GTTZ
1401-08-22,2022-11-13,10150,حگهر,GTTZ
1401-08-23,2022-11-14,10060,حگهر,GTTZ
1401-08-24,2022-11-15,10040,حگهر,GTTZ
1401-08-25,2022-11-16,10010,حگهر,GTTZ
1401-08-28,2022-11-19,10050,حگهر,GTTZ
1401-08-29,2022-11-20,10190,حگهر,GTTZ
1401-08-30,2022-11-21,10340,حگهر,GTTZ
1401-09-01,2022-11-22,10300,حگهر,GTTZ
1401-09-02,2022-11-23,10330,حگهر,GTTZ
1401-09-05,2022-11-26,10300,حگهر,GTTZ
1401-09-06,2022-11-27,10400,حگهر,GTTZ
1401-09-07,2022-11-28,10430,حگهر,GTTZ
1401-09-08,2022-11-29,10390,حگهر,GTTZ
1401-09-09,2022-11-30,10340,حگهر,GTTZ
1401-09-12,2022-12-03,10320,حگهر,GTTZ
1401-09-13,2022-12-04,10410,حگهر,GTTZ
1401-09-14,2022-12-05,10160,حگهر,GTTZ
1401-09-15,2022-12-06,10430,حگهر,GTTZ
1401-09-16,2022-12-07,10430,حگهر,GTTZ
1401-09-19,2022-12-10,10520,حگهر,GTTZ
1401-09-20,2022-12-11,10600,حگهر,GTTZ
1401-09-21,2022-12-12,10590,حگهر,GTTZ
1401-09-22,2022-12-13,10590,حگهر,GTTZ
1401-09-23,2022-12-14,10950,حگهر,GTTZ
1401-09-26,2022-12-17,10740,حگهر,GTTZ
1401-09-27,2022-12-18,10640,حگهر,GTTZ
1401-09-28,2022-12-19,10500,حگهر,GTTZ
1401-09-29,2022-12-20,10500,حگهر,GTTZ
1401-09-30,2022-12-21,10660,حگهر,GTTZ
1401-10-03,2022-12-24,10670,حگهر,GTTZ
1401-10-04,2022-12-25,10600,حگهر,GTTZ
1401-10-05,2022-12-26,10620,حگهر,GTTZ
1401-10-07,2022-12-28,10590,حگهر,GTTZ
1401-10-10,2022-12-31,10630,حگهر,GTTZ
1401-10-11,2023-01-01,10600,حگهر,GTTZ
1401-10-12,2023-01-02,10490,حگهر,GTTZ
1401-10-13,2023-01-03,10610,حگهر,GTTZ
1401-10-14,2023-01-04,10660,حگهر,GTTZ
1401-10-17,2023-01-07,10700,حگهر,GTTZ
1401-10-18,2023-01-08,10840,حگهر,GTTZ
1401-10-19,2023-01-09,10980,حگهر,GTTZ
1401-10-20,2023-01-10,10790,حگهر,GTTZ
1401-10-21,2023-01-11,10880,حگهر,GTTZ
1401-10-24,2023-01-14,10880,حگهر,GTTZ
1401-10-26,2023-01-16,10890,حگهر,GTTZ
1401-10-27,2023-01-17,10810,حگهر,GTTZ
1401-10-28,2023-01-18,10860,حگهر,GTTZ
1401-11-01,2023-01-21,11400,حگهر,GTTZ
1401-11-02,2023-01-22,11290,حگهر,GTTZ
1401-11-03,2023-01-23,11610,حگهر,GTTZ
1401-11-04,2023-01-24,11250,حگهر,GTTZ
1401-11-05,2023-01-25,11540,حگهر,GTTZ
1401-11-08,2023-01-28,11600,حگهر,GTTZ
1401-11-09,2023-01-29,12000,حگهر,GTTZ
1401-11-10,2023-01-30,12000,حگهر,GTTZ
1401-11-11,2023-01-31,11630,حگهر,GTTZ
1401-11-12,2023-02-01,11640,حگهر,GTTZ
1401-11-16,2023-02-05,11670,حگهر,GTTZ
1401-11-17,2023-02-06,12000,حگهر,GTTZ
1401-11-18,2023-02-07,12170,حگهر,GTTZ
1401-11-19,2023-02-08,12460,حگهر,GTTZ
1401-11-23,2023-02-12,12580,حگهر,GTTZ
1401-11-24,2023-02-13,12870,حگهر,GTTZ
1401-11-25,2023-02-14,12800,حگهر,GTTZ
1401-11-26,2023-02-15,12960,حگهر,GTTZ
1401-11-30,2023-02-19,13150,حگهر,GTTZ
1401-12-01,2023-02-20,12660,حگهر,GTTZ
1401-12-02,2023-02-21,12380,حگهر,GTTZ
1401-12-03,2023-02-22,12000,حگهر,GTTZ
1401-12-06,2023-02-25,12410,حگهر,GTTZ
1401-12-07,2023-02-26,12350,حگهر,GTTZ
1401-12-08,2023-02-27,12350,حگهر,GTTZ
1401-12-09,2023-02-28,12640,حگهر,GTTZ
1401-12-10,2023-03-01,12210,حگهر,GTTZ
1401-12-13,2023-03-04,12000,حگهر,GTTZ
1401-12-14,2023-03-05,11900,حگهر,GTTZ
1401-12-15,2023-03-06,12000,حگهر,GTTZ
1401-12-16,2023-03-07,11930,حگهر,GTTZ
1401-12-20,2023-03-11,11950,حگهر,GTTZ
1401-12-21,2023-03-12,12140,حگهر,GTTZ
1401-12-22,2023-03-13,12000,حگهر,GTTZ
1401-12-23,2023-03-14,11900,حگهر,GTTZ
1401-12-24,2023-03-15,12070,حگهر,GTTZ
1401-12-27,2023-03-18,12500,حگهر,GTTZ
1401-12-28,2023-03-19,12540,حگهر,GTTZ
1402-01-05,2023-03-25,13180,حگهر,GTTZ
1402-01-06,2023-03-26,12450,حگهر,GTTZ
1402-01-07,2023-03-27,12600,حگهر,GTTZ
1402-01-08,2023-03-28,12590,حگهر,GTTZ
1402-01-09,2023-03-29,12830,حگهر,GTTZ
1402-01-14,2023-04-03,13170,حگهر,GTTZ
1402-01-15,2023-04-04,13210,حگهر,GTTZ
1402-01-16,2023-04-05,13250,حگهر,GTTZ
1402-01-19,2023-04-08,13690,حگهر,GTTZ
1402-01-20,2023-04-09,13780,حگهر,GTTZ
1402-01-21,2023-04-10,14650,حگهر,GTTZ
1402-01-22,2023-04-11,15060,حگهر,GTTZ
1402-01-26,2023-04-15,15550,حگهر,GTTZ
1402-01-27,2023-04-16,16000,حگهر,GTTZ
1402-01-28,2023-04-17,16280,حگهر,GTTZ
1402-01-29,2023-04-18,15990,حگهر,GTTZ
1402-01-30,2023-04-19,16000,حگهر,GTTZ
1402-02-04,2023-04-24,17300,حگهر,GTTZ
1402-02-05,2023-04-25,17200,حگهر,GTTZ
1402-02-06,2023-04-26,17000,حگهر,GTTZ
1402-02-09,2023-04-29,16860,حگهر,GTTZ
1402-02-10,2023-04-30,16500,حگهر,GTTZ
1402-02-11,2023-05-01,16400,حگهر,GTTZ
1402-02-12,2023-05-02,16500,حگهر,GTTZ
1402-02-13,2023-05-03,16510,حگهر,GTTZ
1402-02-16,2023-05-06,16440,حگهر,GTTZ
1402-02-17,2023-05-07,14970,حگهر,GTTZ
1402-02-18,2023-05-08,14200,حگهر,GTTZ
1402-02-19,2023-05-09,14800,حگهر,GTTZ
1402-02-20,2023-05-10,13980,حگهر,GTTZ
1402-02-23,2023-05-13,13560,حگهر,GTTZ
1402-02-24,2023-05-14,13680,حگهر,GTTZ
1402-02-25,2023-05-15,13950,حگهر,GTTZ
1402-02-27,2023-05-17,14540,حگهر,GTTZ
1402-02-30,2023-05-20,13980,حگهر,GTTZ
1402-02-31,2023-05-21,13640,حگهر,GTTZ
1402-03-01,2023-05-22,13640,حگهر,GTTZ
1402-03-02,2023-05-23,13840,حگهر,GTTZ
1402-03-03,2023-05-24,14120,حگهر,GTTZ
1402-03-06,2023-05-27,13900,حگهر,GTTZ
1402-03-07,2023-05-28,13630,حگهر,GTTZ
1402-03-08,2023-05-29,13350,حگهر,GTTZ
1402-03-09,2023-05-30,13400,حگهر,GTTZ
1402-03-10,2023-05-31,13750,حگهر,GTTZ
1402-03-13,2023-06-03,14470,حگهر,GTTZ
1402-03-16,2023-06-06,14640,حگهر,GTTZ
1402-03-17,2023-06-07,14540,حگهر,GTTZ
1402-03-20,2023-06-10,13640,حگهر,GTTZ
1402-03-21,2023-06-11,13780,حگهر,GTTZ
1402-03-22,2023-06-12,14280,حگهر,GTTZ
1402-03-23,2023-06-13,15160,حگهر,GTTZ
