J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-08-26,2018-11-17,2540,کگهر,GZIZ
1397-08-27,2018-11-18,2667,کگهر,GZIZ
1397-08-28,2018-11-19,2800,کگهر,GZIZ
1397-08-29,2018-11-20,2940,کگهر,GZIZ
1397-08-30,2018-11-21,3087,کگهر,GZIZ
1397-09-03,2018-11-24,3241,کگهر,GZIZ
1397-09-05,2018-11-26,3128,کگهر,GZIZ
1397-09-06,2018-11-27,3249,کگهر,GZIZ
1397-09-07,2018-11-28,3167,کگهر,GZIZ
1397-09-10,2018-12-01,3020,کگهر,GZIZ
1397-09-11,2018-12-02,3081,کگهر,GZIZ
1397-09-12,2018-12-03,3112,کگهر,GZIZ
1397-09-13,2018-12-04,3098,کگهر,GZIZ
1397-09-14,2018-12-05,3047,کگهر,GZIZ
1397-09-17,2018-12-08,2995,کگهر,GZIZ
1397-09-18,2018-12-09,2953,کگهر,GZIZ
1397-09-19,2018-12-10,3027,کگهر,GZIZ
1397-09-21,2018-12-12,2970,کگهر,GZIZ
1397-09-24,2018-12-15,2936,کگهر,GZIZ
1397-09-25,2018-12-16,2850,کگهر,GZIZ
1397-09-26,2018-12-17,2794,کگهر,GZIZ
1397-09-27,2018-12-18,2820,کگهر,GZIZ
1397-09-28,2018-12-19,2761,کگهر,GZIZ
1397-10-01,2018-12-22,2726,کگهر,GZIZ
1397-10-02,2018-12-23,2850,کگهر,GZIZ
1397-10-03,2018-12-24,2857,کگهر,GZIZ
1397-10-08,2018-12-29,2876,کگهر,GZIZ
1397-10-09,2018-12-30,2869,کگهر,GZIZ
1397-10-10,2018-12-31,2924,کگهر,GZIZ
1397-10-11,2019-01-01,3026,کگهر,GZIZ
1397-10-12,2019-01-02,3014,کگهر,GZIZ
1397-10-15,2019-01-05,2949,کگهر,GZIZ
1397-10-16,2019-01-06,2988,کگهر,GZIZ
1397-10-17,2019-01-07,2959,کگهر,GZIZ
1397-10-18,2019-01-08,2999,کگهر,GZIZ
1397-10-19,2019-01-09,2988,کگهر,GZIZ
1397-10-22,2019-01-12,2970,کگهر,GZIZ
1397-10-23,2019-01-13,2957,کگهر,GZIZ
1397-10-24,2019-01-14,2977,کگهر,GZIZ
1397-10-25,2019-01-15,2951,کگهر,GZIZ
1397-10-26,2019-01-16,2936,کگهر,GZIZ
1397-10-29,2019-01-19,2967,کگهر,GZIZ
1397-10-30,2019-01-20,2962,کگهر,GZIZ
1397-11-01,2019-01-21,2951,کگهر,GZIZ
1397-11-02,2019-01-22,2951,کگهر,GZIZ
1397-11-03,2019-01-23,2924,کگهر,GZIZ
1397-11-06,2019-01-26,2914,کگهر,GZIZ
1397-11-07,2019-01-27,2890,کگهر,GZIZ
1397-11-08,2019-01-28,2867,کگهر,GZIZ
1397-11-09,2019-01-29,2843,کگهر,GZIZ
1397-11-10,2019-01-30,2853,کگهر,GZIZ
1397-11-13,2019-02-02,2902,کگهر,GZIZ
1397-11-14,2019-02-03,2887,کگهر,GZIZ
1397-11-15,2019-02-04,2878,کگهر,GZIZ
1397-11-16,2019-02-05,2848,کگهر,GZIZ
1397-11-17,2019-02-06,2838,کگهر,GZIZ
1397-11-21,2019-02-10,2861,کگهر,GZIZ
1397-11-23,2019-02-12,2878,کگهر,GZIZ
1397-11-24,2019-02-13,2865,کگهر,GZIZ
1397-11-27,2019-02-16,2868,کگهر,GZIZ
1397-11-28,2019-02-17,2875,کگهر,GZIZ
1397-11-29,2019-02-18,2902,کگهر,GZIZ
1397-11-30,2019-02-19,2989,کگهر,GZIZ
1397-12-01,2019-02-20,3044,کگهر,GZIZ
1397-12-04,2019-02-23,3191,کگهر,GZIZ
1397-12-05,2019-02-24,3175,کگهر,GZIZ
1397-12-06,2019-02-25,3151,کگهر,GZIZ
1397-12-07,2019-02-26,3070,کگهر,GZIZ
1397-12-08,2019-02-27,3115,کگهر,GZIZ
1397-12-11,2019-03-02,3044,کگهر,GZIZ
1397-12-12,2019-03-03,3100,کگهر,GZIZ
1397-12-13,2019-03-04,3063,کگهر,GZIZ
1397-12-14,2019-03-05,2999,کگهر,GZIZ
1397-12-15,2019-03-06,3081,کگهر,GZIZ
1397-12-18,2019-03-09,3100,کگهر,GZIZ
1397-12-19,2019-03-10,3089,کگهر,GZIZ
1397-12-20,2019-03-11,3156,کگهر,GZIZ
1397-12-21,2019-03-12,3096,کگهر,GZIZ
1397-12-22,2019-03-13,3155,کگهر,GZIZ
1397-12-25,2019-03-16,3212,کگهر,GZIZ
