J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-10-18,2012-01-08,169,حفارس,HFRS
1390-10-19,2012-01-09,176,حفارس,HFRS
1390-10-20,2012-01-10,177,حفارس,HFRS
1390-10-21,2012-01-11,177,حفارس,HFRS
1390-10-25,2012-01-15,178,حفارس,HFRS
1390-10-26,2012-01-16,178,حفارس,HFRS
1390-10-27,2012-01-17,196,حفارس,HFRS
1390-10-28,2012-01-18,203,حفارس,HFRS
1390-11-01,2012-01-21,211,حفارس,HFRS
1390-11-03,2012-01-23,211,حفارس,HFRS
1390-11-05,2012-01-25,207,حفارس,HFRS
1390-11-12,2012-02-01,172,حفارس,HFRS
1390-11-15,2012-02-04,176,حفارس,HFRS
1390-11-16,2012-02-05,167,حفارس,HFRS
1390-11-17,2012-02-06,165,حفارس,HFRS
1390-11-18,2012-02-07,158,حفارس,HFRS
1390-11-19,2012-02-08,152,حفارس,HFRS
1390-11-23,2012-02-12,152,حفارس,HFRS
1390-11-24,2012-02-13,152,حفارس,HFRS
1390-11-25,2012-02-14,152,حفارس,HFRS
1390-12-03,2012-02-22,154,حفارس,HFRS
1390-12-06,2012-02-25,158,حفارس,HFRS
1390-12-07,2012-02-26,161,حفارس,HFRS
1390-12-08,2012-02-27,163,حفارس,HFRS
1390-12-09,2012-02-28,163,حفارس,HFRS
1390-12-10,2012-02-29,164,حفارس,HFRS
1390-12-13,2012-03-03,177,حفارس,HFRS
1390-12-14,2012-03-04,183,حفارس,HFRS
1390-12-15,2012-03-05,176,حفارس,HFRS
1390-12-16,2012-03-06,170,حفارس,HFRS
1390-12-17,2012-03-07,164,حفارس,HFRS
1390-12-20,2012-03-10,161,حفارس,HFRS
1390-12-21,2012-03-11,163,حفارس,HFRS
1390-12-22,2012-03-12,157,حفارس,HFRS
1390-12-23,2012-03-13,157,حفارس,HFRS
1390-12-24,2012-03-14,154,حفارس,HFRS
1390-12-27,2012-03-17,158,حفارس,HFRS
1390-12-28,2012-03-18,155,حفارس,HFRS
1391-01-05,2012-03-24,163,حفارس,HFRS
1391-01-06,2012-03-25,162,حفارس,HFRS
1391-01-07,2012-03-26,158,حفارس,HFRS
1391-01-08,2012-03-27,158,حفارس,HFRS
1391-01-09,2012-03-28,161,حفارس,HFRS
1391-01-14,2012-04-02,163,حفارس,HFRS
1391-01-15,2012-04-03,169,حفارس,HFRS
1391-01-16,2012-04-04,164,حفارس,HFRS
1391-01-19,2012-04-07,162,حفارس,HFRS
1391-01-20,2012-04-08,157,حفارس,HFRS
1391-01-21,2012-04-09,157,حفارس,HFRS
1391-01-22,2012-04-10,151,حفارس,HFRS
1391-01-23,2012-04-11,150,حفارس,HFRS
1391-01-26,2012-04-14,150,حفارس,HFRS
1391-01-27,2012-04-15,153,حفارس,HFRS
1391-01-28,2012-04-16,152,حفارس,HFRS
1391-01-29,2012-04-17,150,حفارس,HFRS
1391-02-04,2012-04-23,156,حفارس,HFRS
