J-Date,Date,Adj Close,Ticker,Ticker(4)
1393-05-12,2014-08-03,114,وحافظ,HFZP
1393-08-27,2014-11-18,117,وحافظ,HFZP
1393-09-02,2014-11-23,117,وحافظ,HFZP
1394-11-14,2016-02-03,117,وحافظ,HFZP
1395-02-01,2016-04-20,117,وحافظ,HFZP
1395-02-13,2016-05-02,117,وحافظ,HFZP
1395-02-18,2016-05-07,117,وحافظ,HFZP
1395-02-21,2016-05-10,123,وحافظ,HFZP
1395-02-26,2016-05-15,129,وحافظ,HFZP
1395-03-05,2016-05-25,136,وحافظ,HFZP
1395-03-12,2016-06-01,142,وحافظ,HFZP
1395-03-18,2016-06-07,148,وحافظ,HFZP
1395-03-23,2016-06-12,158,وحافظ,HFZP
1395-03-24,2016-06-13,158,وحافظ,HFZP
1395-03-26,2016-06-15,159,وحافظ,HFZP
1395-03-29,2016-06-18,161,وحافظ,HFZP
1395-04-21,2016-07-11,176,وحافظ,HFZP
1395-04-22,2016-07-12,176,وحافظ,HFZP
1395-04-23,2016-07-13,187,وحافظ,HFZP
1395-07-11,2016-10-02,189,وحافظ,HFZP
1395-07-24,2016-10-15,190,وحافظ,HFZP
1395-08-11,2016-11-01,188,وحافظ,HFZP
1395-08-17,2016-11-07,191,وحافظ,HFZP
1395-09-03,2016-11-23,191,وحافظ,HFZP
1395-09-15,2016-12-05,190,وحافظ,HFZP
1395-12-02,2017-02-20,187,وحافظ,HFZP
1396-01-15,2017-04-04,191,وحافظ,HFZP
1396-02-02,2017-04-22,191,وحافظ,HFZP
1396-03-07,2017-05-28,198,وحافظ,HFZP
1396-03-22,2017-06-12,206,وحافظ,HFZP
1396-03-27,2017-06-17,206,وحافظ,HFZP
1396-04-12,2017-07-03,198,وحافظ,HFZP
1396-04-13,2017-07-04,220,وحافظ,HFZP
1396-04-17,2017-07-08,218,وحافظ,HFZP
1396-04-18,2017-07-09,239,وحافظ,HFZP
1396-04-19,2017-07-10,263,وحافظ,HFZP
1396-04-20,2017-07-11,290,وحافظ,HFZP
1396-04-21,2017-07-12,316,وحافظ,HFZP
1396-04-24,2017-07-15,342,وحافظ,HFZP
1396-04-26,2017-07-17,367,وحافظ,HFZP
1396-04-27,2017-07-18,352,وحافظ,HFZP
1396-06-15,2017-09-06,294,وحافظ,HFZP
1396-06-20,2017-09-11,246,وحافظ,HFZP
1396-06-22,2017-09-13,235,وحافظ,HFZP
1396-06-27,2017-09-18,246,وحافظ,HFZP
1396-06-29,2017-09-20,251,وحافظ,HFZP
1396-07-01,2017-09-23,269,وحافظ,HFZP
1396-07-03,2017-09-25,266,وحافظ,HFZP
1396-07-04,2017-09-26,248,وحافظ,HFZP
1396-07-05,2017-09-27,259,وحافظ,HFZP
1396-07-10,2017-10-02,284,وحافظ,HFZP
1396-07-11,2017-10-03,265,وحافظ,HFZP
1396-07-12,2017-10-04,294,وحافظ,HFZP
1396-07-15,2017-10-07,244,وحافظ,HFZP
1396-07-19,2017-10-11,224,وحافظ,HFZP
1396-07-22,2017-10-14,255,وحافظ,HFZP
1396-07-23,2017-10-15,242,وحافظ,HFZP
1396-07-24,2017-10-16,229,وحافظ,HFZP
1396-07-25,2017-10-17,250,وحافظ,HFZP
1396-07-26,2017-10-18,242,وحافظ,HFZP
1396-07-29,2017-10-21,250,وحافظ,HFZP
1396-07-30,2017-10-22,220,وحافظ,HFZP
1396-08-01,2017-10-23,249,وحافظ,HFZP
1396-08-02,2017-10-24,261,وحافظ,HFZP
1396-08-03,2017-10-25,272,وحافظ,HFZP
1396-08-06,2017-10-28,259,وحافظ,HFZP
1396-08-07,2017-10-29,257,وحافظ,HFZP
1396-08-08,2017-10-30,257,وحافظ,HFZP
1396-08-09,2017-10-31,254,وحافظ,HFZP
1396-08-10,2017-11-01,265,وحافظ,HFZP
1396-08-13,2017-11-04,250,وحافظ,HFZP
1396-08-14,2017-11-05,246,وحافظ,HFZP
1396-08-16,2017-11-07,266,وحافظ,HFZP
1396-08-17,2017-11-08,285,وحافظ,HFZP
1396-08-20,2017-11-11,252,وحافظ,HFZP
1396-08-22,2017-11-13,263,وحافظ,HFZP
1396-09-11,2017-12-02,255,وحافظ,HFZP
1396-09-13,2017-12-04,254,وحافظ,HFZP
1396-09-14,2017-12-05,263,وحافظ,HFZP
1396-09-18,2017-12-09,240,وحافظ,HFZP
1396-09-20,2017-12-11,228,وحافظ,HFZP
1396-09-21,2017-12-12,242,وحافظ,HFZP
1396-09-22,2017-12-13,228,وحافظ,HFZP
1396-09-25,2017-12-16,230,وحافظ,HFZP
1396-09-27,2017-12-18,230,وحافظ,HFZP
1396-09-28,2017-12-19,253,وحافظ,HFZP
1396-10-02,2017-12-23,235,وحافظ,HFZP
1396-10-03,2017-12-24,223,وحافظ,HFZP
1396-10-04,2017-12-25,223,وحافظ,HFZP
1396-10-06,2017-12-27,245,وحافظ,HFZP
1396-10-09,2017-12-30,252,وحافظ,HFZP
1396-10-10,2017-12-31,242,وحافظ,HFZP
1396-10-11,2018-01-01,242,وحافظ,HFZP
1396-10-12,2018-01-02,235,وحافظ,HFZP
1396-10-13,2018-01-03,243,وحافظ,HFZP
1396-10-17,2018-01-07,261,وحافظ,HFZP
1396-10-18,2018-01-08,267,وحافظ,HFZP
1396-10-20,2018-01-10,254,وحافظ,HFZP
1396-10-27,2018-01-17,256,وحافظ,HFZP
1396-11-01,2018-01-21,259,وحافظ,HFZP
1396-11-02,2018-01-22,259,وحافظ,HFZP
1396-11-03,2018-01-23,259,وحافظ,HFZP
1396-11-04,2018-01-24,285,وحافظ,HFZP
1396-11-07,2018-01-27,295,وحافظ,HFZP
1396-11-08,2018-01-28,326,وحافظ,HFZP
1396-11-09,2018-01-29,338,وحافظ,HFZP
1396-11-10,2018-01-30,292,وحافظ,HFZP
1396-11-11,2018-01-31,297,وحافظ,HFZP
1396-11-14,2018-02-03,290,وحافظ,HFZP
1396-11-15,2018-02-04,281,وحافظ,HFZP
1396-11-16,2018-02-05,297,وحافظ,HFZP
1396-11-17,2018-02-06,316,وحافظ,HFZP
1396-11-18,2018-02-07,290,وحافظ,HFZP
1396-11-21,2018-02-10,260,وحافظ,HFZP
1396-11-23,2018-02-12,242,وحافظ,HFZP
1396-11-24,2018-02-13,263,وحافظ,HFZP
1396-11-25,2018-02-14,250,وحافظ,HFZP
1396-11-28,2018-02-17,249,وحافظ,HFZP
1396-11-29,2018-02-18,243,وحافظ,HFZP
1396-11-30,2018-02-19,242,وحافظ,HFZP
1396-12-02,2018-02-21,243,وحافظ,HFZP
1396-12-05,2018-02-24,241,وحافظ,HFZP
1396-12-06,2018-02-25,260,وحافظ,HFZP
1396-12-07,2018-02-26,261,وحافظ,HFZP
1396-12-08,2018-02-27,247,وحافظ,HFZP
1396-12-09,2018-02-28,244,وحافظ,HFZP
1396-12-12,2018-03-03,249,وحافظ,HFZP
1396-12-13,2018-03-04,249,وحافظ,HFZP
1396-12-14,2018-03-05,242,وحافظ,HFZP
1396-12-15,2018-03-06,243,وحافظ,HFZP
1396-12-16,2018-03-07,235,وحافظ,HFZP
1396-12-19,2018-03-10,242,وحافظ,HFZP
1396-12-20,2018-03-11,223,وحافظ,HFZP
1396-12-21,2018-03-12,221,وحافظ,HFZP
1396-12-22,2018-03-13,221,وحافظ,HFZP
1396-12-23,2018-03-14,221,وحافظ,HFZP
1397-01-05,2018-03-25,222,وحافظ,HFZP
1397-01-07,2018-03-27,221,وحافظ,HFZP
1397-01-14,2018-04-03,222,وحافظ,HFZP
1397-01-15,2018-04-04,221,وحافظ,HFZP
1397-01-18,2018-04-07,225,وحافظ,HFZP
1397-01-19,2018-04-08,218,وحافظ,HFZP
1397-01-21,2018-04-10,214,وحافظ,HFZP
1397-01-22,2018-04-11,228,وحافظ,HFZP
1397-01-26,2018-04-15,219,وحافظ,HFZP
1397-01-28,2018-04-17,242,وحافظ,HFZP
1397-01-29,2018-04-18,218,وحافظ,HFZP
1397-02-01,2018-04-21,222,وحافظ,HFZP
1397-02-02,2018-04-22,228,وحافظ,HFZP
1397-02-03,2018-04-23,250,وحافظ,HFZP
1397-02-04,2018-04-24,257,وحافظ,HFZP
1397-02-05,2018-04-25,246,وحافظ,HFZP
1397-02-08,2018-04-28,252,وحافظ,HFZP
1397-02-09,2018-04-29,227,وحافظ,HFZP
1397-02-10,2018-04-30,259,وحافظ,HFZP
1397-02-11,2018-05-01,256,وحافظ,HFZP
1397-02-15,2018-05-05,249,وحافظ,HFZP
1397-02-16,2018-05-06,244,وحافظ,HFZP
1397-02-17,2018-05-07,240,وحافظ,HFZP
1397-02-18,2018-05-08,230,وحافظ,HFZP
1397-02-23,2018-05-13,237,وحافظ,HFZP
1397-02-24,2018-05-14,253,وحافظ,HFZP
1397-02-25,2018-05-15,218,وحافظ,HFZP
1397-02-29,2018-05-19,218,وحافظ,HFZP
1397-02-30,2018-05-20,211,وحافظ,HFZP
1397-02-31,2018-05-21,222,وحافظ,HFZP
1397-03-01,2018-05-22,214,وحافظ,HFZP
1397-03-02,2018-05-23,235,وحافظ,HFZP
1397-03-05,2018-05-26,243,وحافظ,HFZP
1397-03-06,2018-05-27,250,وحافظ,HFZP
1397-03-07,2018-05-28,249,وحافظ,HFZP
1397-03-08,2018-05-29,241,وحافظ,HFZP
1397-03-09,2018-05-30,225,وحافظ,HFZP
1397-03-12,2018-06-02,235,وحافظ,HFZP
