J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-12-24,2022-03-15,3935,بهیر,HIRP
1400-12-25,2022-03-16,4052,بهیر,HIRP
1400-12-28,2022-03-19,4174,بهیر,HIRP
1401-01-06,2022-03-26,4298,بهیر,HIRP
1401-01-07,2022-03-27,4512,بهیر,HIRP
1401-01-09,2022-03-29,4646,بهیر,HIRP
1401-01-10,2022-03-30,4784,بهیر,HIRP
1401-01-14,2022-04-03,4928,بهیر,HIRP
1401-01-15,2022-04-04,5083,بهیر,HIRP
1401-01-16,2022-04-05,5235,بهیر,HIRP
1401-01-17,2022-04-06,5391,بهیر,HIRP
1401-01-20,2022-04-09,5549,بهیر,HIRP
1401-01-21,2022-04-10,5818,بهیر,HIRP
1401-01-22,2022-04-11,5937,بهیر,HIRP
1401-01-23,2022-04-12,6106,بهیر,HIRP
1401-02-10,2022-04-30,6286,بهیر,HIRP
1401-02-11,2022-05-01,6425,بهیر,HIRP
1401-02-12,2022-05-02,6615,بهیر,HIRP
1401-02-17,2022-05-07,6804,بهیر,HIRP
1401-02-18,2022-05-08,7003,بهیر,HIRP
1401-02-19,2022-05-09,7182,بهیر,HIRP
1401-02-20,2022-05-10,7392,بهیر,HIRP
1401-02-21,2022-05-11,7332,بهیر,HIRP
1401-02-24,2022-05-14,7192,بهیر,HIRP
1401-02-25,2022-05-15,7153,بهیر,HIRP
1401-02-26,2022-05-16,6884,بهیر,HIRP
1401-02-27,2022-05-17,7093,بهیر,HIRP
1401-02-28,2022-05-18,7302,بهیر,HIRP
1401-02-31,2022-05-21,7481,بهیر,HIRP
1401-03-01,2022-05-22,7700,بهیر,HIRP
1401-03-02,2022-05-23,7930,بهیر,HIRP
1401-03-03,2022-05-24,7870,بهیر,HIRP
1401-03-04,2022-05-25,8099,بهیر,HIRP
1401-03-07,2022-05-28,8338,بهیر,HIRP
1401-03-08,2022-05-29,8587,بهیر,HIRP
1401-03-09,2022-05-30,8836,بهیر,HIRP
1401-03-28,2022-06-18,9095,بهیر,HIRP
1401-03-29,2022-06-19,9045,بهیر,HIRP
1401-03-30,2022-06-20,9314,بهیر,HIRP
1401-03-31,2022-06-21,9583,بهیر,HIRP
1401-04-01,2022-06-22,9673,بهیر,HIRP
1401-04-04,2022-06-25,9962,بهیر,HIRP
1401-04-05,2022-06-26,10261,بهیر,HIRP
1401-04-06,2022-06-27,10530,بهیر,HIRP
1401-04-07,2022-06-28,10619,بهیر,HIRP
1401-04-08,2022-06-29,10928,بهیر,HIRP
1401-04-11,2022-07-02,11247,بهیر,HIRP
1401-04-12,2022-07-03,11576,بهیر,HIRP
1401-04-13,2022-07-04,11915,بهیر,HIRP
1401-04-14,2022-07-05,12263,بهیر,HIRP
1401-04-15,2022-07-06,12622,بهیر,HIRP
1401-04-18,2022-07-09,13000,بهیر,HIRP
1401-04-20,2022-07-11,13269,بهیر,HIRP
1401-05-10,2022-08-01,13100,بهیر,HIRP
1401-05-11,2022-08-02,13040,بهیر,HIRP
1401-05-12,2022-08-03,13110,بهیر,HIRP
1401-05-15,2022-08-06,12720,بهیر,HIRP
1401-05-18,2022-08-09,12340,بهیر,HIRP
1401-05-19,2022-08-10,11970,بهیر,HIRP
1401-05-22,2022-08-13,11620,بهیر,HIRP
1401-05-23,2022-08-14,11280,بهیر,HIRP
1401-05-24,2022-08-15,11150,بهیر,HIRP
1401-05-25,2022-08-16,10700,بهیر,HIRP
1401-05-26,2022-08-17,10600,بهیر,HIRP
1401-05-29,2022-08-20,10290,بهیر,HIRP
1401-05-30,2022-08-21,10070,بهیر,HIRP
1401-05-31,2022-08-22,10580,بهیر,HIRP
1401-06-01,2022-08-23,10530,بهیر,HIRP
1401-06-02,2022-08-24,10600,بهیر,HIRP
1401-06-05,2022-08-27,10770,بهیر,HIRP
1401-06-06,2022-08-28,10140,بهیر,HIRP
1401-06-07,2022-08-29,10040,بهیر,HIRP
1401-06-08,2022-08-30,10120,بهیر,HIRP
1401-06-09,2022-08-31,10250,بهیر,HIRP
1401-06-12,2022-09-03,9930,بهیر,HIRP
1401-06-13,2022-09-04,10040,بهیر,HIRP
1401-06-14,2022-09-05,10080,بهیر,HIRP
1401-06-15,2022-09-06,9800,بهیر,HIRP
1401-06-16,2022-09-07,9570,بهیر,HIRP
1401-06-19,2022-09-10,9340,بهیر,HIRP
1401-06-20,2022-09-11,9230,بهیر,HIRP
1401-06-21,2022-09-12,9190,بهیر,HIRP
1401-06-22,2022-09-13,9180,بهیر,HIRP
1401-06-23,2022-09-14,9170,بهیر,HIRP
1401-06-27,2022-09-18,9160,بهیر,HIRP
1401-06-28,2022-09-19,9130,بهیر,HIRP
1401-06-29,2022-09-20,8930,بهیر,HIRP
1401-06-30,2022-09-21,9100,بهیر,HIRP
1401-07-02,2022-09-24,9100,بهیر,HIRP
1401-07-04,2022-09-26,9100,بهیر,HIRP
1401-07-06,2022-09-28,9100,بهیر,HIRP
1401-07-09,2022-10-01,9090,بهیر,HIRP
1401-07-10,2022-10-02,8910,بهیر,HIRP
1401-07-12,2022-10-04,9080,بهیر,HIRP
1401-07-16,2022-10-08,9080,بهیر,HIRP
1401-07-17,2022-10-09,9080,بهیر,HIRP
1401-07-18,2022-10-10,9080,بهیر,HIRP
1401-07-19,2022-10-11,8900,بهیر,HIRP
1401-07-20,2022-10-12,9050,بهیر,HIRP
1401-07-23,2022-10-15,9050,بهیر,HIRP
1401-07-24,2022-10-16,8780,بهیر,HIRP
1401-07-25,2022-10-17,8570,بهیر,HIRP
1401-07-26,2022-10-18,8410,بهیر,HIRP
1401-07-27,2022-10-19,8410,بهیر,HIRP
1401-07-30,2022-10-22,8410,بهیر,HIRP
1401-08-02,2022-10-24,8410,بهیر,HIRP
1401-08-03,2022-10-25,8230,بهیر,HIRP
1401-08-07,2022-10-29,8390,بهیر,HIRP
1401-08-08,2022-10-30,8390,بهیر,HIRP
1401-08-09,2022-10-31,8390,بهیر,HIRP
1401-08-10,2022-11-01,8390,بهیر,HIRP
1401-08-11,2022-11-02,8210,بهیر,HIRP
1401-08-14,2022-11-05,8380,بهیر,HIRP
1401-08-15,2022-11-06,8380,بهیر,HIRP
1401-08-16,2022-11-07,8380,بهیر,HIRP
1401-08-17,2022-11-08,8380,بهیر,HIRP
1401-08-18,2022-11-09,8380,بهیر,HIRP
1401-08-21,2022-11-12,8140,بهیر,HIRP
1401-08-22,2022-11-13,7960,بهیر,HIRP
1401-08-23,2022-11-14,7710,بهیر,HIRP
1401-08-24,2022-11-15,7530,بهیر,HIRP
1401-08-25,2022-11-16,7740,بهیر,HIRP
1401-08-28,2022-11-19,7470,بهیر,HIRP
1401-08-29,2022-11-20,7310,بهیر,HIRP
1401-08-30,2022-11-21,7160,بهیر,HIRP
1401-09-01,2022-11-22,7060,بهیر,HIRP
1401-09-02,2022-11-23,7080,بهیر,HIRP
1401-09-05,2022-11-26,7260,بهیر,HIRP
1401-09-06,2022-11-27,7420,بهیر,HIRP
1401-09-07,2022-11-28,7530,بهیر,HIRP
1401-09-08,2022-11-29,7760,بهیر,HIRP
1401-09-09,2022-11-30,7800,بهیر,HIRP
