J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-12-17,2004-03-07,276,حپترو,HJPT
1382-12-19,2004-03-09,290,حپترو,HJPT
1382-12-20,2004-03-10,304,حپترو,HJPT
1382-12-23,2004-03-13,290,حپترو,HJPT
1382-12-24,2004-03-14,284,حپترو,HJPT
1382-12-25,2004-03-15,280,حپترو,HJPT
1382-12-26,2004-03-16,271,حپترو,HJPT
1382-12-27,2004-03-17,260,حپترو,HJPT
1383-01-09,2004-03-28,253,حپترو,HJPT
1383-01-10,2004-03-29,242,حپترو,HJPT
1383-01-11,2004-03-30,242,حپترو,HJPT
1383-01-15,2004-04-03,247,حپترو,HJPT
1383-01-16,2004-04-04,252,حپترو,HJPT
1383-01-17,2004-04-05,259,حپترو,HJPT
1383-01-18,2004-04-06,260,حپترو,HJPT
1383-01-19,2004-04-07,273,حپترو,HJPT
1383-01-22,2004-04-10,278,حپترو,HJPT
1383-01-24,2004-04-12,278,حپترو,HJPT
1383-01-25,2004-04-13,275,حپترو,HJPT
1383-01-30,2004-04-18,263,حپترو,HJPT
1383-02-02,2004-04-21,261,حپترو,HJPT
1383-02-05,2004-04-24,259,حپترو,HJPT
1383-02-06,2004-04-25,258,حپترو,HJPT
1383-02-07,2004-04-26,258,حپترو,HJPT
1383-02-08,2004-04-27,258,حپترو,HJPT
1383-02-12,2004-05-01,251,حپترو,HJPT
1383-02-13,2004-05-02,250,حپترو,HJPT
1383-02-14,2004-05-03,250,حپترو,HJPT
1383-02-15,2004-05-04,250,حپترو,HJPT
1383-02-16,2004-05-05,248,حپترو,HJPT
1383-02-19,2004-05-08,248,حپترو,HJPT
1383-02-20,2004-05-09,247,حپترو,HJPT
1383-02-21,2004-05-10,247,حپترو,HJPT
1383-02-22,2004-05-11,247,حپترو,HJPT
1383-02-26,2004-05-15,247,حپترو,HJPT
1383-02-27,2004-05-16,247,حپترو,HJPT
1383-02-28,2004-05-17,247,حپترو,HJPT
1383-02-29,2004-05-18,247,حپترو,HJPT
1383-02-30,2004-05-19,244,حپترو,HJPT
1383-03-02,2004-05-22,244,حپترو,HJPT
1383-03-03,2004-05-23,243,حپترو,HJPT
1383-03-05,2004-05-25,240,حپترو,HJPT
1383-03-06,2004-05-26,239,حپترو,HJPT
1383-03-09,2004-05-29,238,حپترو,HJPT
1383-03-10,2004-05-30,238,حپترو,HJPT
1383-03-11,2004-05-31,240,حپترو,HJPT
1383-03-12,2004-06-01,241,حپترو,HJPT
1383-03-13,2004-06-02,253,حپترو,HJPT
1383-03-16,2004-06-05,253,حپترو,HJPT
1383-03-17,2004-06-06,266,حپترو,HJPT
1383-03-18,2004-06-07,278,حپترو,HJPT
1383-03-19,2004-06-08,287,حپترو,HJPT
1383-03-20,2004-06-09,289,حپترو,HJPT
1383-03-23,2004-06-12,282,حپترو,HJPT
1383-03-24,2004-06-13,282,حپترو,HJPT
1383-07-05,2004-09-26,294,حپترو,HJPT
1383-07-06,2004-09-27,294,حپترو,HJPT
1383-07-07,2004-09-28,292,حپترو,HJPT
1383-07-08,2004-09-29,292,حپترو,HJPT
1383-07-11,2004-10-02,292,حپترو,HJPT
1383-07-12,2004-10-03,291,حپترو,HJPT
1383-07-15,2004-10-06,289,حپترو,HJPT
1383-07-18,2004-10-09,289,حپترو,HJPT
1383-07-28,2004-10-19,291,حپترو,HJPT
1383-07-29,2004-10-20,290,حپترو,HJPT
1383-08-02,2004-10-23,290,حپترو,HJPT
1383-08-04,2004-10-25,287,حپترو,HJPT
1383-08-05,2004-10-26,286,حپترو,HJPT
1383-08-06,2004-10-27,277,حپترو,HJPT
1383-08-09,2004-10-30,273,حپترو,HJPT
1383-08-11,2004-11-01,259,حپترو,HJPT
1383-08-13,2004-11-03,261,حپترو,HJPT
1383-08-16,2004-11-06,274,حپترو,HJPT
1383-08-18,2004-11-08,275,حپترو,HJPT
1383-08-19,2004-11-09,276,حپترو,HJPT
1383-08-20,2004-11-10,286,حپترو,HJPT
1383-08-23,2004-11-13,292,حپترو,HJPT
1383-08-26,2004-11-16,306,حپترو,HJPT
1383-08-27,2004-11-17,320,حپترو,HJPT
1383-08-30,2004-11-20,326,حپترو,HJPT
1383-09-01,2004-11-21,330,حپترو,HJPT
1383-09-02,2004-11-22,341,حپترو,HJPT
1383-09-03,2004-11-23,358,حپترو,HJPT
1383-09-04,2004-11-24,376,حپترو,HJPT
1383-09-07,2004-11-27,372,حپترو,HJPT
1383-09-08,2004-11-28,367,حپترو,HJPT
1383-09-09,2004-11-29,359,حپترو,HJPT
1383-09-10,2004-11-30,352,حپترو,HJPT
1383-09-11,2004-12-01,355,حپترو,HJPT
1383-09-14,2004-12-04,350,حپترو,HJPT
1383-09-15,2004-12-05,345,حپترو,HJPT
1383-09-16,2004-12-06,345,حپترو,HJPT
1383-09-17,2004-12-07,345,حپترو,HJPT
1383-09-22,2004-12-12,345,حپترو,HJPT
1383-09-23,2004-12-13,344,حپترو,HJPT
1383-09-24,2004-12-14,344,حپترو,HJPT
1383-09-25,2004-12-15,343,حپترو,HJPT
1383-09-28,2004-12-18,331,حپترو,HJPT
1383-09-29,2004-12-19,328,حپترو,HJPT
1383-09-30,2004-12-20,335,حپترو,HJPT
1383-10-01,2004-12-21,347,حپترو,HJPT
1383-10-02,2004-12-22,364,حپترو,HJPT
1383-10-06,2004-12-26,383,حپترو,HJPT
