J-Date,Date,Adj Close,Ticker,Ticker(4)
1389-09-28,2010-12-19,205,همراه,HMRZ
1389-09-29,2010-12-20,215,همراه,HMRZ
1389-09-30,2010-12-21,226,همراه,HMRZ
1389-10-01,2010-12-22,223,همراه,HMRZ
1389-10-04,2010-12-25,221,همراه,HMRZ
1389-10-05,2010-12-26,221,همراه,HMRZ
1389-10-06,2010-12-27,216,همراه,HMRZ
1389-10-07,2010-12-28,215,همراه,HMRZ
1389-10-08,2010-12-29,221,همراه,HMRZ
1389-10-11,2011-01-01,219,همراه,HMRZ
1389-10-12,2011-01-02,220,همراه,HMRZ
1389-10-13,2011-01-03,226,همراه,HMRZ
1389-10-14,2011-01-04,232,همراه,HMRZ
1389-10-15,2011-01-05,236,همراه,HMRZ
1389-10-18,2011-01-08,235,همراه,HMRZ
1389-10-19,2011-01-09,237,همراه,HMRZ
1389-10-20,2011-01-10,237,همراه,HMRZ
1389-10-21,2011-01-11,240,همراه,HMRZ
1389-12-01,2011-02-20,250,همراه,HMRZ
1389-12-03,2011-02-22,252,همراه,HMRZ
1389-12-04,2011-02-23,256,همراه,HMRZ
1389-12-07,2011-02-26,258,همراه,HMRZ
1389-12-08,2011-02-27,260,همراه,HMRZ
1389-12-09,2011-02-28,256,همراه,HMRZ
1389-12-10,2011-03-01,252,همراه,HMRZ
1389-12-11,2011-03-02,253,همراه,HMRZ
1389-12-14,2011-03-05,253,همراه,HMRZ
1389-12-15,2011-03-06,253,همراه,HMRZ
1389-12-16,2011-03-07,252,همراه,HMRZ
1389-12-17,2011-03-08,254,همراه,HMRZ
1389-12-18,2011-03-09,258,همراه,HMRZ
1389-12-21,2011-03-12,258,همراه,HMRZ
1389-12-22,2011-03-13,261,همراه,HMRZ
1389-12-23,2011-03-14,266,همراه,HMRZ
1389-12-24,2011-03-15,272,همراه,HMRZ
1389-12-25,2011-03-16,284,همراه,HMRZ
1389-12-28,2011-03-19,287,همراه,HMRZ
1390-01-06,2011-03-26,302,همراه,HMRZ
1390-01-07,2011-03-27,300,همراه,HMRZ
1390-01-08,2011-03-28,303,همراه,HMRZ
1390-01-09,2011-03-29,305,همراه,HMRZ
1390-01-10,2011-03-30,296,همراه,HMRZ
1390-01-14,2011-04-03,294,همراه,HMRZ
1390-01-15,2011-04-04,306,همراه,HMRZ
1390-01-16,2011-04-05,308,همراه,HMRZ
1390-01-17,2011-04-06,309,همراه,HMRZ
1390-01-20,2011-04-09,294,همراه,HMRZ
1390-01-21,2011-04-10,297,همراه,HMRZ
1390-01-22,2011-04-11,299,همراه,HMRZ
1390-01-23,2011-04-12,308,همراه,HMRZ
1390-01-24,2011-04-13,308,همراه,HMRZ
1390-01-27,2011-04-16,305,همراه,HMRZ
1390-01-28,2011-04-17,310,همراه,HMRZ
1390-01-29,2011-04-18,308,همراه,HMRZ
1390-01-30,2011-04-19,306,همراه,HMRZ
1390-01-31,2011-04-20,307,همراه,HMRZ
1390-02-03,2011-04-23,309,همراه,HMRZ
1390-02-04,2011-04-24,309,همراه,HMRZ
1390-02-12,2011-05-02,291,همراه,HMRZ
1390-02-13,2011-05-03,286,همراه,HMRZ
1390-02-14,2011-05-04,291,همراه,HMRZ
1390-02-18,2011-05-08,277,همراه,HMRZ
1390-02-19,2011-05-09,285,همراه,HMRZ
1390-02-20,2011-05-10,280,همراه,HMRZ
1390-02-21,2011-05-11,279,همراه,HMRZ
1390-02-24,2011-05-14,278,همراه,HMRZ
1390-02-25,2011-05-15,275,همراه,HMRZ
1390-02-26,2011-05-16,270,همراه,HMRZ
1390-02-27,2011-05-17,272,همراه,HMRZ
1390-02-28,2011-05-18,277,همراه,HMRZ
1390-02-31,2011-05-21,276,همراه,HMRZ
1390-03-01,2011-05-22,275,همراه,HMRZ
1390-03-02,2011-05-23,275,همراه,HMRZ
1390-03-03,2011-05-24,275,همراه,HMRZ
1390-03-04,2011-05-25,272,همراه,HMRZ
1390-03-07,2011-05-28,271,همراه,HMRZ
1390-03-08,2011-05-29,264,همراه,HMRZ
1390-03-09,2011-05-30,274,همراه,HMRZ
1390-03-10,2011-05-31,276,همراه,HMRZ
1390-03-11,2011-06-01,275,همراه,HMRZ
1390-03-16,2011-06-06,274,همراه,HMRZ
1390-03-17,2011-06-07,273,همراه,HMRZ
1390-03-18,2011-06-08,274,همراه,HMRZ
1390-03-21,2011-06-11,271,همراه,HMRZ
1390-03-22,2011-06-12,274,همراه,HMRZ
1390-03-23,2011-06-13,273,همراه,HMRZ
1390-03-24,2011-06-14,274,همراه,HMRZ
1390-03-25,2011-06-15,273,همراه,HMRZ
1390-03-28,2011-06-18,273,همراه,HMRZ
1390-03-29,2011-06-19,275,همراه,HMRZ
1390-03-30,2011-06-20,272,همراه,HMRZ
1390-03-31,2011-06-21,273,همراه,HMRZ
1390-04-01,2011-06-22,272,همراه,HMRZ
1390-04-04,2011-06-25,271,همراه,HMRZ
1390-04-05,2011-06-26,267,همراه,HMRZ
1390-04-06,2011-06-27,257,همراه,HMRZ
1390-04-07,2011-06-28,269,همراه,HMRZ
1390-04-08,2011-06-29,272,همراه,HMRZ
1390-04-11,2011-07-02,274,همراه,HMRZ
1390-04-12,2011-07-03,272,همراه,HMRZ
1390-04-13,2011-07-04,272,همراه,HMRZ
1390-04-14,2011-07-05,272,همراه,HMRZ
1390-04-15,2011-07-06,271,همراه,HMRZ
1390-04-18,2011-07-09,271,همراه,HMRZ
1390-04-19,2011-07-10,268,همراه,HMRZ
1390-04-20,2011-07-11,270,همراه,HMRZ
1390-04-21,2011-07-12,263,همراه,HMRZ
1390-04-22,2011-07-13,267,همراه,HMRZ
1390-04-25,2011-07-16,266,همراه,HMRZ
1390-04-27,2011-07-18,266,همراه,HMRZ
1390-04-28,2011-07-19,272,همراه,HMRZ
1390-04-29,2011-07-20,272,همراه,HMRZ
1390-05-01,2011-07-23,277,همراه,HMRZ
1390-05-02,2011-07-24,279,همراه,HMRZ
1390-05-03,2011-07-25,278,همراه,HMRZ
1390-05-04,2011-07-26,279,همراه,HMRZ
1390-05-05,2011-07-27,277,همراه,HMRZ
1390-05-08,2011-07-30,278,همراه,HMRZ
1390-05-09,2011-07-31,275,همراه,HMRZ
1390-05-10,2011-08-01,278,همراه,HMRZ
1390-05-11,2011-08-02,276,همراه,HMRZ
1390-05-12,2011-08-03,276,همراه,HMRZ
1390-05-15,2011-08-06,276,همراه,HMRZ
1390-05-16,2011-08-07,275,همراه,HMRZ
1390-05-17,2011-08-08,275,همراه,HMRZ
1390-05-18,2011-08-09,275,همراه,HMRZ
1390-05-19,2011-08-10,275,همراه,HMRZ
1390-05-22,2011-08-13,278,همراه,HMRZ
1390-05-23,2011-08-14,279,همراه,HMRZ
1390-05-24,2011-08-15,280,همراه,HMRZ
1390-05-25,2011-08-16,283,همراه,HMRZ
1390-05-26,2011-08-17,291,همراه,HMRZ
1390-05-29,2011-08-20,291,همراه,HMRZ
1390-05-30,2011-08-21,290,همراه,HMRZ
1390-06-01,2011-08-23,289,همراه,HMRZ
1390-06-02,2011-08-24,293,همراه,HMRZ
1390-06-05,2011-08-27,291,همراه,HMRZ
1390-06-06,2011-08-28,291,همراه,HMRZ
1390-06-07,2011-08-29,292,همراه,HMRZ
1390-06-08,2011-08-30,291,همراه,HMRZ
1390-06-12,2011-09-03,299,همراه,HMRZ
1390-06-13,2011-09-04,300,همراه,HMRZ
1390-06-14,2011-09-05,301,همراه,HMRZ
1390-06-15,2011-09-06,301,همراه,HMRZ
1390-06-16,2011-09-07,305,همراه,HMRZ
1390-06-19,2011-09-10,306,همراه,HMRZ
1390-06-20,2011-09-11,306,همراه,HMRZ
1390-06-21,2011-09-12,312,همراه,HMRZ
1390-06-22,2011-09-13,304,همراه,HMRZ
1390-06-23,2011-09-14,306,همراه,HMRZ
1390-06-26,2011-09-17,306,همراه,HMRZ
1390-06-27,2011-09-18,307,همراه,HMRZ
1390-06-28,2011-09-19,308,همراه,HMRZ
1390-06-29,2011-09-20,310,همراه,HMRZ
1390-06-30,2011-09-21,311,همراه,HMRZ
1390-07-03,2011-09-25,314,همراه,HMRZ
1390-07-04,2011-09-26,310,همراه,HMRZ
1390-07-05,2011-09-27,311,همراه,HMRZ
1390-07-06,2011-09-28,312,همراه,HMRZ
1390-07-09,2011-10-01,312,همراه,HMRZ
1390-07-10,2011-10-02,315,همراه,HMRZ
1390-07-11,2011-10-03,319,همراه,HMRZ
1390-07-12,2011-10-04,323,همراه,HMRZ
1390-07-13,2011-10-05,327,همراه,HMRZ
1390-07-16,2011-10-08,324,همراه,HMRZ
1390-07-17,2011-10-09,324,همراه,HMRZ
1390-07-18,2011-10-10,324,همراه,HMRZ
1390-07-19,2011-10-11,324,همراه,HMRZ
1390-07-20,2011-10-12,325,همراه,HMRZ
1390-07-23,2011-10-15,323,همراه,HMRZ
1390-07-25,2011-10-17,324,همراه,HMRZ
1390-07-26,2011-10-18,325,همراه,HMRZ
1390-07-27,2011-10-19,325,همراه,HMRZ
1390-07-30,2011-10-22,324,همراه,HMRZ
1390-08-01,2011-10-23,325,همراه,HMRZ
1390-08-02,2011-10-24,324,همراه,HMRZ
1390-08-03,2011-10-25,324,همراه,HMRZ
1390-08-04,2011-10-26,324,همراه,HMRZ
1390-08-07,2011-10-29,322,همراه,HMRZ
1390-08-08,2011-10-30,318,همراه,HMRZ
1390-08-09,2011-10-31,317,همراه,HMRZ
1390-08-10,2011-11-01,318,همراه,HMRZ
1390-08-11,2011-11-02,320,همراه,HMRZ
1390-08-14,2011-11-05,315,همراه,HMRZ
1390-08-15,2011-11-06,313,همراه,HMRZ
1390-08-17,2011-11-08,308,همراه,HMRZ
1390-08-18,2011-11-09,313,همراه,HMRZ
1390-08-21,2011-11-12,312,همراه,HMRZ
1390-08-22,2011-11-13,314,همراه,HMRZ
1390-08-23,2011-11-14,309,همراه,HMRZ
1390-08-25,2011-11-16,310,همراه,HMRZ
1390-08-28,2011-11-19,314,همراه,HMRZ
1390-08-29,2011-11-20,313,همراه,HMRZ
1390-08-30,2011-11-21,313,همراه,HMRZ
1390-09-01,2011-11-22,310,همراه,HMRZ
1390-09-02,2011-11-23,307,همراه,HMRZ
1390-09-05,2011-11-26,304,همراه,HMRZ
1390-09-06,2011-11-27,295,همراه,HMRZ
1390-09-07,2011-11-28,298,همراه,HMRZ
1390-09-08,2011-11-29,302,همراه,HMRZ
1390-09-09,2011-11-30,298,همراه,HMRZ
1390-09-12,2011-12-03,299,همراه,HMRZ
1390-09-13,2011-12-04,307,همراه,HMRZ
1390-09-16,2011-12-07,307,همراه,HMRZ
1390-09-19,2011-12-10,307,همراه,HMRZ
1390-09-20,2011-12-11,304,همراه,HMRZ
1390-09-21,2011-12-12,307,همراه,HMRZ
1390-09-22,2011-12-13,307,همراه,HMRZ
1390-09-23,2011-12-14,306,همراه,HMRZ
1390-09-26,2011-12-17,303,همراه,HMRZ
1390-09-27,2011-12-18,304,همراه,HMRZ
1390-09-28,2011-12-19,305,همراه,HMRZ
1390-09-29,2011-12-20,304,همراه,HMRZ
1390-09-30,2011-12-21,304,همراه,HMRZ
1390-10-03,2011-12-24,304,همراه,HMRZ
1390-10-04,2011-12-25,304,همراه,HMRZ
1390-10-05,2011-12-26,302,همراه,HMRZ
1390-10-06,2011-12-27,301,همراه,HMRZ
1390-10-07,2011-12-28,302,همراه,HMRZ
1390-10-10,2011-12-31,302,همراه,HMRZ
1390-10-11,2012-01-01,303,همراه,HMRZ
1390-10-12,2012-01-02,302,همراه,HMRZ
1390-10-13,2012-01-03,304,همراه,HMRZ
1390-10-14,2012-01-04,304,همراه,HMRZ
1390-10-17,2012-01-07,306,همراه,HMRZ
1390-10-18,2012-01-08,305,همراه,HMRZ
1390-10-19,2012-01-09,310,همراه,HMRZ
1390-10-20,2012-01-10,311,همراه,HMRZ
1390-10-21,2012-01-11,316,همراه,HMRZ
1390-10-25,2012-01-15,320,همراه,HMRZ
1390-10-26,2012-01-16,320,همراه,HMRZ
1390-10-27,2012-01-17,313,همراه,HMRZ
1390-10-28,2012-01-18,319,همراه,HMRZ
1390-11-01,2012-01-21,314,همراه,HMRZ
1390-11-03,2012-01-23,313,همراه,HMRZ
1390-11-05,2012-01-25,311,همراه,HMRZ
1390-11-08,2012-01-28,314,همراه,HMRZ
1390-11-09,2012-01-29,321,همراه,HMRZ
1390-11-10,2012-01-30,321,همراه,HMRZ
1390-11-11,2012-01-31,321,همراه,HMRZ
1390-11-12,2012-02-01,317,همراه,HMRZ
1390-11-15,2012-02-04,317,همراه,HMRZ
1390-11-16,2012-02-05,315,همراه,HMRZ
1390-11-17,2012-02-06,317,همراه,HMRZ
1390-11-18,2012-02-07,317,همراه,HMRZ
1390-11-19,2012-02-08,317,همراه,HMRZ
1390-11-23,2012-02-12,313,همراه,HMRZ
1390-11-24,2012-02-13,310,همراه,HMRZ
1390-11-25,2012-02-14,311,همراه,HMRZ
1390-11-26,2012-02-15,308,همراه,HMRZ
1390-12-01,2012-02-20,314,همراه,HMRZ
1390-12-02,2012-02-21,318,همراه,HMRZ
1390-12-03,2012-02-22,319,همراه,HMRZ
1390-12-06,2012-02-25,320,همراه,HMRZ
1390-12-07,2012-02-26,320,همراه,HMRZ
1390-12-08,2012-02-27,321,همراه,HMRZ
1390-12-09,2012-02-28,326,همراه,HMRZ
