J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-05-28,2004-08-18,45,تپکو,HPKP
1383-06-02,2004-08-23,47,تپکو,HPKP
1383-06-03,2004-08-24,49,تپکو,HPKP
1383-06-04,2004-08-25,52,تپکو,HPKP
1383-06-07,2004-08-28,54,تپکو,HPKP
1383-06-08,2004-08-29,57,تپکو,HPKP
1383-06-10,2004-08-31,60,تپکو,HPKP
1383-06-11,2004-09-01,63,تپکو,HPKP
1383-06-15,2004-09-05,63,تپکو,HPKP
1383-06-16,2004-09-06,63,تپکو,HPKP
1383-06-17,2004-09-07,63,تپکو,HPKP
1383-06-21,2004-09-11,63,تپکو,HPKP
1383-06-22,2004-09-12,63,تپکو,HPKP
1383-06-25,2004-09-15,63,تپکو,HPKP
1383-06-28,2004-09-18,63,تپکو,HPKP
1383-06-29,2004-09-19,63,تپکو,HPKP
1383-06-30,2004-09-20,63,تپکو,HPKP
1383-06-31,2004-09-21,63,تپکو,HPKP
1383-07-01,2004-09-22,63,تپکو,HPKP
1383-07-05,2004-09-26,64,تپکو,HPKP
1383-07-06,2004-09-27,64,تپکو,HPKP
1383-07-07,2004-09-28,67,تپکو,HPKP
1383-07-08,2004-09-29,70,تپکو,HPKP
1383-07-11,2004-10-02,74,تپکو,HPKP
1383-07-12,2004-10-03,78,تپکو,HPKP
1383-07-13,2004-10-04,81,تپکو,HPKP
1383-07-14,2004-10-05,86,تپکو,HPKP
1383-07-15,2004-10-06,90,تپکو,HPKP
1383-07-18,2004-10-09,87,تپکو,HPKP
1383-07-19,2004-10-10,84,تپکو,HPKP
1383-07-20,2004-10-11,87,تپکو,HPKP
1383-07-21,2004-10-12,91,تپکو,HPKP
1383-07-22,2004-10-13,86,تپکو,HPKP
1383-07-25,2004-10-16,85,تپکو,HPKP
1383-07-26,2004-10-17,82,تپکو,HPKP
1383-07-27,2004-10-18,81,تپکو,HPKP
1383-07-28,2004-10-19,80,تپکو,HPKP
1383-07-29,2004-10-20,76,تپکو,HPKP
1383-08-02,2004-10-23,78,تپکو,HPKP
1383-08-03,2004-10-24,77,تپکو,HPKP
1383-08-04,2004-10-25,76,تپکو,HPKP
1383-08-05,2004-10-26,73,تپکو,HPKP
1383-08-06,2004-10-27,70,تپکو,HPKP
1383-08-09,2004-10-30,66,تپکو,HPKP
1383-08-10,2004-10-31,65,تپکو,HPKP
1383-08-11,2004-11-01,68,تپکو,HPKP
1383-08-12,2004-11-02,71,تپکو,HPKP
1383-08-13,2004-11-03,74,تپکو,HPKP
