J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-12-26,2016-03-16,428,حریل,HRLZ
1395-01-07,2016-03-26,450,حریل,HRLZ
1395-01-08,2016-03-27,472,حریل,HRLZ
1395-01-09,2016-03-28,496,حریل,HRLZ
1395-01-10,2016-03-29,478,حریل,HRLZ
1395-01-11,2016-03-30,494,حریل,HRLZ
1395-01-14,2016-04-02,490,حریل,HRLZ
1395-01-15,2016-04-03,487,حریل,HRLZ
1395-01-16,2016-04-04,482,حریل,HRLZ
1395-01-17,2016-04-05,507,حریل,HRLZ
1395-01-18,2016-04-06,524,حریل,HRLZ
1395-01-21,2016-04-09,523,حریل,HRLZ
1395-01-22,2016-04-10,503,حریل,HRLZ
1395-01-23,2016-04-11,500,حریل,HRLZ
1395-01-24,2016-04-12,530,حریل,HRLZ
1395-01-25,2016-04-13,505,حریل,HRLZ
1395-01-28,2016-04-16,485,حریل,HRLZ
1395-01-29,2016-04-17,502,حریل,HRLZ
1395-01-30,2016-04-18,499,حریل,HRLZ
1395-01-31,2016-04-19,487,حریل,HRLZ
1395-02-01,2016-04-20,494,حریل,HRLZ
1395-02-04,2016-04-23,498,حریل,HRLZ
1395-02-05,2016-04-24,499,حریل,HRLZ
1395-02-06,2016-04-25,499,حریل,HRLZ
1395-02-07,2016-04-26,526,حریل,HRLZ
1395-02-08,2016-04-27,523,حریل,HRLZ
1395-02-11,2016-04-30,512,حریل,HRLZ
1395-02-12,2016-05-01,515,حریل,HRLZ
1395-02-13,2016-05-02,510,حریل,HRLZ
1395-02-14,2016-05-03,503,حریل,HRLZ
1395-02-15,2016-05-04,504,حریل,HRLZ
1395-02-18,2016-05-07,493,حریل,HRLZ
1395-02-19,2016-05-08,503,حریل,HRLZ
1395-02-20,2016-05-09,504,حریل,HRLZ
1395-02-21,2016-05-10,495,حریل,HRLZ
1395-02-22,2016-05-11,491,حریل,HRLZ
1395-02-25,2016-05-14,491,حریل,HRLZ
1395-02-26,2016-05-15,491,حریل,HRLZ
1395-02-27,2016-05-16,496,حریل,HRLZ
1395-02-28,2016-05-17,495,حریل,HRLZ
1395-02-29,2016-05-18,498,حریل,HRLZ
1395-03-01,2016-05-21,495,حریل,HRLZ
1395-03-03,2016-05-23,517,حریل,HRLZ
1395-03-04,2016-05-24,537,حریل,HRLZ
1395-03-05,2016-05-25,560,حریل,HRLZ
1395-03-08,2016-05-28,561,حریل,HRLZ
1395-03-09,2016-05-29,558,حریل,HRLZ
1395-03-10,2016-05-30,547,حریل,HRLZ
1395-03-11,2016-05-31,535,حریل,HRLZ
1395-03-12,2016-06-01,535,حریل,HRLZ
1395-03-16,2016-06-05,526,حریل,HRLZ
1395-03-17,2016-06-06,519,حریل,HRLZ
1395-03-18,2016-06-07,511,حریل,HRLZ
1395-03-19,2016-06-08,511,حریل,HRLZ
1395-03-22,2016-06-11,499,حریل,HRLZ
1395-03-23,2016-06-12,502,حریل,HRLZ
1395-03-24,2016-06-13,502,حریل,HRLZ
1395-03-25,2016-06-14,495,حریل,HRLZ
1395-03-26,2016-06-15,507,حریل,HRLZ
1395-03-29,2016-06-18,498,حریل,HRLZ
1395-03-30,2016-06-19,498,حریل,HRLZ
1395-03-31,2016-06-20,497,حریل,HRLZ
1395-04-01,2016-06-21,519,حریل,HRLZ
1395-04-02,2016-06-22,531,حریل,HRLZ
1395-04-05,2016-06-25,509,حریل,HRLZ
1395-04-06,2016-06-26,511,حریل,HRLZ
1395-04-08,2016-06-28,523,حریل,HRLZ
