J-Date,Date,Adj Close,Ticker,Ticker(4)
1388-04-31,2009-07-22,153,حفاری,HSHM
1388-05-03,2009-07-25,157,حفاری,HSHM
1388-05-04,2009-07-26,162,حفاری,HSHM
1388-05-05,2009-07-27,167,حفاری,HSHM
1388-05-06,2009-07-28,172,حفاری,HSHM
1388-05-07,2009-07-29,177,حفاری,HSHM
1388-05-10,2009-08-01,182,حفاری,HSHM
1388-05-11,2009-08-02,181,حفاری,HSHM
1388-05-12,2009-08-03,180,حفاری,HSHM
1388-05-13,2009-08-04,184,حفاری,HSHM
1388-05-14,2009-08-05,184,حفاری,HSHM
1388-05-17,2009-08-08,189,حفاری,HSHM
1388-05-18,2009-08-09,194,حفاری,HSHM
1388-05-19,2009-08-10,199,حفاری,HSHM
1388-05-20,2009-08-11,205,حفاری,HSHM
1388-05-21,2009-08-12,210,حفاری,HSHM
1388-05-24,2009-08-15,216,حفاری,HSHM
1388-05-25,2009-08-16,223,حفاری,HSHM
1388-06-01,2009-08-23,255,حفاری,HSHM
1388-06-02,2009-08-24,255,حفاری,HSHM
1388-06-03,2009-08-25,262,حفاری,HSHM
1388-06-04,2009-08-26,268,حفاری,HSHM
1388-06-07,2009-08-29,260,حفاری,HSHM
1388-06-08,2009-08-30,257,حفاری,HSHM
1388-06-09,2009-08-31,258,حفاری,HSHM
1388-06-10,2009-09-01,259,حفاری,HSHM
1388-06-11,2009-09-02,267,حفاری,HSHM
1388-06-14,2009-09-05,264,حفاری,HSHM
1388-06-15,2009-09-06,261,حفاری,HSHM
1388-06-16,2009-09-07,254,حفاری,HSHM
1388-06-17,2009-09-08,258,حفاری,HSHM
1388-06-18,2009-09-09,248,حفاری,HSHM
1388-06-22,2009-09-13,243,حفاری,HSHM
1388-06-23,2009-09-14,242,حفاری,HSHM
1388-06-24,2009-09-15,240,حفاری,HSHM
1388-06-25,2009-09-16,240,حفاری,HSHM
1388-06-28,2009-09-19,246,حفاری,HSHM
1388-06-30,2009-09-21,249,حفاری,HSHM
