J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-03-27,2004-06-16,94,حتوکا,HTOK
1383-04-22,2004-07-12,51,حتوکا,HTOK
1383-04-23,2004-07-13,51,حتوکا,HTOK
1383-04-24,2004-07-14,54,حتوکا,HTOK
1383-04-27,2004-07-17,55,حتوکا,HTOK
1383-04-28,2004-07-18,58,حتوکا,HTOK
1383-04-29,2004-07-19,61,حتوکا,HTOK
1383-04-30,2004-07-20,64,حتوکا,HTOK
1383-05-03,2004-07-24,67,حتوکا,HTOK
1383-05-05,2004-07-26,70,حتوکا,HTOK
1383-05-06,2004-07-27,74,حتوکا,HTOK
1383-05-07,2004-07-28,78,حتوکا,HTOK
1383-05-10,2004-07-31,82,حتوکا,HTOK
1383-05-11,2004-08-01,82,حتوکا,HTOK
1383-05-12,2004-08-02,86,حتوکا,HTOK
1383-05-13,2004-08-03,90,حتوکا,HTOK
1383-05-14,2004-08-04,91,حتوکا,HTOK
1383-05-17,2004-08-07,91,حتوکا,HTOK
1383-05-18,2004-08-08,90,حتوکا,HTOK
1383-05-19,2004-08-09,90,حتوکا,HTOK
1383-05-20,2004-08-10,90,حتوکا,HTOK
1383-05-21,2004-08-11,90,حتوکا,HTOK
1383-05-24,2004-08-14,88,حتوکا,HTOK
1383-05-25,2004-08-15,87,حتوکا,HTOK
1383-05-31,2004-08-21,82,حتوکا,HTOK
1383-06-01,2004-08-22,81,حتوکا,HTOK
1383-06-03,2004-08-24,82,حتوکا,HTOK
1383-06-07,2004-08-28,82,حتوکا,HTOK
1383-06-08,2004-08-29,80,حتوکا,HTOK
1383-06-18,2004-09-08,80,حتوکا,HTOK
1383-06-21,2004-09-11,81,حتوکا,HTOK
1383-06-24,2004-09-14,80,حتوکا,HTOK
1383-06-25,2004-09-15,82,حتوکا,HTOK
1383-06-28,2004-09-18,84,حتوکا,HTOK
1383-06-29,2004-09-19,85,حتوکا,HTOK
1383-06-30,2004-09-20,85,حتوکا,HTOK
1383-06-31,2004-09-21,85,حتوکا,HTOK
1383-07-01,2004-09-22,86,حتوکا,HTOK
1383-07-04,2004-09-25,90,حتوکا,HTOK
1383-07-05,2004-09-26,89,حتوکا,HTOK
1383-07-06,2004-09-27,89,حتوکا,HTOK
1383-07-07,2004-09-28,89,حتوکا,HTOK
1383-07-08,2004-09-29,89,حتوکا,HTOK
1383-07-11,2004-10-02,89,حتوکا,HTOK
1383-07-12,2004-10-03,89,حتوکا,HTOK
1383-07-13,2004-10-04,89,حتوکا,HTOK
1383-07-14,2004-10-05,89,حتوکا,HTOK
1383-07-15,2004-10-06,91,حتوکا,HTOK
1383-07-18,2004-10-09,91,حتوکا,HTOK
1383-07-19,2004-10-10,91,حتوکا,HTOK
1383-07-20,2004-10-11,91,حتوکا,HTOK
1383-07-21,2004-10-12,91,حتوکا,HTOK
1383-07-22,2004-10-13,91,حتوکا,HTOK
1383-07-25,2004-10-16,91,حتوکا,HTOK
1383-07-26,2004-10-17,91,حتوکا,HTOK
1383-07-27,2004-10-18,91,حتوکا,HTOK
1383-07-28,2004-10-19,91,حتوکا,HTOK
1383-07-29,2004-10-20,91,حتوکا,HTOK
1383-08-02,2004-10-23,92,حتوکا,HTOK
1383-08-04,2004-10-25,94,حتوکا,HTOK
1383-08-05,2004-10-26,94,حتوکا,HTOK
1383-08-06,2004-10-27,94,حتوکا,HTOK
1383-08-09,2004-10-30,95,حتوکا,HTOK
1383-08-10,2004-10-31,95,حتوکا,HTOK
1383-08-11,2004-11-01,95,حتوکا,HTOK
1383-08-12,2004-11-02,96,حتوکا,HTOK
1383-08-13,2004-11-03,96,حتوکا,HTOK
1383-08-16,2004-11-06,96,حتوکا,HTOK
1383-08-17,2004-11-07,97,حتوکا,HTOK
1383-09-03,2004-11-23,104,حتوکا,HTOK
1383-09-04,2004-11-24,109,حتوکا,HTOK
1383-09-07,2004-11-27,114,حتوکا,HTOK
1383-09-08,2004-11-28,120,حتوکا,HTOK
1383-09-09,2004-11-29,123,حتوکا,HTOK
1383-09-10,2004-11-30,127,حتوکا,HTOK
1383-09-11,2004-12-01,134,حتوکا,HTOK
1383-09-14,2004-12-04,141,حتوکا,HTOK
1383-09-15,2004-12-05,148,حتوکا,HTOK
1383-09-16,2004-12-06,155,حتوکا,HTOK
1383-09-17,2004-12-07,160,حتوکا,HTOK
1383-09-21,2004-12-11,168,حتوکا,HTOK
1383-09-22,2004-12-12,176,حتوکا,HTOK
1383-09-23,2004-12-13,185,حتوکا,HTOK
1383-09-24,2004-12-14,189,حتوکا,HTOK
1383-09-29,2004-12-19,206,حتوکا,HTOK
1383-09-30,2004-12-20,217,حتوکا,HTOK
1383-10-01,2004-12-21,223,حتوکا,HTOK
1383-10-02,2004-12-22,227,حتوکا,HTOK
1383-10-05,2004-12-25,227,حتوکا,HTOK
