J-Date,Date,Adj Close,Ticker,Ticker(4)
1396-06-22,2017-09-13,365,های وب,HWEB
1396-06-25,2017-09-16,383,های وب,HWEB
1396-06-26,2017-09-17,402,های وب,HWEB
1396-06-27,2017-09-18,422,های وب,HWEB
1396-06-29,2017-09-20,443,های وب,HWEB
1396-07-01,2017-09-23,465,های وب,HWEB
1396-07-02,2017-09-24,489,های وب,HWEB
1396-07-03,2017-09-25,513,های وب,HWEB
1396-07-04,2017-09-26,539,های وب,HWEB
1396-07-05,2017-09-27,566,های وب,HWEB
1396-07-10,2017-10-02,580,های وب,HWEB
1396-07-11,2017-10-03,573,های وب,HWEB
1396-07-12,2017-10-04,593,های وب,HWEB
1396-07-15,2017-10-07,585,های وب,HWEB
1396-07-16,2017-10-08,569,های وب,HWEB
1396-07-17,2017-10-09,588,های وب,HWEB
1396-07-18,2017-10-10,585,های وب,HWEB
1396-07-19,2017-10-11,574,های وب,HWEB
1396-07-22,2017-10-14,575,های وب,HWEB
1396-07-23,2017-10-15,570,های وب,HWEB
1396-07-24,2017-10-16,578,های وب,HWEB
1396-07-25,2017-10-17,578,های وب,HWEB
1396-07-26,2017-10-18,569,های وب,HWEB
1396-07-29,2017-10-21,564,های وب,HWEB
1396-07-30,2017-10-22,564,های وب,HWEB
1396-08-01,2017-10-23,566,های وب,HWEB
1396-08-02,2017-10-24,588,های وب,HWEB
1396-08-03,2017-10-25,584,های وب,HWEB
1396-08-06,2017-10-28,618,های وب,HWEB
1396-09-14,2017-12-05,645,های وب,HWEB
1396-09-18,2017-12-09,677,های وب,HWEB
1396-09-19,2017-12-10,711,های وب,HWEB
1396-09-20,2017-12-11,726,های وب,HWEB
1396-09-21,2017-12-12,774,های وب,HWEB
1397-05-29,2018-08-20,736,های وب,HWEB
1397-05-30,2018-08-21,725,های وب,HWEB
1397-06-03,2018-08-25,710,های وب,HWEB
1397-06-04,2018-08-26,696,های وب,HWEB
1397-06-05,2018-08-27,668,های وب,HWEB
1397-06-06,2018-08-28,642,های وب,HWEB
1397-06-07,2018-08-29,661,های وب,HWEB
1397-06-10,2018-09-01,627,های وب,HWEB
1397-06-11,2018-09-02,608,های وب,HWEB
1397-06-12,2018-09-03,598,های وب,HWEB
1397-06-13,2018-09-04,591,های وب,HWEB
1397-06-14,2018-09-05,576,های وب,HWEB
1397-06-17,2018-09-08,594,های وب,HWEB
1397-06-18,2018-09-09,597,های وب,HWEB
1397-06-19,2018-09-10,590,های وب,HWEB
1397-06-20,2018-09-11,581,های وب,HWEB
1397-06-21,2018-09-12,594,های وب,HWEB
1397-06-24,2018-09-15,620,های وب,HWEB
1397-06-25,2018-09-16,642,های وب,HWEB
1397-06-26,2018-09-17,667,های وب,HWEB
1397-06-27,2018-09-18,659,های وب,HWEB
1397-06-31,2018-09-22,644,های وب,HWEB
1397-07-01,2018-09-23,657,های وب,HWEB
1397-07-02,2018-09-24,687,های وب,HWEB
1397-07-03,2018-09-25,711,های وب,HWEB
1397-07-04,2018-09-26,740,های وب,HWEB
1397-07-07,2018-09-29,769,های وب,HWEB
1397-07-08,2018-09-30,788,های وب,HWEB
1397-07-09,2018-10-01,757,های وب,HWEB
1397-07-10,2018-10-02,736,های وب,HWEB
1397-07-11,2018-10-03,707,های وب,HWEB
1397-07-14,2018-10-06,680,های وب,HWEB
1397-07-15,2018-10-07,671,های وب,HWEB
1397-07-16,2018-10-08,653,های وب,HWEB
1397-07-17,2018-10-09,660,های وب,HWEB
1397-07-18,2018-10-10,695,های وب,HWEB
1397-07-21,2018-10-13,709,های وب,HWEB
1397-07-22,2018-10-14,713,های وب,HWEB
1397-07-23,2018-10-15,734,های وب,HWEB
1397-07-24,2018-10-16,762,های وب,HWEB
1397-07-25,2018-10-17,792,های وب,HWEB
1397-07-28,2018-10-20,813,های وب,HWEB
1397-07-29,2018-10-21,792,های وب,HWEB
1397-07-30,2018-10-22,794,های وب,HWEB
1397-08-01,2018-10-23,762,های وب,HWEB
1397-08-02,2018-10-24,736,های وب,HWEB
1397-08-05,2018-10-27,711,های وب,HWEB
1397-08-06,2018-10-28,743,های وب,HWEB
1397-08-07,2018-10-29,728,های وب,HWEB
1397-08-09,2018-10-31,767,های وب,HWEB
1397-08-12,2018-11-03,787,های وب,HWEB
1397-08-13,2018-11-04,761,های وب,HWEB
1397-08-14,2018-11-05,780,های وب,HWEB
1397-08-15,2018-11-06,806,های وب,HWEB
1397-08-19,2018-11-10,833,های وب,HWEB
1397-08-20,2018-11-11,855,های وب,HWEB
1397-08-21,2018-11-12,883,های وب,HWEB
1397-08-22,2018-11-13,897,های وب,HWEB
1397-08-23,2018-11-14,900,های وب,HWEB
1397-08-26,2018-11-17,890,های وب,HWEB
1397-08-27,2018-11-18,856,های وب,HWEB
1397-08-28,2018-11-19,862,های وب,HWEB
1397-08-29,2018-11-20,859,های وب,HWEB
1397-08-30,2018-11-21,883,های وب,HWEB
1397-09-03,2018-11-24,918,های وب,HWEB
1397-09-05,2018-11-26,910,های وب,HWEB
1397-09-06,2018-11-27,909,های وب,HWEB
1397-09-07,2018-11-28,888,های وب,HWEB
1397-09-10,2018-12-01,859,های وب,HWEB
1397-09-11,2018-12-02,846,های وب,HWEB
1397-09-12,2018-12-03,843,های وب,HWEB
1397-09-13,2018-12-04,863,های وب,HWEB
1397-09-14,2018-12-05,881,های وب,HWEB
1397-09-17,2018-12-08,915,های وب,HWEB
1397-09-18,2018-12-09,922,های وب,HWEB
1397-09-19,2018-12-10,904,های وب,HWEB
1397-09-20,2018-12-11,923,های وب,HWEB
1397-09-21,2018-12-12,916,های وب,HWEB
1397-09-24,2018-12-15,918,های وب,HWEB
1397-09-25,2018-12-16,899,های وب,HWEB
1397-09-26,2018-12-17,873,های وب,HWEB
1397-09-27,2018-12-18,884,های وب,HWEB
1397-09-28,2018-12-19,867,های وب,HWEB
1397-10-01,2018-12-22,871,های وب,HWEB
1397-10-02,2018-12-23,901,های وب,HWEB
1397-10-03,2018-12-24,878,های وب,HWEB
1397-10-04,2018-12-25,858,های وب,HWEB
1397-10-05,2018-12-26,847,های وب,HWEB
1397-10-08,2018-12-29,848,های وب,HWEB
1397-10-09,2018-12-30,843,های وب,HWEB
1397-10-10,2018-12-31,876,های وب,HWEB
1397-10-11,2019-01-01,866,های وب,HWEB
1397-10-12,2019-01-02,858,های وب,HWEB
1397-10-15,2019-01-05,852,های وب,HWEB
1397-10-16,2019-01-06,864,های وب,HWEB
1397-10-17,2019-01-07,858,های وب,HWEB
1397-10-18,2019-01-08,847,های وب,HWEB
1397-10-19,2019-01-09,860,های وب,HWEB
1397-10-22,2019-01-12,850,های وب,HWEB
1397-10-23,2019-01-13,843,های وب,HWEB
1397-10-24,2019-01-14,834,های وب,HWEB
1397-10-25,2019-01-15,803,های وب,HWEB
1397-10-26,2019-01-16,807,های وب,HWEB
1397-10-29,2019-01-19,797,های وب,HWEB
1397-10-30,2019-01-20,770,های وب,HWEB
1397-11-01,2019-01-21,746,های وب,HWEB
1397-11-02,2019-01-22,762,های وب,HWEB
1397-11-03,2019-01-23,784,های وب,HWEB
1397-11-06,2019-01-26,760,های وب,HWEB
1397-11-07,2019-01-27,743,های وب,HWEB
1397-11-08,2019-01-28,730,های وب,HWEB
1397-11-09,2019-01-29,757,های وب,HWEB
1397-11-10,2019-01-30,786,های وب,HWEB
1397-11-13,2019-02-02,769,های وب,HWEB
1397-11-14,2019-02-03,767,های وب,HWEB
1397-11-15,2019-02-04,775,های وب,HWEB
1397-11-16,2019-02-05,800,های وب,HWEB
1397-11-17,2019-02-06,804,های وب,HWEB
1397-11-21,2019-02-10,811,های وب,HWEB
1397-11-23,2019-02-12,807,های وب,HWEB
1397-11-24,2019-02-13,804,های وب,HWEB
1397-11-27,2019-02-16,804,های وب,HWEB
1397-11-28,2019-02-17,800,های وب,HWEB
1397-11-29,2019-02-18,784,های وب,HWEB
1397-11-30,2019-02-19,782,های وب,HWEB
1397-12-01,2019-02-20,768,های وب,HWEB
1397-12-04,2019-02-23,739,های وب,HWEB
1397-12-05,2019-02-24,724,های وب,HWEB
1397-12-06,2019-02-25,689,های وب,HWEB
1397-12-07,2019-02-26,727,های وب,HWEB
1397-12-08,2019-02-27,725,های وب,HWEB
1397-12-11,2019-03-02,710,های وب,HWEB
1397-12-12,2019-03-03,711,های وب,HWEB
1397-12-13,2019-03-04,737,های وب,HWEB
1397-12-14,2019-03-05,753,های وب,HWEB
1397-12-18,2019-03-09,729,های وب,HWEB
1397-12-19,2019-03-10,717,های وب,HWEB
1397-12-20,2019-03-11,707,های وب,HWEB
1397-12-21,2019-03-12,739,های وب,HWEB
1397-12-22,2019-03-13,724,های وب,HWEB
1397-12-25,2019-03-16,720,های وب,HWEB
1397-12-26,2019-03-17,703,های وب,HWEB
1397-12-27,2019-03-18,681,های وب,HWEB
1397-12-28,2019-03-19,687,های وب,HWEB
1398-01-05,2019-03-25,703,های وب,HWEB
1398-01-06,2019-03-26,700,های وب,HWEB
1398-01-07,2019-03-27,683,های وب,HWEB
1398-01-10,2019-03-30,695,های وب,HWEB
1398-01-11,2019-03-31,692,های وب,HWEB
1398-01-17,2019-04-06,698,های وب,HWEB
1398-01-18,2019-04-07,695,های وب,HWEB
1398-01-19,2019-04-08,685,های وب,HWEB
1398-01-20,2019-04-09,664,های وب,HWEB
1398-01-21,2019-04-10,679,های وب,HWEB
1398-01-24,2019-04-13,682,های وب,HWEB
1398-01-25,2019-04-14,709,های وب,HWEB
1398-01-26,2019-04-15,717,های وب,HWEB
1398-01-27,2019-04-16,755,های وب,HWEB
1398-01-28,2019-04-17,775,های وب,HWEB
1398-01-31,2019-04-20,802,های وب,HWEB
1398-02-02,2019-04-22,802,های وب,HWEB
1398-02-03,2019-04-23,797,های وب,HWEB
1398-02-04,2019-04-24,779,های وب,HWEB
1398-02-07,2019-04-27,783,های وب,HWEB
1398-02-08,2019-04-28,784,های وب,HWEB
1398-02-09,2019-04-29,779,های وب,HWEB
1398-02-10,2019-04-30,771,های وب,HWEB
1398-02-11,2019-05-01,790,های وب,HWEB
1398-02-14,2019-05-04,808,های وب,HWEB
1398-02-15,2019-05-05,820,های وب,HWEB
1398-02-16,2019-05-06,802,های وب,HWEB
1398-02-17,2019-05-07,774,های وب,HWEB
1398-02-18,2019-05-08,762,های وب,HWEB
1398-02-21,2019-05-11,725,های وب,HWEB
1398-02-22,2019-05-12,711,های وب,HWEB
1398-02-23,2019-05-13,739,های وب,HWEB
1398-02-24,2019-05-14,743,های وب,HWEB
1398-02-25,2019-05-15,718,های وب,HWEB
1398-02-28,2019-05-18,730,های وب,HWEB
1398-02-29,2019-05-19,767,های وب,HWEB
1398-02-30,2019-05-20,748,های وب,HWEB
1398-02-31,2019-05-21,746,های وب,HWEB
1398-03-01,2019-05-22,739,های وب,HWEB
1398-03-04,2019-05-25,748,های وب,HWEB
1398-03-05,2019-05-26,742,های وب,HWEB
1398-03-07,2019-05-28,756,های وب,HWEB
1398-03-08,2019-05-29,740,های وب,HWEB
1398-03-11,2019-06-01,777,های وب,HWEB
1398-03-12,2019-06-02,784,های وب,HWEB
1398-03-13,2019-06-03,823,های وب,HWEB
1398-03-18,2019-06-08,819,های وب,HWEB
1398-03-19,2019-06-09,870,های وب,HWEB
1398-03-20,2019-06-10,859,های وب,HWEB
1398-03-21,2019-06-11,907,های وب,HWEB
1398-05-12,2019-08-03,1047,های وب,HWEB
1398-05-13,2019-08-04,1018,های وب,HWEB
1398-05-14,2019-08-05,1082,های وب,HWEB
1398-05-15,2019-08-06,1112,های وب,HWEB
1398-05-16,2019-08-07,1166,های وب,HWEB
1398-05-19,2019-08-10,1131,های وب,HWEB
1398-05-20,2019-08-11,1146,های وب,HWEB
1398-05-22,2019-08-13,1132,های وب,HWEB
1398-05-23,2019-08-14,1111,های وب,HWEB
1398-05-26,2019-08-17,1132,های وب,HWEB
1398-05-27,2019-08-18,1150,های وب,HWEB
1398-05-28,2019-08-19,1200,های وب,HWEB
1398-05-30,2019-08-21,1238,های وب,HWEB
1398-06-02,2019-08-24,1224,های وب,HWEB
1398-06-03,2019-08-25,1191,های وب,HWEB
1398-06-04,2019-08-26,1167,های وب,HWEB
1398-06-05,2019-08-27,1155,های وب,HWEB
1398-06-06,2019-08-28,1128,های وب,HWEB
1398-06-09,2019-08-31,1105,های وب,HWEB
1398-06-10,2019-09-01,1105,های وب,HWEB
1398-06-11,2019-09-02,1101,های وب,HWEB
1398-06-12,2019-09-03,1088,های وب,HWEB
1398-06-13,2019-09-04,1127,های وب,HWEB
1398-06-16,2019-09-07,1169,های وب,HWEB
1398-06-17,2019-09-08,1182,های وب,HWEB
1398-06-20,2019-09-11,1176,های وب,HWEB
1398-06-23,2019-09-14,1165,های وب,HWEB
1398-06-24,2019-09-15,1181,های وب,HWEB
1398-06-25,2019-09-16,1231,های وب,HWEB
1398-06-26,2019-09-17,1225,های وب,HWEB
1398-06-27,2019-09-18,1168,های وب,HWEB
1398-06-30,2019-09-21,1165,های وب,HWEB
1398-06-31,2019-09-22,1161,های وب,HWEB
1398-07-01,2019-09-23,1167,های وب,HWEB
1398-07-02,2019-09-24,1228,های وب,HWEB
1398-07-03,2019-09-25,1286,های وب,HWEB
1398-07-06,2019-09-28,1348,های وب,HWEB
1398-07-07,2019-09-29,1343,های وب,HWEB
1398-07-08,2019-09-30,1302,های وب,HWEB
1398-07-09,2019-10-01,1249,های وب,HWEB
1398-07-10,2019-10-02,1241,های وب,HWEB
1398-07-13,2019-10-05,1246,های وب,HWEB
1398-07-14,2019-10-06,1205,های وب,HWEB
1398-07-15,2019-10-07,1175,های وب,HWEB
1398-07-16,2019-10-08,1132,های وب,HWEB
1398-07-17,2019-10-09,1116,های وب,HWEB
1398-07-20,2019-10-12,1127,های وب,HWEB
1398-07-21,2019-10-13,1087,های وب,HWEB
1398-07-22,2019-10-14,1058,های وب,HWEB
1398-07-23,2019-10-15,1011,های وب,HWEB
1398-07-24,2019-10-16,973,های وب,HWEB
1398-07-28,2019-10-20,934,های وب,HWEB
1398-07-29,2019-10-21,992,های وب,HWEB
1398-07-30,2019-10-22,1010,های وب,HWEB
1398-08-01,2019-10-23,1002,های وب,HWEB
1398-08-04,2019-10-26,1063,های وب,HWEB
1398-08-06,2019-10-28,1079,های وب,HWEB
1398-08-08,2019-10-30,1082,های وب,HWEB
1398-08-11,2019-11-02,1059,های وب,HWEB
1398-08-12,2019-11-03,1077,های وب,HWEB
1398-08-13,2019-11-04,1053,های وب,HWEB
1398-08-14,2019-11-05,1028,های وب,HWEB
1398-08-18,2019-11-09,1024,های وب,HWEB
1398-08-19,2019-11-10,1015,های وب,HWEB
1398-08-20,2019-11-11,1019,های وب,HWEB
1398-08-21,2019-11-12,1034,های وب,HWEB
1398-08-22,2019-11-13,1046,های وب,HWEB
1398-08-25,2019-11-16,1002,های وب,HWEB
1398-08-26,2019-11-17,974,های وب,HWEB
1398-08-27,2019-11-18,1001,های وب,HWEB
1398-08-28,2019-11-19,1010,های وب,HWEB
1398-08-29,2019-11-20,1032,های وب,HWEB
1398-09-02,2019-11-23,1009,های وب,HWEB
1398-09-03,2019-11-24,994,های وب,HWEB
1398-09-04,2019-11-25,1014,های وب,HWEB
1398-09-05,2019-11-26,1063,های وب,HWEB
1398-09-06,2019-11-27,1112,های وب,HWEB
1398-09-09,2019-11-30,1110,های وب,HWEB
1398-09-10,2019-12-01,1148,های وب,HWEB
1398-09-11,2019-12-02,1120,های وب,HWEB
1398-09-12,2019-12-03,1104,های وب,HWEB
1398-09-13,2019-12-04,1147,های وب,HWEB
1398-09-16,2019-12-07,1156,های وب,HWEB
1398-09-17,2019-12-08,1156,های وب,HWEB
1398-09-18,2019-12-09,1144,های وب,HWEB
1398-09-19,2019-12-10,1120,های وب,HWEB
1398-09-20,2019-12-11,1143,های وب,HWEB
1398-09-23,2019-12-14,1144,های وب,HWEB
1398-09-24,2019-12-15,1158,های وب,HWEB
1398-09-25,2019-12-16,1148,های وب,HWEB
1398-09-26,2019-12-17,1142,های وب,HWEB
1398-09-27,2019-12-18,1127,های وب,HWEB
1398-09-30,2019-12-21,1173,های وب,HWEB
1398-10-01,2019-12-22,1150,های وب,HWEB
1398-10-02,2019-12-23,1131,های وب,HWEB
1398-10-03,2019-12-24,1134,های وب,HWEB
1398-10-04,2019-12-25,1134,های وب,HWEB
1398-10-07,2019-12-28,1163,های وب,HWEB
1398-10-08,2019-12-29,1175,های وب,HWEB
1398-10-09,2019-12-30,1228,های وب,HWEB
1398-10-10,2019-12-31,1221,های وب,HWEB
1398-10-11,2020-01-01,1227,های وب,HWEB
1398-10-14,2020-01-04,1166,های وب,HWEB
1398-10-15,2020-01-05,1108,های وب,HWEB
1398-10-17,2020-01-07,1054,های وب,HWEB
1398-10-22,2020-01-12,1171,های وب,HWEB
1398-10-23,2020-01-13,1182,های وب,HWEB
1398-10-24,2020-01-14,1168,های وب,HWEB
1398-10-25,2020-01-15,1172,های وب,HWEB
1398-10-28,2020-01-18,1198,های وب,HWEB
1398-10-29,2020-01-19,1189,های وب,HWEB
1398-10-30,2020-01-20,1269,های وب,HWEB
1398-11-01,2020-01-21,1303,های وب,HWEB
1398-11-02,2020-01-22,1324,های وب,HWEB
1398-11-05,2020-01-25,1388,های وب,HWEB
1398-11-06,2020-01-26,1335,های وب,HWEB
1398-11-07,2020-01-27,1299,های وب,HWEB
1398-11-08,2020-01-28,1288,های وب,HWEB
1398-11-12,2020-02-01,1296,های وب,HWEB
1398-11-13,2020-02-02,1317,های وب,HWEB
1398-11-14,2020-02-03,1330,های وب,HWEB
1398-11-15,2020-02-04,1288,های وب,HWEB
1398-11-16,2020-02-05,1294,های وب,HWEB
1398-11-19,2020-02-08,1274,های وب,HWEB
1398-11-20,2020-02-09,1316,های وب,HWEB
1398-11-21,2020-02-10,1371,های وب,HWEB
1398-11-23,2020-02-12,1433,های وب,HWEB
1398-11-26,2020-02-15,1415,های وب,HWEB
1398-11-27,2020-02-16,1326,های وب,HWEB
1398-11-28,2020-02-17,1271,های وب,HWEB
1398-11-29,2020-02-18,1263,های وب,HWEB
1398-11-30,2020-02-19,1309,های وب,HWEB
1398-12-03,2020-02-22,1333,های وب,HWEB
1398-12-04,2020-02-23,1314,های وب,HWEB
1398-12-05,2020-02-24,1299,های وب,HWEB
1398-12-06,2020-02-25,1309,های وب,HWEB
1398-12-07,2020-02-26,1285,های وب,HWEB
1398-12-10,2020-02-29,1269,های وب,HWEB
1398-12-11,2020-03-01,1312,های وب,HWEB
1398-12-12,2020-03-02,1322,های وب,HWEB
1398-12-13,2020-03-03,1397,های وب,HWEB
1398-12-14,2020-03-04,1441,های وب,HWEB
1398-12-17,2020-03-07,1363,های وب,HWEB
1398-12-19,2020-03-09,1324,های وب,HWEB
1398-12-20,2020-03-10,1263,های وب,HWEB
1398-12-21,2020-03-11,1317,های وب,HWEB
1398-12-24,2020-03-14,1257,های وب,HWEB
1398-12-25,2020-03-15,1224,های وب,HWEB
1398-12-26,2020-03-16,1280,های وب,HWEB
1398-12-27,2020-03-17,1295,های وب,HWEB
1398-12-28,2020-03-18,1321,های وب,HWEB
1399-01-05,2020-03-24,1374,های وب,HWEB
1399-01-06,2020-03-25,1440,های وب,HWEB
1399-01-09,2020-03-28,1512,های وب,HWEB
1399-01-10,2020-03-29,1587,های وب,HWEB
1399-01-11,2020-03-30,1666,های وب,HWEB
1399-01-16,2020-04-04,1750,های وب,HWEB
1399-01-17,2020-04-05,1828,های وب,HWEB
1399-01-18,2020-04-06,1832,های وب,HWEB
1399-01-19,2020-04-07,1949,های وب,HWEB
1399-01-20,2020-04-08,1955,های وب,HWEB
1399-01-24,2020-04-12,2161,های وب,HWEB
1399-01-25,2020-04-13,2173,های وب,HWEB
1399-01-26,2020-04-14,2256,های وب,HWEB
1399-01-27,2020-04-15,2310,های وب,HWEB
1399-01-30,2020-04-18,2426,های وب,HWEB
1399-01-31,2020-04-19,2359,های وب,HWEB
1399-02-01,2020-04-20,2467,های وب,HWEB
1399-02-02,2020-04-21,2444,های وب,HWEB
