J-Date,Date,Adj Close,Ticker,Ticker(4)
1398-06-26,2019-09-17,1665,وهنر,IADP
1398-07-07,2019-09-29,2292,وهنر,IADP
1398-07-08,2019-09-30,2275,وهنر,IADP
1398-07-09,2019-10-01,2343,وهنر,IADP
1398-07-10,2019-10-02,2412,وهنر,IADP
1398-07-13,2019-10-05,2485,وهنر,IADP
1398-07-14,2019-10-06,2559,وهنر,IADP
1398-07-15,2019-10-07,2635,وهنر,IADP
1398-07-16,2019-10-08,2714,وهنر,IADP
1398-07-17,2019-10-09,2794,وهنر,IADP
1398-07-20,2019-10-12,2878,وهنر,IADP
1398-07-21,2019-10-13,2792,وهنر,IADP
1398-07-22,2019-10-14,2787,وهنر,IADP
1398-07-23,2019-10-15,2703,وهنر,IADP
1398-07-24,2019-10-16,2623,وهنر,IADP
1398-07-29,2019-10-21,2545,وهنر,IADP
1398-07-30,2019-10-22,2521,وهنر,IADP
1398-08-01,2019-10-23,2525,وهنر,IADP
1398-08-04,2019-10-26,2599,وهنر,IADP
1398-08-06,2019-10-28,2525,وهنر,IADP
1398-08-08,2019-10-30,2580,وهنر,IADP
1398-08-11,2019-11-02,2509,وهنر,IADP
1398-08-12,2019-11-03,2531,وهنر,IADP
1398-08-13,2019-11-04,2520,وهنر,IADP
1398-08-14,2019-11-05,2475,وهنر,IADP
1398-08-18,2019-11-09,2481,وهنر,IADP
1398-08-19,2019-11-10,2501,وهنر,IADP
1398-08-20,2019-11-11,2485,وهنر,IADP
1398-08-21,2019-11-12,2486,وهنر,IADP
1398-08-22,2019-11-13,2574,وهنر,IADP
1398-08-25,2019-11-16,2596,وهنر,IADP
1398-08-26,2019-11-17,2519,وهنر,IADP
1398-08-27,2019-11-18,2568,وهنر,IADP
1398-08-28,2019-11-19,2577,وهنر,IADP
1398-08-29,2019-11-20,2662,وهنر,IADP
1398-09-02,2019-11-23,2717,وهنر,IADP
1398-09-03,2019-11-24,2798,وهنر,IADP
1398-09-04,2019-11-25,2937,وهنر,IADP
1398-09-05,2019-11-26,3025,وهنر,IADP
1398-09-06,2019-11-27,3115,وهنر,IADP
1398-09-09,2019-11-30,3125,وهنر,IADP
1398-09-10,2019-12-01,3210,وهنر,IADP
1398-09-11,2019-12-02,3252,وهنر,IADP
1398-09-12,2019-12-03,3340,وهنر,IADP
1398-09-13,2019-12-04,3246,وهنر,IADP
1398-09-16,2019-12-07,3273,وهنر,IADP
1398-09-17,2019-12-08,3356,وهنر,IADP
1398-09-18,2019-12-09,3436,وهنر,IADP
1398-09-19,2019-12-10,3525,وهنر,IADP
1398-09-20,2019-12-11,3631,وهنر,IADP
1398-09-23,2019-12-14,3786,وهنر,IADP
1398-09-24,2019-12-15,3873,وهنر,IADP
1398-09-25,2019-12-16,3893,وهنر,IADP
1398-09-26,2019-12-17,3823,وهنر,IADP
1398-09-27,2019-12-18,3942,وهنر,IADP
1398-09-30,2019-12-21,3968,وهنر,IADP
1398-10-01,2019-12-22,3885,وهنر,IADP
1398-10-02,2019-12-23,4016,وهنر,IADP
1398-10-03,2019-12-24,4039,وهنر,IADP
1398-10-04,2019-12-25,4159,وهنر,IADP
1398-10-07,2019-12-28,4367,وهنر,IADP
1398-10-08,2019-12-29,4498,وهنر,IADP
1398-10-09,2019-12-30,4632,وهنر,IADP
1398-10-10,2019-12-31,4768,وهنر,IADP
1398-10-11,2020-01-01,4772,وهنر,IADP
1398-10-14,2020-01-04,4678,وهنر,IADP
1398-10-15,2020-01-05,4538,وهنر,IADP
1398-10-17,2020-01-07,4523,وهنر,IADP
1398-10-18,2020-01-08,4595,وهنر,IADP
1398-10-21,2020-01-11,4687,وهنر,IADP
1398-10-22,2020-01-12,4721,وهنر,IADP
1398-10-23,2020-01-13,4743,وهنر,IADP
1398-10-24,2020-01-14,4893,وهنر,IADP
1398-10-25,2020-01-15,4990,وهنر,IADP
1398-10-30,2020-01-20,6027,وهنر,IADP
1398-11-01,2020-01-21,6122,وهنر,IADP
1398-11-02,2020-01-22,6027,وهنر,IADP
1398-11-05,2020-01-25,5828,وهنر,IADP
1398-11-06,2020-01-26,5694,وهنر,IADP
1398-11-07,2020-01-27,5749,وهنر,IADP
