J-Date,Date,Adj Close,Ticker,Ticker(4)
1384-05-26,2005-08-17,201,مرقام,IAGM
1384-05-29,2005-08-20,211,مرقام,IAGM
1384-05-30,2005-08-21,222,مرقام,IAGM
1384-05-31,2005-08-22,233,مرقام,IAGM
1384-06-01,2005-08-23,245,مرقام,IAGM
1384-06-02,2005-08-24,257,مرقام,IAGM
1384-06-05,2005-08-27,270,مرقام,IAGM
1384-06-06,2005-08-28,283,مرقام,IAGM
1384-06-07,2005-08-29,297,مرقام,IAGM
1384-06-08,2005-08-30,312,مرقام,IAGM
1384-06-09,2005-08-31,328,مرقام,IAGM
1384-06-12,2005-09-03,344,مرقام,IAGM
1384-06-13,2005-09-04,361,مرقام,IAGM
1384-06-14,2005-09-05,379,مرقام,IAGM
1384-06-15,2005-09-06,398,مرقام,IAGM
1384-07-03,2005-09-25,388,مرقام,IAGM
1384-07-04,2005-09-26,408,مرقام,IAGM
1384-07-05,2005-09-27,428,مرقام,IAGM
1384-07-06,2005-09-28,450,مرقام,IAGM
1384-07-09,2005-10-01,471,مرقام,IAGM
1384-07-10,2005-10-02,494,مرقام,IAGM
1384-07-11,2005-10-03,519,مرقام,IAGM
1384-07-12,2005-10-04,545,مرقام,IAGM
1384-07-13,2005-10-05,572,مرقام,IAGM
1384-07-16,2005-10-08,593,مرقام,IAGM
1384-07-17,2005-10-09,567,مرقام,IAGM
1384-07-18,2005-10-10,551,مرقام,IAGM
1384-09-05,2005-11-26,742,مرقام,IAGM
1384-09-06,2005-11-27,766,مرقام,IAGM
1384-09-08,2005-11-29,750,مرقام,IAGM
1384-09-09,2005-11-30,739,مرقام,IAGM
1384-09-12,2005-12-03,736,مرقام,IAGM
1384-09-13,2005-12-04,699,مرقام,IAGM
1384-09-14,2005-12-05,678,مرقام,IAGM
1384-09-15,2005-12-06,645,مرقام,IAGM
1384-09-19,2005-12-10,612,مرقام,IAGM
1384-09-20,2005-12-11,586,مرقام,IAGM
1384-09-21,2005-12-12,580,مرقام,IAGM
1384-09-22,2005-12-13,552,مرقام,IAGM
1384-09-23,2005-12-14,578,مرقام,IAGM
1384-09-26,2005-12-17,569,مرقام,IAGM
1384-09-27,2005-12-18,543,مرقام,IAGM
1384-09-28,2005-12-19,536,مرقام,IAGM
1384-09-29,2005-12-20,511,مرقام,IAGM
1384-09-30,2005-12-21,514,مرقام,IAGM
1384-10-03,2005-12-24,535,مرقام,IAGM
1384-10-04,2005-12-25,519,مرقام,IAGM
1384-10-05,2005-12-26,519,مرقام,IAGM
1384-10-06,2005-12-27,522,مرقام,IAGM
1384-10-07,2005-12-28,527,مرقام,IAGM
1384-10-10,2005-12-31,531,مرقام,IAGM
1384-10-11,2006-01-01,542,مرقام,IAGM
1384-10-12,2006-01-02,550,مرقام,IAGM
1384-10-13,2006-01-03,553,مرقام,IAGM
1384-10-14,2006-01-04,550,مرقام,IAGM
1384-10-17,2006-01-07,541,مرقام,IAGM
1384-10-18,2006-01-08,525,مرقام,IAGM
1384-10-19,2006-01-09,534,مرقام,IAGM
1384-10-20,2006-01-10,530,مرقام,IAGM
1384-10-24,2006-01-14,506,مرقام,IAGM
1384-10-25,2006-01-15,486,مرقام,IAGM
1384-10-26,2006-01-16,471,مرقام,IAGM
1384-10-27,2006-01-17,488,مرقام,IAGM
1384-10-28,2006-01-18,492,مرقام,IAGM
1384-11-01,2006-01-21,490,مرقام,IAGM
1384-11-02,2006-01-22,486,مرقام,IAGM
1384-11-03,2006-01-23,470,مرقام,IAGM
1384-11-04,2006-01-24,458,مرقام,IAGM
1384-11-05,2006-01-25,459,مرقام,IAGM
1384-11-08,2006-01-28,459,مرقام,IAGM
1384-11-09,2006-01-29,462,مرقام,IAGM
1384-11-10,2006-01-30,479,مرقام,IAGM
1384-11-11,2006-01-31,461,مرقام,IAGM
1384-11-12,2006-02-01,467,مرقام,IAGM
1384-11-15,2006-02-04,459,مرقام,IAGM
1384-11-16,2006-02-05,437,مرقام,IAGM
1384-11-17,2006-02-06,431,مرقام,IAGM
1384-11-18,2006-02-07,430,مرقام,IAGM
1384-11-23,2006-02-12,413,مرقام,IAGM
1384-11-24,2006-02-13,396,مرقام,IAGM
1384-11-25,2006-02-14,395,مرقام,IAGM
1384-11-26,2006-02-15,393,مرقام,IAGM
1384-11-29,2006-02-18,401,مرقام,IAGM
1384-11-30,2006-02-19,409,مرقام,IAGM
1384-12-01,2006-02-20,416,مرقام,IAGM
1384-12-02,2006-02-21,421,مرقام,IAGM
1384-12-03,2006-02-22,413,مرقام,IAGM
1384-12-06,2006-02-25,408,مرقام,IAGM
1384-12-07,2006-02-26,413,مرقام,IAGM
1384-12-08,2006-02-27,422,مرقام,IAGM
1384-12-09,2006-02-28,426,مرقام,IAGM
1384-12-10,2006-03-01,432,مرقام,IAGM
1384-12-13,2006-03-04,423,مرقام,IAGM
1384-12-14,2006-03-05,419,مرقام,IAGM
1384-12-15,2006-03-06,412,مرقام,IAGM
1384-12-16,2006-03-07,420,مرقام,IAGM
1384-12-17,2006-03-08,417,مرقام,IAGM
1384-12-27,2006-03-18,416,مرقام,IAGM
1385-01-05,2006-03-25,408,مرقام,IAGM
1385-01-06,2006-03-26,416,مرقام,IAGM
1385-01-07,2006-03-27,414,مرقام,IAGM
1385-01-08,2006-03-28,412,مرقام,IAGM
1385-01-15,2006-04-04,412,مرقام,IAGM
1385-01-16,2006-04-05,407,مرقام,IAGM
1385-01-19,2006-04-08,400,مرقام,IAGM
1385-01-20,2006-04-09,398,مرقام,IAGM
1385-01-21,2006-04-10,405,مرقام,IAGM
1385-01-22,2006-04-11,401,مرقام,IAGM
1385-01-23,2006-04-12,406,مرقام,IAGM
1385-01-26,2006-04-15,410,مرقام,IAGM
1385-01-28,2006-04-17,418,مرقام,IAGM
1385-01-29,2006-04-18,411,مرقام,IAGM
1385-01-30,2006-04-19,419,مرقام,IAGM
1385-02-02,2006-04-22,423,مرقام,IAGM
1385-02-03,2006-04-23,431,مرقام,IAGM
1385-02-04,2006-04-24,440,مرقام,IAGM
1385-02-05,2006-04-25,445,مرقام,IAGM
1385-02-06,2006-04-26,454,مرقام,IAGM
1385-02-09,2006-04-29,463,مرقام,IAGM
1385-02-10,2006-04-30,472,مرقام,IAGM
1385-02-11,2006-05-01,481,مرقام,IAGM
1385-02-12,2006-05-02,491,مرقام,IAGM
1385-02-13,2006-05-03,501,مرقام,IAGM
1385-02-16,2006-05-06,506,مرقام,IAGM
1385-02-17,2006-05-07,516,مرقام,IAGM
1385-02-18,2006-05-08,525,مرقام,IAGM
1385-02-19,2006-05-09,536,مرقام,IAGM
1385-02-20,2006-05-10,546,مرقام,IAGM
1385-02-23,2006-05-13,557,مرقام,IAGM
1385-02-24,2006-05-14,568,مرقام,IAGM
1385-02-25,2006-05-15,567,مرقام,IAGM
1385-02-26,2006-05-16,556,مرقام,IAGM
1385-02-27,2006-05-17,545,مرقام,IAGM
1385-02-30,2006-05-20,534,مرقام,IAGM
1385-02-31,2006-05-21,523,مرقام,IAGM
1385-03-01,2006-05-22,513,مرقام,IAGM
1385-03-02,2006-05-23,510,مرقام,IAGM
1385-03-03,2006-05-24,501,مرقام,IAGM
1385-03-06,2006-05-27,506,مرقام,IAGM
1385-03-07,2006-05-28,510,مرقام,IAGM
1385-03-08,2006-05-29,511,مرقام,IAGM
1385-03-09,2006-05-30,505,مرقام,IAGM
1385-03-10,2006-05-31,506,مرقام,IAGM
1385-03-13,2006-06-03,498,مرقام,IAGM
1385-03-16,2006-06-06,499,مرقام,IAGM
1385-03-17,2006-06-07,508,مرقام,IAGM
