J-Date,Date,Adj Close,Ticker,Ticker(4)
1398-07-29,2019-10-21,5180,خبازرس,IEIP
1398-07-30,2019-10-22,5283,خبازرس,IEIP
1398-08-01,2019-10-23,5389,خبازرس,IEIP
1398-08-04,2019-10-26,5496,خبازرس,IEIP
1398-08-06,2019-10-28,5716,خبازرس,IEIP
1398-08-08,2019-10-30,5830,خبازرس,IEIP
1398-08-11,2019-11-02,5947,خبازرس,IEIP
1398-08-12,2019-11-03,6065,خبازرس,IEIP
1398-08-13,2019-11-04,6307,خبازرس,IEIP
1398-08-18,2019-11-09,6433,خبازرس,IEIP
1398-08-19,2019-11-10,6562,خبازرس,IEIP
1398-08-20,2019-11-11,6824,خبازرس,IEIP
1398-08-21,2019-11-12,6960,خبازرس,IEIP
1398-10-07,2019-12-28,7099,خبازرس,IEIP
1398-10-25,2020-01-15,7385,خبازرس,IEIP
1398-11-07,2020-01-27,7493,خبازرس,IEIP
1398-11-08,2020-01-28,7643,خبازرس,IEIP
1398-11-12,2020-02-01,7795,خبازرس,IEIP
1398-11-13,2020-02-02,8107,خبازرس,IEIP
1398-11-14,2020-02-03,8269,خبازرس,IEIP
1398-11-15,2020-02-04,8434,خبازرس,IEIP
1398-11-16,2020-02-05,8603,خبازرس,IEIP
1398-11-19,2020-02-08,8947,خبازرس,IEIP
1398-11-20,2020-02-09,9125,خبازرس,IEIP
1398-11-21,2020-02-10,9307,خبازرس,IEIP
1398-11-27,2020-02-16,9493,خبازرس,IEIP
1398-12-06,2020-02-25,9872,خبازرس,IEIP
1398-12-12,2020-03-02,10070,خبازرس,IEIP
1398-12-13,2020-03-03,10115,خبازرس,IEIP
1398-12-14,2020-03-04,10123,خبازرس,IEIP
1398-12-17,2020-03-07,10445,خبازرس,IEIP
1398-12-19,2020-03-09,10324,خبازرس,IEIP
1398-12-20,2020-03-10,10530,خبازرس,IEIP
1398-12-21,2020-03-11,10542,خبازرس,IEIP
1398-12-24,2020-03-14,10762,خبازرس,IEIP
1398-12-25,2020-03-15,10977,خبازرس,IEIP
1398-12-26,2020-03-16,10978,خبازرس,IEIP
1398-12-27,2020-03-17,10985,خبازرس,IEIP
1398-12-28,2020-03-18,11201,خبازرس,IEIP
1399-01-05,2020-03-24,11099,خبازرس,IEIP
1399-01-06,2020-03-25,11099,خبازرس,IEIP
1399-01-09,2020-03-28,11103,خبازرس,IEIP
1399-01-10,2020-03-29,11331,خبازرس,IEIP
1399-01-11,2020-03-30,11364,خبازرس,IEIP
1399-01-16,2020-04-04,11448,خبازرس,IEIP
1399-01-17,2020-04-05,11476,خبازرس,IEIP
1399-01-18,2020-04-06,11703,خبازرس,IEIP
1399-01-19,2020-04-07,11545,خبازرس,IEIP
1399-01-20,2020-04-08,11550,خبازرس,IEIP
1399-01-23,2020-04-11,11558,خبازرس,IEIP
1399-01-24,2020-04-12,11785,خبازرس,IEIP
1399-01-25,2020-04-13,11733,خبازرس,IEIP
1399-01-26,2020-04-14,11895,خبازرس,IEIP
1399-01-27,2020-04-15,11900,خبازرس,IEIP
1399-01-30,2020-04-18,12157,خبازرس,IEIP
1399-01-31,2020-04-19,11995,خبازرس,IEIP
1399-02-01,2020-04-20,12087,خبازرس,IEIP
1399-02-02,2020-04-21,12118,خبازرس,IEIP
1399-02-03,2020-04-22,12355,خبازرس,IEIP
1399-02-06,2020-04-25,12162,خبازرس,IEIP
1399-02-07,2020-04-26,12171,خبازرس,IEIP
1399-02-08,2020-04-27,12173,خبازرس,IEIP
1399-02-09,2020-04-28,12427,خبازرس,IEIP
1399-02-10,2020-04-29,12226,خبازرس,IEIP
1399-02-13,2020-05-02,12226,خبازرس,IEIP
1399-02-14,2020-05-03,12244,خبازرس,IEIP
1399-02-15,2020-05-04,12490,خبازرس,IEIP
1399-02-16,2020-05-05,12401,خبازرس,IEIP
1399-02-17,2020-05-06,12463,خبازرس,IEIP
1399-02-20,2020-05-09,12463,خبازرس,IEIP
1399-02-21,2020-05-10,12732,خبازرس,IEIP
1399-02-22,2020-05-11,12746,خبازرس,IEIP
1399-02-23,2020-05-12,12765,خبازرس,IEIP
1399-02-27,2020-05-16,13071,خبازرس,IEIP
1399-02-28,2020-05-17,12839,خبازرس,IEIP
1399-02-30,2020-05-19,12857,خبازرس,IEIP
1399-02-31,2020-05-20,13115,خبازرس,IEIP
1399-03-06,2020-05-26,12959,خبازرس,IEIP
1399-03-07,2020-05-27,12973,خبازرس,IEIP
1399-03-10,2020-05-30,13239,خبازرس,IEIP
1399-03-11,2020-05-31,12989,خبازرس,IEIP
1399-03-12,2020-06-01,12992,خبازرس,IEIP
1399-03-13,2020-06-02,12993,خبازرس,IEIP
1399-03-17,2020-06-06,13252,خبازرس,IEIP
