J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-08-21,2013-11-12,1,ومشان,IFMP
1392-09-09,2013-11-30,1,ومشان,IFMP
1392-10-04,2013-12-25,0,ومشان,IFMP
1393-03-19,2014-06-09,0,ومشان,IFMP
1393-03-21,2014-06-11,0,ومشان,IFMP
1393-03-24,2014-06-14,0,ومشان,IFMP
1393-03-27,2014-06-17,0,ومشان,IFMP
1393-03-31,2014-06-21,0,ومشان,IFMP
1393-04-01,2014-06-22,0,ومشان,IFMP
1393-05-15,2014-08-06,0,ومشان,IFMP
1393-05-26,2014-08-17,0,ومشان,IFMP
1393-06-15,2014-09-06,0,ومشان,IFMP
1393-07-05,2014-09-27,0,ومشان,IFMP
1393-09-17,2014-12-08,0,ومشان,IFMP
1393-10-03,2014-12-24,0,ومشان,IFMP
1393-10-14,2015-01-04,0,ومشان,IFMP
1394-10-19,2016-01-09,0,ومشان,IFMP
1395-02-11,2016-04-30,0,ومشان,IFMP
1395-04-19,2016-07-09,0,ومشان,IFMP
1395-05-04,2016-07-25,0,ومشان,IFMP
1395-12-23,2017-03-13,0,ومشان,IFMP
1398-01-19,2019-04-08,2964,ومشان,IFMP
1398-02-11,2019-05-01,2964,ومشان,IFMP
1398-02-16,2019-05-06,5438,ومشان,IFMP
1398-03-18,2019-06-08,5929,ومشان,IFMP
1398-03-22,2019-06-12,8795,ومشان,IFMP
1398-03-27,2019-06-17,11868,ومشان,IFMP
1398-03-29,2019-06-19,12847,ومشان,IFMP
1398-04-01,2019-06-22,12353,ومشان,IFMP
1398-04-03,2019-06-24,14129,ومشان,IFMP
1398-04-05,2019-06-26,14576,ومشان,IFMP
1398-04-10,2019-07-01,11859,ومشان,IFMP
1398-04-12,2019-07-03,12847,ومشان,IFMP
1398-04-15,2019-07-06,13366,ومشان,IFMP
1398-04-17,2019-07-08,12353,ومشان,IFMP
1398-04-19,2019-07-10,12352,ومشان,IFMP
1398-04-22,2019-07-13,12076,ومشان,IFMP
1398-04-24,2019-07-15,11861,ومشان,IFMP
1398-04-26,2019-07-17,11563,ومشان,IFMP
1398-04-29,2019-07-20,11364,ومشان,IFMP
1398-04-31,2019-07-22,11859,ومشان,IFMP
1398-05-02,2019-07-24,11463,ومشان,IFMP
1398-05-05,2019-07-27,11458,ومشان,IFMP
1398-05-07,2019-07-29,11414,ومشان,IFMP
1398-05-09,2019-07-31,11760,ومشان,IFMP
1398-05-12,2019-08-03,11859,ومشان,IFMP
1398-05-14,2019-08-05,12056,ومشان,IFMP
1398-05-26,2019-08-17,11959,ومشان,IFMP
1398-06-13,2019-09-04,11899,ومشان,IFMP
1398-06-25,2019-09-16,11495,ومشان,IFMP
1398-06-26,2019-09-17,11151,ومشان,IFMP
1398-06-27,2019-09-18,11151,ومشان,IFMP
1398-06-30,2019-09-21,11151,ومشان,IFMP
1398-06-31,2019-09-22,11659,ومشان,IFMP
1398-07-01,2019-09-23,12550,ومشان,IFMP
1398-07-02,2019-09-24,12925,ومشان,IFMP
1398-07-03,2019-09-25,13226,ومشان,IFMP
1398-07-06,2019-09-28,12966,ومشان,IFMP
1398-07-07,2019-09-29,13203,ومشان,IFMP
1398-07-08,2019-09-30,12954,ومشان,IFMP
1398-07-09,2019-10-01,12425,ومشان,IFMP
1398-07-10,2019-10-02,12877,ومشان,IFMP
1398-07-13,2019-10-05,13019,ومشان,IFMP
1398-07-14,2019-10-06,13405,ومشان,IFMP
1398-07-15,2019-10-07,13804,ومشان,IFMP
1398-07-16,2019-10-08,13378,ومشان,IFMP
1398-07-17,2019-10-09,13627,ومشان,IFMP
1398-07-20,2019-10-12,13509,ومشان,IFMP
1398-07-21,2019-10-13,12970,ومشان,IFMP
1398-07-22,2019-10-14,12668,ومشان,IFMP
1398-07-23,2019-10-15,12297,ومشان,IFMP
1398-07-24,2019-10-16,11933,ومشان,IFMP
1398-07-28,2019-10-20,11337,ومشان,IFMP
1398-07-29,2019-10-21,10997,ومشان,IFMP
1398-07-30,2019-10-22,10961,ومشان,IFMP
1398-08-01,2019-10-23,11299,ومشان,IFMP
1398-08-04,2019-10-26,10961,ومشان,IFMP
1398-08-06,2019-10-28,11357,ومشان,IFMP
1398-08-08,2019-10-30,11516,ومشان,IFMP
1398-08-11,2019-11-02,11791,ومشان,IFMP
1398-08-12,2019-11-03,12101,ومشان,IFMP
1398-08-13,2019-11-04,11958,ومشان,IFMP
1398-08-14,2019-11-05,11978,ومشان,IFMP
1398-08-18,2019-11-09,11958,ومشان,IFMP
1398-08-19,2019-11-10,11977,ومشان,IFMP
1398-08-20,2019-11-11,12236,ومشان,IFMP
1398-08-21,2019-11-12,12339,ومشان,IFMP
1398-08-22,2019-11-13,12677,ومشان,IFMP
1398-08-25,2019-11-16,12786,ومشان,IFMP
1398-08-26,2019-11-17,12560,ومشان,IFMP
1398-08-27,2019-11-18,12835,ومشان,IFMP
1398-08-28,2019-11-19,12954,ومشان,IFMP
1398-08-29,2019-11-20,13293,ومشان,IFMP
1398-09-02,2019-11-23,13611,ومشان,IFMP
1398-09-03,2019-11-24,13996,ومشان,IFMP
1398-09-04,2019-11-25,14414,ومشان,IFMP
1398-09-05,2019-11-26,14782,ومشان,IFMP
1398-09-06,2019-11-27,15225,ومشان,IFMP
1398-09-09,2019-11-30,15682,ومشان,IFMP
1398-09-10,2019-12-01,16152,ومشان,IFMP
1398-09-11,2019-12-02,16959,ومشان,IFMP
1398-09-12,2019-12-03,17446,ومشان,IFMP
1398-09-13,2019-12-04,17969,ومشان,IFMP
1398-09-16,2019-12-07,18507,ومشان,IFMP
1398-09-17,2019-12-08,19432,ومشان,IFMP
1398-09-18,2019-12-09,19987,ومشان,IFMP
1398-09-19,2019-12-10,19464,ومشان,IFMP
1398-09-20,2019-12-11,20382,ومشان,IFMP
1398-09-23,2019-12-14,20739,ومشان,IFMP
1398-09-24,2019-12-15,21326,ومشان,IFMP
1398-09-25,2019-12-16,22274,ومشان,IFMP
1398-09-26,2019-12-17,22920,ومشان,IFMP
1398-09-27,2019-12-18,23607,ومشان,IFMP
1398-09-30,2019-12-21,24315,ومشان,IFMP
1398-10-01,2019-12-22,25531,ومشان,IFMP
1398-10-02,2019-12-23,26286,ومشان,IFMP
1398-10-03,2019-12-24,26659,ومشان,IFMP
1398-10-04,2019-12-25,27458,ومشان,IFMP
1398-10-07,2019-12-28,28830,ومشان,IFMP
1398-10-08,2019-12-29,29694,ومشان,IFMP
1398-10-09,2019-12-30,30584,ومشان,IFMP
1398-10-10,2019-12-31,31501,ومشان,IFMP
1398-10-11,2020-01-01,33073,ومشان,IFMP
1398-10-14,2020-01-04,31867,ومشان,IFMP
1398-10-15,2020-01-05,30912,ومشان,IFMP
1398-10-21,2020-01-11,31530,ومشان,IFMP
1398-10-22,2020-01-12,31081,ومشان,IFMP
1398-10-23,2020-01-13,30178,ومشان,IFMP
1398-10-24,2020-01-14,29312,ومشان,IFMP
1398-10-25,2020-01-15,28433,ومشان,IFMP
1398-10-28,2020-01-18,29854,ومشان,IFMP
1398-10-29,2020-01-19,30533,ومشان,IFMP
1398-10-30,2020-01-20,29863,ومشان,IFMP
1398-11-01,2020-01-21,29103,ومشان,IFMP
1398-11-02,2020-01-22,28450,ومشان,IFMP
1398-11-05,2020-01-25,28381,ومشان,IFMP
1398-11-06,2020-01-26,27643,ومشان,IFMP
1398-11-07,2020-01-27,28890,ومشان,IFMP
1398-11-08,2020-01-28,29294,ومشان,IFMP
1398-11-12,2020-02-01,30172,ومشان,IFMP
1398-11-13,2020-02-02,31680,ومشان,IFMP
1398-11-14,2020-02-03,32564,ومشان,IFMP
1398-11-15,2020-02-04,33536,ومشان,IFMP
1398-11-16,2020-02-05,34175,ومشان,IFMP
1398-11-19,2020-02-08,35883,ومشان,IFMP
1398-11-20,2020-02-09,36960,ومشان,IFMP
1398-11-21,2020-02-10,38068,ومشان,IFMP
1398-11-23,2020-02-12,38789,ومشان,IFMP
1398-11-26,2020-02-15,40729,ومشان,IFMP
1398-11-27,2020-02-16,41950,ومشان,IFMP
1398-11-28,2020-02-17,43208,ومشان,IFMP
1398-11-29,2020-02-18,44503,ومشان,IFMP
1398-11-30,2020-02-19,46728,ومشان,IFMP
1398-12-03,2020-02-22,48129,ومشان,IFMP
1398-12-04,2020-02-23,48951,ومشان,IFMP
1398-12-05,2020-02-24,47454,ومشان,IFMP
1398-12-06,2020-02-25,46951,ومشان,IFMP
1398-12-07,2020-02-26,45543,ومشان,IFMP
1398-12-10,2020-02-29,43266,ومشان,IFMP
1398-12-11,2020-03-01,44563,ومشان,IFMP
1398-12-12,2020-03-02,44599,ومشان,IFMP
1398-12-13,2020-03-03,43548,ومشان,IFMP
1398-12-14,2020-03-04,42347,ومشان,IFMP
1398-12-17,2020-03-07,41085,ومشان,IFMP
1398-12-19,2020-03-09,40740,ومشان,IFMP
1398-12-20,2020-03-10,39795,ومشان,IFMP
1398-12-21,2020-03-11,40065,ومشان,IFMP
1398-12-24,2020-03-14,39846,ومشان,IFMP
1398-12-25,2020-03-15,39778,ومشان,IFMP
1398-12-26,2020-03-16,38841,ومشان,IFMP
1398-12-27,2020-03-17,37739,ومشان,IFMP
1398-12-28,2020-03-18,37225,ومشان,IFMP
1399-01-05,2020-03-24,36773,ومشان,IFMP
1399-01-06,2020-03-25,39474,ومشان,IFMP
1399-01-09,2020-03-28,39201,ومشان,IFMP
1399-01-10,2020-03-29,39357,ومشان,IFMP
1399-01-11,2020-03-30,40536,ومشان,IFMP
1399-01-16,2020-04-04,41935,ومشان,IFMP
1399-01-17,2020-04-05,43027,ومشان,IFMP
1399-01-18,2020-04-06,41219,ومشان,IFMP
1399-01-19,2020-04-07,40596,ومشان,IFMP
1399-01-20,2020-04-08,39864,ومشان,IFMP
1399-01-23,2020-04-11,39295,ومشان,IFMP
1399-01-24,2020-04-12,38863,ومشان,IFMP
1399-01-25,2020-04-13,37868,ومشان,IFMP
1399-01-26,2020-04-14,37088,ومشان,IFMP
1399-01-27,2020-04-15,37255,ومشان,IFMP
1399-01-30,2020-04-18,37808,ومشان,IFMP
