J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-09-21,2018-12-12,943,زکشت,IKAZ
1397-09-24,2018-12-15,990,زکشت,IKAZ
1397-09-25,2018-12-16,1039,زکشت,IKAZ
1397-09-26,2018-12-17,1091,زکشت,IKAZ
1397-09-27,2018-12-18,1145,زکشت,IKAZ
1397-09-28,2018-12-19,1203,زکشت,IKAZ
1397-10-01,2018-12-22,1262,زکشت,IKAZ
1397-10-02,2018-12-23,1325,زکشت,IKAZ
1397-10-03,2018-12-24,1391,زکشت,IKAZ
1397-10-04,2018-12-25,1461,زکشت,IKAZ
1397-10-08,2018-12-29,1611,زکشت,IKAZ
1397-10-09,2018-12-30,1678,زکشت,IKAZ
1397-10-10,2018-12-31,1762,زکشت,IKAZ
1397-10-11,2019-01-01,1850,زکشت,IKAZ
1397-10-12,2019-01-02,1943,زکشت,IKAZ
1397-10-15,2019-01-05,1845,زکشت,IKAZ
1397-10-16,2019-01-06,1806,زکشت,IKAZ
1397-10-17,2019-01-07,1850,زکشت,IKAZ
1397-10-18,2019-01-08,1845,زکشت,IKAZ
1397-10-19,2019-01-09,1845,زکشت,IKAZ
1397-10-22,2019-01-12,1857,زکشت,IKAZ
1397-10-23,2019-01-13,1892,زکشت,IKAZ
1397-10-24,2019-01-14,1861,زکشت,IKAZ
1397-10-25,2019-01-15,1868,زکشت,IKAZ
1397-10-26,2019-01-16,1853,زکشت,IKAZ
1397-10-29,2019-01-19,1856,زکشت,IKAZ
1397-10-30,2019-01-20,1842,زکشت,IKAZ
1397-11-01,2019-01-21,1812,زکشت,IKAZ
1397-11-02,2019-01-22,1759,زکشت,IKAZ
1397-11-08,2019-01-28,1721,زکشت,IKAZ
1397-11-09,2019-01-29,1676,زکشت,IKAZ
1397-11-10,2019-01-30,1625,زکشت,IKAZ
1397-11-13,2019-02-02,1597,زکشت,IKAZ
1397-11-14,2019-02-03,1637,زکشت,IKAZ
1397-11-15,2019-02-04,1679,زکشت,IKAZ
1397-11-16,2019-02-05,1670,زکشت,IKAZ
1397-11-17,2019-02-06,1732,زکشت,IKAZ
1397-11-21,2019-02-10,1800,زکشت,IKAZ
1397-11-23,2019-02-12,1825,زکشت,IKAZ
1397-11-24,2019-02-13,1814,زکشت,IKAZ
1397-11-27,2019-02-16,1805,زکشت,IKAZ
1397-11-28,2019-02-17,1748,زکشت,IKAZ
1397-11-29,2019-02-18,1778,زکشت,IKAZ
1397-11-30,2019-02-19,1808,زکشت,IKAZ
1397-12-01,2019-02-20,1763,زکشت,IKAZ
1397-12-04,2019-02-23,1762,زکشت,IKAZ
1397-12-05,2019-02-24,1769,زکشت,IKAZ
1397-12-06,2019-02-25,1732,زکشت,IKAZ
1397-12-07,2019-02-26,1715,زکشت,IKAZ
1397-12-08,2019-02-27,1721,زکشت,IKAZ
1397-12-11,2019-03-02,1694,زکشت,IKAZ
1397-12-12,2019-03-03,1715,زکشت,IKAZ
1397-12-13,2019-03-04,1706,زکشت,IKAZ
1397-12-14,2019-03-05,1796,زکشت,IKAZ
1397-12-15,2019-03-06,1799,زکشت,IKAZ
1397-12-18,2019-03-09,1775,زکشت,IKAZ
1397-12-19,2019-03-10,1760,زکشت,IKAZ
1397-12-20,2019-03-11,1787,زکشت,IKAZ
1397-12-21,2019-03-12,1769,زکشت,IKAZ
1397-12-22,2019-03-13,1811,زکشت,IKAZ
1397-12-25,2019-03-16,1790,زکشت,IKAZ
1397-12-26,2019-03-17,1772,زکشت,IKAZ
1397-12-27,2019-03-18,1791,زکشت,IKAZ
1397-12-28,2019-03-19,1808,زکشت,IKAZ
1398-01-05,2019-03-25,1894,زکشت,IKAZ
1398-01-06,2019-03-26,1972,زکشت,IKAZ
1398-01-07,2019-03-27,1989,زکشت,IKAZ
1398-01-10,2019-03-30,2006,زکشت,IKAZ
1398-01-11,2019-03-31,2088,زکشت,IKAZ
1398-01-17,2019-04-06,2163,زکشت,IKAZ
1398-01-18,2019-04-07,2098,زکشت,IKAZ
1398-01-19,2019-04-08,2071,زکشت,IKAZ
1398-01-20,2019-04-09,2184,زکشت,IKAZ
1398-01-21,2019-04-10,2267,زکشت,IKAZ
1398-01-24,2019-04-13,2377,زکشت,IKAZ
1398-01-25,2019-04-14,2448,زکشت,IKAZ
1398-01-26,2019-04-15,2447,زکشت,IKAZ
1398-01-27,2019-04-16,2328,زکشت,IKAZ
1398-01-28,2019-04-17,2305,زکشت,IKAZ
1398-01-31,2019-04-20,2385,زکشت,IKAZ
1398-02-02,2019-04-22,2387,زکشت,IKAZ
1398-02-03,2019-04-23,2363,زکشت,IKAZ
1398-02-04,2019-04-24,2395,زکشت,IKAZ
1398-02-07,2019-04-27,2461,زکشت,IKAZ
1398-02-08,2019-04-28,2401,زکشت,IKAZ
1398-02-09,2019-04-29,2335,زکشت,IKAZ
1398-02-10,2019-04-30,2277,زکشت,IKAZ
1398-02-11,2019-05-01,2303,زکشت,IKAZ
1398-02-14,2019-05-04,2365,زکشت,IKAZ
1398-02-15,2019-05-05,2321,زکشت,IKAZ
1398-02-16,2019-05-06,2228,زکشت,IKAZ
1398-02-17,2019-05-07,2136,زکشت,IKAZ
1398-02-18,2019-05-08,2244,زکشت,IKAZ
1398-02-21,2019-05-11,2300,زکشت,IKAZ
1398-02-22,2019-05-12,2365,زکشت,IKAZ
1398-02-23,2019-05-13,2459,زکشت,IKAZ
1398-02-24,2019-05-14,2561,زکشت,IKAZ
1398-02-25,2019-05-15,2689,زکشت,IKAZ
1398-02-28,2019-05-18,2594,زکشت,IKAZ
1398-02-29,2019-05-19,2574,زکشت,IKAZ
1398-02-30,2019-05-20,2515,زکشت,IKAZ
1398-02-31,2019-05-21,2571,زکشت,IKAZ
1398-03-01,2019-05-22,2440,زکشت,IKAZ
1398-03-04,2019-05-25,2455,زکشت,IKAZ
1398-03-05,2019-05-26,2548,زکشت,IKAZ
1398-03-07,2019-05-28,2559,زکشت,IKAZ
1398-03-08,2019-05-29,2560,زکشت,IKAZ
1398-03-11,2019-06-01,2589,زکشت,IKAZ
1398-03-12,2019-06-02,2691,زکشت,IKAZ
1398-03-13,2019-06-03,2747,زکشت,IKAZ
1398-03-18,2019-06-08,2859,زکشت,IKAZ
1398-03-19,2019-06-09,2895,زکشت,IKAZ
1398-03-20,2019-06-10,2944,زکشت,IKAZ
1398-03-21,2019-06-11,2919,زکشت,IKAZ
1398-03-22,2019-06-12,2928,زکشت,IKAZ
1398-03-25,2019-06-15,2994,زکشت,IKAZ
1398-03-26,2019-06-16,2844,زکشت,IKAZ
1398-03-27,2019-06-17,2890,زکشت,IKAZ
1398-03-28,2019-06-18,2811,زکشت,IKAZ
1398-03-29,2019-06-19,2759,زکشت,IKAZ
1398-04-01,2019-06-22,2641,زکشت,IKAZ
1398-04-02,2019-06-23,2586,زکشت,IKAZ
1398-04-03,2019-06-24,2609,زکشت,IKAZ
1398-04-04,2019-06-25,2614,زکشت,IKAZ
1398-04-05,2019-06-26,2512,زکشت,IKAZ
1398-04-09,2019-06-30,2504,زکشت,IKAZ
1398-04-10,2019-07-01,2622,زکشت,IKAZ
1398-04-11,2019-07-02,2620,زکشت,IKAZ
1398-04-12,2019-07-03,2634,زکشت,IKAZ
1398-04-15,2019-07-06,2634,زکشت,IKAZ
1398-04-16,2019-07-07,2634,زکشت,IKAZ
1398-04-17,2019-07-08,2574,زکشت,IKAZ
1398-04-18,2019-07-09,2564,زکشت,IKAZ
1398-04-19,2019-07-10,2527,زکشت,IKAZ
1398-04-22,2019-07-13,2678,زکشت,IKAZ
1398-04-23,2019-07-14,2765,زکشت,IKAZ
1398-04-24,2019-07-15,2866,زکشت,IKAZ
1398-04-25,2019-07-16,2739,زکشت,IKAZ
1398-04-26,2019-07-17,2674,زکشت,IKAZ
1398-04-29,2019-07-20,2640,زکشت,IKAZ
1398-05-02,2019-07-24,2735,زکشت,IKAZ
1398-05-05,2019-07-27,2767,زکشت,IKAZ
1398-05-06,2019-07-28,2847,زکشت,IKAZ
1398-05-07,2019-07-29,2919,زکشت,IKAZ
1398-05-08,2019-07-30,2876,زکشت,IKAZ
1398-05-09,2019-07-31,2883,زکشت,IKAZ
1398-05-12,2019-08-03,2905,زکشت,IKAZ
1398-05-13,2019-08-04,2874,زکشت,IKAZ
1398-05-14,2019-08-05,2901,زکشت,IKAZ
1398-05-15,2019-08-06,3030,زکشت,IKAZ
1398-05-16,2019-08-07,3117,زکشت,IKAZ
1398-05-19,2019-08-10,3226,زکشت,IKAZ
1398-05-20,2019-08-11,3175,زکشت,IKAZ
1398-05-22,2019-08-13,3180,زکشت,IKAZ
1398-05-23,2019-08-14,3175,زکشت,IKAZ
1398-05-26,2019-08-17,3109,زکشت,IKAZ
1398-05-27,2019-08-18,3169,زکشت,IKAZ
1398-05-28,2019-08-19,3145,زکشت,IKAZ
1398-05-30,2019-08-21,3267,زکشت,IKAZ
1398-06-02,2019-08-24,3368,زکشت,IKAZ
1398-06-03,2019-08-25,3347,زکشت,IKAZ
1398-06-04,2019-08-26,3405,زکشت,IKAZ
1398-06-05,2019-08-27,3402,زکشت,IKAZ
1398-06-06,2019-08-28,3630,زکشت,IKAZ
1398-06-09,2019-08-31,3490,زکشت,IKAZ
1398-06-10,2019-09-01,3493,زکشت,IKAZ
1398-06-11,2019-09-02,3386,زکشت,IKAZ
1398-06-12,2019-09-03,3481,زکشت,IKAZ
1398-06-13,2019-09-04,3613,زکشت,IKAZ
1398-06-16,2019-09-07,3772,زکشت,IKAZ
1398-06-17,2019-09-08,3960,زکشت,IKAZ
1398-06-20,2019-09-11,4158,زکشت,IKAZ
1398-06-23,2019-09-14,4062,زکشت,IKAZ
1398-06-24,2019-09-15,4294,زکشت,IKAZ
1398-06-25,2019-09-16,4362,زکشت,IKAZ
1398-06-26,2019-09-17,4292,زکشت,IKAZ
1398-06-27,2019-09-18,4141,زکشت,IKAZ
1398-06-30,2019-09-21,4354,زکشت,IKAZ
1398-06-31,2019-09-22,4458,زکشت,IKAZ
1398-07-01,2019-09-23,4679,زکشت,IKAZ
1398-07-02,2019-09-24,4838,زکشت,IKAZ
1398-07-03,2019-09-25,5076,زکشت,IKAZ
1398-07-06,2019-09-28,5593,زکشت,IKAZ
1398-07-07,2019-09-29,5868,زکشت,IKAZ
1398-07-08,2019-09-30,5971,زکشت,IKAZ
1398-07-09,2019-10-01,6270,زکشت,IKAZ
1398-07-10,2019-10-02,6583,زکشت,IKAZ
1398-07-13,2019-10-05,6736,زکشت,IKAZ
1398-07-14,2019-10-06,7072,زکشت,IKAZ
1398-07-15,2019-10-07,7367,زکشت,IKAZ
1398-07-16,2019-10-08,7735,زکشت,IKAZ
1398-07-17,2019-10-09,8122,زکشت,IKAZ
1398-07-20,2019-10-12,8528,زکشت,IKAZ
1398-07-23,2019-10-15,8506,زکشت,IKAZ
1398-07-24,2019-10-16,8330,زکشت,IKAZ
1398-07-28,2019-10-20,8515,زکشت,IKAZ
1398-07-29,2019-10-21,8562,زکشت,IKAZ
1398-07-30,2019-10-22,8893,زکشت,IKAZ
1398-08-01,2019-10-23,9337,زکشت,IKAZ
1398-08-04,2019-10-26,9804,زکشت,IKAZ
1398-08-06,2019-10-28,10294,زکشت,IKAZ
1398-08-08,2019-10-30,10809,زکشت,IKAZ
1398-08-11,2019-11-02,11349,زکشت,IKAZ
1398-08-12,2019-11-03,11774,زکشت,IKAZ
1398-08-13,2019-11-04,12363,زکشت,IKAZ
1398-08-19,2019-11-10,13629,زکشت,IKAZ
1398-08-20,2019-11-11,14181,زکشت,IKAZ
1398-08-21,2019-11-12,14890,زکشت,IKAZ
1398-08-22,2019-11-13,15635,زکشت,IKAZ
1398-08-25,2019-11-16,14838,زکشت,IKAZ
1398-08-26,2019-11-17,14097,زکشت,IKAZ
1398-08-27,2019-11-18,13392,زکشت,IKAZ
1398-08-28,2019-11-19,12723,زکشت,IKAZ
1398-08-29,2019-11-20,12424,زکشت,IKAZ
1398-09-02,2019-11-23,11803,زکشت,IKAZ
1398-09-03,2019-11-24,11213,زکشت,IKAZ
1398-09-04,2019-11-25,11774,زکشت,IKAZ
1398-09-05,2019-11-26,11805,زکشت,IKAZ
1398-09-06,2019-11-27,11302,زکشت,IKAZ
1398-09-09,2019-11-30,11162,زکشت,IKAZ
1398-09-10,2019-12-01,11442,زکشت,IKAZ
1398-09-11,2019-12-02,10974,زکشت,IKAZ
1398-09-12,2019-12-03,10690,زکشت,IKAZ
1398-09-13,2019-12-04,10648,زکشت,IKAZ
1398-09-16,2019-12-07,11271,زکشت,IKAZ
1398-09-17,2019-12-08,11758,زکشت,IKAZ
1398-09-18,2019-12-09,12182,زکشت,IKAZ
1398-09-19,2019-12-10,11666,زکشت,IKAZ
1398-09-20,2019-12-11,11631,زکشت,IKAZ
1398-09-23,2019-12-14,11543,زکشت,IKAZ
1398-09-24,2019-12-15,11335,زکشت,IKAZ
1398-09-25,2019-12-16,12073,زکشت,IKAZ
1398-09-26,2019-12-17,12020,زکشت,IKAZ
1398-09-27,2019-12-18,11772,زکشت,IKAZ
1398-09-30,2019-12-21,11444,زکشت,IKAZ
1398-10-01,2019-12-22,11563,زکشت,IKAZ
1398-10-02,2019-12-23,11099,زکشت,IKAZ
1398-10-03,2019-12-24,11188,زکشت,IKAZ
1398-10-04,2019-12-25,11660,زکشت,IKAZ
1398-10-07,2019-12-28,12066,زکشت,IKAZ
1398-10-08,2019-12-29,12669,زکشت,IKAZ
1398-10-09,2019-12-30,13175,زکشت,IKAZ
1398-10-10,2019-12-31,13002,زکشت,IKAZ
1398-10-11,2020-01-01,12476,زکشت,IKAZ
1398-10-14,2020-01-04,11972,زکشت,IKAZ
1398-10-15,2020-01-05,11375,زکشت,IKAZ
1398-10-17,2020-01-07,10870,زکشت,IKAZ
1398-10-18,2020-01-08,10882,زکشت,IKAZ
1398-10-21,2020-01-11,11100,زکشت,IKAZ
1398-10-22,2020-01-12,11655,زکشت,IKAZ
1398-10-23,2020-01-13,12237,زکشت,IKAZ
1398-10-24,2020-01-14,11942,زکشت,IKAZ
1398-10-25,2020-01-15,12169,زکشت,IKAZ
1398-10-28,2020-01-18,12263,زکشت,IKAZ
1398-10-29,2020-01-19,12043,زکشت,IKAZ
1398-10-30,2020-01-20,12786,زکشت,IKAZ
1398-11-01,2020-01-21,13099,زکشت,IKAZ
1398-11-02,2020-01-22,12892,زکشت,IKAZ
1398-11-05,2020-01-25,12993,زکشت,IKAZ
1398-11-06,2020-01-26,12574,زکشت,IKAZ
1398-11-07,2020-01-27,12675,زکشت,IKAZ
1398-11-08,2020-01-28,12720,زکشت,IKAZ
1398-11-12,2020-02-01,13587,زکشت,IKAZ
1398-11-13,2020-02-02,14087,زکشت,IKAZ
1398-11-14,2020-02-03,13615,زکشت,IKAZ
1398-11-15,2020-02-04,13175,زکشت,IKAZ
1398-11-16,2020-02-05,13172,زکشت,IKAZ
1398-11-19,2020-02-08,12703,زکشت,IKAZ
1398-11-20,2020-02-09,12671,زکشت,IKAZ
1398-11-21,2020-02-10,12609,زکشت,IKAZ
1398-11-23,2020-02-12,13166,زکشت,IKAZ
1398-11-26,2020-02-15,13205,زکشت,IKAZ
1398-11-27,2020-02-16,13036,زکشت,IKAZ
1398-11-28,2020-02-17,12779,زکشت,IKAZ
1398-11-29,2020-02-18,12892,زکشت,IKAZ
1398-11-30,2020-02-19,13473,زکشت,IKAZ
1398-12-03,2020-02-22,14074,زکشت,IKAZ
1398-12-14,2020-03-04,18866,زکشت,IKAZ
1398-12-17,2020-03-07,15723,زکشت,IKAZ
1398-12-19,2020-03-09,16080,زکشت,IKAZ
1398-12-20,2020-03-10,16459,زکشت,IKAZ
1398-12-21,2020-03-11,16654,زکشت,IKAZ
1398-12-24,2020-03-14,15255,زکشت,IKAZ
1398-12-25,2020-03-15,15515,زکشت,IKAZ
1398-12-26,2020-03-16,15149,زکشت,IKAZ
1398-12-27,2020-03-17,14745,زکشت,IKAZ
1398-12-28,2020-03-18,14890,زکشت,IKAZ
1399-01-05,2020-03-24,14549,زکشت,IKAZ
1399-01-06,2020-03-25,15285,زکشت,IKAZ
1399-01-09,2020-03-28,15704,زکشت,IKAZ
1399-01-10,2020-03-29,15201,زکشت,IKAZ
1399-01-11,2020-03-30,15188,زکشت,IKAZ
