J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,54,خودرو,IKCO
1380-01-06,2001-03-26,54,خودرو,IKCO
1380-01-07,2001-03-27,54,خودرو,IKCO
1380-01-08,2001-03-28,55,خودرو,IKCO
1380-01-11,2001-03-31,55,خودرو,IKCO
1380-01-14,2001-04-03,55,خودرو,IKCO
1380-01-18,2001-04-07,56,خودرو,IKCO
1380-01-19,2001-04-08,58,خودرو,IKCO
1380-01-20,2001-04-09,60,خودرو,IKCO
1380-01-21,2001-04-10,59,خودرو,IKCO
1380-01-22,2001-04-11,59,خودرو,IKCO
1380-01-25,2001-04-14,60,خودرو,IKCO
1380-01-26,2001-04-15,59,خودرو,IKCO
1380-01-27,2001-04-16,59,خودرو,IKCO
1380-01-28,2001-04-17,59,خودرو,IKCO
1380-01-29,2001-04-18,59,خودرو,IKCO
1380-02-01,2001-04-21,60,خودرو,IKCO
1380-02-02,2001-04-22,59,خودرو,IKCO
1380-02-03,2001-04-23,60,خودرو,IKCO
1380-02-04,2001-04-24,60,خودرو,IKCO
1380-02-05,2001-04-25,63,خودرو,IKCO
1380-02-08,2001-04-28,67,خودرو,IKCO
1380-02-09,2001-04-29,68,خودرو,IKCO
1380-02-10,2001-04-30,68,خودرو,IKCO
1380-02-11,2001-05-01,68,خودرو,IKCO
1380-02-12,2001-05-02,66,خودرو,IKCO
1380-02-15,2001-05-05,66,خودرو,IKCO
1380-02-16,2001-05-06,67,خودرو,IKCO
1380-02-17,2001-05-07,69,خودرو,IKCO
1380-02-18,2001-05-08,69,خودرو,IKCO
1380-02-19,2001-05-09,69,خودرو,IKCO
1380-02-22,2001-05-12,68,خودرو,IKCO
1380-02-23,2001-05-13,68,خودرو,IKCO
1380-02-25,2001-05-15,68,خودرو,IKCO
1380-02-26,2001-05-16,68,خودرو,IKCO
1380-02-29,2001-05-19,67,خودرو,IKCO
1380-02-30,2001-05-20,66,خودرو,IKCO
1380-02-31,2001-05-21,66,خودرو,IKCO
1380-03-02,2001-05-23,67,خودرو,IKCO
1380-03-05,2001-05-26,68,خودرو,IKCO
1380-03-06,2001-05-27,70,خودرو,IKCO
1380-03-07,2001-05-28,69,خودرو,IKCO
1380-03-08,2001-05-29,68,خودرو,IKCO
1380-03-09,2001-05-30,68,خودرو,IKCO
1380-03-12,2001-06-02,68,خودرو,IKCO
1380-03-13,2001-06-03,68,خودرو,IKCO
1380-03-16,2001-06-06,68,خودرو,IKCO
1380-03-19,2001-06-09,69,خودرو,IKCO
1380-03-21,2001-06-11,70,خودرو,IKCO
1380-03-22,2001-06-12,69,خودرو,IKCO
1380-03-23,2001-06-13,69,خودرو,IKCO
1380-03-26,2001-06-16,68,خودرو,IKCO
1380-03-27,2001-06-17,67,خودرو,IKCO
1380-03-28,2001-06-18,68,خودرو,IKCO
1380-03-29,2001-06-19,68,خودرو,IKCO
1380-03-30,2001-06-20,69,خودرو,IKCO
1380-04-02,2001-06-23,68,خودرو,IKCO
1380-04-03,2001-06-24,68,خودرو,IKCO
1380-04-04,2001-06-25,68,خودرو,IKCO
1380-04-05,2001-06-26,68,خودرو,IKCO
1380-04-06,2001-06-27,68,خودرو,IKCO
1380-04-09,2001-06-30,67,خودرو,IKCO
1380-04-10,2001-07-01,68,خودرو,IKCO
1380-04-11,2001-07-02,67,خودرو,IKCO
1380-04-12,2001-07-03,66,خودرو,IKCO
1380-04-13,2001-07-04,66,خودرو,IKCO
