J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-07-30,2012-10-21,212,وخارزم,IKHR
1391-08-01,2012-10-22,209,وخارزم,IKHR
1391-08-02,2012-10-23,212,وخارزم,IKHR
1391-08-03,2012-10-24,212,وخارزم,IKHR
1391-08-06,2012-10-27,210,وخارزم,IKHR
1391-08-07,2012-10-28,209,وخارزم,IKHR
1391-08-08,2012-10-29,207,وخارزم,IKHR
1391-08-09,2012-10-30,206,وخارزم,IKHR
1391-08-10,2012-10-31,200,وخارزم,IKHR
1391-08-14,2012-11-04,200,وخارزم,IKHR
1391-08-15,2012-11-05,196,وخارزم,IKHR
1391-08-16,2012-11-06,202,وخارزم,IKHR
1391-08-17,2012-11-07,198,وخارزم,IKHR
1391-08-20,2012-11-10,194,وخارزم,IKHR
1391-08-21,2012-11-11,202,وخارزم,IKHR
1391-08-22,2012-11-12,198,وخارزم,IKHR
1391-08-23,2012-11-13,203,وخارزم,IKHR
1391-08-24,2012-11-14,202,وخارزم,IKHR
1391-08-27,2012-11-17,197,وخارزم,IKHR
1391-08-28,2012-11-18,199,وخارزم,IKHR
1391-08-29,2012-11-19,200,وخارزم,IKHR
1391-08-30,2012-11-20,197,وخارزم,IKHR
1391-09-01,2012-11-21,200,وخارزم,IKHR
1391-09-06,2012-11-26,197,وخارزم,IKHR
1391-09-07,2012-11-27,201,وخارزم,IKHR
1391-09-08,2012-11-28,196,وخارزم,IKHR
1391-09-11,2012-12-01,198,وخارزم,IKHR
1391-09-12,2012-12-02,200,وخارزم,IKHR
1391-09-13,2012-12-03,199,وخارزم,IKHR
1391-09-14,2012-12-04,197,وخارزم,IKHR
1391-09-15,2012-12-05,197,وخارزم,IKHR
1391-09-18,2012-12-08,197,وخارزم,IKHR
1391-09-19,2012-12-09,200,وخارزم,IKHR
1391-09-20,2012-12-10,200,وخارزم,IKHR
1391-09-21,2012-12-11,200,وخارزم,IKHR
1391-09-22,2012-12-12,201,وخارزم,IKHR
1391-09-25,2012-12-15,201,وخارزم,IKHR
1391-09-26,2012-12-16,203,وخارزم,IKHR
1391-09-27,2012-12-17,201,وخارزم,IKHR
1391-09-28,2012-12-18,202,وخارزم,IKHR
1391-09-29,2012-12-19,202,وخارزم,IKHR
1391-10-02,2012-12-22,201,وخارزم,IKHR
1391-10-03,2012-12-23,202,وخارزم,IKHR
1391-10-04,2012-12-24,201,وخارزم,IKHR
1391-10-05,2012-12-25,201,وخارزم,IKHR
1391-10-06,2012-12-26,202,وخارزم,IKHR
1391-10-09,2012-12-29,210,وخارزم,IKHR
1391-10-10,2012-12-30,210,وخارزم,IKHR
1391-10-11,2012-12-31,211,وخارزم,IKHR
1391-10-12,2013-01-01,204,وخارزم,IKHR
1391-10-13,2013-01-02,212,وخارزم,IKHR
1391-10-17,2013-01-06,209,وخارزم,IKHR
1391-10-18,2013-01-07,209,وخارزم,IKHR
