J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-02-29,2021-05-19,2699,فتوسا,ILZZ
1400-03-01,2021-05-22,2834,فتوسا,ILZZ
1400-03-02,2021-05-23,2975,فتوسا,ILZZ
1400-03-03,2021-05-24,3118,فتوسا,ILZZ
1400-03-04,2021-05-25,3274,فتوسا,ILZZ
1400-03-05,2021-05-26,3437,فتوسا,ILZZ
1400-03-08,2021-05-29,3609,فتوسا,ILZZ
1400-03-09,2021-05-30,3789,فتوسا,ILZZ
1400-03-10,2021-05-31,3979,فتوسا,ILZZ
1400-03-11,2021-06-01,4132,فتوسا,ILZZ
1400-03-18,2021-06-08,4338,فتوسا,ILZZ
1400-03-25,2021-06-15,4555,فتوسا,ILZZ
1400-03-26,2021-06-16,4782,فتوسا,ILZZ
1400-03-29,2021-06-19,5021,فتوسا,ILZZ
1400-03-30,2021-06-20,5272,فتوسا,ILZZ
1400-03-31,2021-06-21,5536,فتوسا,ILZZ
1400-04-01,2021-06-22,5812,فتوسا,ILZZ
1400-04-08,2021-06-29,6081,فتوسا,ILZZ
1400-04-09,2021-06-30,5777,فتوسا,ILZZ
1400-04-12,2021-07-03,5572,فتوسا,ILZZ
1400-04-13,2021-07-04,5850,فتوسا,ILZZ
1400-04-14,2021-07-05,5911,فتوسا,ILZZ
1400-04-15,2021-07-06,5736,فتوسا,ILZZ
1400-04-16,2021-07-07,5630,فتوسا,ILZZ
1400-04-19,2021-07-10,5408,فتوسا,ILZZ
1400-04-20,2021-07-11,5509,فتوسا,ILZZ
1400-04-21,2021-07-12,5579,فتوسا,ILZZ
1400-04-22,2021-07-13,5545,فتوسا,ILZZ
1400-04-23,2021-07-14,5492,فتوسا,ILZZ
1400-04-26,2021-07-17,5250,فتوسا,ILZZ
1400-04-27,2021-07-18,5060,فتوسا,ILZZ
1400-04-28,2021-07-19,5180,فتوسا,ILZZ
1400-05-04,2021-07-26,5214,فتوسا,ILZZ
1400-05-05,2021-07-27,4987,فتوسا,ILZZ
1400-05-06,2021-07-28,4851,فتوسا,ILZZ
1400-05-09,2021-07-31,4858,فتوسا,ILZZ
1400-05-10,2021-08-01,4712,فتوسا,ILZZ
1400-05-11,2021-08-02,4757,فتوسا,ILZZ
1400-05-12,2021-08-03,4990,فتوسا,ILZZ
1400-05-13,2021-08-04,5221,فتوسا,ILZZ
1400-05-16,2021-08-07,4989,فتوسا,ILZZ
1400-05-17,2021-08-08,4955,فتوسا,ILZZ
1400-05-18,2021-08-09,5054,فتوسا,ILZZ
1400-05-19,2021-08-10,5097,فتوسا,ILZZ
1400-05-20,2021-08-11,5090,فتوسا,ILZZ
1400-05-23,2021-08-14,5058,فتوسا,ILZZ
1400-05-24,2021-08-15,5301,فتوسا,ILZZ
1400-05-31,2021-08-22,5297,فتوسا,ILZZ
1400-06-01,2021-08-23,5354,فتوسا,ILZZ
1400-06-02,2021-08-24,5474,فتوسا,ILZZ
