J-Date,Date,Adj Close,Ticker,Ticker(4)
1389-08-23,2010-11-14,139,پارسیان,IPAR
1389-08-24,2010-11-15,144,پارسیان,IPAR
1389-08-25,2010-11-16,150,پارسیان,IPAR
1389-08-29,2010-11-20,154,پارسیان,IPAR
1389-08-30,2010-11-21,154,پارسیان,IPAR
1389-09-01,2010-11-22,155,پارسیان,IPAR
1389-09-02,2010-11-23,155,پارسیان,IPAR
1389-09-03,2010-11-24,156,پارسیان,IPAR
1389-09-06,2010-11-27,156,پارسیان,IPAR
1389-09-07,2010-11-28,157,پارسیان,IPAR
1389-09-08,2010-11-29,158,پارسیان,IPAR
1389-09-09,2010-11-30,158,پارسیان,IPAR
1389-09-10,2010-12-01,165,پارسیان,IPAR
1389-09-13,2010-12-04,171,پارسیان,IPAR
1389-09-14,2010-12-05,165,پارسیان,IPAR
1389-09-15,2010-12-06,161,پارسیان,IPAR
1389-09-16,2010-12-07,161,پارسیان,IPAR
1389-09-17,2010-12-08,161,پارسیان,IPAR
1389-09-20,2010-12-11,162,پارسیان,IPAR
1389-09-21,2010-12-12,159,پارسیان,IPAR
1389-09-22,2010-12-13,161,پارسیان,IPAR
1389-09-23,2010-12-14,160,پارسیان,IPAR
1389-09-27,2010-12-18,154,پارسیان,IPAR
1389-09-28,2010-12-19,149,پارسیان,IPAR
1389-09-29,2010-12-20,156,پارسیان,IPAR
1389-09-30,2010-12-21,156,پارسیان,IPAR
1389-10-01,2010-12-22,155,پارسیان,IPAR
1389-10-04,2010-12-25,159,پارسیان,IPAR
1389-10-05,2010-12-26,154,پارسیان,IPAR
1389-10-06,2010-12-27,153,پارسیان,IPAR
1389-10-07,2010-12-28,152,پارسیان,IPAR
1389-10-08,2010-12-29,147,پارسیان,IPAR
1389-10-11,2011-01-01,148,پارسیان,IPAR
1389-10-12,2011-01-02,150,پارسیان,IPAR
1389-10-13,2011-01-03,148,پارسیان,IPAR
1389-10-14,2011-01-04,155,پارسیان,IPAR
1389-10-15,2011-01-05,159,پارسیان,IPAR
1389-10-18,2011-01-08,153,پارسیان,IPAR
1389-10-19,2011-01-09,154,پارسیان,IPAR
1389-10-20,2011-01-10,151,پارسیان,IPAR
1389-10-21,2011-01-11,152,پارسیان,IPAR
1389-10-22,2011-01-12,152,پارسیان,IPAR
1389-10-25,2011-01-15,152,پارسیان,IPAR
1389-10-26,2011-01-16,153,پارسیان,IPAR
1389-10-27,2011-01-17,151,پارسیان,IPAR
1389-10-28,2011-01-18,152,پارسیان,IPAR
1389-10-29,2011-01-19,153,پارسیان,IPAR
1389-11-02,2011-01-22,159,پارسیان,IPAR
1389-11-03,2011-01-23,157,پارسیان,IPAR
1389-11-04,2011-01-24,156,پارسیان,IPAR
1389-11-06,2011-01-26,153,پارسیان,IPAR
1389-11-09,2011-01-29,152,پارسیان,IPAR
1389-11-10,2011-01-30,152,پارسیان,IPAR
1389-11-11,2011-01-31,152,پارسیان,IPAR
1389-11-12,2011-02-01,153,پارسیان,IPAR
1389-11-16,2011-02-05,152,پارسیان,IPAR
