J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-10-19,2012-01-09,34,پترول,IPTR
1390-10-20,2012-01-10,34,پترول,IPTR
1390-10-21,2012-01-11,36,پترول,IPTR
1390-10-25,2012-01-15,38,پترول,IPTR
1390-10-26,2012-01-16,40,پترول,IPTR
1390-10-27,2012-01-17,41,پترول,IPTR
1390-10-28,2012-01-18,41,پترول,IPTR
1390-11-01,2012-01-21,38,پترول,IPTR
1390-11-03,2012-01-23,40,پترول,IPTR
1390-11-05,2012-01-25,42,پترول,IPTR
1390-11-08,2012-01-28,40,پترول,IPTR
1390-11-09,2012-01-29,40,پترول,IPTR
1390-11-10,2012-01-30,41,پترول,IPTR
1390-11-11,2012-01-31,39,پترول,IPTR
1390-11-12,2012-02-01,37,پترول,IPTR
1390-11-15,2012-02-04,39,پترول,IPTR
1390-11-16,2012-02-05,37,پترول,IPTR
1390-11-17,2012-02-06,35,پترول,IPTR
1390-11-18,2012-02-07,37,پترول,IPTR
1390-11-19,2012-02-08,39,پترول,IPTR
1390-11-23,2012-02-12,37,پترول,IPTR
1390-11-24,2012-02-13,37,پترول,IPTR
1390-11-25,2012-02-14,36,پترول,IPTR
1390-11-26,2012-02-15,37,پترول,IPTR
1390-11-29,2012-02-18,39,پترول,IPTR
1390-11-30,2012-02-19,41,پترول,IPTR
1390-12-01,2012-02-20,43,پترول,IPTR
1390-12-02,2012-02-21,46,پترول,IPTR
1390-12-03,2012-02-22,47,پترول,IPTR
1390-12-06,2012-02-25,46,پترول,IPTR
1390-12-07,2012-02-26,47,پترول,IPTR
1390-12-09,2012-02-28,50,پترول,IPTR
1390-12-10,2012-02-29,52,پترول,IPTR
1390-12-13,2012-03-03,55,پترول,IPTR
1390-12-14,2012-03-04,57,پترول,IPTR
1390-12-15,2012-03-05,60,پترول,IPTR
1390-12-16,2012-03-06,63,پترول,IPTR
1390-12-17,2012-03-07,67,پترول,IPTR
1390-12-20,2012-03-10,70,پترول,IPTR
1390-12-21,2012-03-11,73,پترول,IPTR
1390-12-22,2012-03-12,77,پترول,IPTR
1391-08-06,2012-10-27,116,پترول,IPTR
1391-12-02,2013-02-20,110,پترول,IPTR
1391-12-05,2013-02-23,104,پترول,IPTR
1391-12-06,2013-02-24,99,پترول,IPTR
1391-12-07,2013-02-25,98,پترول,IPTR
1391-12-08,2013-02-26,98,پترول,IPTR
1391-12-09,2013-02-27,98,پترول,IPTR
1391-12-12,2013-03-02,98,پترول,IPTR
1391-12-13,2013-03-03,99,پترول,IPTR
1391-12-14,2013-03-04,98,پترول,IPTR
1391-12-15,2013-03-05,98,پترول,IPTR
1391-12-16,2013-03-06,98,پترول,IPTR
1391-12-19,2013-03-09,98,پترول,IPTR
1391-12-20,2013-03-10,98,پترول,IPTR
1391-12-21,2013-03-11,98,پترول,IPTR
1391-12-22,2013-03-12,96,پترول,IPTR
1391-12-23,2013-03-13,100,پترول,IPTR
1391-12-26,2013-03-16,98,پترول,IPTR
1391-12-27,2013-03-17,98,پترول,IPTR
1391-12-28,2013-03-18,103,پترول,IPTR
1392-01-05,2013-03-25,106,پترول,IPTR
1392-01-06,2013-03-26,105,پترول,IPTR
1392-01-07,2013-03-27,105,پترول,IPTR
1392-01-11,2013-03-31,100,پترول,IPTR
1392-01-14,2013-04-03,104,پترول,IPTR
1392-01-17,2013-04-06,96,پترول,IPTR
1392-01-18,2013-04-07,98,پترول,IPTR
1392-01-19,2013-04-08,102,پترول,IPTR
1392-01-20,2013-04-09,99,پترول,IPTR
1392-01-21,2013-04-10,98,پترول,IPTR
1392-01-24,2013-04-13,98,پترول,IPTR
1392-01-26,2013-04-15,98,پترول,IPTR
1392-01-27,2013-04-16,99,پترول,IPTR
1392-01-28,2013-04-17,97,پترول,IPTR
1392-01-31,2013-04-20,98,پترول,IPTR
1392-02-01,2013-04-21,98,پترول,IPTR
1392-02-02,2013-04-22,100,پترول,IPTR
1392-02-03,2013-04-23,99,پترول,IPTR
1392-02-04,2013-04-24,99,پترول,IPTR
1392-02-07,2013-04-27,98,پترول,IPTR
1392-02-08,2013-04-28,98,پترول,IPTR
1392-02-09,2013-04-29,98,پترول,IPTR
1392-02-10,2013-04-30,98,پترول,IPTR
1392-02-11,2013-05-01,98,پترول,IPTR
1392-02-14,2013-05-04,98,پترول,IPTR
1392-02-15,2013-05-05,98,پترول,IPTR
1392-02-16,2013-05-06,98,پترول,IPTR
1392-02-17,2013-05-07,98,پترول,IPTR
1392-02-18,2013-05-08,98,پترول,IPTR
1392-02-21,2013-05-11,98,پترول,IPTR
1392-02-22,2013-05-12,98,پترول,IPTR
1392-02-23,2013-05-13,98,پترول,IPTR
1392-02-24,2013-05-14,98,پترول,IPTR
1392-02-25,2013-05-15,98,پترول,IPTR
1392-02-28,2013-05-18,98,پترول,IPTR
1392-02-29,2013-05-19,98,پترول,IPTR
1392-02-30,2013-05-20,99,پترول,IPTR
1392-02-31,2013-05-21,98,پترول,IPTR
1392-03-04,2013-05-25,98,پترول,IPTR
1392-03-05,2013-05-26,99,پترول,IPTR
1392-03-06,2013-05-27,99,پترول,IPTR
1392-03-07,2013-05-28,99,پترول,IPTR
1392-03-08,2013-05-29,98,پترول,IPTR
1392-03-11,2013-06-01,98,پترول,IPTR
1392-03-12,2013-06-02,99,پترول,IPTR
1392-03-13,2013-06-03,98,پترول,IPTR
1392-03-18,2013-06-08,98,پترول,IPTR
1392-03-19,2013-06-09,98,پترول,IPTR
1392-03-20,2013-06-10,98,پترول,IPTR
1392-03-21,2013-06-11,99,پترول,IPTR
1392-03-22,2013-06-12,96,پترول,IPTR
1392-03-25,2013-06-15,101,پترول,IPTR
1392-03-26,2013-06-16,103,پترول,IPTR
1392-03-27,2013-06-17,102,پترول,IPTR
1392-03-28,2013-06-18,98,پترول,IPTR
1392-04-01,2013-06-22,98,پترول,IPTR
1392-04-02,2013-06-23,98,پترول,IPTR
1392-04-04,2013-06-25,99,پترول,IPTR
1392-04-05,2013-06-26,103,پترول,IPTR
1392-04-08,2013-06-29,108,پترول,IPTR
1392-04-09,2013-06-30,113,پترول,IPTR
1392-04-10,2013-07-01,117,پترول,IPTR
1392-04-11,2013-07-02,112,پترول,IPTR
1392-04-12,2013-07-03,107,پترول,IPTR
1392-04-15,2013-07-06,110,پترول,IPTR
1392-04-16,2013-07-07,111,پترول,IPTR
1392-04-17,2013-07-08,106,پترول,IPTR
1392-04-18,2013-07-09,107,پترول,IPTR
1392-04-19,2013-07-10,106,پترول,IPTR
1392-04-22,2013-07-13,111,پترول,IPTR
1392-04-23,2013-07-14,114,پترول,IPTR
1392-04-24,2013-07-15,114,پترول,IPTR
1392-04-25,2013-07-16,116,پترول,IPTR
1392-04-26,2013-07-17,116,پترول,IPTR
1392-04-29,2013-07-20,122,پترول,IPTR
1392-04-30,2013-07-21,123,پترول,IPTR
1392-04-31,2013-07-22,132,پترول,IPTR
1392-05-01,2013-07-23,127,پترول,IPTR
1392-05-02,2013-07-24,126,پترول,IPTR
1392-05-05,2013-07-27,121,پترول,IPTR
1392-05-06,2013-07-28,124,پترول,IPTR
1392-05-07,2013-07-29,122,پترول,IPTR
1392-05-09,2013-07-31,121,پترول,IPTR
1392-05-12,2013-08-03,122,پترول,IPTR
1392-05-13,2013-08-04,122,پترول,IPTR
1392-05-14,2013-08-05,122,پترول,IPTR
