J-Date,Date,Adj Close,Ticker,Ticker(4)
1396-07-15,2017-10-07,368,ولشرق,ISLZ
1396-07-16,2017-10-08,386,ولشرق,ISLZ
1396-07-17,2017-10-09,405,ولشرق,ISLZ
1396-07-18,2017-10-10,426,ولشرق,ISLZ
1396-07-19,2017-10-11,447,ولشرق,ISLZ
1396-07-22,2017-10-14,469,ولشرق,ISLZ
1396-07-23,2017-10-15,516,ولشرق,ISLZ
1396-07-24,2017-10-16,506,ولشرق,ISLZ
1396-07-25,2017-10-17,478,ولشرق,ISLZ
1396-07-26,2017-10-18,477,ولشرق,ISLZ
1396-07-29,2017-10-21,451,ولشرق,ISLZ
1396-07-30,2017-10-22,457,ولشرق,ISLZ
1396-08-01,2017-10-23,445,ولشرق,ISLZ
1396-08-02,2017-10-24,450,ولشرق,ISLZ
1396-08-03,2017-10-25,457,ولشرق,ISLZ
1396-08-06,2017-10-28,456,ولشرق,ISLZ
1396-08-07,2017-10-29,457,ولشرق,ISLZ
1396-08-08,2017-10-30,456,ولشرق,ISLZ
1396-08-09,2017-10-31,470,ولشرق,ISLZ
1396-08-10,2017-11-01,457,ولشرق,ISLZ
1396-08-13,2017-11-04,464,ولشرق,ISLZ
1396-08-14,2017-11-05,459,ولشرق,ISLZ
1396-08-15,2017-11-06,461,ولشرق,ISLZ
1396-08-16,2017-11-07,453,ولشرق,ISLZ
1396-08-17,2017-11-08,456,ولشرق,ISLZ
1396-08-20,2017-11-11,451,ولشرق,ISLZ
1396-08-21,2017-11-12,450,ولشرق,ISLZ
1396-08-22,2017-11-13,445,ولشرق,ISLZ
1396-08-23,2017-11-14,445,ولشرق,ISLZ
1396-08-24,2017-11-15,441,ولشرق,ISLZ
1396-08-27,2017-11-18,434,ولشرق,ISLZ
1396-08-29,2017-11-20,429,ولشرق,ISLZ
1396-08-30,2017-11-21,446,ولشرق,ISLZ
1396-09-01,2017-11-22,438,ولشرق,ISLZ
1396-09-04,2017-11-25,432,ولشرق,ISLZ
1396-09-05,2017-11-26,428,ولشرق,ISLZ
1396-09-07,2017-11-28,427,ولشرق,ISLZ
1396-09-08,2017-11-29,429,ولشرق,ISLZ
1396-09-11,2017-12-02,434,ولشرق,ISLZ
1396-09-12,2017-12-03,429,ولشرق,ISLZ
1396-09-13,2017-12-04,434,ولشرق,ISLZ
1396-09-14,2017-12-05,433,ولشرق,ISLZ
1396-09-18,2017-12-09,438,ولشرق,ISLZ
1396-09-19,2017-12-10,438,ولشرق,ISLZ
1396-09-20,2017-12-11,456,ولشرق,ISLZ
1396-09-21,2017-12-12,441,ولشرق,ISLZ
1396-09-22,2017-12-13,456,ولشرق,ISLZ
1396-09-25,2017-12-16,450,ولشرق,ISLZ
1396-09-26,2017-12-17,445,ولشرق,ISLZ
1396-09-27,2017-12-18,444,ولشرق,ISLZ
1396-09-28,2017-12-19,437,ولشرق,ISLZ
1396-09-29,2017-12-20,441,ولشرق,ISLZ
1396-10-02,2017-12-23,441,ولشرق,ISLZ
1396-10-03,2017-12-24,452,ولشرق,ISLZ
1396-10-04,2017-12-25,445,ولشرق,ISLZ
1396-10-05,2017-12-26,441,ولشرق,ISLZ
1396-10-06,2017-12-27,438,ولشرق,ISLZ
1396-10-09,2017-12-30,423,ولشرق,ISLZ
1396-10-10,2017-12-31,403,ولشرق,ISLZ
1396-10-11,2018-01-01,408,ولشرق,ISLZ
1396-10-12,2018-01-02,398,ولشرق,ISLZ
1396-10-13,2018-01-03,398,ولشرق,ISLZ
1396-10-16,2018-01-06,408,ولشرق,ISLZ
1396-10-17,2018-01-07,408,ولشرق,ISLZ
1396-10-18,2018-01-08,406,ولشرق,ISLZ
1396-10-19,2018-01-09,396,ولشرق,ISLZ
1396-10-20,2018-01-10,395,ولشرق,ISLZ
1396-10-23,2018-01-13,396,ولشرق,ISLZ
1396-10-24,2018-01-14,396,ولشرق,ISLZ
1396-10-25,2018-01-15,398,ولشرق,ISLZ
1396-10-26,2018-01-16,389,ولشرق,ISLZ
1396-10-27,2018-01-17,392,ولشرق,ISLZ
1396-10-30,2018-01-20,389,ولشرق,ISLZ
1396-11-01,2018-01-21,389,ولشرق,ISLZ
1396-11-02,2018-01-22,387,ولشرق,ISLZ
1396-11-03,2018-01-23,395,ولشرق,ISLZ
1396-11-04,2018-01-24,391,ولشرق,ISLZ
1396-11-07,2018-01-27,394,ولشرق,ISLZ
1396-11-08,2018-01-28,391,ولشرق,ISLZ
1396-11-09,2018-01-29,391,ولشرق,ISLZ
1396-11-10,2018-01-30,391,ولشرق,ISLZ
1396-11-11,2018-01-31,390,ولشرق,ISLZ
1396-11-14,2018-02-03,384,ولشرق,ISLZ
1396-11-15,2018-02-04,405,ولشرق,ISLZ
1396-11-16,2018-02-05,403,ولشرق,ISLZ
1396-11-17,2018-02-06,394,ولشرق,ISLZ
1396-11-18,2018-02-07,391,ولشرق,ISLZ
1396-11-21,2018-02-10,387,ولشرق,ISLZ
1396-11-23,2018-02-12,387,ولشرق,ISLZ
1396-11-24,2018-02-13,390,ولشرق,ISLZ
1396-11-25,2018-02-14,388,ولشرق,ISLZ
1396-11-28,2018-02-17,378,ولشرق,ISLZ
1396-11-29,2018-02-18,378,ولشرق,ISLZ
1396-11-30,2018-02-19,382,ولشرق,ISLZ
1396-12-02,2018-02-21,399,ولشرق,ISLZ
1396-12-05,2018-02-24,436,ولشرق,ISLZ
1396-12-06,2018-02-25,415,ولشرق,ISLZ
1396-12-07,2018-02-26,434,ولشرق,ISLZ
1396-12-08,2018-02-27,438,ولشرق,ISLZ
1396-12-09,2018-02-28,440,ولشرق,ISLZ
1396-12-12,2018-03-03,426,ولشرق,ISLZ
1396-12-13,2018-03-04,416,ولشرق,ISLZ
1396-12-14,2018-03-05,404,ولشرق,ISLZ
1396-12-15,2018-03-06,403,ولشرق,ISLZ
1396-12-16,2018-03-07,398,ولشرق,ISLZ
1396-12-19,2018-03-10,403,ولشرق,ISLZ
1396-12-20,2018-03-11,401,ولشرق,ISLZ
1396-12-21,2018-03-12,403,ولشرق,ISLZ
1396-12-22,2018-03-13,402,ولشرق,ISLZ
1397-01-05,2018-03-25,438,ولشرق,ISLZ
1397-01-06,2018-03-26,437,ولشرق,ISLZ
1397-01-07,2018-03-27,430,ولشرق,ISLZ
1397-01-08,2018-03-28,449,ولشرق,ISLZ
1397-01-14,2018-04-03,440,ولشرق,ISLZ
1397-01-15,2018-04-04,441,ولشرق,ISLZ
1397-01-18,2018-04-07,435,ولشرق,ISLZ
1397-01-19,2018-04-08,423,ولشرق,ISLZ
1397-01-20,2018-04-09,403,ولشرق,ISLZ
1397-01-21,2018-04-10,421,ولشرق,ISLZ
1397-01-22,2018-04-11,410,ولشرق,ISLZ
1397-01-26,2018-04-15,407,ولشرق,ISLZ
1397-01-27,2018-04-16,415,ولشرق,ISLZ
1397-01-28,2018-04-17,421,ولشرق,ISLZ
1397-01-29,2018-04-18,423,ولشرق,ISLZ
1397-02-01,2018-04-21,416,ولشرق,ISLZ
1397-02-02,2018-04-22,417,ولشرق,ISLZ
1397-02-03,2018-04-23,417,ولشرق,ISLZ
1397-02-04,2018-04-24,419,ولشرق,ISLZ
1397-02-05,2018-04-25,418,ولشرق,ISLZ
1397-02-08,2018-04-28,417,ولشرق,ISLZ
1397-02-09,2018-04-29,415,ولشرق,ISLZ
1397-02-10,2018-04-30,412,ولشرق,ISLZ
1397-02-11,2018-05-01,412,ولشرق,ISLZ
1397-02-15,2018-05-05,415,ولشرق,ISLZ
1397-02-16,2018-05-06,412,ولشرق,ISLZ
1397-02-17,2018-05-07,416,ولشرق,ISLZ
1397-02-18,2018-05-08,419,ولشرق,ISLZ
1397-02-19,2018-05-09,418,ولشرق,ISLZ
1397-02-22,2018-05-12,415,ولشرق,ISLZ
1397-02-23,2018-05-13,425,ولشرق,ISLZ
1397-02-24,2018-05-14,455,ولشرق,ISLZ
1397-02-25,2018-05-15,449,ولشرق,ISLZ
1397-02-26,2018-05-16,444,ولشرق,ISLZ
1397-02-29,2018-05-19,448,ولشرق,ISLZ
1397-02-30,2018-05-20,451,ولشرق,ISLZ
1397-02-31,2018-05-21,469,ولشرق,ISLZ
1397-03-01,2018-05-22,471,ولشرق,ISLZ
1397-03-02,2018-05-23,471,ولشرق,ISLZ
1397-03-05,2018-05-26,470,ولشرق,ISLZ
1397-03-06,2018-05-27,481,ولشرق,ISLZ
1397-03-07,2018-05-28,475,ولشرق,ISLZ
1397-03-08,2018-05-29,473,ولشرق,ISLZ
1397-03-09,2018-05-30,469,ولشرق,ISLZ
1397-03-12,2018-06-02,466,ولشرق,ISLZ
1397-03-13,2018-06-03,458,ولشرق,ISLZ
1397-03-19,2018-06-09,457,ولشرق,ISLZ
1397-03-20,2018-06-10,456,ولشرق,ISLZ
1397-03-21,2018-06-11,463,ولشرق,ISLZ
1397-03-22,2018-06-12,469,ولشرق,ISLZ
1397-03-23,2018-06-13,467,ولشرق,ISLZ
1397-03-27,2018-06-17,477,ولشرق,ISLZ
1397-03-28,2018-06-18,467,ولشرق,ISLZ
1397-03-29,2018-06-19,472,ولشرق,ISLZ
1397-03-30,2018-06-20,469,ولشرق,ISLZ
1397-04-02,2018-06-23,469,ولشرق,ISLZ
1397-04-03,2018-06-24,486,ولشرق,ISLZ
1397-04-04,2018-06-25,492,ولشرق,ISLZ
1397-04-05,2018-06-26,469,ولشرق,ISLZ
1397-04-06,2018-06-27,466,ولشرق,ISLZ
1397-04-09,2018-06-30,472,ولشرق,ISLZ
1397-04-10,2018-07-01,461,ولشرق,ISLZ
1397-04-11,2018-07-02,469,ولشرق,ISLZ
1397-04-12,2018-07-03,469,ولشرق,ISLZ
1397-04-13,2018-07-04,460,ولشرق,ISLZ
1397-04-16,2018-07-07,463,ولشرق,ISLZ
1397-04-17,2018-07-08,455,ولشرق,ISLZ
1397-04-19,2018-07-10,447,ولشرق,ISLZ
1397-04-20,2018-07-11,441,ولشرق,ISLZ
1397-04-23,2018-07-14,447,ولشرق,ISLZ
1397-04-24,2018-07-15,453,ولشرق,ISLZ
1397-04-25,2018-07-16,453,ولشرق,ISLZ
