J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-05-18,2021-08-09,4049,ویسا,ISTP
1400-05-19,2021-08-10,4171,ویسا,ISTP
1400-05-20,2021-08-11,4275,ویسا,ISTP
1400-05-23,2021-08-14,4403,ویسا,ISTP
1400-05-24,2021-08-15,4499,ویسا,ISTP
1400-05-31,2021-08-22,4634,ویسا,ISTP
1400-06-01,2021-08-23,4747,ویسا,ISTP
1400-06-02,2021-08-24,4889,ویسا,ISTP
1400-06-16,2021-09-07,5035,ویسا,ISTP
1400-06-17,2021-09-08,5037,ویسا,ISTP
1400-06-20,2021-09-11,5045,ویسا,ISTP
1400-06-21,2021-09-12,5199,ویسا,ISTP
1400-06-22,2021-09-13,5344,ویسا,ISTP
1400-06-23,2021-09-14,5351,ویسا,ISTP
1400-06-24,2021-09-15,5357,ویسا,ISTP
1400-06-27,2021-09-18,5486,ویسا,ISTP
1400-06-28,2021-09-19,5501,ویسا,ISTP
1400-07-12,2021-10-04,5501,ویسا,ISTP
1400-07-14,2021-10-06,5629,ویسا,ISTP
1400-07-17,2021-10-09,5795,ویسا,ISTP
1400-07-18,2021-10-10,5867,ویسا,ISTP
1400-07-19,2021-10-11,6158,ویسا,ISTP
1400-07-20,2021-10-12,6329,ویسا,ISTP
1400-07-21,2021-10-13,6487,ویسا,ISTP
1400-07-24,2021-10-16,6677,ویسا,ISTP
1400-07-25,2021-10-17,7011,ویسا,ISTP
1400-07-26,2021-10-18,7221,ویسا,ISTP
1400-07-27,2021-10-19,7437,ویسا,ISTP
1400-07-28,2021-10-20,7652,ویسا,ISTP
1400-08-01,2021-10-23,8034,ویسا,ISTP
1400-08-03,2021-10-25,7726,ویسا,ISTP
1400-08-04,2021-10-26,7650,ویسا,ISTP
1400-08-05,2021-10-27,7421,ویسا,ISTP
1400-08-08,2021-10-30,7167,ویسا,ISTP
1400-08-09,2021-10-31,7299,ویسا,ISTP
1400-08-10,2021-11-01,7406,ویسا,ISTP
1400-08-11,2021-11-02,7628,ویسا,ISTP
1400-08-12,2021-11-03,7706,ویسا,ISTP
1400-08-15,2021-11-06,7713,ویسا,ISTP
1400-08-16,2021-11-07,7488,ویسا,ISTP
1400-08-17,2021-11-08,7398,ویسا,ISTP
1400-08-18,2021-11-09,7429,ویسا,ISTP
1400-08-19,2021-11-10,7327,ویسا,ISTP
1400-08-22,2021-11-13,7467,ویسا,ISTP
1400-08-23,2021-11-14,7517,ویسا,ISTP
1400-08-24,2021-11-15,7261,ویسا,ISTP
1400-08-25,2021-11-16,7115,ویسا,ISTP
1400-08-26,2021-11-17,7267,ویسا,ISTP
1400-08-29,2021-11-20,6979,ویسا,ISTP
1400-08-30,2021-11-21,7233,ویسا,ISTP
1400-09-01,2021-11-22,7432,ویسا,ISTP
1400-09-02,2021-11-23,7654,ویسا,ISTP
1400-09-06,2021-11-27,7809,ویسا,ISTP
1400-09-07,2021-11-28,8043,ویسا,ISTP
1400-09-08,2021-11-29,8284,ویسا,ISTP
1400-09-09,2021-11-30,8226,ویسا,ISTP
1400-09-10,2021-12-01,8147,ویسا,ISTP
1400-09-13,2021-12-04,7961,ویسا,ISTP
1400-09-14,2021-12-05,8059,ویسا,ISTP
1400-09-15,2021-12-06,8000,ویسا,ISTP
1400-09-16,2021-12-07,7965,ویسا,ISTP
1400-09-17,2021-12-08,8042,ویسا,ISTP
1400-09-20,2021-12-11,7954,ویسا,ISTP
1400-09-21,2021-12-12,7949,ویسا,ISTP
1400-09-22,2021-12-13,8102,ویسا,ISTP
1400-09-23,2021-12-14,8031,ویسا,ISTP
1400-09-24,2021-12-15,7958,ویسا,ISTP
1400-09-27,2021-12-18,7667,ویسا,ISTP
1400-09-28,2021-12-19,7813,ویسا,ISTP
1400-09-29,2021-12-20,7820,ویسا,ISTP
1400-09-30,2021-12-21,8054,ویسا,ISTP
1400-10-01,2021-12-22,8295,ویسا,ISTP
1400-10-04,2021-12-25,8078,ویسا,ISTP
1400-10-05,2021-12-26,7987,ویسا,ISTP
1400-10-06,2021-12-27,7962,ویسا,ISTP
1400-10-07,2021-12-28,7846,ویسا,ISTP
1400-10-08,2021-12-29,7759,ویسا,ISTP
1400-10-11,2022-01-01,7618,ویسا,ISTP
1400-10-12,2022-01-02,7706,ویسا,ISTP
1400-10-13,2022-01-03,7567,ویسا,ISTP
1400-10-14,2022-01-04,7498,ویسا,ISTP
1400-10-15,2022-01-05,7455,ویسا,ISTP
1400-10-18,2022-01-08,7546,ویسا,ISTP
1400-10-19,2022-01-09,7606,ویسا,ISTP
1400-10-20,2022-01-10,7566,ویسا,ISTP
1400-10-21,2022-01-11,7536,ویسا,ISTP
1400-10-22,2022-01-12,7616,ویسا,ISTP
1400-10-25,2022-01-15,7447,ویسا,ISTP
1400-10-26,2022-01-16,7556,ویسا,ISTP
1400-10-27,2022-01-17,7397,ویسا,ISTP
1400-10-28,2022-01-18,7367,ویسا,ISTP
1400-10-29,2022-01-19,7507,ویسا,ISTP
1400-11-02,2022-01-22,7268,ویسا,ISTP
1400-11-03,2022-01-23,7108,ویسا,ISTP
1400-11-04,2022-01-24,7009,ویسا,ISTP
1400-11-05,2022-01-25,6989,ویسا,ISTP
1400-11-06,2022-01-26,6989,ویسا,ISTP
1400-11-09,2022-01-29,6979,ویسا,ISTP
1400-11-10,2022-01-30,6999,ویسا,ISTP
1400-11-11,2022-01-31,6969,ویسا,ISTP
1400-11-12,2022-02-01,6820,ویسا,ISTP
1400-11-13,2022-02-02,7098,ویسا,ISTP
1400-11-16,2022-02-05,7009,ویسا,ISTP
1400-11-17,2022-02-06,7019,ویسا,ISTP
1400-11-18,2022-02-07,6919,ویسا,ISTP
1400-11-19,2022-02-08,6919,ویسا,ISTP
1400-11-20,2022-02-09,6710,ویسا,ISTP
1400-11-23,2022-02-12,6700,ویسا,ISTP
1400-11-24,2022-02-13,6630,ویسا,ISTP
1400-11-25,2022-02-14,6770,ویسا,ISTP
1400-11-27,2022-02-16,6630,ویسا,ISTP
1400-11-30,2022-02-19,6660,ویسا,ISTP
1400-12-01,2022-02-20,6561,ویسا,ISTP
1400-12-02,2022-02-21,6501,ویسا,ISTP
1400-12-03,2022-02-22,6441,ویسا,ISTP
1400-12-04,2022-02-23,6441,ویسا,ISTP
1400-12-07,2022-02-26,6441,ویسا,ISTP
1400-12-08,2022-02-27,6312,ویسا,ISTP
1400-12-09,2022-02-28,6441,ویسا,ISTP
1400-12-11,2022-03-02,6441,ویسا,ISTP
1400-12-14,2022-03-05,6382,ویسا,ISTP
1400-12-15,2022-03-06,6541,ویسا,ISTP
1400-12-16,2022-03-07,6730,ویسا,ISTP
1400-12-17,2022-03-08,6929,ویسا,ISTP
1400-12-18,2022-03-09,7118,ویسا,ISTP
1400-12-21,2022-03-12,7049,ویسا,ISTP
1400-12-22,2022-03-13,7188,ویسا,ISTP
1400-12-23,2022-03-14,6899,ویسا,ISTP
1400-12-24,2022-03-15,6979,ویسا,ISTP
1400-12-25,2022-03-16,6949,ویسا,ISTP
1400-12-28,2022-03-19,6929,ویسا,ISTP
1401-01-06,2022-03-26,7009,ویسا,ISTP
1401-01-07,2022-03-27,7238,ویسا,ISTP
1401-01-09,2022-03-29,7019,ویسا,ISTP
1401-01-10,2022-03-30,6969,ویسا,ISTP
1401-01-14,2022-04-03,6909,ویسا,ISTP
1401-01-15,2022-04-04,6830,ویسا,ISTP
1401-01-16,2022-04-05,6909,ویسا,ISTP
1401-01-17,2022-04-06,6690,ویسا,ISTP
1401-01-20,2022-04-09,6670,ویسا,ISTP
1401-01-21,2022-04-10,6959,ویسا,ISTP
1401-01-22,2022-04-11,6770,ویسا,ISTP
1401-01-23,2022-04-12,6820,ویسا,ISTP
1401-01-24,2022-04-13,6830,ویسا,ISTP
1401-01-27,2022-04-16,7088,ویسا,ISTP
1401-01-28,2022-04-17,7218,ویسا,ISTP
1401-01-29,2022-04-18,6959,ویسا,ISTP
1401-01-30,2022-04-19,6849,ویسا,ISTP
1401-01-31,2022-04-20,6859,ویسا,ISTP
1401-02-04,2022-04-24,6620,ویسا,ISTP
1401-02-05,2022-04-25,6849,ویسا,ISTP
1401-02-06,2022-04-26,6840,ویسا,ISTP
1401-02-07,2022-04-27,6720,ویسا,ISTP
1401-02-10,2022-04-30,6969,ویسا,ISTP
1401-02-11,2022-05-01,7068,ویسا,ISTP
1401-02-12,2022-05-02,6869,ویسا,ISTP
1401-02-17,2022-05-07,6760,ویسا,ISTP
1401-02-18,2022-05-08,6720,ویسا,ISTP
1401-02-19,2022-05-09,6899,ویسا,ISTP
1401-02-20,2022-05-10,6670,ویسا,ISTP
1401-02-21,2022-05-11,6849,ویسا,ISTP
1401-02-24,2022-05-14,6650,ویسا,ISTP
1401-02-25,2022-05-15,6511,ویسا,ISTP
1401-02-26,2022-05-16,6700,ویسا,ISTP
1401-02-27,2022-05-17,6720,ویسا,ISTP
1401-02-28,2022-05-18,6630,ویسا,ISTP
1401-02-31,2022-05-21,6581,ویسا,ISTP
1401-03-01,2022-05-22,6581,ویسا,ISTP
1401-03-02,2022-05-23,6650,ویسا,ISTP
1401-03-03,2022-05-24,6491,ویسا,ISTP
1401-03-04,2022-05-25,6571,ویسا,ISTP
1401-03-07,2022-05-28,6700,ویسا,ISTP
1401-03-08,2022-05-29,6720,ویسا,ISTP
1401-03-09,2022-05-30,6670,ویسا,ISTP
1401-03-10,2022-05-31,6620,ویسا,ISTP
1401-03-11,2022-06-01,6511,ویسا,ISTP
1401-03-16,2022-06-06,6421,ویسا,ISTP
1401-03-17,2022-06-07,6372,ویسا,ISTP
1401-03-18,2022-06-08,6391,ویسا,ISTP
1401-03-21,2022-06-11,6382,ویسا,ISTP
1401-03-22,2022-06-12,6372,ویسا,ISTP
1401-03-23,2022-06-13,6561,ویسا,ISTP
1401-03-24,2022-06-14,6670,ویسا,ISTP
1401-03-25,2022-06-15,6810,ویسا,ISTP
1401-03-28,2022-06-18,7009,ویسا,ISTP
1401-03-29,2022-06-19,7029,ویسا,ISTP
1401-04-01,2022-06-22,7337,ویسا,ISTP
1401-04-04,2022-06-25,7477,ویسا,ISTP
1401-04-05,2022-06-26,7427,ویسا,ISTP
1401-04-06,2022-06-27,7198,ویسا,ISTP
1401-04-07,2022-06-28,7148,ویسا,ISTP
1401-04-08,2022-06-29,7088,ویسا,ISTP
1401-04-11,2022-07-02,7068,ویسا,ISTP
1401-04-12,2022-07-03,7039,ویسا,ISTP
1401-04-13,2022-07-04,7039,ویسا,ISTP
1401-04-14,2022-07-05,6999,ویسا,ISTP
1401-04-15,2022-07-06,6959,ویسا,ISTP
1401-04-18,2022-07-09,6929,ویسا,ISTP
1401-04-20,2022-07-11,6840,ویسا,ISTP
1401-04-21,2022-07-12,6790,ویسا,ISTP
1401-04-22,2022-07-13,7068,ویسا,ISTP
1401-04-25,2022-07-16,6939,ویسا,ISTP
1401-04-26,2022-07-17,6889,ویسا,ISTP
1401-04-28,2022-07-19,6840,ویسا,ISTP
1401-05-04,2022-07-26,6640,ویسا,ISTP
1401-05-05,2022-07-27,6560,ویسا,ISTP
1401-05-08,2022-07-30,6520,ویسا,ISTP
1401-05-09,2022-07-31,6510,ویسا,ISTP
1401-05-10,2022-08-01,6510,ویسا,ISTP
1401-05-11,2022-08-02,6480,ویسا,ISTP
1401-05-12,2022-08-03,6300,ویسا,ISTP
1401-05-15,2022-08-06,6480,ویسا,ISTP
1401-05-18,2022-08-09,6380,ویسا,ISTP
1401-05-19,2022-08-10,6270,ویسا,ISTP
1401-05-22,2022-08-13,6190,ویسا,ISTP
1401-05-23,2022-08-14,5950,ویسا,ISTP
1401-05-24,2022-08-15,5790,ویسا,ISTP
1401-05-25,2022-08-16,5770,ویسا,ISTP
1401-05-26,2022-08-17,5680,ویسا,ISTP
1401-05-29,2022-08-20,5680,ویسا,ISTP
1401-05-30,2022-08-21,5720,ویسا,ISTP
1401-05-31,2022-08-22,5890,ویسا,ISTP
1401-06-01,2022-08-23,6030,ویسا,ISTP
1401-06-02,2022-08-24,6210,ویسا,ISTP
1401-06-05,2022-08-27,6390,ویسا,ISTP
1401-06-06,2022-08-28,6200,ویسا,ISTP
1401-06-07,2022-08-29,6110,ویسا,ISTP
1401-06-08,2022-08-30,6120,ویسا,ISTP
1401-06-09,2022-08-31,6250,ویسا,ISTP
1401-06-12,2022-09-03,6200,ویسا,ISTP
1401-06-13,2022-09-04,6230,ویسا,ISTP
1401-06-14,2022-09-05,6260,ویسا,ISTP
1401-06-15,2022-09-06,6160,ویسا,ISTP
1401-06-16,2022-09-07,6170,ویسا,ISTP
1401-06-19,2022-09-10,6000,ویسا,ISTP
1401-06-20,2022-09-11,6010,ویسا,ISTP
1401-06-21,2022-09-12,6000,ویسا,ISTP
1401-06-22,2022-09-13,6030,ویسا,ISTP
1401-06-23,2022-09-14,5920,ویسا,ISTP
1401-06-27,2022-09-18,5850,ویسا,ISTP
1401-06-28,2022-09-19,5910,ویسا,ISTP
1401-06-29,2022-09-20,5810,ویسا,ISTP
1401-06-30,2022-09-21,6050,ویسا,ISTP
1401-07-02,2022-09-24,5860,ویسا,ISTP
1401-07-04,2022-09-26,6110,ویسا,ISTP
1401-07-06,2022-09-28,5910,ویسا,ISTP
1401-07-09,2022-10-01,5870,ویسا,ISTP
1401-07-10,2022-10-02,5830,ویسا,ISTP
1401-09-05,2022-11-26,5820,ویسا,ISTP
1401-09-06,2022-11-27,5830,ویسا,ISTP
1401-09-07,2022-11-28,5790,ویسا,ISTP
1401-09-08,2022-11-29,5750,ویسا,ISTP
1401-09-09,2022-11-30,5710,ویسا,ISTP
1401-09-12,2022-12-03,5700,ویسا,ISTP
1401-09-13,2022-12-04,5860,ویسا,ISTP
1401-09-14,2022-12-05,5810,ویسا,ISTP
1401-09-15,2022-12-06,5750,ویسا,ISTP
1401-09-16,2022-12-07,5700,ویسا,ISTP
1401-09-19,2022-12-10,5650,ویسا,ISTP
1401-09-20,2022-12-11,5690,ویسا,ISTP
1401-09-21,2022-12-12,5560,ویسا,ISTP
1401-09-22,2022-12-13,5500,ویسا,ISTP
1401-09-23,2022-12-14,5690,ویسا,ISTP
1401-09-26,2022-12-17,5840,ویسا,ISTP
1401-09-27,2022-12-18,5960,ویسا,ISTP
1401-09-28,2022-12-19,5970,ویسا,ISTP
1401-09-29,2022-12-20,5900,ویسا,ISTP
1401-09-30,2022-12-21,5890,ویسا,ISTP
1401-10-03,2022-12-24,5800,ویسا,ISTP
1401-10-04,2022-12-25,5780,ویسا,ISTP
1401-10-05,2022-12-26,5970,ویسا,ISTP
1401-10-07,2022-12-28,6130,ویسا,ISTP
1401-10-10,2022-12-31,5990,ویسا,ISTP
1401-10-11,2023-01-01,6010,ویسا,ISTP
1401-10-12,2023-01-02,6010,ویسا,ISTP
1401-10-13,2023-01-03,5910,ویسا,ISTP
1401-10-14,2023-01-04,5800,ویسا,ISTP
1401-10-17,2023-01-07,5970,ویسا,ISTP
1401-10-18,2023-01-08,6020,ویسا,ISTP
1401-10-19,2023-01-09,6000,ویسا,ISTP
1401-10-20,2023-01-10,6140,ویسا,ISTP
1401-10-21,2023-01-11,6320,ویسا,ISTP
1401-10-24,2023-01-14,6360,ویسا,ISTP
1401-10-26,2023-01-16,6560,ویسا,ISTP
1401-10-27,2023-01-17,6400,ویسا,ISTP
1401-10-28,2023-01-18,6540,ویسا,ISTP
1401-11-01,2023-01-21,6310,ویسا,ISTP
1401-11-02,2023-01-22,6180,ویسا,ISTP
1401-11-03,2023-01-23,6090,ویسا,ISTP
1401-11-04,2023-01-24,6100,ویسا,ISTP
1401-11-05,2023-01-25,5930,ویسا,ISTP
1401-11-08,2023-01-28,5960,ویسا,ISTP
1401-11-09,2023-01-29,6040,ویسا,ISTP
1401-11-10,2023-01-30,5780,ویسا,ISTP
1401-11-11,2023-01-31,6050,ویسا,ISTP
1401-11-12,2023-02-01,6160,ویسا,ISTP
1401-11-16,2023-02-05,6090,ویسا,ISTP
1401-11-17,2023-02-06,6040,ویسا,ISTP
1401-11-18,2023-02-07,6090,ویسا,ISTP
1401-11-19,2023-02-08,5990,ویسا,ISTP
1401-11-23,2023-02-12,6010,ویسا,ISTP
1401-11-24,2023-02-13,6010,ویسا,ISTP
1401-11-25,2023-02-14,6050,ویسا,ISTP
1401-11-26,2023-02-15,5910,ویسا,ISTP
1401-11-30,2023-02-19,5970,ویسا,ISTP
1401-12-01,2023-02-20,6050,ویسا,ISTP
1401-12-02,2023-02-21,6100,ویسا,ISTP
1401-12-03,2023-02-22,6230,ویسا,ISTP
1401-12-06,2023-02-25,6310,ویسا,ISTP
1401-12-07,2023-02-26,6420,ویسا,ISTP
1401-12-08,2023-02-27,6340,ویسا,ISTP
1401-12-09,2023-02-28,6260,ویسا,ISTP
1401-12-10,2023-03-01,6190,ویسا,ISTP
1401-12-13,2023-03-04,6220,ویسا,ISTP
1401-12-14,2023-03-05,6150,ویسا,ISTP
1401-12-15,2023-03-06,6070,ویسا,ISTP
1401-12-16,2023-03-07,6300,ویسا,ISTP
1401-12-20,2023-03-11,6420,ویسا,ISTP
1401-12-21,2023-03-12,6330,ویسا,ISTP
1401-12-22,2023-03-13,6220,ویسا,ISTP
1401-12-23,2023-03-14,6330,ویسا,ISTP
1401-12-24,2023-03-15,6350,ویسا,ISTP
1401-12-28,2023-03-19,6510,ویسا,ISTP
1402-01-05,2023-03-25,6380,ویسا,ISTP
1402-01-06,2023-03-26,6400,ویسا,ISTP
1402-01-07,2023-03-27,6380,ویسا,ISTP
1402-01-08,2023-03-28,6570,ویسا,ISTP
1402-01-09,2023-03-29,6760,ویسا,ISTP
1402-01-14,2023-04-03,6960,ویسا,ISTP
1402-01-15,2023-04-04,7150,ویسا,ISTP
1402-01-16,2023-04-05,7360,ویسا,ISTP
1402-01-19,2023-04-08,7240,ویسا,ISTP
1402-01-20,2023-04-09,7280,ویسا,ISTP
1402-01-21,2023-04-10,7140,ویسا,ISTP
1402-01-22,2023-04-11,7370,ویسا,ISTP
1402-01-26,2023-04-15,7510,ویسا,ISTP
1402-01-27,2023-04-16,7730,ویسا,ISTP
1402-01-28,2023-04-17,7960,ویسا,ISTP
1402-01-29,2023-04-18,8190,ویسا,ISTP
1402-01-30,2023-04-19,8430,ویسا,ISTP
1402-02-04,2023-04-24,8610,ویسا,ISTP
1402-02-05,2023-04-25,8850,ویسا,ISTP
1402-02-06,2023-04-26,9090,ویسا,ISTP
1402-02-09,2023-04-29,9360,ویسا,ISTP
1402-02-10,2023-04-30,9520,ویسا,ISTP
1402-02-11,2023-05-01,9890,ویسا,ISTP
1402-02-12,2023-05-02,10060,ویسا,ISTP
1402-02-13,2023-05-03,10330,ویسا,ISTP
1402-02-16,2023-05-06,10630,ویسا,ISTP
1402-02-17,2023-05-07,10650,ویسا,ISTP
1402-02-18,2023-05-08,10110,ویسا,ISTP
1402-02-19,2023-05-09,10270,ویسا,ISTP
1402-02-20,2023-05-10,9960,ویسا,ISTP
1402-02-23,2023-05-13,9780,ویسا,ISTP
1402-02-24,2023-05-14,10130,ویسا,ISTP
1402-02-25,2023-05-15,10000,ویسا,ISTP
1402-02-27,2023-05-17,9720,ویسا,ISTP
1402-02-30,2023-05-20,9590,ویسا,ISTP
1402-02-31,2023-05-21,9890,ویسا,ISTP
1402-03-03,2023-05-24,9970,ویسا,ISTP
1402-03-06,2023-05-27,10260,ویسا,ISTP
1402-03-07,2023-05-28,10560,ویسا,ISTP
1402-03-08,2023-05-29,10870,ویسا,ISTP
1402-03-09,2023-05-30,11190,ویسا,ISTP
1402-03-10,2023-05-31,11020,ویسا,ISTP
1402-03-13,2023-06-03,11240,ویسا,ISTP
1402-03-16,2023-06-06,11490,ویسا,ISTP
1402-03-17,2023-06-07,11190,ویسا,ISTP
1402-03-20,2023-06-10,10900,ویسا,ISTP
1402-03-21,2023-06-11,10730,ویسا,ISTP
1402-03-22,2023-06-12,11090,ویسا,ISTP
