J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-02-22,2021-05-12,2124,فگستر,IZIZ
1400-02-25,2021-05-15,2229,فگستر,IZIZ
1400-02-26,2021-05-16,2341,فگستر,IZIZ
1400-02-27,2021-05-17,2458,فگستر,IZIZ
1400-02-28,2021-05-18,2580,فگستر,IZIZ
1400-02-29,2021-05-19,2709,فگستر,IZIZ
1400-03-01,2021-05-22,2845,فگستر,IZIZ
1400-03-02,2021-05-23,2934,فگستر,IZIZ
1400-03-03,2021-05-24,3003,فگستر,IZIZ
1400-03-04,2021-05-25,3152,فگستر,IZIZ
1400-03-05,2021-05-26,3310,فگستر,IZIZ
1400-03-09,2021-05-30,3475,فگستر,IZIZ
1400-03-10,2021-05-31,3649,فگستر,IZIZ
1400-03-11,2021-06-01,3831,فگستر,IZIZ
1400-03-12,2021-06-02,3941,فگستر,IZIZ
1400-03-17,2021-06-07,4056,فگستر,IZIZ
1400-03-18,2021-06-08,4259,فگستر,IZIZ
1400-03-22,2021-06-12,4059,فگستر,IZIZ
1400-03-23,2021-06-13,4304,فگستر,IZIZ
1400-03-24,2021-06-14,4453,فگستر,IZIZ
1400-03-25,2021-06-15,4675,فگستر,IZIZ
1400-03-26,2021-06-16,4825,فگستر,IZIZ
1400-03-29,2021-06-19,5057,فگستر,IZIZ
1400-03-30,2021-06-20,5283,فگستر,IZIZ
1400-04-12,2021-07-03,4640,فگستر,IZIZ
1400-04-13,2021-07-04,4872,فگستر,IZIZ
1400-04-16,2021-07-07,4977,فگستر,IZIZ
1400-04-19,2021-07-10,5226,فگستر,IZIZ
1400-04-20,2021-07-11,5445,فگستر,IZIZ
1400-04-21,2021-07-12,5690,فگستر,IZIZ
1400-04-22,2021-07-13,5974,فگستر,IZIZ
1400-04-23,2021-07-14,5765,فگستر,IZIZ
1400-04-26,2021-07-17,5583,فگستر,IZIZ
1400-04-27,2021-07-18,5364,فگستر,IZIZ
1400-04-28,2021-07-19,5408,فگستر,IZIZ
1400-05-04,2021-07-26,5455,فگستر,IZIZ
1400-05-05,2021-07-27,5386,فگستر,IZIZ
1400-05-06,2021-07-28,5089,فگستر,IZIZ
1400-05-09,2021-07-31,5168,فگستر,IZIZ
1400-05-10,2021-08-01,4999,فگستر,IZIZ
1400-05-11,2021-08-02,5135,فگستر,IZIZ
1400-05-12,2021-08-03,5322,فگستر,IZIZ
1400-05-13,2021-08-04,5407,فگستر,IZIZ
1400-05-16,2021-08-07,5237,فگستر,IZIZ
1400-05-17,2021-08-08,5215,فگستر,IZIZ
1400-05-18,2021-08-09,5397,فگستر,IZIZ
1400-05-19,2021-08-10,5368,فگستر,IZIZ
1400-05-20,2021-08-11,5531,فگستر,IZIZ
1400-05-23,2021-08-14,5711,فگستر,IZIZ
1400-05-24,2021-08-15,5859,فگستر,IZIZ
1400-05-31,2021-08-22,6116,فگستر,IZIZ
1400-06-01,2021-08-23,5933,فگستر,IZIZ
1400-06-02,2021-08-24,5943,فگستر,IZIZ
1400-06-03,2021-08-25,6042,فگستر,IZIZ
1400-06-06,2021-08-28,6314,فگستر,IZIZ
1400-06-07,2021-08-29,6114,فگستر,IZIZ
1400-06-08,2021-08-30,6093,فگستر,IZIZ
1400-06-09,2021-08-31,5819,فگستر,IZIZ
1400-06-10,2021-09-01,5975,فگستر,IZIZ
1400-06-13,2021-09-04,5814,فگستر,IZIZ
1400-06-14,2021-09-05,5877,فگستر,IZIZ
1400-06-15,2021-09-06,5772,فگستر,IZIZ
1400-06-16,2021-09-07,5761,فگستر,IZIZ
1400-06-17,2021-09-08,5787,فگستر,IZIZ
1400-06-20,2021-09-11,5529,فگستر,IZIZ
1400-06-21,2021-09-12,5432,فگستر,IZIZ
1400-06-22,2021-09-13,5288,فگستر,IZIZ
1400-06-23,2021-09-14,5536,فگستر,IZIZ
1400-06-24,2021-09-15,5587,فگستر,IZIZ
1400-06-27,2021-09-18,5326,فگستر,IZIZ
1400-06-28,2021-09-19,5103,فگستر,IZIZ
1400-06-29,2021-09-20,5074,فگستر,IZIZ
1400-06-30,2021-09-21,4863,فگستر,IZIZ
1400-06-31,2021-09-22,4732,فگستر,IZIZ
1400-07-03,2021-09-25,4771,فگستر,IZIZ
1400-07-04,2021-09-26,4622,فگستر,IZIZ
1400-07-06,2021-09-28,4553,فگستر,IZIZ
1400-07-07,2021-09-29,4647,فگستر,IZIZ
1400-07-10,2021-10-02,4722,فگستر,IZIZ
1400-07-11,2021-10-03,4612,فگستر,IZIZ
1400-07-12,2021-10-04,4658,فگستر,IZIZ
1400-07-14,2021-10-06,4565,فگستر,IZIZ
1400-07-17,2021-10-09,4624,فگستر,IZIZ
1400-07-18,2021-10-10,4731,فگستر,IZIZ
1400-07-19,2021-10-11,4625,فگستر,IZIZ
1400-07-20,2021-10-12,4471,فگستر,IZIZ
1400-07-21,2021-10-13,4371,فگستر,IZIZ
1400-07-24,2021-10-16,4492,فگستر,IZIZ
1400-07-25,2021-10-17,4717,فگستر,IZIZ
1400-07-26,2021-10-18,4649,فگستر,IZIZ
1400-07-27,2021-10-19,4658,فگستر,IZIZ
1400-07-28,2021-10-20,4480,فگستر,IZIZ
1400-08-01,2021-10-23,4296,فگستر,IZIZ
1400-08-03,2021-10-25,4088,فگستر,IZIZ
1400-08-04,2021-10-26,3884,فگستر,IZIZ
1400-08-05,2021-10-27,3839,فگستر,IZIZ
1400-08-08,2021-10-30,3656,فگستر,IZIZ
1400-08-09,2021-10-31,3516,فگستر,IZIZ
1400-08-10,2021-11-01,3439,فگستر,IZIZ
1400-08-11,2021-11-02,3512,فگستر,IZIZ
1400-08-12,2021-11-03,3606,فگستر,IZIZ
1400-08-15,2021-11-06,3648,فگستر,IZIZ
1400-08-16,2021-11-07,3484,فگستر,IZIZ
1400-08-17,2021-11-08,3340,فگستر,IZIZ
