J-Date,Date,Adj Close,Ticker,Ticker(4)
1398-11-08,2020-01-28,4001,فروی,IZSZ
1398-11-12,2020-02-01,4201,فروی,IZSZ
1398-11-13,2020-02-02,4412,فروی,IZSZ
1398-11-14,2020-02-03,4632,فروی,IZSZ
1398-11-15,2020-02-04,4863,فروی,IZSZ
1398-11-16,2020-02-05,5106,فروی,IZSZ
1398-11-19,2020-02-08,5362,فروی,IZSZ
1398-11-20,2020-02-09,5630,فروی,IZSZ
1398-11-21,2020-02-10,5911,فروی,IZSZ
1398-11-23,2020-02-12,6206,فروی,IZSZ
1398-11-27,2020-02-16,6842,فروی,IZSZ
1398-11-28,2020-02-17,7181,فروی,IZSZ
1398-11-29,2020-02-18,7540,فروی,IZSZ
1398-11-30,2020-02-19,7917,فروی,IZSZ
1398-12-03,2020-02-22,8312,فروی,IZSZ
1398-12-04,2020-02-23,8728,فروی,IZSZ
1398-12-05,2020-02-24,9164,فروی,IZSZ
1398-12-06,2020-02-25,9622,فروی,IZSZ
1398-12-07,2020-02-26,10103,فروی,IZSZ
1398-12-10,2020-02-29,10547,فروی,IZSZ
1398-12-12,2020-03-02,11682,فروی,IZSZ
1398-12-13,2020-03-03,12488,فروی,IZSZ
1398-12-14,2020-03-04,13038,فروی,IZSZ
1398-12-17,2020-03-07,13695,فروی,IZSZ
1398-12-19,2020-03-09,12946,فروی,IZSZ
1398-12-20,2020-03-10,12299,فروی,IZSZ
1398-12-21,2020-03-11,11684,فروی,IZSZ
1398-12-24,2020-03-14,11404,فروی,IZSZ
1398-12-25,2020-03-15,11148,فروی,IZSZ
1398-12-26,2020-03-16,11145,فروی,IZSZ
1398-12-27,2020-03-17,10675,فروی,IZSZ
1398-12-28,2020-03-18,10344,فروی,IZSZ
1399-01-05,2020-03-24,10919,فروی,IZSZ
1399-01-06,2020-03-25,11073,فروی,IZSZ
1399-01-09,2020-03-28,11626,فروی,IZSZ
1399-01-10,2020-03-29,11559,فروی,IZSZ
1399-01-11,2020-03-30,11305,فروی,IZSZ
1399-01-16,2020-04-04,11125,فروی,IZSZ
1399-01-17,2020-04-05,10789,فروی,IZSZ
1399-01-18,2020-04-06,10563,فروی,IZSZ
1399-01-19,2020-04-07,11003,فروی,IZSZ
1399-01-20,2020-04-08,11033,فروی,IZSZ
1399-01-23,2020-04-11,11116,فروی,IZSZ
1399-01-24,2020-04-12,11486,فروی,IZSZ
1399-01-25,2020-04-13,11422,فروی,IZSZ
1399-01-26,2020-04-14,11016,فروی,IZSZ
1399-01-27,2020-04-15,11159,فروی,IZSZ
1399-01-30,2020-04-18,11713,فروی,IZSZ
1399-01-31,2020-04-19,11228,فروی,IZSZ
1399-02-01,2020-04-20,11558,فروی,IZSZ
1399-02-02,2020-04-21,12206,فروی,IZSZ
1399-02-03,2020-04-22,12679,فروی,IZSZ
1399-02-06,2020-04-25,13911,فروی,IZSZ
1399-02-07,2020-04-26,14092,فروی,IZSZ
1399-02-08,2020-04-27,13763,فروی,IZSZ
1399-02-09,2020-04-28,14063,فروی,IZSZ
1399-02-10,2020-04-29,14802,فروی,IZSZ
1399-02-13,2020-05-02,15428,فروی,IZSZ
1399-02-14,2020-05-03,15721,فروی,IZSZ
1399-02-15,2020-05-04,15551,فروی,IZSZ
1399-02-16,2020-05-05,14935,فروی,IZSZ
1399-02-17,2020-05-06,14489,فروی,IZSZ
1399-02-20,2020-05-09,15333,فروی,IZSZ
1399-02-21,2020-05-10,16053,فروی,IZSZ
1399-02-22,2020-05-11,15057,فروی,IZSZ
1399-02-23,2020-05-12,14656,فروی,IZSZ
1399-02-28,2020-05-17,13908,فروی,IZSZ
1399-02-29,2020-05-18,14748,فروی,IZSZ
1399-02-30,2020-05-19,14171,فروی,IZSZ
1399-02-31,2020-05-20,13794,فروی,IZSZ
1399-03-03,2020-05-23,13293,فروی,IZSZ
1399-03-06,2020-05-26,12713,فروی,IZSZ
1399-03-07,2020-05-27,13634,فروی,IZSZ
1399-03-10,2020-05-30,14275,فروی,IZSZ
1399-03-11,2020-05-31,13385,فروی,IZSZ
1399-03-12,2020-06-01,14420,فروی,IZSZ
1399-03-13,2020-06-02,14965,فروی,IZSZ
1399-03-17,2020-06-06,15713,فروی,IZSZ
1399-03-18,2020-06-07,16028,فروی,IZSZ
1399-03-19,2020-06-08,15507,فروی,IZSZ
1399-03-20,2020-06-09,14870,فروی,IZSZ
1399-03-21,2020-06-10,15076,فروی,IZSZ
1399-03-24,2020-06-13,15285,فروی,IZSZ
1399-03-25,2020-06-14,15017,فروی,IZSZ
1399-03-26,2020-06-15,15639,فروی,IZSZ
1399-03-27,2020-06-16,16373,فروی,IZSZ
1399-03-31,2020-06-20,17192,فروی,IZSZ
1399-04-01,2020-06-21,18051,فروی,IZSZ
1399-04-02,2020-06-22,17936,فروی,IZSZ
1399-04-03,2020-06-23,17843,فروی,IZSZ
1399-04-04,2020-06-24,17870,فروی,IZSZ
1399-04-07,2020-06-27,18863,فروی,IZSZ
1399-04-08,2020-06-28,17831,فروی,IZSZ
1399-04-09,2020-06-29,17359,فروی,IZSZ
1399-04-10,2020-06-30,18313,فروی,IZSZ
1399-04-11,2020-07-01,19173,فروی,IZSZ
1399-04-14,2020-07-04,18497,فروی,IZSZ
1399-04-15,2020-07-05,19764,فروی,IZSZ
1399-04-16,2020-07-06,20430,فروی,IZSZ
1399-04-17,2020-07-07,21452,فروی,IZSZ
1399-04-18,2020-07-08,20308,فروی,IZSZ
1399-04-21,2020-07-11,21813,فروی,IZSZ
1399-04-22,2020-07-12,21530,فروی,IZSZ
1399-04-23,2020-07-13,21009,فروی,IZSZ
1399-04-24,2020-07-14,20100,فروی,IZSZ
1399-04-25,2020-07-15,19333,فروی,IZSZ
1399-04-28,2020-07-18,19773,فروی,IZSZ
1399-04-29,2020-07-19,19098,فروی,IZSZ
