J-Date,Date,Adj Close,Ticker,Ticker(4)
1395-07-12,2016-10-03,222,بکهنوج,KAHZ
1395-07-13,2016-10-04,233,بکهنوج,KAHZ
1395-07-14,2016-10-05,232,بکهنوج,KAHZ
1395-07-17,2016-10-08,231,بکهنوج,KAHZ
1395-07-18,2016-10-09,231,بکهنوج,KAHZ
1395-07-19,2016-10-10,235,بکهنوج,KAHZ
1395-07-24,2016-10-15,230,بکهنوج,KAHZ
1395-07-25,2016-10-16,225,بکهنوج,KAHZ
1395-07-26,2016-10-17,224,بکهنوج,KAHZ
1395-07-27,2016-10-18,224,بکهنوج,KAHZ
1395-07-28,2016-10-19,224,بکهنوج,KAHZ
1395-08-01,2016-10-22,224,بکهنوج,KAHZ
1395-08-02,2016-10-23,222,بکهنوج,KAHZ
1395-08-03,2016-10-24,222,بکهنوج,KAHZ
1395-08-04,2016-10-25,224,بکهنوج,KAHZ
1395-08-05,2016-10-26,227,بکهنوج,KAHZ
1395-08-08,2016-10-29,228,بکهنوج,KAHZ
1395-08-09,2016-10-30,226,بکهنوج,KAHZ
1395-08-10,2016-10-31,224,بکهنوج,KAHZ
1395-08-11,2016-11-01,223,بکهنوج,KAHZ
1395-08-12,2016-11-02,222,بکهنوج,KAHZ
1395-08-15,2016-11-05,221,بکهنوج,KAHZ
1395-08-16,2016-11-06,219,بکهنوج,KAHZ
1395-08-17,2016-11-07,220,بکهنوج,KAHZ
1395-08-18,2016-11-08,219,بکهنوج,KAHZ
1395-08-19,2016-11-09,217,بکهنوج,KAHZ
1395-08-22,2016-11-12,211,بکهنوج,KAHZ
1395-08-23,2016-11-13,210,بکهنوج,KAHZ
1395-08-24,2016-11-14,211,بکهنوج,KAHZ
1395-08-25,2016-11-15,209,بکهنوج,KAHZ
1395-08-26,2016-11-16,214,بکهنوج,KAHZ
1395-08-29,2016-11-19,209,بکهنوج,KAHZ
1395-09-01,2016-11-21,207,بکهنوج,KAHZ
1395-09-02,2016-11-22,205,بکهنوج,KAHZ
1395-09-03,2016-11-23,210,بکهنوج,KAHZ
1395-09-06,2016-11-26,209,بکهنوج,KAHZ
1395-09-07,2016-11-27,209,بکهنوج,KAHZ
1395-09-09,2016-11-29,204,بکهنوج,KAHZ
1395-09-13,2016-12-03,198,بکهنوج,KAHZ
1395-09-14,2016-12-04,201,بکهنوج,KAHZ
1395-09-15,2016-12-05,209,بکهنوج,KAHZ
1395-09-16,2016-12-06,213,بکهنوج,KAHZ
1395-09-17,2016-12-07,217,بکهنوج,KAHZ
1395-09-20,2016-12-10,217,بکهنوج,KAHZ
1395-09-21,2016-12-11,217,بکهنوج,KAHZ
1395-09-22,2016-12-12,215,بکهنوج,KAHZ
1395-09-23,2016-12-13,210,بکهنوج,KAHZ
1395-09-24,2016-12-14,215,بکهنوج,KAHZ
1395-09-28,2016-12-18,208,بکهنوج,KAHZ
1395-09-29,2016-12-19,207,بکهنوج,KAHZ
1395-09-30,2016-12-20,202,بکهنوج,KAHZ
1395-10-01,2016-12-21,207,بکهنوج,KAHZ
1395-10-04,2016-12-24,203,بکهنوج,KAHZ
1395-10-05,2016-12-25,203,بکهنوج,KAHZ
1395-10-06,2016-12-26,201,بکهنوج,KAHZ
1395-10-07,2016-12-27,200,بکهنوج,KAHZ
1395-10-08,2016-12-28,198,بکهنوج,KAHZ
1395-10-11,2016-12-31,199,بکهنوج,KAHZ
1395-10-12,2017-01-01,198,بکهنوج,KAHZ
1395-10-13,2017-01-02,198,بکهنوج,KAHZ
1395-10-14,2017-01-03,196,بکهنوج,KAHZ
1395-10-15,2017-01-04,195,بکهنوج,KAHZ
1395-10-18,2017-01-07,190,بکهنوج,KAHZ
1395-10-19,2017-01-08,189,بکهنوج,KAHZ
1395-10-20,2017-01-09,192,بکهنوج,KAHZ
1395-10-22,2017-01-11,193,بکهنوج,KAHZ
1395-10-25,2017-01-14,203,بکهنوج,KAHZ
1395-10-26,2017-01-15,207,بکهنوج,KAHZ
1395-10-27,2017-01-16,207,بکهنوج,KAHZ
1395-10-28,2017-01-17,218,بکهنوج,KAHZ
1395-10-29,2017-01-18,216,بکهنوج,KAHZ
1395-11-02,2017-01-21,217,بکهنوج,KAHZ
1395-11-03,2017-01-22,215,بکهنوج,KAHZ
1395-11-04,2017-01-23,215,بکهنوج,KAHZ
1395-11-05,2017-01-24,217,بکهنوج,KAHZ
1395-11-06,2017-01-25,218,بکهنوج,KAHZ
1395-11-09,2017-01-28,218,بکهنوج,KAHZ
1395-11-10,2017-01-29,218,بکهنوج,KAHZ
1395-11-11,2017-01-30,217,بکهنوج,KAHZ
1395-11-12,2017-01-31,219,بکهنوج,KAHZ
1395-11-13,2017-02-01,218,بکهنوج,KAHZ
1395-11-16,2017-02-04,216,بکهنوج,KAHZ
1395-11-17,2017-02-05,217,بکهنوج,KAHZ
1395-11-18,2017-02-06,216,بکهنوج,KAHZ
1395-11-19,2017-02-07,223,بکهنوج,KAHZ
1395-11-20,2017-02-08,230,بکهنوج,KAHZ
1395-11-23,2017-02-11,234,بکهنوج,KAHZ
1395-11-24,2017-02-12,231,بکهنوج,KAHZ
1395-11-25,2017-02-13,234,بکهنوج,KAHZ
1395-11-26,2017-02-14,236,بکهنوج,KAHZ
1395-11-27,2017-02-15,239,بکهنوج,KAHZ
1395-11-30,2017-02-18,242,بکهنوج,KAHZ
1395-12-01,2017-02-19,245,بکهنوج,KAHZ
1395-12-02,2017-02-20,244,بکهنوج,KAHZ
1395-12-03,2017-02-21,239,بکهنوج,KAHZ
1395-12-04,2017-02-22,243,بکهنوج,KAHZ
1395-12-07,2017-02-25,242,بکهنوج,KAHZ
1395-12-08,2017-02-26,239,بکهنوج,KAHZ
1395-12-09,2017-02-27,239,بکهنوج,KAHZ
1395-12-10,2017-02-28,234,بکهنوج,KAHZ
1395-12-11,2017-03-01,233,بکهنوج,KAHZ
1395-12-14,2017-03-04,230,بکهنوج,KAHZ
1395-12-15,2017-03-05,229,بکهنوج,KAHZ
1395-12-16,2017-03-06,235,بکهنوج,KAHZ
1395-12-17,2017-03-07,232,بکهنوج,KAHZ
1395-12-18,2017-03-08,233,بکهنوج,KAHZ
1395-12-21,2017-03-11,233,بکهنوج,KAHZ
1395-12-22,2017-03-12,228,بکهنوج,KAHZ
1395-12-23,2017-03-13,236,بکهنوج,KAHZ
1395-12-24,2017-03-14,239,بکهنوج,KAHZ
1395-12-25,2017-03-15,239,بکهنوج,KAHZ
1395-12-28,2017-03-18,246,بکهنوج,KAHZ
1396-01-05,2017-03-25,236,بکهنوج,KAHZ
1396-01-06,2017-03-26,244,بکهنوج,KAHZ
1396-01-07,2017-03-27,251,بکهنوج,KAHZ
1396-01-08,2017-03-28,253,بکهنوج,KAHZ
1396-01-09,2017-03-29,267,بکهنوج,KAHZ
1396-01-14,2017-04-03,266,بکهنوج,KAHZ
1396-01-15,2017-04-04,256,بکهنوج,KAHZ
1396-01-16,2017-04-05,260,بکهنوج,KAHZ
1396-01-19,2017-04-08,247,بکهنوج,KAHZ
1396-01-20,2017-04-09,241,بکهنوج,KAHZ
1396-01-21,2017-04-10,243,بکهنوج,KAHZ
1396-01-23,2017-04-12,245,بکهنوج,KAHZ
1396-01-26,2017-04-15,240,بکهنوج,KAHZ
1396-01-27,2017-04-16,242,بکهنوج,KAHZ
1396-01-28,2017-04-17,239,بکهنوج,KAHZ
1396-01-29,2017-04-18,239,بکهنوج,KAHZ
1396-01-30,2017-04-19,237,بکهنوج,KAHZ
1396-02-02,2017-04-22,239,بکهنوج,KAHZ
1396-02-03,2017-04-23,251,بکهنوج,KAHZ
1396-02-04,2017-04-24,251,بکهنوج,KAHZ
1396-02-06,2017-04-26,250,بکهنوج,KAHZ
1396-02-09,2017-04-29,241,بکهنوج,KAHZ
1396-02-10,2017-04-30,244,بکهنوج,KAHZ
1396-02-11,2017-05-01,238,بکهنوج,KAHZ
1396-02-12,2017-05-02,242,بکهنوج,KAHZ
1396-02-13,2017-05-03,244,بکهنوج,KAHZ
1396-02-16,2017-05-06,239,بکهنوج,KAHZ
1396-02-17,2017-05-07,237,بکهنوج,KAHZ
1396-02-18,2017-05-08,233,بکهنوج,KAHZ
1396-02-25,2017-05-15,250,بکهنوج,KAHZ
1396-02-26,2017-05-16,245,بکهنوج,KAHZ
1396-02-27,2017-05-17,250,بکهنوج,KAHZ
1396-02-30,2017-05-20,242,بکهنوج,KAHZ
1396-02-31,2017-05-21,242,بکهنوج,KAHZ
1396-03-01,2017-05-22,249,بکهنوج,KAHZ
1396-03-02,2017-05-23,250,بکهنوج,KAHZ
1396-03-03,2017-05-24,250,بکهنوج,KAHZ
1396-03-06,2017-05-27,246,بکهنوج,KAHZ
1396-03-07,2017-05-28,246,بکهنوج,KAHZ
1396-03-08,2017-05-29,245,بکهنوج,KAHZ
1396-03-09,2017-05-30,251,بکهنوج,KAHZ
1396-03-10,2017-05-31,245,بکهنوج,KAHZ
1396-03-13,2017-06-03,249,بکهنوج,KAHZ
1396-03-16,2017-06-06,246,بکهنوج,KAHZ
1396-03-17,2017-06-07,240,بکهنوج,KAHZ
1396-03-20,2017-06-10,249,بکهنوج,KAHZ
1396-03-21,2017-06-11,242,بکهنوج,KAHZ
1396-03-22,2017-06-12,239,بکهنوج,KAHZ
1396-03-23,2017-06-13,231,بکهنوج,KAHZ
1396-03-24,2017-06-14,232,بکهنوج,KAHZ
1396-03-27,2017-06-17,242,بکهنوج,KAHZ
1396-03-28,2017-06-18,229,بکهنوج,KAHZ
1396-03-29,2017-06-19,229,بکهنوج,KAHZ
1396-03-30,2017-06-20,234,بکهنوج,KAHZ
1396-03-31,2017-06-21,244,بکهنوج,KAHZ
1396-04-03,2017-06-24,241,بکهنوج,KAHZ
1396-04-04,2017-06-25,245,بکهنوج,KAHZ
1396-04-07,2017-06-28,241,بکهنوج,KAHZ
1396-04-10,2017-07-01,240,بکهنوج,KAHZ
1396-04-11,2017-07-02,233,بکهنوج,KAHZ
1396-04-12,2017-07-03,244,بکهنوج,KAHZ
1396-04-13,2017-07-04,235,بکهنوج,KAHZ
1396-04-14,2017-07-05,235,بکهنوج,KAHZ
1396-04-17,2017-07-08,239,بکهنوج,KAHZ
1396-04-18,2017-07-09,241,بکهنوج,KAHZ
1396-04-19,2017-07-10,234,بکهنوج,KAHZ
1396-04-20,2017-07-11,241,بکهنوج,KAHZ
1396-04-21,2017-07-12,237,بکهنوج,KAHZ
1396-04-24,2017-07-15,232,بکهنوج,KAHZ
1396-04-25,2017-07-16,237,بکهنوج,KAHZ
1396-04-26,2017-07-17,226,بکهنوج,KAHZ
1396-04-27,2017-07-18,236,بکهنوج,KAHZ
1396-04-28,2017-07-19,236,بکهنوج,KAHZ
1396-04-31,2017-07-22,238,بکهنوج,KAHZ
1396-05-01,2017-07-23,239,بکهنوج,KAHZ
1396-05-02,2017-07-24,241,بکهنوج,KAHZ
1396-05-03,2017-07-25,240,بکهنوج,KAHZ
1396-05-04,2017-07-26,231,بکهنوج,KAHZ
1396-05-07,2017-07-29,237,بکهنوج,KAHZ
1396-05-08,2017-07-30,236,بکهنوج,KAHZ
1396-05-09,2017-07-31,229,بکهنوج,KAHZ
1396-05-10,2017-08-01,230,بکهنوج,KAHZ
1396-05-11,2017-08-02,228,بکهنوج,KAHZ
1396-05-15,2017-08-06,226,بکهنوج,KAHZ
1396-05-16,2017-08-07,226,بکهنوج,KAHZ
1396-05-17,2017-08-08,223,بکهنوج,KAHZ
1396-05-18,2017-08-09,218,بکهنوج,KAHZ
1396-05-21,2017-08-12,221,بکهنوج,KAHZ
1396-05-22,2017-08-13,224,بکهنوج,KAHZ
1396-05-23,2017-08-14,225,بکهنوج,KAHZ
1396-05-24,2017-08-15,223,بکهنوج,KAHZ
1396-05-25,2017-08-16,224,بکهنوج,KAHZ
1396-05-28,2017-08-19,221,بکهنوج,KAHZ
1396-05-29,2017-08-20,221,بکهنوج,KAHZ
1396-05-30,2017-08-21,224,بکهنوج,KAHZ
1396-05-31,2017-08-22,223,بکهنوج,KAHZ
