J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-11-16,2019-02-05,1025,کالا,KALA
1397-11-17,2019-02-06,1000,کالا,KALA
1397-11-21,2019-02-10,950,کالا,KALA
1397-11-23,2019-02-12,903,کالا,KALA
1397-11-24,2019-02-13,926,کالا,KALA
1397-11-27,2019-02-16,898,کالا,KALA
1397-11-28,2019-02-17,905,کالا,KALA
1397-11-29,2019-02-18,889,کالا,KALA
1397-11-30,2019-02-19,943,کالا,KALA
1397-12-01,2019-02-20,979,کالا,KALA
1397-12-04,2019-02-23,1021,کالا,KALA
1397-12-05,2019-02-24,1068,کالا,KALA
1397-12-06,2019-02-25,1121,کالا,KALA
1397-12-07,2019-02-26,1177,کالا,KALA
1397-12-08,2019-02-27,1228,کالا,KALA
1397-12-11,2019-03-02,1290,کالا,KALA
1397-12-12,2019-03-03,1339,کالا,KALA
1397-12-13,2019-03-04,1265,کالا,KALA
1397-12-14,2019-03-05,1219,کالا,KALA
1397-12-15,2019-03-06,1182,کالا,KALA
1397-12-18,2019-03-09,1253,کالا,KALA
1397-12-19,2019-03-10,1243,کالا,KALA
1397-12-20,2019-03-11,1222,کالا,KALA
1397-12-21,2019-03-12,1173,کالا,KALA
1397-12-22,2019-03-13,1225,کالا,KALA
1397-12-25,2019-03-16,1202,کالا,KALA
1397-12-26,2019-03-17,1186,کالا,KALA
1397-12-27,2019-03-18,1183,کالا,KALA
1397-12-28,2019-03-19,1209,کالا,KALA
1398-01-05,2019-03-25,1203,کالا,KALA
1398-01-06,2019-03-26,1195,کالا,KALA
1398-01-07,2019-03-27,1199,کالا,KALA
1398-01-10,2019-03-30,1201,کالا,KALA
1398-01-11,2019-03-31,1200,کالا,KALA
1398-01-17,2019-04-06,1206,کالا,KALA
1398-01-18,2019-04-07,1193,کالا,KALA
1398-01-19,2019-04-08,1269,کالا,KALA
1398-01-20,2019-04-09,1296,کالا,KALA
1398-01-21,2019-04-10,1357,کالا,KALA
1398-01-24,2019-04-13,1361,کالا,KALA
1398-01-25,2019-04-14,1388,کالا,KALA
1398-01-26,2019-04-15,1385,کالا,KALA
1398-01-27,2019-04-16,1454,کالا,KALA
1398-01-28,2019-04-17,1510,کالا,KALA
1398-01-31,2019-04-20,1581,کالا,KALA
1398-02-02,2019-04-22,1661,کالا,KALA
1398-02-03,2019-04-23,1741,کالا,KALA
1398-02-04,2019-04-24,1807,کالا,KALA
1398-02-07,2019-04-27,1992,کالا,KALA
1398-02-08,2019-04-28,2075,کالا,KALA
1398-02-09,2019-04-29,2178,کالا,KALA
1398-02-10,2019-04-30,2107,کالا,KALA
1398-02-11,2019-05-01,2120,کالا,KALA
1398-02-14,2019-05-04,2233,کالا,KALA
1398-02-15,2019-05-05,2129,کالا,KALA
1398-02-16,2019-05-06,2038,کالا,KALA
1398-02-17,2019-05-07,1943,کالا,KALA
1398-02-18,2019-05-08,1954,کالا,KALA
1398-02-21,2019-05-11,1926,کالا,KALA
1398-02-22,2019-05-12,1882,کالا,KALA
1398-02-23,2019-05-13,1981,کالا,KALA
1398-02-24,2019-05-14,2073,کالا,KALA
1398-02-25,2019-05-15,2173,کالا,KALA
1398-02-28,2019-05-18,2274,کالا,KALA
1398-02-29,2019-05-19,2386,کالا,KALA
1398-02-30,2019-05-20,2506,کالا,KALA
1398-02-31,2019-05-21,2602,کالا,KALA
1398-03-01,2019-05-22,2436,کالا,KALA
1398-03-04,2019-05-25,2380,کالا,KALA
1398-03-07,2019-05-28,2584,کالا,KALA
1398-03-08,2019-05-29,2464,کالا,KALA
1398-03-11,2019-06-01,2426,کالا,KALA
1398-03-12,2019-06-02,2413,کالا,KALA
1398-03-13,2019-06-03,2386,کالا,KALA
1398-03-18,2019-06-08,2404,کالا,KALA
1398-03-19,2019-06-09,2528,کالا,KALA
1398-03-20,2019-06-10,2501,کالا,KALA
1398-03-21,2019-06-11,2404,کالا,KALA
1398-03-22,2019-06-12,2360,کالا,KALA
1398-03-25,2019-06-15,2281,کالا,KALA
1398-03-26,2019-06-16,2300,کالا,KALA
1398-03-27,2019-06-17,2372,کالا,KALA
1398-03-28,2019-06-18,2317,کالا,KALA
1398-03-29,2019-06-19,2219,کالا,KALA
1398-04-01,2019-06-22,2195,کالا,KALA
1398-04-11,2019-07-02,2292,کالا,KALA
1398-04-12,2019-07-03,2406,کالا,KALA
1398-04-15,2019-07-06,2374,کالا,KALA
1398-04-16,2019-07-07,2361,کالا,KALA
1398-04-17,2019-07-08,2255,کالا,KALA
1398-04-18,2019-07-09,2194,کالا,KALA
1398-04-19,2019-07-10,2117,کالا,KALA
1398-04-22,2019-07-13,2051,کالا,KALA
1398-04-23,2019-07-14,2162,کالا,KALA
1398-04-24,2019-07-15,2130,کالا,KALA
1398-04-25,2019-07-16,2043,کالا,KALA
1398-04-26,2019-07-17,2073,کالا,KALA
1398-04-29,2019-07-20,1983,کالا,KALA
1398-04-30,2019-07-21,2037,کالا,KALA
1398-04-31,2019-07-22,2135,کالا,KALA
1398-05-01,2019-07-23,2189,کالا,KALA
1398-05-02,2019-07-24,2204,کالا,KALA
1398-05-05,2019-07-27,2152,کالا,KALA
1398-05-06,2019-07-28,2102,کالا,KALA
1398-05-07,2019-07-29,2212,کالا,KALA
1398-06-10,2019-09-01,2414,کالا,KALA
1398-06-11,2019-09-02,2504,کالا,KALA
1398-06-12,2019-09-03,2629,کالا,KALA
1398-06-13,2019-09-04,2728,کالا,KALA
1398-06-16,2019-09-07,2859,کالا,KALA
1398-06-17,2019-09-08,3002,کالا,KALA
1398-06-20,2019-09-11,3138,کالا,KALA
1398-06-23,2019-09-14,2988,کالا,KALA
1398-06-24,2019-09-15,2962,کالا,KALA
1398-06-25,2019-09-16,2962,کالا,KALA
1398-06-26,2019-09-17,2881,کالا,KALA
1398-06-27,2019-09-18,2841,کالا,KALA
1398-06-30,2019-09-21,2931,کالا,KALA
1398-06-31,2019-09-22,3067,کالا,KALA
1398-07-01,2019-09-23,3150,کالا,KALA
1398-07-02,2019-09-24,3035,کالا,KALA
1398-07-03,2019-09-25,3038,کالا,KALA
1398-07-06,2019-09-28,3109,کالا,KALA
1398-07-07,2019-09-29,3056,کالا,KALA
1398-07-08,2019-09-30,3009,کالا,KALA
1398-07-09,2019-10-01,2940,کالا,KALA
1398-07-10,2019-10-02,2965,کالا,KALA
1398-07-13,2019-10-05,2841,کالا,KALA
1398-07-14,2019-10-06,2786,کالا,KALA
1398-07-15,2019-10-07,2797,کالا,KALA
1398-07-16,2019-10-08,2667,کالا,KALA
1398-07-17,2019-10-09,2840,کالا,KALA
1398-07-20,2019-10-12,2932,کالا,KALA
1398-07-21,2019-10-13,2962,کالا,KALA
1398-07-22,2019-10-14,2905,کالا,KALA
1398-07-23,2019-10-15,2637,کالا,KALA
1398-07-24,2019-10-16,2677,کالا,KALA
1398-07-28,2019-10-20,2558,کالا,KALA
1398-07-29,2019-10-21,2486,کالا,KALA
1398-07-30,2019-10-22,2575,کالا,KALA
1398-08-01,2019-10-23,2566,کالا,KALA
1398-08-04,2019-10-26,2501,کالا,KALA
1398-08-06,2019-10-28,2655,کالا,KALA
1398-08-08,2019-10-30,2724,کالا,KALA
1398-08-11,2019-11-02,2808,کالا,KALA
1398-08-12,2019-11-03,2872,کالا,KALA
1398-08-13,2019-11-04,2858,کالا,KALA
1398-08-14,2019-11-05,2888,کالا,KALA
1398-08-18,2019-11-09,2830,کالا,KALA
1398-08-19,2019-11-10,2804,کالا,KALA
1398-08-20,2019-11-11,2920,کالا,KALA
1398-08-21,2019-11-12,3031,کالا,KALA
1398-08-22,2019-11-13,2997,کالا,KALA
1398-08-25,2019-11-16,2955,کالا,KALA
1398-08-26,2019-11-17,2848,کالا,KALA
1398-08-27,2019-11-18,2852,کالا,KALA
1398-08-28,2019-11-19,2989,کالا,KALA
1398-08-29,2019-11-20,3093,کالا,KALA
1398-09-02,2019-11-23,3050,کالا,KALA
1398-09-03,2019-11-24,3073,کالا,KALA
1398-09-04,2019-11-25,3114,کالا,KALA
1398-09-05,2019-11-26,3072,کالا,KALA
1398-09-06,2019-11-27,3061,کالا,KALA
1398-09-09,2019-11-30,3100,کالا,KALA
1398-09-10,2019-12-01,3207,کالا,KALA
1398-09-11,2019-12-02,3291,کالا,KALA
1398-09-12,2019-12-03,3445,کالا,KALA
1398-09-13,2019-12-04,3544,کالا,KALA
1398-09-16,2019-12-07,3476,کالا,KALA
1398-09-17,2019-12-08,3456,کالا,KALA
1398-09-18,2019-12-09,3411,کالا,KALA
1398-09-19,2019-12-10,3464,کالا,KALA
1398-09-20,2019-12-11,3550,کالا,KALA
1398-09-23,2019-12-14,3718,کالا,KALA
1398-09-24,2019-12-15,3873,کالا,KALA
1398-09-25,2019-12-16,4029,کالا,KALA
1398-09-26,2019-12-17,4205,کالا,KALA
1398-09-27,2019-12-18,4397,کالا,KALA
1398-09-30,2019-12-21,4835,کالا,KALA
1398-10-01,2019-12-22,4684,کالا,KALA
1398-10-02,2019-12-23,4663,کالا,KALA
1398-10-03,2019-12-24,4535,کالا,KALA
1398-10-04,2019-12-25,4443,کالا,KALA
1398-10-07,2019-12-28,4654,کالا,KALA
1398-10-08,2019-12-29,4848,کالا,KALA
