J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,3609,بالبر,KALZ
1380-01-07,2001-03-27,3609,بالبر,KALZ
1380-01-08,2001-03-28,3609,بالبر,KALZ
1380-01-11,2001-03-31,3612,بالبر,KALZ
1380-01-14,2001-04-03,3612,بالبر,KALZ
1380-01-19,2001-04-08,3612,بالبر,KALZ
1380-01-20,2001-04-09,3679,بالبر,KALZ
1380-01-21,2001-04-10,3822,بالبر,KALZ
1380-01-22,2001-04-11,3849,بالبر,KALZ
1380-01-25,2001-04-14,3899,بالبر,KALZ
1380-01-26,2001-04-15,4094,بالبر,KALZ
1380-01-27,2001-04-16,4196,بالبر,KALZ
1380-01-29,2001-04-18,4301,بالبر,KALZ
1380-02-01,2001-04-21,4344,بالبر,KALZ
1380-02-02,2001-04-22,4387,بالبر,KALZ
1380-02-03,2001-04-23,4431,بالبر,KALZ
1380-02-04,2001-04-24,4475,بالبر,KALZ
1380-02-05,2001-04-25,4431,بالبر,KALZ
1380-02-08,2001-04-28,4433,بالبر,KALZ
1380-02-09,2001-04-29,4433,بالبر,KALZ
1380-02-10,2001-04-30,4477,بالبر,KALZ
1380-04-13,2001-07-04,3170,بالبر,KALZ
1380-04-16,2001-07-07,3139,بالبر,KALZ
1380-04-17,2001-07-08,3107,بالبر,KALZ
1380-04-18,2001-07-09,3076,بالبر,KALZ
1380-04-19,2001-07-10,3046,بالبر,KALZ
1380-04-20,2001-07-11,2970,بالبر,KALZ
1380-04-23,2001-07-14,2970,بالبر,KALZ
1380-04-24,2001-07-15,2914,بالبر,KALZ
1380-04-25,2001-07-16,2891,بالبر,KALZ
1380-04-26,2001-07-17,2867,بالبر,KALZ
1380-04-27,2001-07-18,2938,بالبر,KALZ
1380-04-31,2001-07-22,3012,بالبر,KALZ
1380-05-07,2001-07-29,3341,بالبر,KALZ
1380-05-08,2001-07-30,3345,بالبر,KALZ
1380-05-09,2001-07-31,3201,بالبر,KALZ
1380-05-10,2001-08-01,3201,بالبر,KALZ
1380-05-13,2001-08-04,3201,بالبر,KALZ
1380-05-14,2001-08-05,3215,بالبر,KALZ
1380-05-15,2001-08-06,3201,بالبر,KALZ
1380-05-16,2001-08-07,3218,بالبر,KALZ
1380-05-17,2001-08-08,3379,بالبر,KALZ
1380-05-22,2001-08-13,3548,بالبر,KALZ
1380-05-23,2001-08-14,3464,بالبر,KALZ
1380-05-24,2001-08-15,3357,بالبر,KALZ
1380-05-27,2001-08-18,3345,بالبر,KALZ
1380-05-28,2001-08-19,3416,بالبر,KALZ
1380-05-29,2001-08-20,3469,بالبر,KALZ
1380-05-30,2001-08-21,3430,بالبر,KALZ
1380-05-31,2001-08-22,3344,بالبر,KALZ
1380-06-03,2001-08-25,3373,بالبر,KALZ
1380-06-04,2001-08-26,3321,بالبر,KALZ
1380-06-05,2001-08-27,3273,بالبر,KALZ
1380-06-06,2001-08-28,3273,بالبر,KALZ
1380-06-07,2001-08-29,3273,بالبر,KALZ
1380-06-10,2001-09-01,3261,بالبر,KALZ
1380-06-11,2001-09-02,3252,بالبر,KALZ
1380-06-12,2001-09-03,3188,بالبر,KALZ
1380-06-13,2001-09-04,3153,بالبر,KALZ
1380-06-14,2001-09-05,3177,بالبر,KALZ
1380-06-17,2001-09-08,3263,بالبر,KALZ
1380-06-18,2001-09-09,3273,بالبر,KALZ
1380-06-19,2001-09-10,3273,بالبر,KALZ
1380-06-20,2001-09-11,3225,بالبر,KALZ
1380-08-01,2001-10-23,3106,بالبر,KALZ
1380-08-02,2001-10-24,3013,بالبر,KALZ
1380-08-05,2001-10-27,2986,بالبر,KALZ
1380-08-06,2001-10-28,2920,بالبر,KALZ
1380-08-07,2001-10-29,3010,بالبر,KALZ
1380-08-08,2001-10-30,3010,بالبر,KALZ
1380-08-09,2001-10-31,3010,بالبر,KALZ
1380-08-12,2001-11-03,3034,بالبر,KALZ
1380-08-13,2001-11-04,3094,بالبر,KALZ
1380-08-14,2001-11-05,3107,بالبر,KALZ
1380-08-15,2001-11-06,3082,بالبر,KALZ
1380-08-16,2001-11-07,3010,بالبر,KALZ
1380-08-19,2001-11-10,3105,بالبر,KALZ
1380-08-20,2001-11-11,3039,بالبر,KALZ
1380-08-21,2001-11-12,2987,بالبر,KALZ
1380-08-22,2001-11-13,2986,بالبر,KALZ
1380-08-23,2001-11-14,2986,بالبر,KALZ
1380-08-26,2001-11-17,2974,بالبر,KALZ
1380-08-27,2001-11-18,2980,بالبر,KALZ
1380-08-28,2001-11-19,3034,بالبر,KALZ
1380-08-29,2001-11-20,3083,بالبر,KALZ
1380-08-30,2001-11-21,3058,بالبر,KALZ
1380-09-03,2001-11-24,3106,بالبر,KALZ
1380-09-04,2001-11-25,3177,بالبر,KALZ
1380-09-05,2001-11-26,3227,بالبر,KALZ
1380-09-06,2001-11-27,3273,بالبر,KALZ
1380-09-07,2001-11-28,3297,بالبر,KALZ
1380-09-10,2001-12-01,3345,بالبر,KALZ
1380-09-11,2001-12-02,3342,بالبر,KALZ
1380-09-12,2001-12-03,3295,بالبر,KALZ
1380-09-13,2001-12-04,3321,بالبر,KALZ
1380-09-14,2001-12-05,3369,بالبر,KALZ
1380-09-17,2001-12-08,3416,بالبر,KALZ
1380-09-18,2001-12-09,3398,بالبر,KALZ
1380-11-03,2002-01-23,3272,بالبر,KALZ
1380-11-06,2002-01-26,3237,بالبر,KALZ
1380-11-07,2002-01-27,3199,بالبر,KALZ
1380-11-08,2002-01-28,3061,بالبر,KALZ
1380-11-09,2002-01-29,3106,بالبر,KALZ
1380-11-10,2002-01-30,3082,بالبر,KALZ
1380-11-13,2002-02-02,2992,بالبر,KALZ
1380-11-14,2002-02-03,3046,بالبر,KALZ
1380-11-15,2002-02-04,3054,بالبر,KALZ
1380-11-16,2002-02-05,3050,بالبر,KALZ
1380-11-17,2002-02-06,3013,بالبر,KALZ
1380-11-20,2002-02-09,3013,بالبر,KALZ
1380-11-21,2002-02-10,3010,بالبر,KALZ
1380-11-23,2002-02-12,2971,بالبر,KALZ
1380-11-24,2002-02-13,2986,بالبر,KALZ
1380-11-27,2002-02-16,3012,بالبر,KALZ
1380-11-28,2002-02-17,3060,بالبر,KALZ
1380-11-29,2002-02-18,3053,بالبر,KALZ
1380-11-30,2002-02-19,3034,بالبر,KALZ
1380-12-01,2002-02-20,3034,بالبر,KALZ
1380-12-05,2002-02-24,3035,بالبر,KALZ
1380-12-06,2002-02-25,3034,بالبر,KALZ
1380-12-07,2002-02-26,3034,بالبر,KALZ
1380-12-08,2002-02-27,3034,بالبر,KALZ
1380-12-11,2002-03-02,3039,بالبر,KALZ
1380-12-13,2002-03-04,3040,بالبر,KALZ
1380-12-14,2002-03-05,3058,بالبر,KALZ
1380-12-15,2002-03-06,3060,بالبر,KALZ
1380-12-18,2002-03-09,3106,بالبر,KALZ
1380-12-19,2002-03-10,3122,بالبر,KALZ
1380-12-20,2002-03-11,3237,بالبر,KALZ
1380-12-21,2002-03-12,3299,بالبر,KALZ
1380-12-22,2002-03-13,3297,بالبر,KALZ
1380-12-25,2002-03-16,3297,بالبر,KALZ
1380-12-26,2002-03-17,3249,بالبر,KALZ
1380-12-27,2002-03-18,3249,بالبر,KALZ
1380-12-28,2002-03-19,3225,بالبر,KALZ
1381-01-07,2002-03-27,3106,بالبر,KALZ
1381-01-10,2002-03-30,3087,بالبر,KALZ
1381-01-11,2002-03-31,3220,بالبر,KALZ
1381-01-14,2002-04-03,3225,بالبر,KALZ
1381-01-17,2002-04-06,3245,بالبر,KALZ
1381-01-18,2002-04-07,3263,بالبر,KALZ
1381-01-19,2002-04-08,3297,بالبر,KALZ
1381-01-20,2002-04-09,3333,بالبر,KALZ
1381-01-21,2002-04-10,3393,بالبر,KALZ
1381-01-24,2002-04-13,3440,بالبر,KALZ
1381-01-25,2002-04-14,3464,بالبر,KALZ
1381-01-26,2002-04-15,3463,بالبر,KALZ
1381-01-27,2002-04-16,3465,بالبر,KALZ
1381-01-28,2002-04-17,3467,بالبر,KALZ
1381-01-31,2002-04-20,3464,بالبر,KALZ
1381-02-01,2002-04-21,3384,بالبر,KALZ
1381-02-02,2002-04-22,3447,بالبر,KALZ
1381-02-03,2002-04-23,3440,بالبر,KALZ
1381-02-04,2002-04-24,3431,بالبر,KALZ
1381-02-07,2002-04-27,3392,بالبر,KALZ
1381-02-08,2002-04-28,3404,بالبر,KALZ
1381-02-09,2002-04-29,3393,بالبر,KALZ
1381-02-10,2002-04-30,3393,بالبر,KALZ
