J-Date,Date,Adj Close,Ticker,Ticker(4)
1395-02-19,2016-05-08,169,چکاپا,KAPA
1395-02-20,2016-05-09,177,چکاپا,KAPA
1395-02-21,2016-05-10,186,چکاپا,KAPA
1395-02-22,2016-05-11,195,چکاپا,KAPA
1395-02-25,2016-05-14,205,چکاپا,KAPA
1395-02-26,2016-05-15,215,چکاپا,KAPA
1395-02-27,2016-05-16,223,چکاپا,KAPA
1395-02-28,2016-05-17,233,چکاپا,KAPA
1395-02-29,2016-05-18,228,چکاپا,KAPA
1395-03-01,2016-05-21,237,چکاپا,KAPA
1395-03-03,2016-05-23,247,چکاپا,KAPA
1395-03-04,2016-05-24,242,چکاپا,KAPA
1395-03-05,2016-05-25,241,چکاپا,KAPA
1395-03-08,2016-05-28,237,چکاپا,KAPA
1395-03-09,2016-05-29,232,چکاپا,KAPA
1395-03-10,2016-05-30,234,چکاپا,KAPA
1395-03-11,2016-05-31,233,چکاپا,KAPA
1395-03-12,2016-06-01,235,چکاپا,KAPA
1395-03-16,2016-06-05,234,چکاپا,KAPA
1395-03-17,2016-06-06,239,چکاپا,KAPA
1395-03-18,2016-06-07,235,چکاپا,KAPA
1395-03-19,2016-06-08,233,چکاپا,KAPA
1395-03-22,2016-06-11,231,چکاپا,KAPA
1395-03-23,2016-06-12,225,چکاپا,KAPA
1395-03-24,2016-06-13,229,چکاپا,KAPA
1395-03-25,2016-06-14,225,چکاپا,KAPA
1395-03-26,2016-06-15,222,چکاپا,KAPA
1395-03-29,2016-06-18,219,چکاپا,KAPA
1395-03-30,2016-06-19,221,چکاپا,KAPA
1395-04-08,2016-06-28,239,چکاپا,KAPA
1395-04-09,2016-06-29,232,چکاپا,KAPA
1395-04-12,2016-07-02,246,چکاپا,KAPA
1395-04-13,2016-07-03,248,چکاپا,KAPA
1395-04-14,2016-07-04,245,چکاپا,KAPA
1395-04-15,2016-07-05,242,چکاپا,KAPA
1395-04-19,2016-07-09,239,چکاپا,KAPA
1395-04-20,2016-07-10,237,چکاپا,KAPA
1395-04-21,2016-07-11,244,چکاپا,KAPA
1395-04-22,2016-07-12,248,چکاپا,KAPA
1395-04-23,2016-07-13,263,چکاپا,KAPA
1395-04-26,2016-07-16,258,چکاپا,KAPA
1395-04-27,2016-07-17,254,چکاپا,KAPA
1395-04-28,2016-07-18,259,چکاپا,KAPA
1395-04-29,2016-07-19,255,چکاپا,KAPA
1395-04-30,2016-07-20,265,چکاپا,KAPA
1395-05-02,2016-07-23,259,چکاپا,KAPA
1395-05-03,2016-07-24,276,چکاپا,KAPA
1395-05-04,2016-07-25,281,چکاپا,KAPA
1395-05-05,2016-07-26,292,چکاپا,KAPA
1395-05-06,2016-07-27,294,چکاپا,KAPA
1395-05-10,2016-07-31,293,چکاپا,KAPA
1395-05-11,2016-08-01,289,چکاپا,KAPA
1395-05-12,2016-08-02,286,چکاپا,KAPA
1395-05-13,2016-08-03,282,چکاپا,KAPA
1395-05-16,2016-08-06,275,چکاپا,KAPA
