J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-10-17,2014-01-07,568,مفاخر,KARZ
1392-10-18,2014-01-08,596,مفاخر,KARZ
1392-10-21,2014-01-11,625,مفاخر,KARZ
1392-10-22,2014-01-12,657,مفاخر,KARZ
1392-10-23,2014-01-13,689,مفاخر,KARZ
1392-10-24,2014-01-14,724,مفاخر,KARZ
1392-10-25,2014-01-15,760,مفاخر,KARZ
1392-10-28,2014-01-18,798,مفاخر,KARZ
1392-10-30,2014-01-20,838,مفاخر,KARZ
1392-11-01,2014-01-21,856,مفاخر,KARZ
1392-11-02,2014-01-22,828,مفاخر,KARZ
1392-11-05,2014-01-25,791,مفاخر,KARZ
1392-11-06,2014-01-26,752,مفاخر,KARZ
1392-11-07,2014-01-27,794,مفاخر,KARZ
1392-11-08,2014-01-28,828,مفاخر,KARZ
1392-11-09,2014-01-29,870,مفاخر,KARZ
1392-11-12,2014-02-01,913,مفاخر,KARZ
1392-11-13,2014-02-02,959,مفاخر,KARZ
1392-11-14,2014-02-03,1002,مفاخر,KARZ
1392-11-15,2014-02-04,1041,مفاخر,KARZ
1392-11-16,2014-02-05,1058,مفاخر,KARZ
1392-11-19,2014-02-08,1035,مفاخر,KARZ
1392-11-20,2014-02-09,983,مفاخر,KARZ
1392-11-21,2014-02-10,989,مفاخر,KARZ
1392-11-23,2014-02-12,958,مفاخر,KARZ
1392-12-04,2014-02-23,1107,مفاخر,KARZ
1392-12-05,2014-02-24,1162,مفاخر,KARZ
1392-12-06,2014-02-25,1204,مفاخر,KARZ
1392-12-07,2014-02-26,1262,مفاخر,KARZ
1392-12-10,2014-03-01,1317,مفاخر,KARZ
1392-12-11,2014-03-02,1382,مفاخر,KARZ
1392-12-12,2014-03-03,1451,مفاخر,KARZ
1392-12-13,2014-03-04,1456,مفاخر,KARZ
1392-12-14,2014-03-05,1518,مفاخر,KARZ
1392-12-17,2014-03-08,1442,مفاخر,KARZ
1392-12-18,2014-03-09,1414,مفاخر,KARZ
1392-12-19,2014-03-10,1344,مفاخر,KARZ
1392-12-20,2014-03-11,1276,مفاخر,KARZ
1392-12-21,2014-03-12,1232,مفاخر,KARZ
1392-12-24,2014-03-15,1292,مفاخر,KARZ
1392-12-25,2014-03-16,1350,مفاخر,KARZ
1392-12-26,2014-03-17,1413,مفاخر,KARZ
1392-12-27,2014-03-18,1334,مفاخر,KARZ
1392-12-28,2014-03-19,1313,مفاخر,KARZ
1393-01-05,2014-03-25,1251,مفاخر,KARZ
1393-01-06,2014-03-26,1320,مفاخر,KARZ
1393-01-09,2014-03-29,1247,مفاخر,KARZ
1393-01-10,2014-03-30,1326,مفاخر,KARZ
1393-01-11,2014-03-31,1270,مفاخر,KARZ
1393-01-16,2014-04-05,1239,مفاخر,KARZ
1393-01-17,2014-04-06,1180,مفاخر,KARZ
1393-01-18,2014-04-07,1245,مفاخر,KARZ
1393-01-19,2014-04-08,1204,مفاخر,KARZ
1393-01-20,2014-04-09,1189,مفاخر,KARZ
1393-01-23,2014-04-12,1128,مفاخر,KARZ
1393-01-24,2014-04-13,1079,مفاخر,KARZ
1393-01-25,2014-04-14,1047,مفاخر,KARZ
1393-01-26,2014-04-15,1116,مفاخر,KARZ
1393-01-27,2014-04-16,1155,مفاخر,KARZ
1393-01-30,2014-04-19,1101,مفاخر,KARZ
1393-01-31,2014-04-20,1172,مفاخر,KARZ
1393-02-01,2014-04-21,1226,مفاخر,KARZ
1393-02-02,2014-04-22,1286,مفاخر,KARZ
1393-02-03,2014-04-23,1290,مفاخر,KARZ
1393-02-06,2014-04-26,1368,مفاخر,KARZ
1393-02-07,2014-04-27,1324,مفاخر,KARZ
1393-02-08,2014-04-28,1315,مفاخر,KARZ
1393-02-09,2014-04-29,1309,مفاخر,KARZ
1393-02-10,2014-04-30,1328,مفاخر,KARZ
1393-02-13,2014-05-03,1305,مفاخر,KARZ
1393-02-14,2014-05-04,1280,مفاخر,KARZ
1393-02-15,2014-05-05,1309,مفاخر,KARZ
1393-02-16,2014-05-06,1309,مفاخر,KARZ
1393-02-17,2014-05-07,1314,مفاخر,KARZ
1393-02-20,2014-05-10,1267,مفاخر,KARZ
1393-02-21,2014-05-11,1304,مفاخر,KARZ
1393-02-22,2014-05-12,1257,مفاخر,KARZ
1393-02-24,2014-05-14,1241,مفاخر,KARZ
1393-02-27,2014-05-17,1203,مفاخر,KARZ
1393-02-28,2014-05-18,1228,مفاخر,KARZ
1393-02-29,2014-05-19,1186,مفاخر,KARZ
1393-02-30,2014-05-20,1251,مفاخر,KARZ
1393-02-31,2014-05-21,1257,مفاخر,KARZ
1393-03-03,2014-05-24,1223,مفاخر,KARZ
1393-03-04,2014-05-25,1232,مفاخر,KARZ
1393-03-05,2014-05-26,1225,مفاخر,KARZ
1393-03-17,2014-06-07,1288,مفاخر,KARZ
1393-03-18,2014-06-08,1239,مفاخر,KARZ
1393-03-19,2014-06-09,1225,مفاخر,KARZ
1393-03-20,2014-06-10,1185,مفاخر,KARZ
1393-03-21,2014-06-11,1159,مفاخر,KARZ
1393-03-24,2014-06-14,1094,مفاخر,KARZ
1393-03-25,2014-06-15,1061,مفاخر,KARZ
1393-03-26,2014-06-16,1096,مفاخر,KARZ
1393-03-27,2014-06-17,1150,مفاخر,KARZ
1393-03-28,2014-06-18,1195,مفاخر,KARZ
1393-03-31,2014-06-21,1163,مفاخر,KARZ
1393-04-01,2014-06-22,1141,مفاخر,KARZ
1393-04-02,2014-06-23,1121,مفاخر,KARZ
1393-04-03,2014-06-24,1177,مفاخر,KARZ
1393-04-04,2014-06-25,1196,مفاخر,KARZ
1393-04-07,2014-06-28,1138,مفاخر,KARZ
1393-04-08,2014-06-29,1083,مفاخر,KARZ
1393-04-09,2014-06-30,1120,مفاخر,KARZ
1393-04-10,2014-07-01,1151,مفاخر,KARZ
1393-04-11,2014-07-02,1203,مفاخر,KARZ
1393-04-14,2014-07-05,1261,مفاخر,KARZ
1393-04-15,2014-07-06,1197,مفاخر,KARZ
1393-04-16,2014-07-07,1269,مفاخر,KARZ
1393-04-17,2014-07-08,1313,مفاخر,KARZ
1393-04-18,2014-07-09,1341,مفاخر,KARZ
1393-04-21,2014-07-12,1256,مفاخر,KARZ
1393-04-22,2014-07-13,1241,مفاخر,KARZ
1393-04-23,2014-07-14,1261,مفاخر,KARZ
1393-04-24,2014-07-15,1233,مفاخر,KARZ
1393-04-25,2014-07-16,1233,مفاخر,KARZ
1393-04-29,2014-07-20,1231,مفاخر,KARZ
1393-04-30,2014-07-21,1305,مفاخر,KARZ
1393-04-31,2014-07-22,1356,مفاخر,KARZ
1393-05-01,2014-07-23,1335,مفاخر,KARZ
1393-05-04,2014-07-26,1301,مفاخر,KARZ
1393-05-05,2014-07-27,1301,مفاخر,KARZ
1393-05-06,2014-07-28,1323,مفاخر,KARZ
1393-05-11,2014-08-02,1319,مفاخر,KARZ
1393-05-12,2014-08-03,1317,مفاخر,KARZ
1393-05-13,2014-08-04,1309,مفاخر,KARZ
1393-05-14,2014-08-05,1273,مفاخر,KARZ
1393-05-15,2014-08-06,1242,مفاخر,KARZ
1393-05-18,2014-08-09,1257,مفاخر,KARZ
1393-05-19,2014-08-10,1253,مفاخر,KARZ
1393-05-20,2014-08-11,1279,مفاخر,KARZ
1393-05-21,2014-08-12,1241,مفاخر,KARZ
1393-05-22,2014-08-13,1237,مفاخر,KARZ
1393-05-25,2014-08-16,1235,مفاخر,KARZ
1393-05-26,2014-08-17,1241,مفاخر,KARZ
1393-05-27,2014-08-18,1241,مفاخر,KARZ
1393-05-28,2014-08-19,1233,مفاخر,KARZ
1393-05-29,2014-08-20,1227,مفاخر,KARZ
