J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-11-19,2014-02-08,311,کباده,KBDP
1392-11-28,2014-02-17,311,کباده,KBDP
1392-12-05,2014-02-24,452,کباده,KBDP
1393-04-18,2014-07-09,1112,کباده,KBDP
1393-04-22,2014-07-13,1112,کباده,KBDP
1393-06-09,2014-08-31,1112,کباده,KBDP
1393-09-16,2014-12-07,1112,کباده,KBDP
1393-10-29,2015-01-19,1112,کباده,KBDP
1394-04-02,2015-06-23,1112,کباده,KBDP
1394-04-10,2015-07-01,1112,کباده,KBDP
1394-05-27,2015-08-18,1112,کباده,KBDP
1394-06-23,2015-09-14,1217,کباده,KBDP
1394-07-29,2015-10-21,1349,کباده,KBDP
1394-08-04,2015-10-26,1392,کباده,KBDP
1394-08-05,2015-10-27,1416,کباده,KBDP
1394-08-11,2015-11-02,1419,کباده,KBDP
1394-09-24,2015-12-15,1443,کباده,KBDP
1394-09-25,2015-12-16,1483,کباده,KBDP
1394-10-28,2016-01-18,1483,کباده,KBDP
1395-01-29,2016-04-17,1685,کباده,KBDP
1395-02-01,2016-04-20,1685,کباده,KBDP
1395-04-15,2016-07-05,1719,کباده,KBDP
1395-04-29,2016-07-19,1685,کباده,KBDP
1395-10-07,2016-12-27,1710,کباده,KBDP
1395-10-14,2017-01-03,1734,کباده,KBDP
1395-12-14,2017-03-04,1734,کباده,KBDP
1397-02-22,2018-05-12,3334,کباده,KBDP
1397-03-28,2018-06-18,3668,کباده,KBDP
1397-04-23,2018-07-14,3669,کباده,KBDP
1397-11-01,2019-01-21,4108,کباده,KBDP
1397-12-06,2019-02-25,5478,کباده,KBDP
1398-06-30,2019-09-21,1930,کباده,KBDP
1398-07-01,2019-09-23,1930,کباده,KBDP
1398-12-14,2020-03-04,2026,کباده,KBDP
1398-12-19,2020-03-09,1987,کباده,KBDP
1398-12-24,2020-03-14,1987,کباده,KBDP
1399-01-16,2020-04-04,1987,کباده,KBDP
1399-01-26,2020-04-14,1987,کباده,KBDP
1399-01-27,2020-04-15,2026,کباده,KBDP
1399-01-31,2020-04-19,1987,کباده,KBDP
1399-02-08,2020-04-27,2026,کباده,KBDP
