J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-09-19,2020-12-09,3352,وکبهمن,KBIZ
1399-09-22,2020-12-12,3520,وکبهمن,KBIZ
1399-09-23,2020-12-13,3565,وکبهمن,KBIZ
1399-09-24,2020-12-14,3744,وکبهمن,KBIZ
1399-09-25,2020-12-15,3905,وکبهمن,KBIZ
1399-09-26,2020-12-16,3971,وکبهمن,KBIZ
1399-09-29,2020-12-19,4025,وکبهمن,KBIZ
1399-09-30,2020-12-20,4093,وکبهمن,KBIZ
1399-10-01,2020-12-21,4298,وکبهمن,KBIZ
1399-10-02,2020-12-22,4379,وکبهمن,KBIZ
1399-10-03,2020-12-23,4482,وکبهمن,KBIZ
1399-10-06,2020-12-26,4668,وکبهمن,KBIZ
1399-10-07,2020-12-27,4902,وکبهمن,KBIZ
1399-10-08,2020-12-28,5146,وکبهمن,KBIZ
1399-10-10,2020-12-30,4791,وکبهمن,KBIZ
1399-10-13,2021-01-02,5186,وکبهمن,KBIZ
1399-10-14,2021-01-03,5217,وکبهمن,KBIZ
1399-10-15,2021-01-04,5472,وکبهمن,KBIZ
1399-10-16,2021-01-05,5186,وکبهمن,KBIZ
1399-10-17,2021-01-06,5021,وکبهمن,KBIZ
1399-10-20,2021-01-09,4952,وکبهمن,KBIZ
1399-10-21,2021-01-10,4899,وکبهمن,KBIZ
1399-10-22,2021-01-11,4777,وکبهمن,KBIZ
1399-10-23,2021-01-12,4664,وکبهمن,KBIZ
1399-10-24,2021-01-13,4465,وکبهمن,KBIZ
1399-10-27,2021-01-16,4283,وکبهمن,KBIZ
1399-10-29,2021-01-18,4260,وکبهمن,KBIZ
1399-10-30,2021-01-19,4144,وکبهمن,KBIZ
1399-11-01,2021-01-20,4024,وکبهمن,KBIZ
1399-11-04,2021-01-23,3955,وکبهمن,KBIZ
1399-11-05,2021-01-24,3839,وکبهمن,KBIZ
1399-11-06,2021-01-25,3735,وکبهمن,KBIZ
1399-11-07,2021-01-26,3554,وکبهمن,KBIZ
1399-11-08,2021-01-27,3640,وکبهمن,KBIZ
1399-11-11,2021-01-30,3707,وکبهمن,KBIZ
1399-11-12,2021-01-31,3518,وکبهمن,KBIZ
1399-11-13,2021-02-01,3411,وکبهمن,KBIZ
1399-11-14,2021-02-02,3367,وکبهمن,KBIZ
1399-11-15,2021-02-03,3222,وکبهمن,KBIZ
1399-11-18,2021-02-06,3104,وکبهمن,KBIZ
1399-11-19,2021-02-07,3263,وکبهمن,KBIZ
1399-11-20,2021-02-08,3084,وکبهمن,KBIZ
1399-11-21,2021-02-09,3124,وکبهمن,KBIZ
1399-11-25,2021-02-13,3293,وکبهمن,KBIZ
1399-11-26,2021-02-14,3175,وکبهمن,KBIZ
1399-11-27,2021-02-15,3139,وکبهمن,KBIZ
1399-11-28,2021-02-16,3081,وکبهمن,KBIZ
1399-11-29,2021-02-17,3025,وکبهمن,KBIZ
1399-12-02,2021-02-20,2969,وکبهمن,KBIZ
1399-12-03,2021-02-21,2918,وکبهمن,KBIZ
1399-12-04,2021-02-22,2874,وکبهمن,KBIZ
1399-12-05,2021-02-23,2882,وکبهمن,KBIZ
1399-12-06,2021-02-24,2796,وکبهمن,KBIZ
1399-12-09,2021-02-27,2749,وکبهمن,KBIZ
1399-12-10,2021-02-28,2718,وکبهمن,KBIZ
1399-12-11,2021-03-01,2800,وکبهمن,KBIZ
1399-12-12,2021-03-02,2893,وکبهمن,KBIZ
1399-12-13,2021-03-03,2837,وکبهمن,KBIZ
1399-12-16,2021-03-06,2804,وکبهمن,KBIZ
1399-12-17,2021-03-07,2794,وکبهمن,KBIZ
1399-12-18,2021-03-08,2824,وکبهمن,KBIZ
1399-12-19,2021-03-09,2748,وکبهمن,KBIZ
1399-12-20,2021-03-10,2717,وکبهمن,KBIZ
1399-12-23,2021-03-13,2736,وکبهمن,KBIZ
1399-12-24,2021-03-14,2719,وکبهمن,KBIZ
1399-12-25,2021-03-15,2680,وکبهمن,KBIZ
1399-12-26,2021-03-16,2833,وکبهمن,KBIZ
1399-12-27,2021-03-17,2833,وکبهمن,KBIZ
1400-01-07,2021-03-27,2845,وکبهمن,KBIZ
1400-01-08,2021-03-28,2791,وکبهمن,KBIZ
1400-01-10,2021-03-30,2777,وکبهمن,KBIZ
1400-01-11,2021-03-31,2747,وکبهمن,KBIZ
1400-01-14,2021-04-03,2718,وکبهمن,KBIZ
1400-01-15,2021-04-04,2702,وکبهمن,KBIZ
1400-01-16,2021-04-05,2677,وکبهمن,KBIZ
1400-01-17,2021-04-06,2642,وکبهمن,KBIZ
1400-01-18,2021-04-07,2614,وکبهمن,KBIZ
1400-01-21,2021-04-10,2585,وکبهمن,KBIZ
1400-01-22,2021-04-11,2569,وکبهمن,KBIZ
1400-01-23,2021-04-12,2562,وکبهمن,KBIZ
1400-01-24,2021-04-13,2555,وکبهمن,KBIZ
1400-01-25,2021-04-14,2532,وکبهمن,KBIZ
1400-01-28,2021-04-17,2498,وکبهمن,KBIZ
1400-01-29,2021-04-18,2456,وکبهمن,KBIZ
1400-01-30,2021-04-19,2511,وکبهمن,KBIZ
1400-01-31,2021-04-20,2449,وکبهمن,KBIZ
1400-02-01,2021-04-21,2407,وکبهمن,KBIZ
1400-02-04,2021-04-24,2361,وکبهمن,KBIZ
1400-02-05,2021-04-25,2340,وکبهمن,KBIZ
1400-02-06,2021-04-26,2416,وکبهمن,KBIZ
1400-02-07,2021-04-27,2453,وکبهمن,KBIZ
1400-02-08,2021-04-28,2523,وکبهمن,KBIZ
1400-02-11,2021-05-01,2405,وکبهمن,KBIZ
1400-02-12,2021-05-02,2381,وکبهمن,KBIZ
1400-02-13,2021-05-03,2361,وکبهمن,KBIZ
1400-02-15,2021-05-05,2352,وکبهمن,KBIZ
1400-02-18,2021-05-08,2315,وکبهمن,KBIZ
1400-02-19,2021-05-09,2315,وکبهمن,KBIZ
1400-02-20,2021-05-10,2344,وکبهمن,KBIZ
1400-02-21,2021-05-11,2392,وکبهمن,KBIZ
1400-02-22,2021-05-12,2389,وکبهمن,KBIZ
1400-02-25,2021-05-15,2480,وکبهمن,KBIZ
1400-02-26,2021-05-16,2485,وکبهمن,KBIZ
1400-02-27,2021-05-17,2418,وکبهمن,KBIZ
1400-02-28,2021-05-18,2435,وکبهمن,KBIZ
1400-02-29,2021-05-19,2404,وکبهمن,KBIZ
1400-03-01,2021-05-22,2340,وکبهمن,KBIZ
1400-03-02,2021-05-23,2337,وکبهمن,KBIZ
1400-03-03,2021-05-24,2358,وکبهمن,KBIZ
1400-03-04,2021-05-25,2430,وکبهمن,KBIZ
1400-03-05,2021-05-26,2442,وکبهمن,KBIZ
1400-03-08,2021-05-29,2540,وکبهمن,KBIZ
1400-03-09,2021-05-30,2546,وکبهمن,KBIZ
1400-03-10,2021-05-31,2501,وکبهمن,KBIZ
1400-03-11,2021-06-01,2496,وکبهمن,KBIZ
1400-03-12,2021-06-02,2558,وکبهمن,KBIZ
1400-03-22,2021-06-12,2591,وکبهمن,KBIZ
1400-03-23,2021-06-13,2555,وکبهمن,KBIZ
1400-03-24,2021-06-14,2563,وکبهمن,KBIZ
1400-03-25,2021-06-15,2571,وکبهمن,KBIZ
1400-03-26,2021-06-16,2568,وکبهمن,KBIZ
1400-03-29,2021-06-19,2618,وکبهمن,KBIZ
1400-03-30,2021-06-20,2598,وکبهمن,KBIZ
1400-03-31,2021-06-21,2608,وکبهمن,KBIZ
1400-04-01,2021-06-22,2632,وکبهمن,KBIZ
1400-04-02,2021-06-23,2731,وکبهمن,KBIZ
1400-04-05,2021-06-26,2753,وکبهمن,KBIZ
1400-04-06,2021-06-27,2769,وکبهمن,KBIZ
1400-04-07,2021-06-28,2741,وکبهمن,KBIZ
1400-04-08,2021-06-29,2904,وکبهمن,KBIZ
