J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-22,2001-04-11,79,بایکا,KBLP
1380-03-09,2001-05-30,143,بایکا,KBLP
1380-05-10,2001-08-01,150,بایکا,KBLP
1380-06-05,2001-08-27,286,بایکا,KBLP
1380-06-07,2001-08-29,301,بایکا,KBLP
1380-06-10,2001-09-01,316,بایکا,KBLP
1380-06-11,2001-09-02,331,بایکا,KBLP
1380-06-12,2001-09-03,348,بایکا,KBLP
1380-06-19,2001-09-10,365,بایکا,KBLP
1380-06-21,2001-09-12,384,بایکا,KBLP
1380-06-25,2001-09-16,403,بایکا,KBLP
1380-06-26,2001-09-17,423,بایکا,KBLP
1380-06-28,2001-09-19,444,بایکا,KBLP
1380-07-02,2001-09-24,466,بایکا,KBLP
1380-07-08,2001-09-30,478,بایکا,KBLP
1380-07-10,2001-10-02,490,بایکا,KBLP
1380-07-16,2001-10-08,502,بایکا,KBLP
1380-07-18,2001-10-10,515,بایکا,KBLP
1380-07-21,2001-10-13,515,بایکا,KBLP
1380-07-22,2001-10-14,515,بایکا,KBLP
1380-07-24,2001-10-16,515,بایکا,KBLP
1380-07-25,2001-10-17,528,بایکا,KBLP
1380-07-29,2001-10-21,541,بایکا,KBLP
1380-07-30,2001-10-22,547,بایکا,KBLP
1380-08-01,2001-10-23,552,بایکا,KBLP
1380-08-06,2001-10-28,552,بایکا,KBLP
1380-08-07,2001-10-29,552,بایکا,KBLP
1380-08-09,2001-10-31,552,بایکا,KBLP
1380-08-14,2001-11-05,552,بایکا,KBLP
1380-08-15,2001-11-06,552,بایکا,KBLP
1380-08-16,2001-11-07,552,بایکا,KBLP
1380-08-19,2001-11-10,548,بایکا,KBLP
1380-08-20,2001-11-11,553,بایکا,KBLP
1380-08-21,2001-11-12,559,بایکا,KBLP
1380-08-22,2001-11-13,565,بایکا,KBLP
1380-08-27,2001-11-18,570,بایکا,KBLP
1380-08-28,2001-11-19,576,بایکا,KBLP
1380-08-29,2001-11-20,582,بایکا,KBLP
