J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-11-03,2023-01-23,12214,غدانه,KCOZ
1401-11-05,2023-01-25,15416,غدانه,KCOZ
1401-11-08,2023-01-28,16145,غدانه,KCOZ
1401-11-09,2023-01-29,16933,غدانه,KCOZ
1401-11-10,2023-01-30,17770,غدانه,KCOZ
1401-11-11,2023-01-31,18657,غدانه,KCOZ
1401-11-12,2023-02-01,19543,غدانه,KCOZ
1401-11-16,2023-02-05,20519,غدانه,KCOZ
1401-11-17,2023-02-06,21543,غدانه,KCOZ
1401-11-18,2023-02-07,22114,غدانه,KCOZ
1401-11-23,2023-02-12,21425,غدانه,KCOZ
1401-11-24,2023-02-13,22508,غدانه,KCOZ
1401-11-25,2023-02-14,22902,غدانه,KCOZ
1401-11-26,2023-02-15,24035,غدانه,KCOZ
1401-11-30,2023-02-19,22755,غدانه,KCOZ
1401-12-01,2023-02-20,21622,غدانه,KCOZ
1401-12-06,2023-02-25,22508,غدانه,KCOZ
1401-12-07,2023-02-26,21474,غدانه,KCOZ
1401-12-08,2023-02-27,20834,غدانه,KCOZ
1401-12-09,2023-02-28,21080,غدانه,KCOZ
1401-12-10,2023-03-01,20883,غدانه,KCOZ
1401-12-13,2023-03-04,20095,غدانه,KCOZ
1401-12-14,2023-03-05,19455,غدانه,KCOZ
1401-12-15,2023-03-06,20341,غدانه,KCOZ
1401-12-16,2023-03-07,20588,غدانه,KCOZ
1401-12-20,2023-03-11,21523,غدانه,KCOZ
1401-12-21,2023-03-12,20440,غدانه,KCOZ
1401-12-22,2023-03-13,19652,غدانه,KCOZ
1401-12-23,2023-03-14,19602,غدانه,KCOZ
1401-12-24,2023-03-15,20243,غدانه,KCOZ
1402-01-07,2023-03-27,21750,غدانه,KCOZ
1402-01-08,2023-03-28,21700,غدانه,KCOZ
1402-01-09,2023-03-29,22900,غدانه,KCOZ
1402-01-14,2023-04-03,23200,غدانه,KCOZ
1402-01-15,2023-04-04,22700,غدانه,KCOZ
1402-01-16,2023-04-05,23500,غدانه,KCOZ
1402-01-19,2023-04-08,24450,غدانه,KCOZ
1402-01-20,2023-04-09,25600,غدانه,KCOZ
1402-01-21,2023-04-10,26750,غدانه,KCOZ
1402-01-22,2023-04-11,27900,غدانه,KCOZ
1402-01-26,2023-04-15,27900,غدانه,KCOZ
1402-01-27,2023-04-16,27300,غدانه,KCOZ
1402-01-28,2023-04-17,28500,غدانه,KCOZ
1402-01-29,2023-04-18,29700,غدانه,KCOZ
1402-01-30,2023-04-19,30300,غدانه,KCOZ
1402-02-04,2023-04-24,29950,غدانه,KCOZ
1402-02-05,2023-04-25,29750,غدانه,KCOZ
1402-02-06,2023-04-26,32050,غدانه,KCOZ
1402-02-09,2023-04-29,33400,غدانه,KCOZ
1402-02-10,2023-04-30,34800,غدانه,KCOZ
1402-02-11,2023-05-01,35300,غدانه,KCOZ
1402-02-12,2023-05-02,37050,غدانه,KCOZ
1402-02-13,2023-05-03,38900,غدانه,KCOZ
1402-02-16,2023-05-06,38350,غدانه,KCOZ
1402-02-17,2023-05-07,36450,غدانه,KCOZ
1402-02-18,2023-05-08,35000,غدانه,KCOZ
1402-02-19,2023-05-09,33700,غدانه,KCOZ
1402-02-20,2023-05-10,31750,غدانه,KCOZ
1402-02-23,2023-05-13,31100,غدانه,KCOZ
1402-02-24,2023-05-14,32550,غدانه,KCOZ
1402-02-25,2023-05-15,32250,غدانه,KCOZ
1402-02-27,2023-05-17,33500,غدانه,KCOZ
1402-02-30,2023-05-20,33500,غدانه,KCOZ
1402-02-31,2023-05-21,33200,غدانه,KCOZ
1402-03-01,2023-05-22,34100,غدانه,KCOZ
1402-03-02,2023-05-23,33900,غدانه,KCOZ
1402-03-03,2023-05-24,35000,غدانه,KCOZ
1402-03-06,2023-05-27,36100,غدانه,KCOZ
1402-03-07,2023-05-28,35100,غدانه,KCOZ
1402-03-08,2023-05-29,34550,غدانه,KCOZ
1402-03-09,2023-05-30,34100,غدانه,KCOZ
1402-03-10,2023-05-31,32950,غدانه,KCOZ
1402-03-13,2023-06-03,33200,غدانه,KCOZ
1402-03-16,2023-06-06,34700,غدانه,KCOZ
1402-03-17,2023-06-07,34800,غدانه,KCOZ
1402-03-20,2023-06-10,33550,غدانه,KCOZ
1402-03-21,2023-06-11,33400,غدانه,KCOZ
1402-03-22,2023-06-12,32500,غدانه,KCOZ
1402-03-23,2023-06-13,33500,غدانه,KCOZ
1402-03-24,2023-06-14,35150,غدانه,KCOZ
1402-03-27,2023-06-17,36550,غدانه,KCOZ
