J-Date,Date,Adj Close,Ticker,Ticker(4)
1396-06-06,2017-08-28,570,خفولا,KHEP
1396-06-08,2017-08-30,457,خفولا,KHEP
1396-06-11,2017-09-02,369,خفولا,KHEP
1396-06-13,2017-09-04,385,خفولا,KHEP
1396-06-15,2017-09-06,391,خفولا,KHEP
1396-06-20,2017-09-11,381,خفولا,KHEP
1396-06-22,2017-09-13,372,خفولا,KHEP
1396-06-25,2017-09-16,376,خفولا,KHEP
1396-06-27,2017-09-18,388,خفولا,KHEP
1396-06-29,2017-09-20,376,خفولا,KHEP
1396-07-01,2017-09-23,376,خفولا,KHEP
1396-07-03,2017-09-25,379,خفولا,KHEP
1396-07-15,2017-10-07,396,خفولا,KHEP
1396-07-17,2017-10-09,367,خفولا,KHEP
1396-07-19,2017-10-11,371,خفولا,KHEP
1396-07-22,2017-10-14,381,خفولا,KHEP
1396-07-24,2017-10-16,363,خفولا,KHEP
1396-07-26,2017-10-18,386,خفولا,KHEP
1396-07-29,2017-10-21,383,خفولا,KHEP
1396-08-01,2017-10-23,386,خفولا,KHEP
1396-08-03,2017-10-25,386,خفولا,KHEP
1396-08-06,2017-10-28,386,خفولا,KHEP
1396-08-08,2017-10-30,395,خفولا,KHEP
1396-08-10,2017-11-01,400,خفولا,KHEP
1396-08-13,2017-11-04,438,خفولا,KHEP
1396-08-15,2017-11-06,498,خفولا,KHEP
1396-08-17,2017-11-08,466,خفولا,KHEP
1396-08-20,2017-11-11,467,خفولا,KHEP
1396-08-29,2017-11-20,467,خفولا,KHEP
1396-09-01,2017-11-22,461,خفولا,KHEP
1396-09-04,2017-11-25,435,خفولا,KHEP
1396-09-08,2017-11-29,457,خفولا,KHEP
1396-09-11,2017-12-02,440,خفولا,KHEP
1396-09-13,2017-12-04,426,خفولا,KHEP
1396-09-18,2017-12-09,406,خفولا,KHEP
1396-09-20,2017-12-11,401,خفولا,KHEP
1396-09-22,2017-12-13,396,خفولا,KHEP
1396-09-25,2017-12-16,381,خفولا,KHEP
1396-09-27,2017-12-18,368,خفولا,KHEP
1396-09-29,2017-12-20,376,خفولا,KHEP
