J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-01-18,2015-04-07,783,سخوز,KHOC
1394-01-19,2015-04-08,791,سخوز,KHOC
1394-01-22,2015-04-11,780,سخوز,KHOC
1394-01-23,2015-04-12,783,سخوز,KHOC
1394-01-24,2015-04-13,783,سخوز,KHOC
1394-01-25,2015-04-14,783,سخوز,KHOC
1394-01-26,2015-04-15,814,سخوز,KHOC
1394-01-29,2015-04-18,832,سخوز,KHOC
1394-01-30,2015-04-19,799,سخوز,KHOC
1394-01-31,2015-04-20,780,سخوز,KHOC
1394-02-01,2015-04-21,766,سخوز,KHOC
1394-02-02,2015-04-22,783,سخوز,KHOC
1394-02-05,2015-04-25,766,سخوز,KHOC
1394-02-06,2015-04-26,771,سخوز,KHOC
1394-02-07,2015-04-27,746,سخوز,KHOC
1394-02-08,2015-04-28,743,سخوز,KHOC
1394-02-09,2015-04-29,730,سخوز,KHOC
1394-02-13,2015-05-03,715,سخوز,KHOC
1394-02-14,2015-05-04,734,سخوز,KHOC
1394-02-15,2015-05-05,731,سخوز,KHOC
1394-02-16,2015-05-06,743,سخوز,KHOC
1394-02-19,2015-05-09,736,سخوز,KHOC
1394-02-20,2015-05-10,757,سخوز,KHOC
1394-02-21,2015-05-11,766,سخوز,KHOC
1394-02-22,2015-05-12,773,سخوز,KHOC
1394-02-23,2015-05-13,773,سخوز,KHOC
1394-02-27,2015-05-17,775,سخوز,KHOC
1394-02-28,2015-05-18,775,سخوز,KHOC
1394-02-29,2015-05-19,775,سخوز,KHOC
1394-02-30,2015-05-20,762,سخوز,KHOC
1394-03-09,2015-05-30,773,سخوز,KHOC
1394-03-10,2015-05-31,732,سخوز,KHOC
1394-03-11,2015-06-01,714,سخوز,KHOC
1394-03-12,2015-06-02,709,سخوز,KHOC
1394-03-16,2015-06-06,696,سخوز,KHOC
1394-03-17,2015-06-07,685,سخوز,KHOC
1394-03-18,2015-06-08,676,سخوز,KHOC
1394-03-19,2015-06-09,661,سخوز,KHOC
1394-03-20,2015-06-10,669,سخوز,KHOC
1394-03-23,2015-06-13,642,سخوز,KHOC
1394-03-24,2015-06-14,641,سخوز,KHOC
1394-03-25,2015-06-15,639,سخوز,KHOC
1394-03-26,2015-06-16,650,سخوز,KHOC
1394-03-27,2015-06-17,663,سخوز,KHOC
1394-03-30,2015-06-20,680,سخوز,KHOC
1394-03-31,2015-06-21,695,سخوز,KHOC
1394-04-01,2015-06-22,739,سخوز,KHOC
1394-04-02,2015-06-23,742,سخوز,KHOC
1394-04-03,2015-06-24,758,سخوز,KHOC
1394-04-06,2015-06-27,762,سخوز,KHOC
1394-04-07,2015-06-28,744,سخوز,KHOC
1394-04-08,2015-06-29,731,سخوز,KHOC
1394-04-09,2015-06-30,727,سخوز,KHOC
1394-04-10,2015-07-01,701,سخوز,KHOC
1394-04-13,2015-07-04,680,سخوز,KHOC
1394-04-14,2015-07-05,683,سخوز,KHOC
1394-04-15,2015-07-06,683,سخوز,KHOC
