J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-12-04,2004-02-23,274,خشرق,KHSH
1382-12-05,2004-02-24,275,خشرق,KHSH
1382-12-06,2004-02-25,288,خشرق,KHSH
1382-12-09,2004-02-28,293,خشرق,KHSH
1382-12-10,2004-02-29,308,خشرق,KHSH
1382-12-13,2004-03-03,308,خشرق,KHSH
1382-12-16,2004-03-06,309,خشرق,KHSH
1382-12-17,2004-03-07,297,خشرق,KHSH
1382-12-18,2004-03-08,282,خشرق,KHSH
1382-12-19,2004-03-09,290,خشرق,KHSH
1382-12-20,2004-03-10,291,خشرق,KHSH
1382-12-23,2004-03-13,288,خشرق,KHSH
1382-12-24,2004-03-14,285,خشرق,KHSH
1382-12-25,2004-03-15,283,خشرق,KHSH
1382-12-26,2004-03-16,283,خشرق,KHSH
1382-12-27,2004-03-17,282,خشرق,KHSH
1383-01-08,2004-03-27,282,خشرق,KHSH
1383-01-09,2004-03-28,281,خشرق,KHSH
1383-01-10,2004-03-29,278,خشرق,KHSH
1383-01-11,2004-03-30,274,خشرق,KHSH
1383-01-15,2004-04-03,273,خشرق,KHSH
1383-01-16,2004-04-04,276,خشرق,KHSH
1383-01-17,2004-04-05,286,خشرق,KHSH
1383-01-18,2004-04-06,299,خشرق,KHSH
1383-01-19,2004-04-07,308,خشرق,KHSH
1383-01-22,2004-04-10,315,خشرق,KHSH
1383-01-24,2004-04-12,316,خشرق,KHSH
1383-01-25,2004-04-13,314,خشرق,KHSH
1383-01-26,2004-04-14,313,خشرق,KHSH
1383-01-29,2004-04-17,309,خشرق,KHSH
1383-01-30,2004-04-18,309,خشرق,KHSH
1383-02-02,2004-04-21,307,خشرق,KHSH
1383-02-05,2004-04-24,307,خشرق,KHSH
1383-02-07,2004-04-26,301,خشرق,KHSH
1383-02-08,2004-04-27,301,خشرق,KHSH
1383-02-12,2004-05-01,299,خشرق,KHSH
1383-02-13,2004-05-02,299,خشرق,KHSH
1383-02-15,2004-05-04,297,خشرق,KHSH
1383-02-16,2004-05-05,296,خشرق,KHSH
1383-02-19,2004-05-08,281,خشرق,KHSH
1383-02-28,2004-05-17,297,خشرق,KHSH
1383-02-29,2004-05-18,301,خشرق,KHSH
1383-02-30,2004-05-19,302,خشرق,KHSH
1383-03-02,2004-05-22,316,خشرق,KHSH
1383-03-03,2004-05-23,319,خشرق,KHSH
1383-03-04,2004-05-24,321,خشرق,KHSH
1383-03-19,2004-06-08,351,خشرق,KHSH
1383-03-20,2004-06-09,351,خشرق,KHSH
1383-03-23,2004-06-12,340,خشرق,KHSH
1383-03-24,2004-06-13,331,خشرق,KHSH
1383-03-25,2004-06-14,331,خشرق,KHSH
1383-03-26,2004-06-15,328,خشرق,KHSH
1383-03-27,2004-06-16,331,خشرق,KHSH
1383-03-30,2004-06-19,333,خشرق,KHSH
1383-03-31,2004-06-20,336,خشرق,KHSH
1383-04-01,2004-06-21,346,خشرق,KHSH
1383-04-02,2004-06-22,350,خشرق,KHSH
1383-04-03,2004-06-23,353,خشرق,KHSH
1383-04-06,2004-06-26,359,خشرق,KHSH
1383-04-07,2004-06-27,376,خشرق,KHSH
1383-04-08,2004-06-28,376,خشرق,KHSH
1383-04-09,2004-06-29,375,خشرق,KHSH
1383-04-10,2004-06-30,363,خشرق,KHSH
1383-04-14,2004-07-04,358,خشرق,KHSH
1383-04-17,2004-07-07,354,خشرق,KHSH
1383-04-21,2004-07-11,353,خشرق,KHSH
1383-04-23,2004-07-13,353,خشرق,KHSH
1383-04-24,2004-07-14,351,خشرق,KHSH
1383-04-27,2004-07-17,339,خشرق,KHSH
1383-04-28,2004-07-18,338,خشرق,KHSH
1383-04-29,2004-07-19,338,خشرق,KHSH
1383-04-30,2004-07-20,338,خشرق,KHSH
1383-05-03,2004-07-24,338,خشرق,KHSH
1383-05-05,2004-07-26,337,خشرق,KHSH
1383-05-07,2004-07-28,338,خشرق,KHSH
1383-05-11,2004-08-01,339,خشرق,KHSH
1383-05-12,2004-08-02,338,خشرق,KHSH
1383-05-14,2004-08-04,338,خشرق,KHSH
1383-05-18,2004-08-08,338,خشرق,KHSH
1383-05-19,2004-08-09,338,خشرق,KHSH
1383-05-20,2004-08-10,339,خشرق,KHSH
1383-05-24,2004-08-14,338,خشرق,KHSH
1383-05-28,2004-08-18,337,خشرق,KHSH
1383-05-31,2004-08-21,328,خشرق,KHSH
1383-06-01,2004-08-22,322,خشرق,KHSH
1383-06-02,2004-08-23,322,خشرق,KHSH
1383-06-03,2004-08-24,321,خشرق,KHSH
1383-06-08,2004-08-29,321,خشرق,KHSH
1383-06-10,2004-08-31,315,خشرق,KHSH
1383-06-11,2004-09-01,315,خشرق,KHSH
1383-06-14,2004-09-04,315,خشرق,KHSH
1383-06-15,2004-09-05,315,خشرق,KHSH
1383-06-16,2004-09-06,321,خشرق,KHSH
1383-06-17,2004-09-07,321,خشرق,KHSH
1383-06-18,2004-09-08,322,خشرق,KHSH
1383-06-21,2004-09-11,333,خشرق,KHSH
1383-06-22,2004-09-12,341,خشرق,KHSH
1383-06-24,2004-09-14,350,خشرق,KHSH
1383-06-25,2004-09-15,360,خشرق,KHSH
1383-06-28,2004-09-18,367,خشرق,KHSH
1383-06-29,2004-09-19,369,خشرق,KHSH
1383-06-30,2004-09-20,369,خشرق,KHSH
1383-06-31,2004-09-21,368,خشرق,KHSH
1383-07-01,2004-09-22,361,خشرق,KHSH
1383-07-04,2004-09-25,360,خشرق,KHSH
1383-07-05,2004-09-26,360,خشرق,KHSH
1383-07-06,2004-09-27,360,خشرق,KHSH
1383-07-08,2004-09-29,360,خشرق,KHSH
1383-07-11,2004-10-02,358,خشرق,KHSH
1383-07-12,2004-10-03,356,خشرق,KHSH
1383-07-13,2004-10-04,356,خشرق,KHSH
1383-07-14,2004-10-05,355,خشرق,KHSH
1383-07-15,2004-10-06,357,خشرق,KHSH
1383-07-18,2004-10-09,359,خشرق,KHSH
