J-Date,Date,Adj Close,Ticker,Ticker(4)
1393-01-18,2014-04-07,1813,حخزر,KHZZ
1393-01-19,2014-04-08,1904,حخزر,KHZZ
1393-01-20,2014-04-09,1999,حخزر,KHZZ
1393-01-23,2014-04-12,2098,حخزر,KHZZ
1393-01-24,2014-04-13,2081,حخزر,KHZZ
1393-01-25,2014-04-14,2008,حخزر,KHZZ
1393-01-26,2014-04-15,2068,حخزر,KHZZ
1393-01-27,2014-04-16,2128,حخزر,KHZZ
1393-01-30,2014-04-19,2034,حخزر,KHZZ
1393-01-31,2014-04-20,2136,حخزر,KHZZ
1393-02-01,2014-04-21,2173,حخزر,KHZZ
1393-02-02,2014-04-22,2090,حخزر,KHZZ
1393-02-03,2014-04-23,2088,حخزر,KHZZ
1393-02-06,2014-04-26,2139,حخزر,KHZZ
1393-02-07,2014-04-27,2064,حخزر,KHZZ
1393-02-08,2014-04-28,2047,حخزر,KHZZ
1393-02-09,2014-04-29,2010,حخزر,KHZZ
1393-02-10,2014-04-30,2041,حخزر,KHZZ
1393-02-13,2014-05-03,2026,حخزر,KHZZ
1393-02-14,2014-05-04,1979,حخزر,KHZZ
1393-02-15,2014-05-05,2000,حخزر,KHZZ
1393-02-16,2014-05-06,1952,حخزر,KHZZ
1393-02-17,2014-05-07,1969,حخزر,KHZZ
1393-02-20,2014-05-10,1970,حخزر,KHZZ
1393-02-21,2014-05-11,1990,حخزر,KHZZ
1393-02-22,2014-05-12,1968,حخزر,KHZZ
1393-02-24,2014-05-14,1966,حخزر,KHZZ
1393-02-27,2014-05-17,1888,حخزر,KHZZ
1393-02-28,2014-05-18,1922,حخزر,KHZZ
1393-02-29,2014-05-19,2020,حخزر,KHZZ
1393-02-30,2014-05-20,2092,حخزر,KHZZ
1393-02-31,2014-05-21,2051,حخزر,KHZZ
1393-03-03,2014-05-24,2017,حخزر,KHZZ
1393-03-04,2014-05-25,2034,حخزر,KHZZ
1393-03-05,2014-05-26,2011,حخزر,KHZZ
1393-03-07,2014-05-28,1982,حخزر,KHZZ
1393-03-10,2014-05-31,1950,حخزر,KHZZ
1393-03-11,2014-06-01,1908,حخزر,KHZZ
1393-03-12,2014-06-02,1948,حخزر,KHZZ
1393-03-13,2014-06-03,1932,حخزر,KHZZ
1393-03-17,2014-06-07,1939,حخزر,KHZZ
1393-03-18,2014-06-08,1932,حخزر,KHZZ
1393-03-19,2014-06-09,1929,حخزر,KHZZ
1393-03-20,2014-06-10,1898,حخزر,KHZZ
1393-03-27,2014-06-17,1978,حخزر,KHZZ
1393-03-28,2014-06-18,2043,حخزر,KHZZ
1393-03-31,2014-06-21,1973,حخزر,KHZZ
1393-04-01,2014-06-22,1985,حخزر,KHZZ
1393-04-02,2014-06-23,1958,حخزر,KHZZ
1393-04-03,2014-06-24,1951,حخزر,KHZZ
1393-04-04,2014-06-25,1962,حخزر,KHZZ
1393-04-07,2014-06-28,1931,حخزر,KHZZ
1393-04-08,2014-06-29,1910,حخزر,KHZZ
1393-04-09,2014-06-30,1833,حخزر,KHZZ
1393-04-10,2014-07-01,1941,حخزر,KHZZ
1393-04-11,2014-07-02,2012,حخزر,KHZZ
1393-04-14,2014-07-05,2105,حخزر,KHZZ
1393-04-15,2014-07-06,1997,حخزر,KHZZ
1393-04-16,2014-07-07,1985,حخزر,KHZZ
1393-04-17,2014-07-08,2050,حخزر,KHZZ
