J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-06,2001-03-26,1263,دکیمی,KIMI
1380-01-07,2001-03-27,1263,دکیمی,KIMI
1380-01-08,2001-03-28,1277,دکیمی,KIMI
1380-01-11,2001-03-31,1284,دکیمی,KIMI
1380-01-14,2001-04-03,1291,دکیمی,KIMI
1380-01-18,2001-04-07,1291,دکیمی,KIMI
1380-01-19,2001-04-08,1305,دکیمی,KIMI
1380-01-20,2001-04-09,1305,دکیمی,KIMI
1380-01-21,2001-04-10,1307,دکیمی,KIMI
1380-01-22,2001-04-11,1314,دکیمی,KIMI
1380-02-11,2001-05-01,1123,دکیمی,KIMI
1380-02-12,2001-05-02,1125,دکیمی,KIMI
1380-02-15,2001-05-05,1144,دکیمی,KIMI
1380-02-16,2001-05-06,1195,دکیمی,KIMI
1380-02-17,2001-05-07,1254,دکیمی,KIMI
1380-02-18,2001-05-08,1316,دکیمی,KIMI
1380-02-19,2001-05-09,1352,دکیمی,KIMI
1380-02-22,2001-05-12,1362,دکیمی,KIMI
1380-02-23,2001-05-13,1368,دکیمی,KIMI
1380-02-25,2001-05-15,1369,دکیمی,KIMI
1380-02-26,2001-05-16,1377,دکیمی,KIMI
1380-02-29,2001-05-19,1404,دکیمی,KIMI
1380-02-30,2001-05-20,1432,دکیمی,KIMI
1380-02-31,2001-05-21,1433,دکیمی,KIMI
1380-03-02,2001-05-23,1434,دکیمی,KIMI
1380-03-05,2001-05-26,1434,دکیمی,KIMI
1380-03-06,2001-05-27,1418,دکیمی,KIMI
1380-03-07,2001-05-28,1418,دکیمی,KIMI
1380-03-08,2001-05-29,1403,دکیمی,KIMI
1380-03-09,2001-05-30,1402,دکیمی,KIMI
1380-03-12,2001-06-02,1397,دکیمی,KIMI
1380-03-13,2001-06-03,1348,دکیمی,KIMI
1380-03-16,2001-06-06,1345,دکیمی,KIMI
1380-03-22,2001-06-12,1305,دکیمی,KIMI
1380-03-23,2001-06-13,1277,دکیمی,KIMI
1380-03-26,2001-06-16,1263,دکیمی,KIMI
1380-03-27,2001-06-17,1263,دکیمی,KIMI
1380-03-28,2001-06-18,1247,دکیمی,KIMI
1380-03-29,2001-06-19,1249,دکیمی,KIMI
1380-03-30,2001-06-20,1249,دکیمی,KIMI
1380-04-02,2001-06-23,1264,دکیمی,KIMI
1380-04-03,2001-06-24,1292,دکیمی,KIMI
1380-04-04,2001-06-25,1305,دکیمی,KIMI
1380-04-05,2001-06-26,1306,دکیمی,KIMI
1380-04-06,2001-06-27,1306,دکیمی,KIMI
1380-04-09,2001-06-30,1307,دکیمی,KIMI
1380-04-10,2001-07-01,1307,دکیمی,KIMI
1380-04-11,2001-07-02,1306,دکیمی,KIMI
1380-04-12,2001-07-03,1306,دکیمی,KIMI
1380-04-13,2001-07-04,1306,دکیمی,KIMI
1380-04-16,2001-07-07,1304,دکیمی,KIMI
1380-04-17,2001-07-08,1302,دکیمی,KIMI
1380-04-18,2001-07-09,1303,دکیمی,KIMI
1380-04-19,2001-07-10,1263,دکیمی,KIMI
1380-04-20,2001-07-11,1261,دکیمی,KIMI
1380-04-23,2001-07-14,1261,دکیمی,KIMI
1380-04-24,2001-07-15,1261,دکیمی,KIMI
1380-04-25,2001-07-16,1249,دکیمی,KIMI
1380-04-26,2001-07-17,1263,دکیمی,KIMI
1380-04-27,2001-07-18,1263,دکیمی,KIMI
1380-04-30,2001-07-21,1267,دکیمی,KIMI
1380-04-31,2001-07-22,1281,دکیمی,KIMI
1380-05-01,2001-07-23,1281,دکیمی,KIMI
1380-05-02,2001-07-24,1280,دکیمی,KIMI
1380-05-03,2001-07-25,1277,دکیمی,KIMI
1380-05-06,2001-07-28,1263,دکیمی,KIMI
1380-05-07,2001-07-29,1305,دکیمی,KIMI
1380-05-08,2001-07-30,1371,دکیمی,KIMI
1380-05-09,2001-07-31,1392,دکیمی,KIMI
1380-05-10,2001-08-01,1376,دکیمی,KIMI
1380-05-13,2001-08-04,1376,دکیمی,KIMI
1380-05-14,2001-08-05,1376,دکیمی,KIMI
1380-05-15,2001-08-06,1383,دکیمی,KIMI
1380-05-16,2001-08-07,1383,دکیمی,KIMI
1380-05-17,2001-08-08,1383,دکیمی,KIMI
1380-05-20,2001-08-11,1392,دکیمی,KIMI
1380-05-21,2001-08-12,1392,دکیمی,KIMI
1380-05-22,2001-08-13,1404,دکیمی,KIMI
1380-05-23,2001-08-14,1430,دکیمی,KIMI
1380-05-24,2001-08-15,1430,دکیمی,KIMI
1380-05-27,2001-08-18,1460,دکیمی,KIMI
1380-05-28,2001-08-19,1456,دکیمی,KIMI
1380-05-29,2001-08-20,1462,دکیمی,KIMI
1380-05-30,2001-08-21,1523,دکیمی,KIMI
1380-05-31,2001-08-22,1516,دکیمی,KIMI
1380-06-03,2001-08-25,1502,دکیمی,KIMI
1380-06-04,2001-08-26,1497,دکیمی,KIMI
1380-06-05,2001-08-27,1446,دکیمی,KIMI
1380-06-06,2001-08-28,1443,دکیمی,KIMI
1380-06-07,2001-08-29,1405,دکیمی,KIMI
1380-06-10,2001-09-01,1383,دکیمی,KIMI
1380-06-11,2001-09-02,1383,دکیمی,KIMI
1380-06-12,2001-09-03,1367,دکیمی,KIMI
1380-06-13,2001-09-04,1367,دکیمی,KIMI
1380-06-14,2001-09-05,1382,دکیمی,KIMI
1380-06-17,2001-09-08,1404,دکیمی,KIMI
1380-06-18,2001-09-09,1404,دکیمی,KIMI
1380-06-19,2001-09-10,1404,دکیمی,KIMI
1380-06-20,2001-09-11,1403,دکیمی,KIMI
1380-06-21,2001-09-12,1403,دکیمی,KIMI
1380-06-24,2001-09-15,1376,دکیمی,KIMI
1380-06-25,2001-09-16,1369,دکیمی,KIMI
1380-06-26,2001-09-17,1364,دکیمی,KIMI
1380-06-27,2001-09-18,1360,دکیمی,KIMI
1380-06-28,2001-09-19,1404,دکیمی,KIMI
1380-06-31,2001-09-22,1404,دکیمی,KIMI
1380-07-01,2001-09-23,1390,دکیمی,KIMI
1380-07-15,2001-10-07,1390,دکیمی,KIMI
1380-07-24,2001-10-16,1320,دکیمی,KIMI
1380-07-25,2001-10-17,1254,دکیمی,KIMI
1380-07-28,2001-10-20,1192,دکیمی,KIMI
1380-07-29,2001-10-21,1187,دکیمی,KIMI
1380-07-30,2001-10-22,1192,دکیمی,KIMI
1380-08-01,2001-10-23,1209,دکیمی,KIMI
1380-08-05,2001-10-27,1242,دکیمی,KIMI
1380-08-06,2001-10-28,1232,دکیمی,KIMI
1380-08-07,2001-10-29,1225,دکیمی,KIMI
1380-08-08,2001-10-30,1225,دکیمی,KIMI
1380-08-09,2001-10-31,1224,دکیمی,KIMI
1380-08-12,2001-11-03,1223,دکیمی,KIMI
1380-08-13,2001-11-04,1223,دکیمی,KIMI
1380-08-14,2001-11-05,1235,دکیمی,KIMI
1380-08-15,2001-11-06,1254,دکیمی,KIMI
1380-08-16,2001-11-07,1259,دکیمی,KIMI
1380-08-19,2001-11-10,1279,دکیمی,KIMI
1380-08-20,2001-11-11,1298,دکیمی,KIMI
1380-08-21,2001-11-12,1305,دکیمی,KIMI
1380-08-22,2001-11-13,1305,دکیمی,KIMI
1380-08-23,2001-11-14,1291,دکیمی,KIMI
