J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-07-28,2004-10-19,329,غالبر,KLBR
1383-07-29,2004-10-20,346,غالبر,KLBR
1383-08-04,2004-10-25,361,غالبر,KLBR
1383-08-05,2004-10-26,356,غالبر,KLBR
1383-08-06,2004-10-27,357,غالبر,KLBR
1383-08-09,2004-10-30,363,غالبر,KLBR
1383-08-10,2004-10-31,358,غالبر,KLBR
1383-08-11,2004-11-01,359,غالبر,KLBR
1383-08-12,2004-11-02,364,غالبر,KLBR
1383-08-13,2004-11-03,364,غالبر,KLBR
1383-08-16,2004-11-06,363,غالبر,KLBR
1383-08-17,2004-11-07,363,غالبر,KLBR
1383-08-18,2004-11-08,363,غالبر,KLBR
1383-08-19,2004-11-09,363,غالبر,KLBR
1383-08-20,2004-11-10,356,غالبر,KLBR
1383-08-23,2004-11-13,355,غالبر,KLBR
1383-09-16,2004-12-06,354,غالبر,KLBR
1383-09-17,2004-12-07,336,غالبر,KLBR
1383-09-22,2004-12-12,328,غالبر,KLBR
1383-09-23,2004-12-13,322,غالبر,KLBR
1383-09-25,2004-12-15,322,غالبر,KLBR
1383-09-29,2004-12-19,321,غالبر,KLBR
1383-09-30,2004-12-20,320,غالبر,KLBR
1383-10-01,2004-12-21,319,غالبر,KLBR
1383-10-02,2004-12-22,319,غالبر,KLBR
1383-10-05,2004-12-25,303,غالبر,KLBR
1383-10-06,2004-12-26,289,غالبر,KLBR
1383-10-07,2004-12-27,296,غالبر,KLBR
1383-10-08,2004-12-28,311,غالبر,KLBR
1383-10-09,2004-12-29,326,غالبر,KLBR
1383-10-12,2005-01-01,326,غالبر,KLBR
1383-10-13,2005-01-02,324,غالبر,KLBR
1383-10-14,2005-01-03,316,غالبر,KLBR
1383-10-15,2005-01-04,315,غالبر,KLBR
1383-10-19,2005-01-08,315,غالبر,KLBR
1383-10-20,2005-01-09,301,غالبر,KLBR
1383-10-21,2005-01-10,286,غالبر,KLBR
1383-10-22,2005-01-11,281,غالبر,KLBR
1383-10-23,2005-01-12,272,غالبر,KLBR
1383-10-26,2005-01-15,272,غالبر,KLBR
1383-10-27,2005-01-16,267,غالبر,KLBR
1383-10-28,2005-01-17,265,غالبر,KLBR
1383-10-29,2005-01-18,265,غالبر,KLBR
1383-10-30,2005-01-19,265,غالبر,KLBR
1383-11-03,2005-01-22,258,غالبر,KLBR
1383-11-04,2005-01-23,258,غالبر,KLBR
1383-11-05,2005-01-24,259,غالبر,KLBR
1383-11-06,2005-01-25,261,غالبر,KLBR
1383-11-07,2005-01-26,257,غالبر,KLBR
1383-11-13,2005-02-01,256,غالبر,KLBR
1383-11-14,2005-02-02,255,غالبر,KLBR
1383-11-17,2005-02-05,255,غالبر,KLBR
1383-11-18,2005-02-06,248,غالبر,KLBR
1383-11-19,2005-02-07,240,غالبر,KLBR
1383-11-20,2005-02-08,237,غالبر,KLBR
1383-11-21,2005-02-09,237,غالبر,KLBR
1383-11-26,2005-02-14,237,غالبر,KLBR
1383-12-03,2005-02-21,235,غالبر,KLBR
1383-12-04,2005-02-22,235,غالبر,KLBR
1383-12-05,2005-02-23,233,غالبر,KLBR
1383-12-09,2005-02-27,234,غالبر,KLBR
1383-12-10,2005-02-28,234,غالبر,KLBR
1383-12-11,2005-03-01,233,غالبر,KLBR
1383-12-12,2005-03-02,231,غالبر,KLBR
1383-12-15,2005-03-05,227,غالبر,KLBR
1383-12-16,2005-03-06,227,غالبر,KLBR
1383-12-23,2005-03-13,226,غالبر,KLBR
1383-12-24,2005-03-14,226,غالبر,KLBR
1383-12-25,2005-03-15,228,غالبر,KLBR
1384-01-06,2005-03-26,228,غالبر,KLBR
1384-01-07,2005-03-27,228,غالبر,KLBR
1384-01-08,2005-03-28,229,غالبر,KLBR
1384-01-10,2005-03-30,229,غالبر,KLBR
1384-01-14,2005-04-03,229,غالبر,KLBR
1384-01-15,2005-04-04,230,غالبر,KLBR
1384-01-16,2005-04-05,232,غالبر,KLBR
1384-01-21,2005-04-10,233,غالبر,KLBR
1384-01-22,2005-04-11,233,غالبر,KLBR
1384-01-23,2005-04-12,235,غالبر,KLBR
1384-01-24,2005-04-13,236,غالبر,KLBR
1384-01-27,2005-04-16,241,غالبر,KLBR
