J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-02-13,2021-05-03,12282,فکمند,KPMP
1400-02-20,2021-05-10,12404,فکمند,KPMP
1400-02-27,2021-05-17,12160,فکمند,KPMP
1400-03-31,2021-06-21,12598,فکمند,KPMP
1400-04-01,2021-06-22,12976,فکمند,KPMP
1400-04-02,2021-06-23,13364,فکمند,KPMP
1400-04-05,2021-06-26,14032,فکمند,KPMP
1400-04-06,2021-06-27,14453,فکمند,KPMP
1400-04-07,2021-06-28,14886,فکمند,KPMP
1400-04-08,2021-06-29,15332,فکمند,KPMP
1400-04-09,2021-06-30,16097,فکمند,KPMP
1400-04-12,2021-07-03,16580,فکمند,KPMP
1400-04-13,2021-07-04,17077,فکمند,KPMP
1400-04-14,2021-07-05,17589,فکمند,KPMP
1400-04-15,2021-07-06,18468,فکمند,KPMP
1400-04-16,2021-07-07,19022,فکمند,KPMP
1400-04-19,2021-07-10,19592,فکمند,KPMP
1400-04-20,2021-07-11,19745,فکمند,KPMP
1400-04-21,2021-07-12,20330,فکمند,KPMP
1400-04-22,2021-07-13,20940,فکمند,KPMP
1400-04-23,2021-07-14,21567,فکمند,KPMP
1400-04-26,2021-07-17,22213,فکمند,KPMP
1400-04-27,2021-07-18,21169,فکمند,KPMP
1400-04-28,2021-07-19,22951,فکمند,KPMP
1400-05-10,2021-08-01,23605,فکمند,KPMP
1400-05-11,2021-08-02,23753,فکمند,KPMP
1400-05-12,2021-08-03,23773,فکمند,KPMP
1400-05-13,2021-08-04,24217,فکمند,KPMP
1400-05-16,2021-08-07,25276,فکمند,KPMP
1400-05-17,2021-08-08,26034,فکمند,KPMP
1400-05-18,2021-08-09,26626,فکمند,KPMP
1400-05-19,2021-08-10,27424,فکمند,KPMP
1400-05-20,2021-08-11,28795,فکمند,KPMP
1400-05-23,2021-08-14,29658,فکمند,KPMP
1400-05-24,2021-08-15,30546,فکمند,KPMP
1400-05-31,2021-08-22,31462,فکمند,KPMP
1400-06-01,2021-08-23,32115,فکمند,KPMP
1400-06-02,2021-08-24,33446,فکمند,KPMP
1400-06-03,2021-08-25,32324,فکمند,KPMP
1400-06-06,2021-08-28,31708,فکمند,KPMP
1400-06-07,2021-08-29,31407,فکمند,KPMP
1400-06-08,2021-08-30,30824,فکمند,KPMP
1400-06-09,2021-08-31,32373,فکمند,KPMP
1400-06-10,2021-09-01,32361,فکمند,KPMP
1400-06-13,2021-09-04,32225,فکمند,KPMP
1400-06-14,2021-09-05,31918,فکمند,KPMP
1400-06-15,2021-09-06,31047,فکمند,KPMP
1400-06-16,2021-09-07,30771,فکمند,KPMP
1400-06-17,2021-09-08,31781,فکمند,KPMP
1400-06-20,2021-09-11,32042,فکمند,KPMP
1400-06-21,2021-09-12,32913,فکمند,KPMP
1400-06-22,2021-09-13,33566,فکمند,KPMP
1400-06-23,2021-09-14,35245,فکمند,KPMP
1400-06-24,2021-09-15,36301,فکمند,KPMP
1400-06-27,2021-09-18,37390,فکمند,KPMP
1400-06-28,2021-09-19,36188,فکمند,KPMP
1400-06-29,2021-09-20,36125,فکمند,KPMP
1400-06-30,2021-09-21,36714,فکمند,KPMP
1400-06-31,2021-09-22,36404,فکمند,KPMP
1400-07-03,2021-09-25,36714,فکمند,KPMP
1400-07-04,2021-09-26,38164,فکمند,KPMP
1400-07-06,2021-09-28,36845,فکمند,KPMP
1400-07-07,2021-09-29,36155,فکمند,KPMP
1400-07-10,2021-10-02,35318,فکمند,KPMP
1400-07-11,2021-10-03,36235,فکمند,KPMP
1400-07-12,2021-10-04,35395,فکمند,KPMP
1400-07-14,2021-10-06,35111,فکمند,KPMP
1400-07-17,2021-10-09,34618,فکمند,KPMP
1400-07-18,2021-10-10,35843,فکمند,KPMP
1400-07-19,2021-10-11,36016,فکمند,KPMP
1400-07-20,2021-10-12,34687,فکمند,KPMP
1400-07-21,2021-10-13,34319,فکمند,KPMP
1400-07-24,2021-10-16,33811,فکمند,KPMP
1400-07-25,2021-10-17,33851,فکمند,KPMP
1400-07-26,2021-10-18,34588,فکمند,KPMP
1400-07-27,2021-10-19,34090,فکمند,KPMP
1400-07-28,2021-10-20,34318,فکمند,KPMP
1400-08-01,2021-10-23,33289,فکمند,KPMP
1400-08-03,2021-10-25,33205,فکمند,KPMP
1400-08-04,2021-10-26,32438,فکمند,KPMP
1400-08-05,2021-10-27,32457,فکمند,KPMP
1400-08-08,2021-10-30,32270,فکمند,KPMP
1400-08-09,2021-10-31,32250,فکمند,KPMP
1400-08-10,2021-11-01,31581,فکمند,KPMP
1400-08-11,2021-11-02,31596,فکمند,KPMP
1400-08-12,2021-11-03,30520,فکمند,KPMP
1400-08-15,2021-11-06,31574,فکمند,KPMP
1400-08-16,2021-11-07,30061,فکمند,KPMP
1400-08-17,2021-11-08,30062,فکمند,KPMP
1400-08-18,2021-11-09,30928,فکمند,KPMP
1400-08-19,2021-11-10,31138,فکمند,KPMP
1400-08-22,2021-11-13,32065,فکمند,KPMP
1400-08-23,2021-11-14,32499,فکمند,KPMP
1400-08-24,2021-11-15,33340,فکمند,KPMP
1400-08-25,2021-11-16,33781,فکمند,KPMP
1400-08-26,2021-11-17,34719,فکمند,KPMP
1400-08-29,2021-11-20,35594,فکمند,KPMP
1400-08-30,2021-11-21,37266,فکمند,KPMP
1400-09-01,2021-11-22,36435,فکمند,KPMP
1400-09-02,2021-11-23,37393,فکمند,KPMP
1400-09-03,2021-11-24,37477,فکمند,KPMP
1400-09-06,2021-11-27,36237,فکمند,KPMP
1400-09-07,2021-11-28,35206,فکمند,KPMP
1400-09-08,2021-11-29,36358,فکمند,KPMP
1400-09-09,2021-11-30,36221,فکمند,KPMP
1400-09-10,2021-12-01,37083,فکمند,KPMP
1400-09-13,2021-12-04,37864,فکمند,KPMP
1400-09-14,2021-12-05,38928,فکمند,KPMP
1400-09-15,2021-12-06,37760,فکمند,KPMP
1400-09-16,2021-12-07,37881,فکمند,KPMP
1400-09-17,2021-12-08,38987,فکمند,KPMP
1400-09-20,2021-12-11,36734,فکمند,KPMP
