J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-03-30,2012-06-19,4,کرمان,KRMZ
1391-03-31,2012-06-20,4,کرمان,KRMZ
1391-04-03,2012-06-23,4,کرمان,KRMZ
1391-04-04,2012-06-24,3,کرمان,KRMZ
1391-04-05,2012-06-25,3,کرمان,KRMZ
1391-04-06,2012-06-26,3,کرمان,KRMZ
1391-04-07,2012-06-27,3,کرمان,KRMZ
1391-04-10,2012-06-30,3,کرمان,KRMZ
1391-04-11,2012-07-01,3,کرمان,KRMZ
1391-04-12,2012-07-02,3,کرمان,KRMZ
1391-04-13,2012-07-03,4,کرمان,KRMZ
1391-04-14,2012-07-04,3,کرمان,KRMZ
1391-04-17,2012-07-07,3,کرمان,KRMZ
1391-04-18,2012-07-08,3,کرمان,KRMZ
1391-04-19,2012-07-09,3,کرمان,KRMZ
1391-04-20,2012-07-10,3,کرمان,KRMZ
1391-04-21,2012-07-11,3,کرمان,KRMZ
1391-04-24,2012-07-14,3,کرمان,KRMZ
1391-04-25,2012-07-15,3,کرمان,KRMZ
1391-04-26,2012-07-16,3,کرمان,KRMZ
1391-04-27,2012-07-17,3,کرمان,KRMZ
1391-04-28,2012-07-18,3,کرمان,KRMZ
1391-05-01,2012-07-22,3,کرمان,KRMZ
1391-05-02,2012-07-23,3,کرمان,KRMZ
1391-05-03,2012-07-24,3,کرمان,KRMZ
1391-05-04,2012-07-25,3,کرمان,KRMZ
1391-05-08,2012-07-29,3,کرمان,KRMZ
1391-05-10,2012-07-31,3,کرمان,KRMZ
1391-05-14,2012-08-04,3,کرمان,KRMZ
1391-05-15,2012-08-05,3,کرمان,KRMZ
1391-05-16,2012-08-06,3,کرمان,KRMZ
1391-05-17,2012-08-07,3,کرمان,KRMZ
1391-05-24,2012-08-14,3,کرمان,KRMZ
1391-05-28,2012-08-18,2,کرمان,KRMZ
1391-05-31,2012-08-21,3,کرمان,KRMZ
1391-06-01,2012-08-22,2,کرمان,KRMZ
1391-06-04,2012-08-25,3,کرمان,KRMZ
1391-06-05,2012-08-26,3,کرمان,KRMZ
1391-06-06,2012-08-27,3,کرمان,KRMZ
1391-06-12,2012-09-02,3,کرمان,KRMZ
1391-06-13,2012-09-03,3,کرمان,KRMZ
1391-06-14,2012-09-04,3,کرمان,KRMZ
1391-06-15,2012-09-05,3,کرمان,KRMZ
1391-06-18,2012-09-08,3,کرمان,KRMZ
1391-06-19,2012-09-09,3,کرمان,KRMZ
1391-06-20,2012-09-10,3,کرمان,KRMZ
1391-06-21,2012-09-11,3,کرمان,KRMZ
1391-06-25,2012-09-15,3,کرمان,KRMZ
1391-06-27,2012-09-17,3,کرمان,KRMZ
1391-06-28,2012-09-18,3,کرمان,KRMZ
1391-06-29,2012-09-19,3,کرمان,KRMZ
1391-07-01,2012-09-22,3,کرمان,KRMZ
1391-07-02,2012-09-23,3,کرمان,KRMZ
1391-07-03,2012-09-24,3,کرمان,KRMZ
1391-07-04,2012-09-25,3,کرمان,KRMZ
1391-07-05,2012-09-26,3,کرمان,KRMZ
1391-07-08,2012-09-29,3,کرمان,KRMZ
1391-07-09,2012-09-30,3,کرمان,KRMZ
1391-07-10,2012-10-01,3,کرمان,KRMZ
1391-07-11,2012-10-02,3,کرمان,KRMZ
1391-07-19,2012-10-10,3,کرمان,KRMZ
1391-07-22,2012-10-13,3,کرمان,KRMZ
1391-07-23,2012-10-14,3,کرمان,KRMZ
1391-07-24,2012-10-15,4,کرمان,KRMZ
1391-07-25,2012-10-16,3,کرمان,KRMZ
1391-08-09,2012-10-30,3,کرمان,KRMZ
1391-08-10,2012-10-31,3,کرمان,KRMZ
1391-08-14,2012-11-04,3,کرمان,KRMZ
1391-08-16,2012-11-06,3,کرمان,KRMZ
1391-08-17,2012-11-07,3,کرمان,KRMZ
1391-08-20,2012-11-10,3,کرمان,KRMZ
1391-08-21,2012-11-11,3,کرمان,KRMZ
1391-08-22,2012-11-12,3,کرمان,KRMZ
1391-08-23,2012-11-13,3,کرمان,KRMZ
1391-08-24,2012-11-14,4,کرمان,KRMZ
1391-08-27,2012-11-17,3,کرمان,KRMZ
1391-08-28,2012-11-18,3,کرمان,KRMZ
1391-08-29,2012-11-19,3,کرمان,KRMZ
1391-08-30,2012-11-20,3,کرمان,KRMZ
1391-09-01,2012-11-21,3,کرمان,KRMZ
1391-09-06,2012-11-26,3,کرمان,KRMZ
1391-09-07,2012-11-27,3,کرمان,KRMZ
1391-09-08,2012-11-28,3,کرمان,KRMZ
1391-09-11,2012-12-01,3,کرمان,KRMZ
1391-09-12,2012-12-02,3,کرمان,KRMZ
1391-09-13,2012-12-03,3,کرمان,KRMZ
1391-09-14,2012-12-04,3,کرمان,KRMZ
1391-09-15,2012-12-05,3,کرمان,KRMZ
1391-09-18,2012-12-08,3,کرمان,KRMZ
1391-09-19,2012-12-09,3,کرمان,KRMZ
1391-09-20,2012-12-10,3,کرمان,KRMZ
1391-09-21,2012-12-11,3,کرمان,KRMZ
1391-09-22,2012-12-12,3,کرمان,KRMZ
1391-09-25,2012-12-15,3,کرمان,KRMZ
1391-09-26,2012-12-16,3,کرمان,KRMZ
1391-09-27,2012-12-17,3,کرمان,KRMZ
1391-09-28,2012-12-18,3,کرمان,KRMZ
1391-09-29,2012-12-19,3,کرمان,KRMZ
1391-10-02,2012-12-22,3,کرمان,KRMZ
1391-10-03,2012-12-23,3,کرمان,KRMZ
1391-10-04,2012-12-24,3,کرمان,KRMZ
1391-10-05,2012-12-25,3,کرمان,KRMZ
1391-10-06,2012-12-26,3,کرمان,KRMZ
1391-10-09,2012-12-29,3,کرمان,KRMZ
1391-10-10,2012-12-30,3,کرمان,KRMZ
1391-10-11,2012-12-31,3,کرمان,KRMZ
1391-10-13,2013-01-02,3,کرمان,KRMZ
1391-10-17,2013-01-06,3,کرمان,KRMZ
1391-10-18,2013-01-07,3,کرمان,KRMZ
1391-10-19,2013-01-08,3,کرمان,KRMZ
1391-10-20,2013-01-09,3,کرمان,KRMZ
1391-10-24,2013-01-13,3,کرمان,KRMZ
1391-10-25,2013-01-14,3,کرمان,KRMZ
1391-10-26,2013-01-15,3,کرمان,KRMZ
1391-10-27,2013-01-16,3,کرمان,KRMZ
1391-10-30,2013-01-19,3,کرمان,KRMZ
1391-11-01,2013-01-20,3,کرمان,KRMZ
1391-11-02,2013-01-21,3,کرمان,KRMZ
1391-11-03,2013-01-22,3,کرمان,KRMZ
1391-11-04,2013-01-23,3,کرمان,KRMZ
1391-11-07,2013-01-26,3,کرمان,KRMZ
1391-11-08,2013-01-27,3,کرمان,KRMZ
1391-11-09,2013-01-28,3,کرمان,KRMZ
1391-11-11,2013-01-30,3,کرمان,KRMZ
1391-11-14,2013-02-02,3,کرمان,KRMZ
1391-11-15,2013-02-03,3,کرمان,KRMZ
1391-11-16,2013-02-04,3,کرمان,KRMZ
1391-11-17,2013-02-05,3,کرمان,KRMZ
1391-11-18,2013-02-06,3,کرمان,KRMZ
1391-11-21,2013-02-09,3,کرمان,KRMZ
1391-11-23,2013-02-11,3,کرمان,KRMZ
1391-11-24,2013-02-12,3,کرمان,KRMZ
1391-11-25,2013-02-13,3,کرمان,KRMZ
1391-11-28,2013-02-16,2,کرمان,KRMZ
1391-11-29,2013-02-17,3,کرمان,KRMZ
1391-11-30,2013-02-18,3,کرمان,KRMZ
1391-12-01,2013-02-19,3,کرمان,KRMZ
1391-12-02,2013-02-20,3,کرمان,KRMZ
1391-12-05,2013-02-23,3,کرمان,KRMZ
1391-12-06,2013-02-24,3,کرمان,KRMZ
1391-12-07,2013-02-25,3,کرمان,KRMZ
1391-12-08,2013-02-26,3,کرمان,KRMZ
1391-12-09,2013-02-27,3,کرمان,KRMZ
1391-12-13,2013-03-03,3,کرمان,KRMZ
1391-12-14,2013-03-04,3,کرمان,KRMZ
1391-12-15,2013-03-05,3,کرمان,KRMZ
1391-12-16,2013-03-06,3,کرمان,KRMZ
1391-12-19,2013-03-09,3,کرمان,KRMZ
1391-12-20,2013-03-10,3,کرمان,KRMZ
1391-12-21,2013-03-11,3,کرمان,KRMZ
1391-12-22,2013-03-12,3,کرمان,KRMZ
1391-12-23,2013-03-13,3,کرمان,KRMZ
1391-12-26,2013-03-16,3,کرمان,KRMZ
1391-12-27,2013-03-17,3,کرمان,KRMZ
1391-12-28,2013-03-18,3,کرمان,KRMZ
1392-01-05,2013-03-25,3,کرمان,KRMZ
1392-01-06,2013-03-26,3,کرمان,KRMZ
1392-01-07,2013-03-27,3,کرمان,KRMZ
1392-01-10,2013-03-30,3,کرمان,KRMZ
1392-01-11,2013-03-31,3,کرمان,KRMZ
1392-01-14,2013-04-03,3,کرمان,KRMZ
1392-01-17,2013-04-06,3,کرمان,KRMZ
1392-01-18,2013-04-07,3,کرمان,KRMZ
1392-01-19,2013-04-08,3,کرمان,KRMZ
1392-01-20,2013-04-09,3,کرمان,KRMZ
1392-01-21,2013-04-10,3,کرمان,KRMZ
1392-01-24,2013-04-13,3,کرمان,KRMZ
1392-01-26,2013-04-15,3,کرمان,KRMZ
1392-01-27,2013-04-16,3,کرمان,KRMZ
1392-01-28,2013-04-17,3,کرمان,KRMZ
1392-01-31,2013-04-20,3,کرمان,KRMZ
1392-02-01,2013-04-21,3,کرمان,KRMZ
1392-02-02,2013-04-22,3,کرمان,KRMZ
1392-02-03,2013-04-23,3,کرمان,KRMZ
1392-02-04,2013-04-24,3,کرمان,KRMZ
1392-02-07,2013-04-27,3,کرمان,KRMZ
1392-02-08,2013-04-28,3,کرمان,KRMZ
1392-02-09,2013-04-29,3,کرمان,KRMZ
1392-02-10,2013-04-30,3,کرمان,KRMZ
1392-02-11,2013-05-01,4,کرمان,KRMZ
1392-02-14,2013-05-04,4,کرمان,KRMZ
1392-02-15,2013-05-05,4,کرمان,KRMZ
1392-02-16,2013-05-06,4,کرمان,KRMZ
1392-02-17,2013-05-07,4,کرمان,KRMZ
1392-02-18,2013-05-08,4,کرمان,KRMZ
1392-02-21,2013-05-11,4,کرمان,KRMZ
1392-02-22,2013-05-12,4,کرمان,KRMZ
1392-02-23,2013-05-13,4,کرمان,KRMZ
1392-02-24,2013-05-14,4,کرمان,KRMZ
1392-02-25,2013-05-15,4,کرمان,KRMZ
1392-02-28,2013-05-18,4,کرمان,KRMZ
1392-02-29,2013-05-19,4,کرمان,KRMZ
1392-02-30,2013-05-20,4,کرمان,KRMZ
1392-02-31,2013-05-21,4,کرمان,KRMZ
1392-03-29,2013-06-19,6,کرمان,KRMZ
1392-04-01,2013-06-22,7,کرمان,KRMZ
1392-04-02,2013-06-23,7,کرمان,KRMZ
1392-04-04,2013-06-25,7,کرمان,KRMZ
1392-04-05,2013-06-26,8,کرمان,KRMZ
1392-04-08,2013-06-29,8,کرمان,KRMZ
1392-04-09,2013-06-30,9,کرمان,KRMZ
1392-04-10,2013-07-01,9,کرمان,KRMZ
1392-04-11,2013-07-02,10,کرمان,KRMZ
1392-04-12,2013-07-03,10,کرمان,KRMZ
1392-04-15,2013-07-06,11,کرمان,KRMZ
1392-04-16,2013-07-07,11,کرمان,KRMZ
1392-04-17,2013-07-08,12,کرمان,KRMZ
1392-04-18,2013-07-09,12,کرمان,KRMZ
1392-04-19,2013-07-10,13,کرمان,KRMZ
1392-05-20,2013-08-11,13,کرمان,KRMZ
1392-05-21,2013-08-12,13,کرمان,KRMZ
1392-05-22,2013-08-13,14,کرمان,KRMZ
1392-05-23,2013-08-14,14,کرمان,KRMZ
1392-05-26,2013-08-17,14,کرمان,KRMZ
1392-05-27,2013-08-18,14,کرمان,KRMZ
1392-05-28,2013-08-19,14,کرمان,KRMZ
1392-05-29,2013-08-20,15,کرمان,KRMZ
1392-05-30,2013-08-21,15,کرمان,KRMZ
1392-06-02,2013-08-24,15,کرمان,KRMZ
1392-06-03,2013-08-25,15,کرمان,KRMZ
1392-06-04,2013-08-26,14,کرمان,KRMZ
1392-06-05,2013-08-27,13,کرمان,KRMZ
1392-06-06,2013-08-28,13,کرمان,KRMZ
1392-06-09,2013-08-31,12,کرمان,KRMZ
1392-06-10,2013-09-01,12,کرمان,KRMZ
1392-06-12,2013-09-03,11,کرمان,KRMZ
1392-06-13,2013-09-04,11,کرمان,KRMZ
1392-06-16,2013-09-07,11,کرمان,KRMZ
1392-06-17,2013-09-08,11,کرمان,KRMZ
1392-06-18,2013-09-09,12,کرمان,KRMZ
1392-06-19,2013-09-10,12,کرمان,KRMZ
1392-06-20,2013-09-11,13,کرمان,KRMZ
1392-06-23,2013-09-14,12,کرمان,KRMZ
1392-06-24,2013-09-15,12,کرمان,KRMZ
1392-06-25,2013-09-16,12,کرمان,KRMZ
1392-06-26,2013-09-17,13,کرمان,KRMZ
1392-06-27,2013-09-18,13,کرمان,KRMZ
1392-06-30,2013-09-21,14,کرمان,KRMZ
1392-06-31,2013-09-22,15,کرمان,KRMZ
1392-07-01,2013-09-23,14,کرمان,KRMZ
1392-07-02,2013-09-24,14,کرمان,KRMZ
1392-07-03,2013-09-25,15,کرمان,KRMZ
1392-07-06,2013-09-28,14,کرمان,KRMZ
1392-07-09,2013-10-01,15,کرمان,KRMZ
1392-07-10,2013-10-02,14,کرمان,KRMZ
1392-07-13,2013-10-05,14,کرمان,KRMZ
1392-07-14,2013-10-06,14,کرمان,KRMZ
1392-07-15,2013-10-07,14,کرمان,KRMZ
1392-07-16,2013-10-08,15,کرمان,KRMZ
1392-07-17,2013-10-09,14,کرمان,KRMZ
1392-07-20,2013-10-12,14,کرمان,KRMZ
1392-08-01,2013-10-23,17,کرمان,KRMZ
1392-08-04,2013-10-26,16,کرمان,KRMZ
1392-08-05,2013-10-27,16,کرمان,KRMZ
1392-08-06,2013-10-28,16,کرمان,KRMZ
1392-08-07,2013-10-29,16,کرمان,KRMZ
1392-08-08,2013-10-30,17,کرمان,KRMZ
1392-08-11,2013-11-02,18,کرمان,KRMZ
1392-08-12,2013-11-03,19,کرمان,KRMZ
1392-08-13,2013-11-04,20,کرمان,KRMZ
1392-08-14,2013-11-05,21,کرمان,KRMZ
1392-08-15,2013-11-06,22,کرمان,KRMZ
1392-08-18,2013-11-09,23,کرمان,KRMZ
1392-08-19,2013-11-10,24,کرمان,KRMZ
1392-08-20,2013-11-11,24,کرمان,KRMZ
1392-08-21,2013-11-12,26,کرمان,KRMZ
1392-08-25,2013-11-16,27,کرمان,KRMZ
1392-08-26,2013-11-17,28,کرمان,KRMZ
1392-08-27,2013-11-18,30,کرمان,KRMZ
1392-08-28,2013-11-19,31,کرمان,KRMZ
1392-08-29,2013-11-20,33,کرمان,KRMZ
1392-09-02,2013-11-23,35,کرمان,KRMZ
1392-09-03,2013-11-24,36,کرمان,KRMZ
1392-09-04,2013-11-25,38,کرمان,KRMZ
1392-09-05,2013-11-26,38,کرمان,KRMZ
1392-09-06,2013-11-27,39,کرمان,KRMZ
1392-09-09,2013-11-30,39,کرمان,KRMZ
1392-09-10,2013-12-01,41,کرمان,KRMZ
1392-09-11,2013-12-02,43,کرمان,KRMZ
1392-09-12,2013-12-03,46,کرمان,KRMZ
1392-11-02,2014-01-22,43,کرمان,KRMZ
1392-11-05,2014-01-25,41,کرمان,KRMZ
1392-11-06,2014-01-26,39,کرمان,KRMZ
1392-11-08,2014-01-28,39,کرمان,KRMZ
1392-11-09,2014-01-29,39,کرمان,KRMZ
1392-11-12,2014-02-01,41,کرمان,KRMZ
1392-11-13,2014-02-02,40,کرمان,KRMZ
1392-11-14,2014-02-03,39,کرمان,KRMZ
1392-11-15,2014-02-04,39,کرمان,KRMZ
1392-11-16,2014-02-05,38,کرمان,KRMZ
1392-11-19,2014-02-08,36,کرمان,KRMZ
1392-11-20,2014-02-09,34,کرمان,KRMZ
1392-11-21,2014-02-10,32,کرمان,KRMZ
1392-11-23,2014-02-12,31,کرمان,KRMZ
1392-11-26,2014-02-15,30,کرمان,KRMZ
1392-11-27,2014-02-16,32,کرمان,KRMZ
1392-11-28,2014-02-17,33,کرمان,KRMZ
1392-11-29,2014-02-18,32,کرمان,KRMZ
1392-11-30,2014-02-19,34,کرمان,KRMZ
1392-12-03,2014-02-22,35,کرمان,KRMZ
1392-12-04,2014-02-23,34,کرمان,KRMZ
1392-12-05,2014-02-24,35,کرمان,KRMZ
1392-12-06,2014-02-25,35,کرمان,KRMZ
1392-12-07,2014-02-26,34,کرمان,KRMZ
1392-12-10,2014-03-01,36,کرمان,KRMZ
1392-12-11,2014-03-02,37,کرمان,KRMZ
1392-12-12,2014-03-03,35,کرمان,KRMZ
1392-12-13,2014-03-04,34,کرمان,KRMZ
1392-12-14,2014-03-05,35,کرمان,KRMZ
1392-12-17,2014-03-08,33,کرمان,KRMZ
1392-12-18,2014-03-09,32,کرمان,KRMZ
1392-12-19,2014-03-10,31,کرمان,KRMZ
1392-12-20,2014-03-11,29,کرمان,KRMZ
1392-12-21,2014-03-12,30,کرمان,KRMZ
1392-12-24,2014-03-15,30,کرمان,KRMZ
1392-12-25,2014-03-16,32,کرمان,KRMZ
1392-12-26,2014-03-17,33,کرمان,KRMZ
1392-12-27,2014-03-18,33,کرمان,KRMZ
1392-12-28,2014-03-19,32,کرمان,KRMZ
1393-01-05,2014-03-25,31,کرمان,KRMZ
1393-01-06,2014-03-26,30,کرمان,KRMZ
1393-01-09,2014-03-29,30,کرمان,KRMZ
1393-01-10,2014-03-30,32,کرمان,KRMZ
1393-01-11,2014-03-31,33,کرمان,KRMZ
1393-01-16,2014-04-05,32,کرمان,KRMZ
1393-01-17,2014-04-06,31,کرمان,KRMZ
1393-01-18,2014-04-07,31,کرمان,KRMZ
1393-01-19,2014-04-08,31,کرمان,KRMZ
1393-01-20,2014-04-09,31,کرمان,KRMZ
1393-01-23,2014-04-12,29,کرمان,KRMZ
1393-01-24,2014-04-13,28,کرمان,KRMZ
1393-01-25,2014-04-14,27,کرمان,KRMZ
1393-01-26,2014-04-15,26,کرمان,KRMZ
1393-01-27,2014-04-16,28,کرمان,KRMZ
1393-01-30,2014-04-19,26,کرمان,KRMZ
1393-01-31,2014-04-20,28,کرمان,KRMZ
1393-02-01,2014-04-21,29,کرمان,KRMZ
1393-02-02,2014-04-22,30,کرمان,KRMZ
1393-02-03,2014-04-23,29,کرمان,KRMZ
1393-02-06,2014-04-26,32,کرمان,KRMZ
1393-02-07,2014-04-27,31,کرمان,KRMZ
1393-02-08,2014-04-28,31,کرمان,KRMZ
1393-02-09,2014-04-29,31,کرمان,KRMZ
1393-02-10,2014-04-30,31,کرمان,KRMZ
1393-02-13,2014-05-03,31,کرمان,KRMZ
1393-02-14,2014-05-04,30,کرمان,KRMZ
