J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-03-05,2021-05-26,6812,غکورش,KRSH
1400-03-08,2021-05-29,7151,غکورش,KRSH
1400-03-09,2021-05-30,7508,غکورش,KRSH
1400-03-10,2021-05-31,7883,غکورش,KRSH
1400-03-11,2021-06-01,8277,غکورش,KRSH
1400-03-12,2021-06-02,8688,غکورش,KRSH
1400-03-17,2021-06-07,8786,غکورش,KRSH
1400-03-18,2021-06-08,8575,غکورش,KRSH
1400-03-19,2021-06-09,8518,غکورش,KRSH
1400-03-22,2021-06-12,8666,غکورش,KRSH
1400-03-23,2021-06-13,8597,غکورش,KRSH
1400-03-24,2021-06-14,8684,غکورش,KRSH
1400-03-25,2021-06-15,8654,غکورش,KRSH
1400-03-26,2021-06-16,8609,غکورش,KRSH
1400-03-29,2021-06-19,8420,غکورش,KRSH
1400-03-30,2021-06-20,8438,غکورش,KRSH
1400-03-31,2021-06-21,8907,غکورش,KRSH
1400-04-01,2021-06-22,9225,غکورش,KRSH
1400-04-02,2021-06-23,9275,غکورش,KRSH
1400-04-05,2021-06-26,9084,غکورش,KRSH
1400-04-06,2021-06-27,9034,غکورش,KRSH
1400-04-07,2021-06-28,8895,غکورش,KRSH
1400-04-08,2021-06-29,8955,غکورش,KRSH
1400-04-09,2021-06-30,9278,غکورش,KRSH
1400-04-16,2021-07-07,9541,غکورش,KRSH
1400-04-19,2021-07-10,9417,غکورش,KRSH
1400-04-20,2021-07-11,9514,غکورش,KRSH
1400-04-21,2021-07-12,9432,غکورش,KRSH
1400-04-22,2021-07-13,9293,غکورش,KRSH
1400-04-23,2021-07-14,9392,غکورش,KRSH
1400-04-26,2021-07-17,9271,غکورش,KRSH
1400-04-27,2021-07-18,9373,غکورش,KRSH
1400-04-28,2021-07-19,9881,غکورش,KRSH
1400-05-04,2021-07-26,10262,غکورش,KRSH
1400-05-05,2021-07-27,9866,غکورش,KRSH
1400-05-06,2021-07-28,10148,غکورش,KRSH
1400-05-09,2021-07-31,10208,غکورش,KRSH
1400-05-10,2021-08-01,10111,غکورش,KRSH
1400-05-11,2021-08-02,10062,غکورش,KRSH
1400-05-12,2021-08-03,10200,غکورش,KRSH
1400-05-13,2021-08-04,10703,غکورش,KRSH
1400-05-16,2021-08-07,10780,غکورش,KRSH
1400-05-17,2021-08-08,10874,غکورش,KRSH
1400-05-18,2021-08-09,10941,غکورش,KRSH
1400-05-19,2021-08-10,11192,غکورش,KRSH
1400-05-20,2021-08-11,11053,غکورش,KRSH
1400-05-23,2021-08-14,11117,غکورش,KRSH
1400-05-24,2021-08-15,11016,غکورش,KRSH
1400-05-31,2021-08-22,11152,غکورش,KRSH
1400-06-01,2021-08-23,11715,غکورش,KRSH
1400-06-02,2021-08-24,12111,غکورش,KRSH
1400-06-03,2021-08-25,12243,غکورش,KRSH
1400-06-06,2021-08-28,12679,غکورش,KRSH
1400-06-07,2021-08-29,12007,غکورش,KRSH
1400-06-08,2021-08-30,11571,غکورش,KRSH
1400-06-09,2021-08-31,11207,غکورش,KRSH
1400-06-10,2021-09-01,11757,غکورش,KRSH
1400-06-13,2021-09-04,11878,غکورش,KRSH
1400-06-14,2021-09-05,11990,غکورش,KRSH
1400-06-15,2021-09-06,11524,غکورش,KRSH
1400-06-16,2021-09-07,11370,غکورش,KRSH
1400-06-17,2021-09-08,11306,غکورش,KRSH
1400-06-20,2021-09-11,11177,غکورش,KRSH
1400-06-21,2021-09-12,10954,غکورش,KRSH
1400-06-22,2021-09-13,11018,غکورش,KRSH
1400-06-23,2021-09-14,11373,غکورش,KRSH
1400-06-24,2021-09-15,11031,غکورش,KRSH
1400-06-27,2021-09-18,10656,غکورش,KRSH
1400-06-28,2021-09-19,10582,غکورش,KRSH
1400-06-29,2021-09-20,10845,غکورش,KRSH
1400-06-30,2021-09-21,10681,غکورش,KRSH
1400-06-31,2021-09-22,11150,غکورش,KRSH
1400-07-03,2021-09-25,11474,غکورش,KRSH
1400-07-04,2021-09-26,11387,غکورش,KRSH
1400-07-06,2021-09-28,11045,غکورش,KRSH
1400-07-07,2021-09-29,11271,غکورش,KRSH
1400-07-10,2021-10-02,11085,غکورش,KRSH
1400-07-11,2021-10-03,11648,غکورش,KRSH
1400-07-12,2021-10-04,11645,غکورش,KRSH
1400-07-14,2021-10-06,11511,غکورش,KRSH
1400-07-17,2021-10-09,10956,غکورش,KRSH
1400-07-18,2021-10-10,10865,غکورش,KRSH
1400-07-19,2021-10-11,10758,غکورش,KRSH
1400-07-20,2021-10-12,10411,غکورش,KRSH
1400-07-21,2021-10-13,10359,غکورش,KRSH
1400-07-24,2021-10-16,10746,غکورش,KRSH
1400-07-25,2021-10-17,10619,غکورش,KRSH
1400-07-26,2021-10-18,10855,غکورش,KRSH
1400-07-27,2021-10-19,11293,غکورش,KRSH
1400-07-28,2021-10-20,11422,غکورش,KRSH
1400-08-01,2021-10-23,11350,غکورش,KRSH
1400-08-03,2021-10-25,11003,غکورش,KRSH
1400-08-04,2021-10-26,11003,غکورش,KRSH
1400-08-05,2021-10-27,11028,غکورش,KRSH
1400-08-08,2021-10-30,10758,غکورش,KRSH
1400-08-09,2021-10-31,10255,غکورش,KRSH
1400-08-10,2021-11-01,10473,غکورش,KRSH
1400-08-11,2021-11-02,10981,غکورش,KRSH
1400-08-12,2021-11-03,11477,غکورش,KRSH
1400-08-15,2021-11-06,11801,غکورش,KRSH
1400-08-16,2021-11-07,11407,غکورش,KRSH
1400-08-17,2021-11-08,11682,غکورش,KRSH
1400-08-18,2021-11-09,11772,غکورش,KRSH
1400-08-19,2021-11-10,12371,غکورش,KRSH
1400-08-22,2021-11-13,12332,غکورش,KRSH
1400-08-23,2021-11-14,11819,غکورش,KRSH
1400-08-24,2021-11-15,11511,غکورش,KRSH
1400-08-25,2021-11-16,11893,غکورش,KRSH
1400-08-26,2021-11-17,12265,غکورش,KRSH
1400-08-29,2021-11-20,11893,غکورش,KRSH
1400-08-30,2021-11-21,11920,غکورش,KRSH
1400-09-01,2021-11-22,12039,غکورش,KRSH
1400-09-02,2021-11-23,12042,غکورش,KRSH
1400-09-03,2021-11-24,11918,غکورش,KRSH
1400-09-06,2021-11-27,11400,غکورش,KRSH
1400-09-07,2021-11-28,11848,غکورش,KRSH
1400-09-08,2021-11-29,11896,غکورش,KRSH
1400-09-09,2021-11-30,11616,غکورش,KRSH
1400-09-10,2021-12-01,11524,غکورش,KRSH
1400-09-13,2021-12-04,11058,غکورش,KRSH
1400-09-14,2021-12-05,11380,غکورش,KRSH
1400-09-15,2021-12-06,11477,غکورش,KRSH
1400-09-16,2021-12-07,11707,غکورش,KRSH
1400-09-17,2021-12-08,11734,غکورش,KRSH
1400-09-20,2021-12-11,11799,غکورش,KRSH
1400-09-21,2021-12-12,12002,غکورش,KRSH
1400-09-22,2021-12-13,11648,غکورش,KRSH
1400-09-23,2021-12-14,12094,غکورش,KRSH
1400-09-24,2021-12-15,12002,غکورش,KRSH
1400-09-27,2021-12-18,12049,غکورش,KRSH
1400-09-28,2021-12-19,11742,غکورش,KRSH
1400-09-29,2021-12-20,11635,غکورش,KRSH
1400-09-30,2021-12-21,12324,غکورش,KRSH
1400-10-01,2021-12-22,12604,غکورش,KRSH
1400-10-04,2021-12-25,12391,غکورش,KRSH
1400-10-05,2021-12-26,12173,غکورش,KRSH
1400-10-08,2021-12-29,11905,غکورش,KRSH
1400-10-11,2022-01-01,11799,غکورش,KRSH
1400-10-12,2022-01-02,11868,غکورش,KRSH
1400-10-13,2022-01-03,11804,غکورش,KRSH
1400-10-14,2022-01-04,11655,غکورش,KRSH
1400-10-15,2022-01-05,11675,غکورش,KRSH
1400-10-18,2022-01-08,11588,غکورش,KRSH
1400-10-19,2022-01-09,11318,غکورش,KRSH
1400-10-20,2022-01-10,11648,غکورش,KRSH
1400-10-21,2022-01-11,11556,غکورش,KRSH
1400-10-22,2022-01-12,11839,غکورش,KRSH
1400-10-25,2022-01-15,11449,غکورش,KRSH
1400-10-26,2022-01-16,11650,غکورش,KRSH
1400-10-27,2022-01-17,11526,غکورش,KRSH
