J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-06,2001-03-26,91,چکارن,KRTI
1380-01-07,2001-03-27,89,چکارن,KRTI
1380-01-08,2001-03-28,89,چکارن,KRTI
1380-01-11,2001-03-31,89,چکارن,KRTI
1380-01-14,2001-04-03,89,چکارن,KRTI
1380-01-18,2001-04-07,89,چکارن,KRTI
1380-01-19,2001-04-08,89,چکارن,KRTI
1380-01-20,2001-04-09,89,چکارن,KRTI
1380-01-21,2001-04-10,91,چکارن,KRTI
1380-01-22,2001-04-11,91,چکارن,KRTI
1380-01-25,2001-04-14,91,چکارن,KRTI
1380-02-04,2001-04-24,78,چکارن,KRTI
1380-02-08,2001-04-28,79,چکارن,KRTI
1380-02-09,2001-04-29,79,چکارن,KRTI
1380-02-10,2001-04-30,79,چکارن,KRTI
1380-02-11,2001-05-01,80,چکارن,KRTI
1380-02-12,2001-05-02,80,چکارن,KRTI
1380-02-15,2001-05-05,80,چکارن,KRTI
1380-02-16,2001-05-06,80,چکارن,KRTI
1380-02-17,2001-05-07,80,چکارن,KRTI
1380-02-18,2001-05-08,80,چکارن,KRTI
1380-02-19,2001-05-09,80,چکارن,KRTI
1380-02-22,2001-05-12,81,چکارن,KRTI
1380-02-25,2001-05-15,81,چکارن,KRTI
1380-02-26,2001-05-16,83,چکارن,KRTI
1380-02-29,2001-05-19,84,چکارن,KRTI
1380-02-30,2001-05-20,88,چکارن,KRTI
1380-02-31,2001-05-21,87,چکارن,KRTI
1380-03-02,2001-05-23,88,چکارن,KRTI
1380-03-05,2001-05-26,92,چکارن,KRTI
1380-03-06,2001-05-27,97,چکارن,KRTI
1380-03-07,2001-05-28,102,چکارن,KRTI
1380-03-08,2001-05-29,102,چکارن,KRTI
1380-03-09,2001-05-30,102,چکارن,KRTI
1380-03-12,2001-06-02,101,چکارن,KRTI
1380-03-16,2001-06-06,101,چکارن,KRTI
1380-03-21,2001-06-11,101,چکارن,KRTI
1380-03-28,2001-06-18,96,چکارن,KRTI
1380-03-29,2001-06-19,96,چکارن,KRTI
1380-03-30,2001-06-20,96,چکارن,KRTI
1380-04-02,2001-06-23,96,چکارن,KRTI
1380-04-03,2001-06-24,96,چکارن,KRTI
1380-04-04,2001-06-25,96,چکارن,KRTI
1380-04-06,2001-06-27,96,چکارن,KRTI
1380-04-09,2001-06-30,96,چکارن,KRTI
1380-04-10,2001-07-01,96,چکارن,KRTI
1380-04-11,2001-07-02,96,چکارن,KRTI
1380-04-12,2001-07-03,96,چکارن,KRTI
1380-04-13,2001-07-04,96,چکارن,KRTI
1380-04-17,2001-07-08,94,چکارن,KRTI
1380-04-18,2001-07-09,93,چکارن,KRTI
1380-04-20,2001-07-11,91,چکارن,KRTI
1380-04-23,2001-07-14,91,چکارن,KRTI
1380-04-24,2001-07-15,91,چکارن,KRTI
1380-04-25,2001-07-16,89,چکارن,KRTI
1380-04-26,2001-07-17,87,چکارن,KRTI
1380-04-27,2001-07-18,86,چکارن,KRTI
1380-04-30,2001-07-21,89,چکارن,KRTI
1380-04-31,2001-07-22,92,چکارن,KRTI
1380-05-01,2001-07-23,92,چکارن,KRTI
1380-05-02,2001-07-24,92,چکارن,KRTI
1380-05-03,2001-07-25,93,چکارن,KRTI
1380-05-06,2001-07-28,93,چکارن,KRTI
1380-05-07,2001-07-29,92,چکارن,KRTI
1380-05-09,2001-07-31,93,چکارن,KRTI
1380-05-10,2001-08-01,93,چکارن,KRTI
1380-05-13,2001-08-04,92,چکارن,KRTI
1380-05-14,2001-08-05,92,چکارن,KRTI
1380-05-16,2001-08-07,92,چکارن,KRTI
1380-05-17,2001-08-08,92,چکارن,KRTI
1380-05-21,2001-08-12,92,چکارن,KRTI
1380-05-23,2001-08-14,91,چکارن,KRTI
1380-05-24,2001-08-15,90,چکارن,KRTI
1380-05-28,2001-08-19,89,چکارن,KRTI
1380-05-30,2001-08-21,88,چکارن,KRTI
1380-06-03,2001-08-25,87,چکارن,KRTI
1380-06-04,2001-08-26,87,چکارن,KRTI
1380-06-05,2001-08-27,87,چکارن,KRTI
1380-06-06,2001-08-28,86,چکارن,KRTI
1380-06-07,2001-08-29,86,چکارن,KRTI
1380-06-11,2001-09-02,85,چکارن,KRTI
1380-06-12,2001-09-03,86,چکارن,KRTI
1380-06-13,2001-09-04,86,چکارن,KRTI
1380-06-17,2001-09-08,86,چکارن,KRTI
1380-06-18,2001-09-09,86,چکارن,KRTI
1380-06-19,2001-09-10,86,چکارن,KRTI
1380-06-20,2001-09-11,86,چکارن,KRTI
1380-06-21,2001-09-12,85,چکارن,KRTI
1380-06-24,2001-09-15,85,چکارن,KRTI
1380-06-25,2001-09-16,84,چکارن,KRTI
1380-06-31,2001-09-22,84,چکارن,KRTI
1380-07-01,2001-09-23,84,چکارن,KRTI
1380-07-02,2001-09-24,84,چکارن,KRTI
1380-07-04,2001-09-26,83,چکارن,KRTI
1380-07-07,2001-09-29,81,چکارن,KRTI
1380-07-08,2001-09-30,80,چکارن,KRTI
1380-07-10,2001-10-02,79,چکارن,KRTI
1380-07-11,2001-10-03,79,چکارن,KRTI
1380-07-15,2001-10-07,78,چکارن,KRTI
1380-07-16,2001-10-08,78,چکارن,KRTI
1380-07-17,2001-10-09,78,چکارن,KRTI
1380-07-18,2001-10-10,78,چکارن,KRTI
1380-07-21,2001-10-13,78,چکارن,KRTI
1380-07-22,2001-10-14,78,چکارن,KRTI
1380-07-25,2001-10-17,79,چکارن,KRTI
1380-07-28,2001-10-20,79,چکارن,KRTI
1380-07-29,2001-10-21,81,چکارن,KRTI
1380-07-30,2001-10-22,82,چکارن,KRTI
1380-08-01,2001-10-23,82,چکارن,KRTI
1380-08-02,2001-10-24,82,چکارن,KRTI
1380-08-06,2001-10-28,83,چکارن,KRTI
1380-08-07,2001-10-29,84,چکارن,KRTI
1380-08-09,2001-10-31,84,چکارن,KRTI
1380-08-12,2001-11-03,86,چکارن,KRTI
1380-08-13,2001-11-04,86,چکارن,KRTI
1380-08-14,2001-11-05,87,چکارن,KRTI
1380-08-15,2001-11-06,90,چکارن,KRTI
1380-08-16,2001-11-07,89,چکارن,KRTI
1380-08-19,2001-11-10,89,چکارن,KRTI
1380-08-20,2001-11-11,89,چکارن,KRTI
1380-08-21,2001-11-12,89,چکارن,KRTI
1380-08-22,2001-11-13,89,چکارن,KRTI
1380-08-23,2001-11-14,88,چکارن,KRTI
1380-08-26,2001-11-17,88,چکارن,KRTI
1380-08-27,2001-11-18,86,چکارن,KRTI
1380-08-29,2001-11-20,85,چکارن,KRTI
1380-08-30,2001-11-21,84,چکارن,KRTI
1380-09-04,2001-11-25,83,چکارن,KRTI
1380-09-05,2001-11-26,83,چکارن,KRTI
1380-09-06,2001-11-27,81,چکارن,KRTI
1380-09-17,2001-12-08,73,چکارن,KRTI
1380-09-18,2001-12-09,73,چکارن,KRTI
1380-09-19,2001-12-10,72,چکارن,KRTI
1380-09-20,2001-12-11,72,چکارن,KRTI
1380-09-21,2001-12-12,71,چکارن,KRTI
1380-09-24,2001-12-15,70,چکارن,KRTI
1380-09-26,2001-12-17,68,چکارن,KRTI
1380-09-27,2001-12-18,68,چکارن,KRTI
1380-09-28,2001-12-19,68,چکارن,KRTI
1380-10-01,2001-12-22,69,چکارن,KRTI
1380-10-02,2001-12-23,69,چکارن,KRTI
1380-10-03,2001-12-24,69,چکارن,KRTI
1380-10-04,2001-12-25,70,چکارن,KRTI
1380-10-08,2001-12-29,70,چکارن,KRTI
1380-10-09,2001-12-30,70,چکارن,KRTI
1380-10-11,2002-01-01,70,چکارن,KRTI
1380-10-12,2002-01-02,70,چکارن,KRTI
1380-10-15,2002-01-05,70,چکارن,KRTI
1380-10-18,2002-01-08,69,چکارن,KRTI
1380-10-23,2002-01-13,69,چکارن,KRTI
1380-11-01,2002-01-21,67,چکارن,KRTI
1380-11-02,2002-01-22,66,چکارن,KRTI
1380-11-03,2002-01-23,65,چکارن,KRTI
1380-11-06,2002-01-26,65,چکارن,KRTI
1380-11-07,2002-01-27,65,چکارن,KRTI
1380-11-08,2002-01-28,65,چکارن,KRTI
1380-11-09,2002-01-29,65,چکارن,KRTI
1380-11-10,2002-01-30,65,چکارن,KRTI
1380-11-13,2002-02-02,65,چکارن,KRTI
1380-11-14,2002-02-03,64,چکارن,KRTI
1380-11-15,2002-02-04,64,چکارن,KRTI
1380-11-16,2002-02-05,64,چکارن,KRTI
1380-11-17,2002-02-06,64,چکارن,KRTI
1380-11-20,2002-02-09,65,چکارن,KRTI
1380-11-23,2002-02-12,64,چکارن,KRTI
1380-11-24,2002-02-13,64,چکارن,KRTI
1380-12-06,2002-02-25,64,چکارن,KRTI
1380-12-08,2002-02-27,61,چکارن,KRTI
1380-12-11,2002-03-02,61,چکارن,KRTI
1380-12-13,2002-03-04,61,چکارن,KRTI
1380-12-14,2002-03-05,60,چکارن,KRTI
1380-12-15,2002-03-06,58,چکارن,KRTI
1380-12-18,2002-03-09,58,چکارن,KRTI
1380-12-19,2002-03-10,58,چکارن,KRTI
1380-12-20,2002-03-11,58,چکارن,KRTI
1380-12-21,2002-03-12,58,چکارن,KRTI
1380-12-26,2002-03-17,59,چکارن,KRTI
1381-01-10,2002-03-30,60,چکارن,KRTI
1381-01-19,2002-04-08,63,چکارن,KRTI
1381-01-20,2002-04-09,64,چکارن,KRTI
1381-01-21,2002-04-10,65,چکارن,KRTI
1381-01-25,2002-04-14,68,چکارن,KRTI
1381-02-25,2002-05-15,56,چکارن,KRTI
1381-02-28,2002-05-18,56,چکارن,KRTI
1381-02-29,2002-05-19,56,چکارن,KRTI
1381-03-01,2002-05-22,56,چکارن,KRTI
1381-03-04,2002-05-25,56,چکارن,KRTI
1381-04-01,2002-06-22,53,چکارن,KRTI
1381-04-02,2002-06-23,53,چکارن,KRTI
1381-04-09,2002-06-30,50,چکارن,KRTI
1381-04-12,2002-07-03,49,چکارن,KRTI
1381-04-15,2002-07-06,49,چکارن,KRTI
1381-04-29,2002-07-20,47,چکارن,KRTI
1381-06-18,2002-09-09,40,چکارن,KRTI
1381-06-31,2002-09-22,42,چکارن,KRTI
1381-07-01,2002-09-23,44,چکارن,KRTI
1381-07-02,2002-09-24,44,چکارن,KRTI
1381-07-03,2002-09-25,44,چکارن,KRTI
1381-07-06,2002-09-28,44,چکارن,KRTI
1381-07-07,2002-09-29,44,چکارن,KRTI
1381-07-09,2002-10-01,44,چکارن,KRTI
1381-07-14,2002-10-06,44,چکارن,KRTI
1381-07-16,2002-10-08,44,چکارن,KRTI
1381-07-20,2002-10-12,47,چکارن,KRTI
1381-07-21,2002-10-13,47,چکارن,KRTI
1381-07-22,2002-10-14,47,چکارن,KRTI
1381-07-23,2002-10-15,47,چکارن,KRTI
1381-07-24,2002-10-16,48,چکارن,KRTI
1381-07-28,2002-10-20,48,چکارن,KRTI
1381-08-07,2002-10-29,47,چکارن,KRTI
1381-08-08,2002-10-30,47,چکارن,KRTI
1381-08-15,2002-11-06,45,چکارن,KRTI
1381-08-20,2002-11-11,42,چکارن,KRTI
1381-08-21,2002-11-12,42,چکارن,KRTI
1381-08-22,2002-11-13,42,چکارن,KRTI
1381-08-25,2002-11-16,42,چکارن,KRTI
1381-08-27,2002-11-18,42,چکارن,KRTI
1381-08-29,2002-11-20,42,چکارن,KRTI
1381-09-02,2002-11-23,42,چکارن,KRTI
1381-09-03,2002-11-24,45,چکارن,KRTI
1381-09-05,2002-11-26,45,چکارن,KRTI
1381-09-09,2002-11-30,45,چکارن,KRTI
1381-09-10,2002-12-01,45,چکارن,KRTI
1381-09-17,2002-12-08,45,چکارن,KRTI
1381-09-23,2002-12-14,44,چکارن,KRTI
1381-09-27,2002-12-18,44,چکارن,KRTI
1381-09-30,2002-12-21,43,چکارن,KRTI
1381-10-04,2002-12-25,45,چکارن,KRTI
1381-10-07,2002-12-28,45,چکارن,KRTI
1381-10-08,2002-12-29,45,چکارن,KRTI
1381-10-10,2002-12-31,45,چکارن,KRTI
1381-10-11,2003-01-01,45,چکارن,KRTI
1381-10-14,2003-01-04,46,چکارن,KRTI
1381-10-15,2003-01-05,46,چکارن,KRTI
1381-10-16,2003-01-06,46,چکارن,KRTI
1381-10-17,2003-01-07,46,چکارن,KRTI
1381-10-18,2003-01-08,46,چکارن,KRTI
1381-10-21,2003-01-11,46,چکارن,KRTI
1381-10-23,2003-01-13,46,چکارن,KRTI
1381-10-25,2003-01-15,46,چکارن,KRTI
1381-10-30,2003-01-20,45,چکارن,KRTI
1381-11-02,2003-01-22,45,چکارن,KRTI
1381-11-09,2003-01-29,43,چکارن,KRTI
1381-11-14,2003-02-03,42,چکارن,KRTI
1381-11-16,2003-02-05,42,چکارن,KRTI
1381-11-21,2003-02-10,40,چکارن,KRTI
1381-12-05,2003-02-24,38,چکارن,KRTI
1381-12-07,2003-02-26,36,چکارن,KRTI
1381-12-10,2003-03-01,34,چکارن,KRTI
1381-12-11,2003-03-02,33,چکارن,KRTI
1381-12-12,2003-03-03,33,چکارن,KRTI
1381-12-18,2003-03-09,34,چکارن,KRTI
1381-12-19,2003-03-10,36,چکارن,KRTI
1382-02-24,2003-05-14,30,چکارن,KRTI
1382-02-27,2003-05-17,32,چکارن,KRTI
1382-02-28,2003-05-18,33,چکارن,KRTI
1382-02-30,2003-05-20,33,چکارن,KRTI
1382-02-31,2003-05-21,34,چکارن,KRTI
1382-03-03,2003-05-24,34,چکارن,KRTI
1382-03-04,2003-05-25,34,چکارن,KRTI
1382-03-05,2003-05-26,33,چکارن,KRTI
1382-03-06,2003-05-27,33,چکارن,KRTI
1382-03-07,2003-05-28,33,چکارن,KRTI
1382-03-10,2003-05-31,33,چکارن,KRTI
1382-03-12,2003-06-02,33,چکارن,KRTI
1382-03-13,2003-06-03,33,چکارن,KRTI
1382-03-25,2003-06-15,32,چکارن,KRTI
1382-03-27,2003-06-17,32,چکارن,KRTI
1382-03-28,2003-06-18,32,چکارن,KRTI
1382-04-02,2003-06-23,30,چکارن,KRTI
1382-04-03,2003-06-24,28,چکارن,KRTI
1382-04-04,2003-06-25,28,چکارن,KRTI
1382-04-07,2003-06-28,28,چکارن,KRTI
1382-04-08,2003-06-29,28,چکارن,KRTI
1382-04-10,2003-07-01,28,چکارن,KRTI
1382-04-11,2003-07-02,28,چکارن,KRTI
1382-04-15,2003-07-06,28,چکارن,KRTI
1382-04-16,2003-07-07,29,چکارن,KRTI
1382-04-17,2003-07-08,29,چکارن,KRTI
1382-04-22,2003-07-13,30,چکارن,KRTI
1382-04-23,2003-07-14,30,چکارن,KRTI
1382-04-24,2003-07-15,30,چکارن,KRTI
1382-04-25,2003-07-16,30,چکارن,KRTI
1382-04-28,2003-07-19,31,چکارن,KRTI
1382-04-29,2003-07-20,31,چکارن,KRTI
1382-04-30,2003-07-21,31,چکارن,KRTI
1382-04-31,2003-07-22,31,چکارن,KRTI
1382-05-01,2003-07-23,31,چکارن,KRTI
1382-05-04,2003-07-26,30,چکارن,KRTI
1382-05-05,2003-07-27,30,چکارن,KRTI
1382-05-06,2003-07-28,30,چکارن,KRTI
1382-05-07,2003-07-29,30,چکارن,KRTI
1382-05-12,2003-08-03,30,چکارن,KRTI
1382-05-13,2003-08-04,29,چکارن,KRTI
1382-05-14,2003-08-05,29,چکارن,KRTI
1382-05-18,2003-08-09,29,چکارن,KRTI
1382-05-19,2003-08-10,29,چکارن,KRTI
1382-05-20,2003-08-11,29,چکارن,KRTI
1382-05-21,2003-08-12,29,چکارن,KRTI
1382-05-22,2003-08-13,29,چکارن,KRTI
1382-07-12,2003-10-04,29,چکارن,KRTI
1382-07-13,2003-10-05,29,چکارن,KRTI
1382-07-15,2003-10-07,29,چکارن,KRTI
1382-07-16,2003-10-08,30,چکارن,KRTI
1382-07-19,2003-10-11,32,چکارن,KRTI
1382-07-21,2003-10-13,34,چکارن,KRTI
1382-07-22,2003-10-14,35,چکارن,KRTI
1382-07-23,2003-10-15,37,چکارن,KRTI
1382-07-26,2003-10-18,39,چکارن,KRTI
1382-07-27,2003-10-19,40,چکارن,KRTI
1382-07-28,2003-10-20,42,چکارن,KRTI
1382-07-29,2003-10-21,44,چکارن,KRTI
1382-07-30,2003-10-22,46,چکارن,KRTI
1382-08-03,2003-10-25,47,چکارن,KRTI
1382-08-04,2003-10-26,49,چکارن,KRTI
1382-08-05,2003-10-27,49,چکارن,KRTI
1382-08-06,2003-10-28,49,چکارن,KRTI
1382-08-07,2003-10-29,49,چکارن,KRTI
1382-08-10,2003-11-01,49,چکارن,KRTI
1382-08-11,2003-11-02,49,چکارن,KRTI
1382-08-17,2003-11-08,49,چکارن,KRTI
1382-08-18,2003-11-09,49,چکارن,KRTI
1382-08-19,2003-11-10,49,چکارن,KRTI
1382-08-28,2003-11-19,49,چکارن,KRTI
1382-09-16,2003-12-07,48,چکارن,KRTI
1382-09-22,2003-12-13,48,چکارن,KRTI
1382-09-23,2003-12-14,48,چکارن,KRTI
1382-09-24,2003-12-15,46,چکارن,KRTI
1382-09-25,2003-12-16,45,چکارن,KRTI
1382-10-01,2003-12-22,45,چکارن,KRTI
1382-10-02,2003-12-23,44,چکارن,KRTI
1382-10-03,2003-12-24,44,چکارن,KRTI
1382-10-09,2003-12-30,44,چکارن,KRTI
1382-10-13,2004-01-03,43,چکارن,KRTI
1382-10-16,2004-01-06,43,چکارن,KRTI
1382-10-23,2004-01-13,43,چکارن,KRTI
1382-10-24,2004-01-14,43,چکارن,KRTI
1382-10-28,2004-01-18,43,چکارن,KRTI
1382-11-26,2004-02-15,40,چکارن,KRTI
1382-11-27,2004-02-16,40,چکارن,KRTI
1382-11-28,2004-02-17,39,چکارن,KRTI
1382-11-29,2004-02-18,39,چکارن,KRTI
1382-12-02,2004-02-21,39,چکارن,KRTI
1382-12-04,2004-02-23,39,چکارن,KRTI
1382-12-05,2004-02-24,39,چکارن,KRTI
1382-12-10,2004-02-29,38,چکارن,KRTI
1382-12-13,2004-03-03,38,چکارن,KRTI
1382-12-18,2004-03-08,38,چکارن,KRTI
1382-12-19,2004-03-09,38,چکارن,KRTI
1382-12-23,2004-03-13,36,چکارن,KRTI
1382-12-24,2004-03-14,36,چکارن,KRTI
1382-12-25,2004-03-15,36,چکارن,KRTI
1383-01-10,2004-03-29,36,چکارن,KRTI
1383-01-16,2004-04-04,37,چکارن,KRTI
1383-01-18,2004-04-06,37,چکارن,KRTI
1383-01-19,2004-04-07,39,چکارن,KRTI
1383-01-22,2004-04-10,39,چکارن,KRTI
1383-01-24,2004-04-12,39,چکارن,KRTI
1383-02-15,2004-05-04,38,چکارن,KRTI
1383-02-16,2004-05-05,38,چکارن,KRTI
1383-02-19,2004-05-08,38,چکارن,KRTI
1383-02-20,2004-05-09,38,چکارن,KRTI
1383-02-22,2004-05-11,38,چکارن,KRTI
1383-02-23,2004-05-12,38,چکارن,KRTI
1383-02-26,2004-05-15,38,چکارن,KRTI
1383-02-27,2004-05-16,38,چکارن,KRTI
1383-02-28,2004-05-17,38,چکارن,KRTI
1383-02-29,2004-05-18,38,چکارن,KRTI
1383-03-13,2004-06-02,36,چکارن,KRTI
1383-03-24,2004-06-13,36,چکارن,KRTI
1383-03-27,2004-06-16,36,چکارن,KRTI
1383-03-30,2004-06-19,36,چکارن,KRTI
1383-03-31,2004-06-20,36,چکارن,KRTI
1383-04-01,2004-06-21,36,چکارن,KRTI
1383-04-02,2004-06-22,36,چکارن,KRTI
1383-04-03,2004-06-23,36,چکارن,KRTI
1383-04-07,2004-06-27,36,چکارن,KRTI
1383-04-09,2004-06-29,36,چکارن,KRTI
1383-04-10,2004-06-30,36,چکارن,KRTI
1383-04-13,2004-07-03,35,چکارن,KRTI
1383-04-14,2004-07-04,34,چکارن,KRTI
1383-04-15,2004-07-05,34,چکارن,KRTI
1383-04-21,2004-07-11,34,چکارن,KRTI
1383-04-22,2004-07-12,34,چکارن,KRTI
1383-04-23,2004-07-13,34,چکارن,KRTI
1383-04-27,2004-07-17,35,چکارن,KRTI
1383-04-29,2004-07-19,35,چکارن,KRTI
1383-04-30,2004-07-20,36,چکارن,KRTI
1383-05-03,2004-07-24,36,چکارن,KRTI
1383-05-05,2004-07-26,37,چکارن,KRTI
1383-05-10,2004-07-31,37,چکارن,KRTI
1383-05-12,2004-08-02,39,چکارن,KRTI
1383-05-13,2004-08-03,39,چکارن,KRTI
1383-05-17,2004-08-07,39,چکارن,KRTI
1383-05-18,2004-08-08,39,چکارن,KRTI
1383-05-20,2004-08-10,39,چکارن,KRTI
1383-05-24,2004-08-14,39,چکارن,KRTI
1383-05-25,2004-08-15,39,چکارن,KRTI
1383-05-27,2004-08-17,39,چکارن,KRTI
1383-05-28,2004-08-18,39,چکارن,KRTI
1383-05-31,2004-08-21,39,چکارن,KRTI
1383-06-01,2004-08-22,39,چکارن,KRTI
1383-06-02,2004-08-23,39,چکارن,KRTI
1383-06-04,2004-08-25,39,چکارن,KRTI
1383-06-10,2004-08-31,39,چکارن,KRTI
1383-06-15,2004-09-05,39,چکارن,KRTI
1383-06-16,2004-09-06,39,چکارن,KRTI
1383-06-17,2004-09-07,39,چکارن,KRTI
1383-06-18,2004-09-08,39,چکارن,KRTI
1383-06-22,2004-09-12,39,چکارن,KRTI
1383-06-24,2004-09-14,39,چکارن,KRTI
1383-06-29,2004-09-19,39,چکارن,KRTI
1383-06-31,2004-09-21,39,چکارن,KRTI
1383-07-04,2004-09-25,39,چکارن,KRTI
1383-07-11,2004-10-02,40,چکارن,KRTI
1383-07-12,2004-10-03,40,چکارن,KRTI
1383-07-18,2004-10-09,40,چکارن,KRTI
1383-07-19,2004-10-10,40,چکارن,KRTI
1383-07-20,2004-10-11,40,چکارن,KRTI
1383-07-26,2004-10-17,40,چکارن,KRTI
1383-09-16,2004-12-06,52,چکارن,KRTI
1383-09-17,2004-12-07,54,چکارن,KRTI
1383-09-21,2004-12-11,57,چکارن,KRTI
1383-09-22,2004-12-12,60,چکارن,KRTI
1383-09-23,2004-12-13,63,چکارن,KRTI
1383-09-24,2004-12-14,66,چکارن,KRTI
1383-09-25,2004-12-15,69,چکارن,KRTI
1383-09-28,2004-12-18,73,چکارن,KRTI
1383-09-29,2004-12-19,77,چکارن,KRTI
1383-09-30,2004-12-20,80,چکارن,KRTI
1383-10-01,2004-12-21,78,چکارن,KRTI
1383-10-02,2004-12-22,77,چکارن,KRTI
1383-10-05,2004-12-25,80,چکارن,KRTI
1383-10-06,2004-12-26,84,چکارن,KRTI
1383-10-07,2004-12-27,89,چکارن,KRTI
1383-10-08,2004-12-28,90,چکارن,KRTI
1383-10-09,2004-12-29,90,چکارن,KRTI
1383-10-12,2005-01-01,88,چکارن,KRTI
1383-10-13,2005-01-02,84,چکارن,KRTI
1383-10-14,2005-01-03,82,چکارن,KRTI
1383-10-15,2005-01-04,78,چکارن,KRTI
1383-10-16,2005-01-05,75,چکارن,KRTI
1383-10-19,2005-01-08,77,چکارن,KRTI
1383-10-20,2005-01-09,79,چکارن,KRTI
1383-10-21,2005-01-10,82,چکارن,KRTI
1383-10-22,2005-01-11,81,چکارن,KRTI
1383-10-23,2005-01-12,79,چکارن,KRTI
1383-10-26,2005-01-15,79,چکارن,KRTI
1383-10-27,2005-01-16,78,چکارن,KRTI
1383-10-28,2005-01-17,74,چکارن,KRTI
1383-10-29,2005-01-18,74,چکارن,KRTI
1383-10-30,2005-01-19,74,چکارن,KRTI
1383-11-03,2005-01-22,73,چکارن,KRTI
1383-11-04,2005-01-23,73,چکارن,KRTI
1383-11-05,2005-01-24,73,چکارن,KRTI
1383-11-06,2005-01-25,74,چکارن,KRTI
1383-11-07,2005-01-26,74,چکارن,KRTI
1383-11-11,2005-01-30,74,چکارن,KRTI
1383-11-12,2005-01-31,74,چکارن,KRTI
1383-11-13,2005-02-01,74,چکارن,KRTI
1383-11-14,2005-02-02,77,چکارن,KRTI
1383-11-17,2005-02-05,76,چکارن,KRTI
1383-11-18,2005-02-06,76,چکارن,KRTI
1383-11-19,2005-02-07,74,چکارن,KRTI
1383-11-21,2005-02-09,73,چکارن,KRTI
1383-11-24,2005-02-12,73,چکارن,KRTI
1383-11-26,2005-02-14,71,چکارن,KRTI
1383-11-27,2005-02-15,71,چکارن,KRTI
1383-12-04,2005-02-22,71,چکارن,KRTI
1383-12-05,2005-02-23,70,چکارن,KRTI
1383-12-08,2005-02-26,67,چکارن,KRTI
1383-12-09,2005-02-27,67,چکارن,KRTI
1383-12-11,2005-03-01,71,چکارن,KRTI
1383-12-12,2005-03-02,70,چکارن,KRTI
1383-12-15,2005-03-05,70,چکارن,KRTI
1383-12-16,2005-03-06,70,چکارن,KRTI
1384-01-24,2005-04-13,70,چکارن,KRTI
1384-01-28,2005-04-17,70,چکارن,KRTI
1384-01-29,2005-04-18,70,چکارن,KRTI
1384-01-30,2005-04-19,70,چکارن,KRTI
1384-01-31,2005-04-20,70,چکارن,KRTI
1384-02-03,2005-04-23,70,چکارن,KRTI
1384-02-07,2005-04-27,70,چکارن,KRTI
1384-02-10,2005-04-30,70,چکارن,KRTI
1384-02-13,2005-05-03,70,چکارن,KRTI
1384-02-14,2005-05-04,70,چکارن,KRTI
1384-02-17,2005-05-07,70,چکارن,KRTI
1384-02-20,2005-05-10,69,چکارن,KRTI
1384-02-26,2005-05-16,68,چکارن,KRTI
1384-02-27,2005-05-17,67,چکارن,KRTI
1384-03-03,2005-05-24,66,چکارن,KRTI
1384-03-04,2005-05-25,66,چکارن,KRTI
1384-03-07,2005-05-28,66,چکارن,KRTI
1384-03-08,2005-05-29,62,چکارن,KRTI
1384-03-09,2005-05-30,62,چکارن,KRTI
1384-03-10,2005-05-31,62,چکارن,KRTI
1384-03-11,2005-06-01,60,چکارن,KRTI
1384-03-16,2005-06-06,60,چکارن,KRTI
1384-03-17,2005-06-07,60,چکارن,KRTI
1384-03-18,2005-06-08,59,چکارن,KRTI
1384-03-21,2005-06-11,59,چکارن,KRTI
1384-03-22,2005-06-12,57,چکارن,KRTI
1384-03-23,2005-06-13,54,چکارن,KRTI
1384-03-24,2005-06-14,52,چکارن,KRTI
1384-03-25,2005-06-15,50,چکارن,KRTI
1384-03-28,2005-06-18,50,چکارن,KRTI
1384-03-29,2005-06-19,50,چکارن,KRTI
1384-03-30,2005-06-20,47,چکارن,KRTI
1384-03-31,2005-06-21,47,چکارن,KRTI
1384-04-01,2005-06-22,48,چکارن,KRTI
1384-04-04,2005-06-25,49,چکارن,KRTI
1384-04-05,2005-06-26,50,چکارن,KRTI
1384-04-06,2005-06-27,51,چکارن,KRTI
1384-04-08,2005-06-29,51,چکارن,KRTI
1384-04-11,2005-07-02,52,چکارن,KRTI
