J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-28,2001-04-17,295,کسعدی,KSAD
1380-04-17,2001-07-08,259,کسعدی,KSAD
1380-04-19,2001-07-10,272,کسعدی,KSAD
1380-04-20,2001-07-11,285,کسعدی,KSAD
1380-04-23,2001-07-14,299,کسعدی,KSAD
1380-04-24,2001-07-15,314,کسعدی,KSAD
1380-04-25,2001-07-16,330,کسعدی,KSAD
1380-04-30,2001-07-21,346,کسعدی,KSAD
1380-05-01,2001-07-23,364,کسعدی,KSAD
1380-05-02,2001-07-24,370,کسعدی,KSAD
1380-05-03,2001-07-25,364,کسعدی,KSAD
1380-05-06,2001-07-28,364,کسعدی,KSAD
1380-05-08,2001-07-30,365,کسعدی,KSAD
1380-05-09,2001-07-31,365,کسعدی,KSAD
1380-05-10,2001-08-01,365,کسعدی,KSAD
1380-05-13,2001-08-04,365,کسعدی,KSAD
1380-05-14,2001-08-05,365,کسعدی,KSAD
1380-05-15,2001-08-06,366,کسعدی,KSAD
1380-05-16,2001-08-07,366,کسعدی,KSAD
1380-05-17,2001-08-08,366,کسعدی,KSAD
1380-05-20,2001-08-11,366,کسعدی,KSAD
1380-05-21,2001-08-12,364,کسعدی,KSAD
1380-05-22,2001-08-13,364,کسعدی,KSAD
1380-05-23,2001-08-14,364,کسعدی,KSAD
1380-05-24,2001-08-15,364,کسعدی,KSAD
1380-05-27,2001-08-18,364,کسعدی,KSAD
1380-05-28,2001-08-19,364,کسعدی,KSAD
1380-05-29,2001-08-20,364,کسعدی,KSAD
1380-05-30,2001-08-21,364,کسعدی,KSAD
1380-06-03,2001-08-25,364,کسعدی,KSAD
1380-06-05,2001-08-27,364,کسعدی,KSAD
1380-06-06,2001-08-28,364,کسعدی,KSAD
1380-06-07,2001-08-29,364,کسعدی,KSAD
1380-06-11,2001-09-02,364,کسعدی,KSAD
1380-06-12,2001-09-03,382,کسعدی,KSAD
1380-06-13,2001-09-04,401,کسعدی,KSAD
1380-06-18,2001-09-09,401,کسعدی,KSAD
1380-06-20,2001-09-11,400,کسعدی,KSAD
1380-06-24,2001-09-15,400,کسعدی,KSAD
1380-06-25,2001-09-16,400,کسعدی,KSAD
1380-06-28,2001-09-19,401,کسعدی,KSAD
1380-07-01,2001-09-23,401,کسعدی,KSAD
1380-07-07,2001-09-29,398,کسعدی,KSAD
1380-07-08,2001-09-30,398,کسعدی,KSAD
1380-07-10,2001-10-02,397,کسعدی,KSAD
1380-07-11,2001-10-03,396,کسعدی,KSAD
1380-07-14,2001-10-06,395,کسعدی,KSAD
1380-08-01,2001-10-23,375,کسعدی,KSAD
1380-08-05,2001-10-27,373,کسعدی,KSAD
1380-08-06,2001-10-28,372,کسعدی,KSAD
1380-08-08,2001-10-30,363,کسعدی,KSAD
1380-08-13,2001-11-04,345,کسعدی,KSAD
1380-08-14,2001-11-05,362,کسعدی,KSAD
1380-08-15,2001-11-06,370,کسعدی,KSAD
