J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-08-08,2013-10-30,495,کصدف,KSDP
1392-09-09,2013-11-30,495,کصدف,KSDP
1392-09-12,2013-12-03,495,کصدف,KSDP
1392-09-20,2013-12-11,495,کصدف,KSDP
1392-12-13,2014-03-04,505,کصدف,KSDP
1392-12-19,2014-03-10,505,کصدف,KSDP
1393-02-27,2014-05-17,495,کصدف,KSDP
1393-02-31,2014-05-21,495,کصدف,KSDP
1393-03-04,2014-05-25,495,کصدف,KSDP
1393-03-05,2014-05-26,495,کصدف,KSDP
1393-04-15,2014-07-06,495,کصدف,KSDP
1393-06-04,2014-08-26,495,کصدف,KSDP
1393-06-18,2014-09-09,594,کصدف,KSDP
1393-07-22,2014-10-14,594,کصدف,KSDP
1393-07-23,2014-10-15,594,کصدف,KSDP
1393-09-02,2014-11-23,594,کصدف,KSDP
1393-09-15,2014-12-06,594,کصدف,KSDP
1393-09-25,2014-12-16,594,کصدف,KSDP
1393-10-29,2015-01-19,594,کصدف,KSDP
1393-11-06,2015-01-26,594,کصدف,KSDP
1394-04-02,2015-06-23,594,کصدف,KSDP
1395-02-21,2016-05-10,597,کصدف,KSDP
1395-08-12,2016-11-02,597,کصدف,KSDP
1395-10-25,2017-01-14,607,کصدف,KSDP
1395-11-25,2017-02-13,597,کصدف,KSDP
1396-01-20,2017-04-09,597,کصدف,KSDP
1396-02-04,2017-04-24,657,کصدف,KSDP
1396-02-06,2017-04-26,677,کصدف,KSDP
1396-02-09,2017-04-29,724,کصدف,KSDP
1396-02-11,2017-05-01,778,کصدف,KSDP
1396-02-12,2017-05-02,778,کصدف,KSDP
1396-03-01,2017-05-22,771,کصدف,KSDP
1396-03-02,2017-05-23,746,کصدف,KSDP
1396-03-17,2017-06-07,672,کصدف,KSDP
1396-03-20,2017-06-10,739,کصدف,KSDP
1396-03-21,2017-06-11,813,کصدف,KSDP
1396-03-30,2017-06-20,894,کصدف,KSDP
1396-04-03,2017-06-24,983,کصدف,KSDP
1396-04-14,2017-07-05,1081,کصدف,KSDP
1396-04-18,2017-07-09,1189,کصدف,KSDP
1396-04-19,2017-07-10,1308,کصدف,KSDP
1396-04-21,2017-07-12,1438,کصدف,KSDP
1396-04-24,2017-07-15,1581,کصدف,KSDP
1396-04-26,2017-07-17,1739,کصدف,KSDP
1396-06-15,2017-09-06,1693,کصدف,KSDP
1396-06-20,2017-09-11,1689,کصدف,KSDP
1396-06-21,2017-09-12,1847,کصدف,KSDP
1396-06-26,2017-09-17,1742,کصدف,KSDP
1396-06-27,2017-09-18,1620,کصدف,KSDP
1396-06-28,2017-09-19,1766,کصدف,KSDP
1396-07-01,2017-09-23,1535,کصدف,KSDP
1396-07-02,2017-09-24,1692,کصدف,KSDP
1396-07-03,2017-09-25,1806,کصدف,KSDP
1396-07-04,2017-09-26,1742,کصدف,KSDP
1396-07-05,2017-09-27,1595,کصدف,KSDP
1396-07-10,2017-10-02,1631,کصدف,KSDP
1396-07-11,2017-10-03,1424,کصدف,KSDP
1396-07-12,2017-10-04,1443,کصدف,KSDP
1396-07-15,2017-10-07,1257,کصدف,KSDP
1396-07-16,2017-10-08,1160,کصدف,KSDP
1396-07-17,2017-10-09,1062,کصدف,KSDP
1396-07-18,2017-10-10,1172,کصدف,KSDP
1396-07-19,2017-10-11,1245,کصدف,KSDP
1396-07-22,2017-10-14,1370,کصدف,KSDP
1396-07-23,2017-10-15,1319,کصدف,KSDP
1396-07-24,2017-10-16,1431,کصدف,KSDP
1396-07-25,2017-10-17,1391,کصدف,KSDP
1396-07-26,2017-10-18,1289,کصدف,KSDP
1396-07-29,2017-10-21,1300,کصدف,KSDP
1396-07-30,2017-10-22,1295,کصدف,KSDP
1396-08-01,2017-10-23,1379,کصدف,KSDP
1396-08-02,2017-10-24,1429,کصدف,KSDP
1396-08-03,2017-10-25,1491,کصدف,KSDP
1396-08-06,2017-10-28,1382,کصدف,KSDP
1396-08-07,2017-10-29,1279,کصدف,KSDP
1396-08-08,2017-10-30,1441,کصدف,KSDP
1396-08-09,2017-10-31,1530,کصدف,KSDP
1396-08-10,2017-11-01,1673,کصدف,KSDP
1396-08-13,2017-11-04,1763,کصدف,KSDP
1396-08-14,2017-11-05,1555,کصدف,KSDP
1396-08-15,2017-11-06,1641,کصدف,KSDP
1396-08-16,2017-11-07,1688,کصدف,KSDP
1396-08-17,2017-11-08,1612,کصدف,KSDP
1396-08-20,2017-11-11,1511,کصدف,KSDP
1396-08-21,2017-11-12,1634,کصدف,KSDP
1396-08-22,2017-11-13,1637,کصدف,KSDP
1396-08-23,2017-11-14,1627,کصدف,KSDP
1396-08-27,2017-11-18,1493,کصدف,KSDP
1396-08-29,2017-11-20,1455,کصدف,KSDP
1396-08-30,2017-11-21,1581,کصدف,KSDP
1396-09-01,2017-11-22,1493,کصدف,KSDP
1396-09-04,2017-11-25,1493,کصدف,KSDP
1396-09-05,2017-11-26,1348,کصدف,KSDP
1396-09-07,2017-11-28,1414,کصدف,KSDP
1396-09-08,2017-11-29,1396,کصدف,KSDP
1396-09-11,2017-12-02,1394,کصدف,KSDP
1396-09-12,2017-12-03,1394,کصدف,KSDP
1396-09-13,2017-12-04,1344,کصدف,KSDP
1396-09-14,2017-12-05,1319,کصدف,KSDP
1396-09-18,2017-12-09,1428,کصدف,KSDP
1396-09-19,2017-12-10,1312,کصدف,KSDP
1396-09-20,2017-12-11,1319,کصدف,KSDP
1396-09-21,2017-12-12,1227,کصدف,KSDP
1396-09-22,2017-12-13,1293,کصدف,KSDP
1396-09-25,2017-12-16,1328,کصدف,KSDP
1396-09-26,2017-12-17,1294,کصدف,KSDP
1396-09-27,2017-12-18,1244,کصدف,KSDP
1396-09-28,2017-12-19,1274,کصدف,KSDP
1396-09-29,2017-12-20,1294,کصدف,KSDP
1396-10-02,2017-12-23,1363,کصدف,KSDP
1396-10-03,2017-12-24,1381,کصدف,KSDP
1396-10-04,2017-12-25,1368,کصدف,KSDP
1396-10-05,2017-12-26,1363,کصدف,KSDP
1396-10-06,2017-12-27,1296,کصدف,KSDP
1396-10-09,2017-12-30,1269,کصدف,KSDP
1396-10-10,2017-12-31,1162,کصدف,KSDP
1396-10-11,2018-01-01,1218,کصدف,KSDP
1396-10-12,2018-01-02,1147,کصدف,KSDP
1396-10-13,2018-01-03,1277,کصدف,KSDP
1396-10-16,2018-01-06,1244,کصدف,KSDP
1396-10-17,2018-01-07,1197,کصدف,KSDP
1396-10-18,2018-01-08,1279,کصدف,KSDP
1396-10-19,2018-01-09,1244,کصدف,KSDP
1396-10-20,2018-01-10,1181,کصدف,KSDP
1396-10-23,2018-01-13,1175,کصدف,KSDP
1396-10-24,2018-01-14,1170,کصدف,KSDP
1396-10-25,2018-01-15,1170,کصدف,KSDP
1396-10-26,2018-01-16,1115,کصدف,KSDP
1396-10-27,2018-01-17,1119,کصدف,KSDP
1396-10-30,2018-01-20,1144,کصدف,KSDP
1396-11-04,2018-01-24,1488,کصدف,KSDP
1396-11-09,2018-01-29,1035,کصدف,KSDP
1396-11-11,2018-01-31,1025,کصدف,KSDP
1396-11-14,2018-02-03,975,کصدف,KSDP
1396-11-16,2018-02-05,980,کصدف,KSDP
1396-11-18,2018-02-07,1025,کصدف,KSDP
1396-11-21,2018-02-10,996,کصدف,KSDP
1396-11-23,2018-02-12,946,کصدف,KSDP
1396-11-25,2018-02-14,946,کصدف,KSDP
1396-11-28,2018-02-17,952,کصدف,KSDP
1396-11-30,2018-02-19,947,کصدف,KSDP
1396-12-05,2018-02-24,956,کصدف,KSDP
1396-12-07,2018-02-26,952,کصدف,KSDP
1396-12-09,2018-02-28,896,کصدف,KSDP
1396-12-12,2018-03-03,896,کصدف,KSDP
1396-12-14,2018-03-05,946,کصدف,KSDP
1396-12-16,2018-03-07,946,کصدف,KSDP
1396-12-21,2018-03-12,846,کصدف,KSDP
1396-12-23,2018-03-14,846,کصدف,KSDP
1396-12-28,2018-03-19,946,کصدف,KSDP
1397-01-06,2018-03-26,945,کصدف,KSDP
1397-01-15,2018-04-04,911,کصدف,KSDP
1397-01-18,2018-04-07,896,کصدف,KSDP
1397-01-20,2018-04-09,797,کصدف,KSDP
1397-01-22,2018-04-11,771,کصدف,KSDP
1397-01-27,2018-04-16,735,کصدف,KSDP
1397-01-29,2018-04-18,699,کصدف,KSDP
1397-02-01,2018-04-21,673,کصدف,KSDP
1397-02-03,2018-04-23,652,کصدف,KSDP
1397-02-05,2018-04-25,658,کصدف,KSDP
1397-02-08,2018-04-28,672,کصدف,KSDP
1397-02-10,2018-04-30,674,کصدف,KSDP
1397-02-15,2018-05-05,678,کصدف,KSDP
1397-02-19,2018-05-09,681,کصدف,KSDP
1397-02-22,2018-05-12,691,کصدف,KSDP
1397-02-24,2018-05-14,697,کصدف,KSDP
1397-02-26,2018-05-16,697,کصدف,KSDP
1397-02-29,2018-05-19,672,کصدف,KSDP
1397-02-31,2018-05-21,647,کصدف,KSDP
1397-03-05,2018-05-26,648,کصدف,KSDP
1397-03-07,2018-05-28,698,کصدف,KSDP
1397-03-09,2018-05-30,717,کصدف,KSDP
1397-03-12,2018-06-02,776,کصدف,KSDP
1397-03-23,2018-06-13,658,کصدف,KSDP
1397-03-30,2018-06-20,746,کصدف,KSDP
1397-04-02,2018-06-23,781,کصدف,KSDP
1397-04-04,2018-06-25,752,کصدف,KSDP
1397-04-06,2018-06-27,746,کصدف,KSDP
1397-04-09,2018-06-30,697,کصدف,KSDP
1397-04-11,2018-07-02,672,کصدف,KSDP
1397-04-13,2018-07-04,662,کصدف,KSDP
