J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-03-28,2012-06-17,2194,کشرق,KSGZ
1391-03-30,2012-06-19,2127,کشرق,KSGZ
1391-03-31,2012-06-20,2032,کشرق,KSGZ
1391-04-03,2012-06-23,1931,کشرق,KSGZ
1391-04-04,2012-06-24,1834,کشرق,KSGZ
1391-04-05,2012-06-25,1743,کشرق,KSGZ
1391-04-06,2012-06-26,1663,کشرق,KSGZ
1391-04-07,2012-06-27,1581,کشرق,KSGZ
1391-04-10,2012-06-30,1661,کشرق,KSGZ
1391-04-11,2012-07-01,1616,کشرق,KSGZ
1391-04-12,2012-07-02,1704,کشرق,KSGZ
1391-04-13,2012-07-03,1726,کشرق,KSGZ
1391-04-14,2012-07-04,1659,کشرق,KSGZ
1391-04-17,2012-07-07,1690,کشرق,KSGZ
1391-04-18,2012-07-08,1569,کشرق,KSGZ
1391-04-19,2012-07-09,1567,کشرق,KSGZ
1391-04-20,2012-07-10,1620,کشرق,KSGZ
1391-04-21,2012-07-11,1625,کشرق,KSGZ
1391-04-28,2012-07-18,1632,کشرق,KSGZ
1391-04-31,2012-07-21,1536,کشرق,KSGZ
1391-05-01,2012-07-22,1588,کشرق,KSGZ
1391-05-02,2012-07-23,1655,کشرق,KSGZ
1391-05-03,2012-07-24,1571,کشرق,KSGZ
1391-05-04,2012-07-25,1517,کشرق,KSGZ
1391-05-07,2012-07-28,1476,کشرق,KSGZ
1391-05-08,2012-07-29,1417,کشرق,KSGZ
1391-05-09,2012-07-30,1363,کشرق,KSGZ
1391-05-10,2012-07-31,1423,کشرق,KSGZ
1391-05-11,2012-08-01,1493,کشرق,KSGZ
1391-05-14,2012-08-04,1443,کشرق,KSGZ
1391-05-15,2012-08-05,1443,کشرق,KSGZ
1391-05-16,2012-08-06,1461,کشرق,KSGZ
1391-05-17,2012-08-07,1407,کشرق,KSGZ
1391-05-18,2012-08-08,1507,کشرق,KSGZ
1391-05-21,2012-08-11,1568,کشرق,KSGZ
1391-05-22,2012-08-12,1489,کشرق,KSGZ
1391-05-23,2012-08-13,1479,کشرق,KSGZ
1391-05-24,2012-08-14,1534,کشرق,KSGZ
1391-05-25,2012-08-15,1534,کشرق,KSGZ
1391-05-28,2012-08-18,1610,کشرق,KSGZ
1391-05-31,2012-08-21,1684,کشرق,KSGZ
1391-06-01,2012-08-22,1741,کشرق,KSGZ
1391-06-04,2012-08-25,1749,کشرق,KSGZ
1391-06-05,2012-08-26,1652,کشرق,KSGZ
1391-06-06,2012-08-27,1628,کشرق,KSGZ
1391-06-12,2012-09-02,1711,کشرق,KSGZ
1391-06-13,2012-09-03,1794,کشرق,KSGZ
1391-06-14,2012-09-04,1881,کشرق,KSGZ
1391-06-15,2012-09-05,1887,کشرق,KSGZ
1391-06-18,2012-09-08,2002,کشرق,KSGZ
1391-06-19,2012-09-09,1940,کشرق,KSGZ
1391-06-20,2012-09-10,2081,کشرق,KSGZ
1391-06-21,2012-09-11,2148,کشرق,KSGZ
1391-06-25,2012-09-15,2256,کشرق,KSGZ
1391-06-26,2012-09-16,2368,کشرق,KSGZ
1391-06-27,2012-09-17,2487,کشرق,KSGZ
1391-06-28,2012-09-18,2608,کشرق,KSGZ
1391-06-29,2012-09-19,2606,کشرق,KSGZ
1391-07-01,2012-09-22,2571,کشرق,KSGZ
1391-07-02,2012-09-23,2478,کشرق,KSGZ
1391-07-03,2012-09-24,2403,کشرق,KSGZ
1391-07-04,2012-09-25,2355,کشرق,KSGZ
1391-07-05,2012-09-26,2464,کشرق,KSGZ
1391-07-08,2012-09-29,2570,کشرق,KSGZ
1391-07-09,2012-09-30,2660,کشرق,KSGZ
1391-07-10,2012-10-01,2531,کشرق,KSGZ
1391-07-11,2012-10-02,2672,کشرق,KSGZ
1391-07-12,2012-10-03,2769,کشرق,KSGZ
1391-07-15,2012-10-06,2888,کشرق,KSGZ
1391-07-16,2012-10-07,2978,کشرق,KSGZ
1391-07-17,2012-10-08,2842,کشرق,KSGZ
1391-07-18,2012-10-09,2709,کشرق,KSGZ
1391-07-19,2012-10-10,2647,کشرق,KSGZ
1391-07-22,2012-10-13,2734,کشرق,KSGZ
1391-07-23,2012-10-14,2864,کشرق,KSGZ
1391-07-24,2012-10-15,2997,کشرق,KSGZ
1391-07-25,2012-10-16,3147,کشرق,KSGZ
1391-07-26,2012-10-17,3301,کشرق,KSGZ
1391-07-29,2012-10-20,3459,کشرق,KSGZ
1391-07-30,2012-10-21,3393,کشرق,KSGZ
1391-08-01,2012-10-22,3408,کشرق,KSGZ
1391-08-02,2012-10-23,3245,کشرق,KSGZ
1391-08-03,2012-10-24,3083,کشرق,KSGZ
1391-08-06,2012-10-27,3269,کشرق,KSGZ
1391-08-07,2012-10-28,3149,کشرق,KSGZ
1391-08-08,2012-10-29,3212,کشرق,KSGZ
1391-08-09,2012-10-30,3158,کشرق,KSGZ
1391-08-10,2012-10-31,3158,کشرق,KSGZ
1391-08-14,2012-11-04,3062,کشرق,KSGZ
1391-08-15,2012-11-05,2926,کشرق,KSGZ
1391-08-16,2012-11-06,3032,کشرق,KSGZ
1391-08-17,2012-11-07,3126,کشرق,KSGZ
1391-08-20,2012-11-10,2940,کشرق,KSGZ
1391-08-21,2012-11-11,2886,کشرق,KSGZ
1391-08-22,2012-11-12,2959,کشرق,KSGZ
1391-08-23,2012-11-13,3059,کشرق,KSGZ
1391-08-24,2012-11-14,2895,کشرق,KSGZ
1391-08-27,2012-11-17,2824,کشرق,KSGZ
1391-08-28,2012-11-18,2832,کشرق,KSGZ
1391-08-29,2012-11-19,2743,کشرق,KSGZ
1391-08-30,2012-11-20,2792,کشرق,KSGZ
1391-09-01,2012-11-21,2761,کشرق,KSGZ
1391-09-06,2012-11-26,2752,کشرق,KSGZ
1391-09-07,2012-11-27,2803,کشرق,KSGZ
1391-09-08,2012-11-28,2770,کشرق,KSGZ
1391-09-11,2012-12-01,2804,کشرق,KSGZ
1391-09-12,2012-12-02,2743,کشرق,KSGZ
1391-09-13,2012-12-03,2741,کشرق,KSGZ
1391-09-14,2012-12-04,2672,کشرق,KSGZ
1391-09-15,2012-12-05,2734,کشرق,KSGZ
1391-09-18,2012-12-08,2707,کشرق,KSGZ
1391-09-19,2012-12-09,2703,کشرق,KSGZ
1391-09-20,2012-12-10,2689,کشرق,KSGZ
1391-09-21,2012-12-11,2640,کشرق,KSGZ
1391-09-22,2012-12-12,2729,کشرق,KSGZ
1391-09-25,2012-12-15,2706,کشرق,KSGZ
1391-09-26,2012-12-16,2705,کشرق,KSGZ
1391-09-27,2012-12-17,2752,کشرق,KSGZ
1391-09-28,2012-12-18,2725,کشرق,KSGZ
1391-09-29,2012-12-19,2673,کشرق,KSGZ
1391-10-02,2012-12-22,2662,کشرق,KSGZ
1391-10-03,2012-12-23,2708,کشرق,KSGZ
1391-10-04,2012-12-24,2627,کشرق,KSGZ
1391-10-05,2012-12-25,2617,کشرق,KSGZ
1391-10-06,2012-12-26,2584,کشرق,KSGZ
1391-10-09,2012-12-29,2660,کشرق,KSGZ
1391-10-10,2012-12-30,2617,کشرق,KSGZ
1391-10-11,2012-12-31,2635,کشرق,KSGZ
1391-10-12,2013-01-01,2776,کشرق,KSGZ
1391-10-13,2013-01-02,2867,کشرق,KSGZ
1391-10-17,2013-01-06,2905,کشرق,KSGZ
1391-10-18,2013-01-07,2818,کشرق,KSGZ
1391-10-19,2013-01-08,2742,کشرق,KSGZ
1391-10-20,2013-01-09,2779,کشرق,KSGZ
