J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-11,2001-05-01,15,فاسمین,KSIM
1380-02-16,2001-05-06,15,فاسمین,KSIM
1380-02-22,2001-05-12,15,فاسمین,KSIM
1380-02-23,2001-05-13,15,فاسمین,KSIM
1380-02-25,2001-05-15,16,فاسمین,KSIM
1380-02-31,2001-05-21,16,فاسمین,KSIM
1380-03-06,2001-05-27,16,فاسمین,KSIM
1380-03-07,2001-05-28,16,فاسمین,KSIM
1380-03-08,2001-05-29,16,فاسمین,KSIM
1380-03-09,2001-05-30,16,فاسمین,KSIM
1380-03-12,2001-06-02,17,فاسمین,KSIM
1380-03-13,2001-06-03,17,فاسمین,KSIM
1380-03-16,2001-06-06,17,فاسمین,KSIM
1380-03-19,2001-06-09,17,فاسمین,KSIM
1380-03-21,2001-06-11,17,فاسمین,KSIM
1380-05-03,2001-07-25,9,فاسمین,KSIM
1380-05-08,2001-07-30,10,فاسمین,KSIM
1380-05-14,2001-08-05,10,فاسمین,KSIM
1380-05-15,2001-08-06,10,فاسمین,KSIM
1380-05-17,2001-08-08,10,فاسمین,KSIM
1380-05-20,2001-08-11,10,فاسمین,KSIM
1380-05-21,2001-08-12,10,فاسمین,KSIM
1380-05-22,2001-08-13,10,فاسمین,KSIM
1380-05-24,2001-08-15,10,فاسمین,KSIM
1380-05-28,2001-08-19,10,فاسمین,KSIM
1380-05-29,2001-08-20,11,فاسمین,KSIM
1380-05-30,2001-08-21,11,فاسمین,KSIM
1380-05-31,2001-08-22,11,فاسمین,KSIM
1380-06-03,2001-08-25,11,فاسمین,KSIM
1380-06-05,2001-08-27,11,فاسمین,KSIM
1380-06-06,2001-08-28,11,فاسمین,KSIM
1380-06-07,2001-08-29,11,فاسمین,KSIM
1380-06-10,2001-09-01,11,فاسمین,KSIM
1380-06-11,2001-09-02,11,فاسمین,KSIM
1380-06-12,2001-09-03,11,فاسمین,KSIM
1380-06-13,2001-09-04,11,فاسمین,KSIM
1380-06-14,2001-09-05,11,فاسمین,KSIM
1380-06-17,2001-09-08,11,فاسمین,KSIM
1380-06-18,2001-09-09,11,فاسمین,KSIM
1380-06-19,2001-09-10,11,فاسمین,KSIM
1380-06-20,2001-09-11,11,فاسمین,KSIM
1380-06-21,2001-09-12,11,فاسمین,KSIM
1380-06-24,2001-09-15,11,فاسمین,KSIM
1380-06-25,2001-09-16,11,فاسمین,KSIM
1380-06-26,2001-09-17,11,فاسمین,KSIM
1380-06-27,2001-09-18,11,فاسمین,KSIM
1380-06-28,2001-09-19,11,فاسمین,KSIM
1380-06-31,2001-09-22,11,فاسمین,KSIM
1380-07-01,2001-09-23,11,فاسمین,KSIM
1380-07-02,2001-09-24,11,فاسمین,KSIM
1380-07-03,2001-09-25,11,فاسمین,KSIM
1380-07-04,2001-09-26,11,فاسمین,KSIM
1380-07-10,2001-10-02,11,فاسمین,KSIM
1380-07-11,2001-10-03,11,فاسمین,KSIM
1380-07-15,2001-10-07,11,فاسمین,KSIM
1380-07-24,2001-10-16,10,فاسمین,KSIM
1380-07-25,2001-10-17,10,فاسمین,KSIM
1380-07-28,2001-10-20,10,فاسمین,KSIM
1380-08-01,2001-10-23,10,فاسمین,KSIM
1380-08-05,2001-10-27,10,فاسمین,KSIM
1380-08-08,2001-10-30,10,فاسمین,KSIM
1380-08-09,2001-10-31,10,فاسمین,KSIM
1380-08-12,2001-11-03,10,فاسمین,KSIM
1380-08-16,2001-11-07,10,فاسمین,KSIM
1380-08-27,2001-11-18,10,فاسمین,KSIM
1380-08-30,2001-11-21,10,فاسمین,KSIM
1380-09-05,2001-11-26,10,فاسمین,KSIM
1380-09-06,2001-11-27,9,فاسمین,KSIM
1380-09-11,2001-12-02,9,فاسمین,KSIM
1380-09-12,2001-12-03,9,فاسمین,KSIM
1380-09-13,2001-12-04,9,فاسمین,KSIM
1380-09-14,2001-12-05,9,فاسمین,KSIM
1380-09-17,2001-12-08,9,فاسمین,KSIM
1380-09-18,2001-12-09,9,فاسمین,KSIM
1380-09-19,2001-12-10,8,فاسمین,KSIM
1380-09-20,2001-12-11,8,فاسمین,KSIM
1380-09-21,2001-12-12,8,فاسمین,KSIM
1380-09-24,2001-12-15,8,فاسمین,KSIM
1380-09-26,2001-12-17,8,فاسمین,KSIM
1380-09-27,2001-12-18,7,فاسمین,KSIM
1380-09-28,2001-12-19,7,فاسمین,KSIM
1380-10-01,2001-12-22,7,فاسمین,KSIM
1380-10-02,2001-12-23,7,فاسمین,KSIM
1380-10-03,2001-12-24,7,فاسمین,KSIM
1380-10-04,2001-12-25,7,فاسمین,KSIM
1380-10-05,2001-12-26,7,فاسمین,KSIM
1380-10-08,2001-12-29,7,فاسمین,KSIM
1380-10-09,2001-12-30,7,فاسمین,KSIM
1380-10-10,2001-12-31,7,فاسمین,KSIM
1380-10-11,2002-01-01,7,فاسمین,KSIM
1380-10-12,2002-01-02,7,فاسمین,KSIM
1380-10-15,2002-01-05,7,فاسمین,KSIM
1380-10-16,2002-01-06,7,فاسمین,KSIM
1380-10-17,2002-01-07,8,فاسمین,KSIM
1380-10-18,2002-01-08,8,فاسمین,KSIM
1380-10-22,2002-01-12,8,فاسمین,KSIM
1380-10-23,2002-01-13,8,فاسمین,KSIM
1380-10-24,2002-01-14,8,فاسمین,KSIM
1380-10-25,2002-01-15,8,فاسمین,KSIM
1380-10-26,2002-01-16,8,فاسمین,KSIM
1380-10-30,2002-01-20,8,فاسمین,KSIM
1380-11-01,2002-01-21,8,فاسمین,KSIM
1380-11-02,2002-01-22,8,فاسمین,KSIM
1380-11-07,2002-01-27,8,فاسمین,KSIM
1380-11-08,2002-01-28,8,فاسمین,KSIM
1380-11-09,2002-01-29,9,فاسمین,KSIM
1380-11-10,2002-01-30,9,فاسمین,KSIM
1380-11-13,2002-02-02,9,فاسمین,KSIM
1380-11-14,2002-02-03,8,فاسمین,KSIM
1380-11-16,2002-02-05,8,فاسمین,KSIM
1380-11-17,2002-02-06,8,فاسمین,KSIM
1380-11-20,2002-02-09,8,فاسمین,KSIM
1380-11-21,2002-02-10,8,فاسمین,KSIM
1380-11-23,2002-02-12,8,فاسمین,KSIM
1380-11-29,2002-02-18,8,فاسمین,KSIM
1380-11-30,2002-02-19,8,فاسمین,KSIM
1380-12-01,2002-02-20,8,فاسمین,KSIM
1380-12-05,2002-02-24,8,فاسمین,KSIM
1380-12-06,2002-02-25,8,فاسمین,KSIM
1380-12-08,2002-02-27,8,فاسمین,KSIM
1380-12-11,2002-03-02,8,فاسمین,KSIM
1380-12-13,2002-03-04,8,فاسمین,KSIM
1381-03-29,2002-06-19,5,فاسمین,KSIM
1381-04-02,2002-06-23,5,فاسمین,KSIM
1381-04-03,2002-06-24,5,فاسمین,KSIM
1381-04-04,2002-06-25,5,فاسمین,KSIM
1381-04-05,2002-06-26,5,فاسمین,KSIM
1381-04-08,2002-06-29,5,فاسمین,KSIM
1381-04-09,2002-06-30,5,فاسمین,KSIM
1381-04-12,2002-07-03,5,فاسمین,KSIM
1381-04-16,2002-07-07,6,فاسمین,KSIM
1381-04-17,2002-07-08,6,فاسمین,KSIM
1381-04-18,2002-07-09,6,فاسمین,KSIM
1381-04-19,2002-07-10,7,فاسمین,KSIM
1381-04-24,2002-07-15,7,فاسمین,KSIM
1381-04-30,2002-07-21,7,فاسمین,KSIM
1381-04-31,2002-07-22,7,فاسمین,KSIM
1381-05-01,2002-07-23,7,فاسمین,KSIM
1381-05-02,2002-07-24,7,فاسمین,KSIM
1381-05-23,2002-08-14,7,فاسمین,KSIM
1381-05-27,2002-08-18,6,فاسمین,KSIM
1381-06-03,2002-08-25,6,فاسمین,KSIM
1381-06-11,2002-09-02,6,فاسمین,KSIM
1381-06-20,2002-09-11,6,فاسمین,KSIM
1381-08-06,2002-10-28,5,فاسمین,KSIM
1381-08-07,2002-10-29,5,فاسمین,KSIM
1381-08-08,2002-10-30,5,فاسمین,KSIM
1381-08-11,2002-11-02,5,فاسمین,KSIM
1381-08-12,2002-11-03,5,فاسمین,KSIM
1381-08-14,2002-11-05,5,فاسمین,KSIM
1381-08-18,2002-11-09,5,فاسمین,KSIM
1381-08-20,2002-11-11,5,فاسمین,KSIM
1381-08-21,2002-11-12,5,فاسمین,KSIM
1381-08-29,2002-11-20,5,فاسمین,KSIM
1381-09-02,2002-11-23,5,فاسمین,KSIM
1381-09-03,2002-11-24,4,فاسمین,KSIM
1381-09-04,2002-11-25,4,فاسمین,KSIM
1381-09-05,2002-11-26,4,فاسمین,KSIM
1381-09-09,2002-11-30,4,فاسمین,KSIM
1381-09-10,2002-12-01,4,فاسمین,KSIM
1381-09-11,2002-12-02,4,فاسمین,KSIM
1381-09-12,2002-12-03,4,فاسمین,KSIM
1381-09-16,2002-12-07,4,فاسمین,KSIM
1381-09-18,2002-12-09,4,فاسمین,KSIM
1381-09-19,2002-12-10,4,فاسمین,KSIM
1381-09-23,2002-12-14,5,فاسمین,KSIM
1381-09-24,2002-12-15,5,فاسمین,KSIM
1381-10-08,2002-12-29,5,فاسمین,KSIM
1381-10-11,2003-01-01,5,فاسمین,KSIM
1381-10-21,2003-01-11,4,فاسمین,KSIM
1381-10-23,2003-01-13,4,فاسمین,KSIM
1381-11-05,2003-01-25,4,فاسمین,KSIM
1381-11-06,2003-01-26,4,فاسمین,KSIM
1381-11-07,2003-01-27,4,فاسمین,KSIM
1381-11-08,2003-01-28,4,فاسمین,KSIM
1381-11-09,2003-01-29,4,فاسمین,KSIM
1381-11-12,2003-02-01,3,فاسمین,KSIM
1381-11-14,2003-02-03,3,فاسمین,KSIM
1381-11-19,2003-02-08,3,فاسمین,KSIM
1381-11-20,2003-02-09,3,فاسمین,KSIM
1381-11-21,2003-02-10,3,فاسمین,KSIM
1381-11-28,2003-02-17,3,فاسمین,KSIM
1381-12-03,2003-02-22,3,فاسمین,KSIM
1381-12-04,2003-02-23,3,فاسمین,KSIM
1381-12-05,2003-02-24,3,فاسمین,KSIM
1381-12-10,2003-03-01,3,فاسمین,KSIM
1381-12-11,2003-03-02,3,فاسمین,KSIM
1381-12-12,2003-03-03,3,فاسمین,KSIM
1381-12-14,2003-03-05,3,فاسمین,KSIM
1381-12-17,2003-03-08,3,فاسمین,KSIM
1381-12-19,2003-03-10,3,فاسمین,KSIM
1381-12-20,2003-03-11,4,فاسمین,KSIM
1381-12-21,2003-03-12,4,فاسمین,KSIM
1381-12-24,2003-03-15,4,فاسمین,KSIM
1381-12-26,2003-03-17,4,فاسمین,KSIM
1381-12-28,2003-03-19,4,فاسمین,KSIM
1382-01-16,2003-04-05,4,فاسمین,KSIM
1382-01-18,2003-04-07,4,فاسمین,KSIM
1382-01-19,2003-04-08,4,فاسمین,KSIM
1382-01-20,2003-04-09,4,فاسمین,KSIM
1382-01-23,2003-04-12,4,فاسمین,KSIM
1382-01-24,2003-04-13,4,فاسمین,KSIM
1382-01-26,2003-04-15,4,فاسمین,KSIM
1382-01-30,2003-04-19,4,فاسمین,KSIM
1382-02-01,2003-04-21,4,فاسمین,KSIM
1382-02-06,2003-04-26,4,فاسمین,KSIM
1382-02-07,2003-04-27,4,فاسمین,KSIM
1382-02-09,2003-04-29,4,فاسمین,KSIM
1382-02-13,2003-05-03,4,فاسمین,KSIM
1382-02-20,2003-05-10,4,فاسمین,KSIM
1382-02-23,2003-05-13,4,فاسمین,KSIM
1382-02-24,2003-05-14,4,فاسمین,KSIM
1382-02-27,2003-05-17,4,فاسمین,KSIM
1382-03-04,2003-05-25,4,فاسمین,KSIM
1382-10-14,2004-01-04,4,فاسمین,KSIM
1382-10-15,2004-01-05,4,فاسمین,KSIM
1382-10-16,2004-01-06,4,فاسمین,KSIM
1382-10-17,2004-01-07,4,فاسمین,KSIM
1382-10-21,2004-01-11,4,فاسمین,KSIM
1382-10-22,2004-01-12,4,فاسمین,KSIM
1382-10-24,2004-01-14,4,فاسمین,KSIM
1382-10-29,2004-01-19,4,فاسمین,KSIM
1382-11-12,2004-02-01,4,فاسمین,KSIM
1382-11-20,2004-02-09,4,فاسمین,KSIM
1382-11-25,2004-02-14,4,فاسمین,KSIM
1382-11-26,2004-02-15,4,فاسمین,KSIM
1382-11-27,2004-02-16,4,فاسمین,KSIM
1382-11-29,2004-02-18,4,فاسمین,KSIM
1382-12-13,2004-03-03,5,فاسمین,KSIM
1382-12-17,2004-03-07,5,فاسمین,KSIM
1382-12-18,2004-03-08,5,فاسمین,KSIM
1382-12-19,2004-03-09,5,فاسمین,KSIM
1382-12-20,2004-03-10,5,فاسمین,KSIM
1382-12-24,2004-03-14,5,فاسمین,KSIM
1382-12-25,2004-03-15,5,فاسمین,KSIM
1383-01-11,2004-03-30,13,فاسمین,KSIM
1383-01-15,2004-04-03,13,فاسمین,KSIM
1383-01-16,2004-04-04,14,فاسمین,KSIM
1383-01-17,2004-04-05,15,فاسمین,KSIM
1383-01-18,2004-04-06,15,فاسمین,KSIM
