J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-11,2001-05-01,199,چکاوه,KSKA
1380-02-26,2001-05-16,189,چکاوه,KSKA
1380-02-30,2001-05-20,228,چکاوه,KSKA
1380-02-31,2001-05-21,222,چکاوه,KSKA
1380-03-26,2001-06-16,220,چکاوه,KSKA
1380-04-10,2001-07-01,209,چکاوه,KSKA
1380-04-30,2001-07-21,205,چکاوه,KSKA
1380-05-02,2001-07-24,195,چکاوه,KSKA
1380-05-08,2001-07-30,185,چکاوه,KSKA
1380-05-09,2001-07-31,180,چکاوه,KSKA
1380-05-13,2001-08-04,180,چکاوه,KSKA
1380-05-14,2001-08-05,180,چکاوه,KSKA
1380-05-15,2001-08-06,185,چکاوه,KSKA
1380-05-20,2001-08-11,185,چکاوه,KSKA
1380-05-21,2001-08-12,185,چکاوه,KSKA
1380-05-24,2001-08-15,185,چکاوه,KSKA
1380-05-28,2001-08-19,185,چکاوه,KSKA
1380-05-29,2001-08-20,185,چکاوه,KSKA
1380-05-30,2001-08-21,186,چکاوه,KSKA
1380-06-03,2001-08-25,186,چکاوه,KSKA
1380-06-04,2001-08-26,186,چکاوه,KSKA
1380-06-05,2001-08-27,186,چکاوه,KSKA
1380-06-06,2001-08-28,186,چکاوه,KSKA
1380-06-07,2001-08-29,187,چکاوه,KSKA
1380-06-10,2001-09-01,187,چکاوه,KSKA
1380-06-11,2001-09-02,225,چکاوه,KSKA
1380-06-13,2001-09-04,214,چکاوه,KSKA
1380-06-14,2001-09-05,207,چکاوه,KSKA
1380-06-17,2001-09-08,203,چکاوه,KSKA
1380-06-18,2001-09-09,203,چکاوه,KSKA
1380-06-19,2001-09-10,203,چکاوه,KSKA
1380-06-20,2001-09-11,202,چکاوه,KSKA
1380-06-28,2001-09-19,198,چکاوه,KSKA
1380-06-31,2001-09-22,196,چکاوه,KSKA
1380-07-01,2001-09-23,192,چکاوه,KSKA
1380-07-02,2001-09-24,183,چکاوه,KSKA
1380-07-03,2001-09-25,177,چکاوه,KSKA
1380-07-04,2001-09-26,177,چکاوه,KSKA
1380-07-07,2001-09-29,175,چکاوه,KSKA
1380-07-08,2001-09-30,175,چکاوه,KSKA
1380-07-10,2001-10-02,176,چکاوه,KSKA
1380-07-11,2001-10-03,176,چکاوه,KSKA
1380-07-15,2001-10-07,183,چکاوه,KSKA
1380-07-16,2001-10-08,183,چکاوه,KSKA
1380-07-17,2001-10-09,184,چکاوه,KSKA
1380-07-18,2001-10-10,183,چکاوه,KSKA
1380-07-21,2001-10-13,183,چکاوه,KSKA
1380-07-22,2001-10-14,183,چکاوه,KSKA
1380-07-24,2001-10-16,183,چکاوه,KSKA
1380-07-25,2001-10-17,182,چکاوه,KSKA
1380-07-28,2001-10-20,181,چکاوه,KSKA
1380-07-29,2001-10-21,180,چکاوه,KSKA
1380-07-30,2001-10-22,185,چکاوه,KSKA
1380-08-01,2001-10-23,185,چکاوه,KSKA
1380-08-02,2001-10-24,185,چکاوه,KSKA
1380-08-05,2001-10-27,185,چکاوه,KSKA
1380-08-06,2001-10-28,185,چکاوه,KSKA
1380-08-07,2001-10-29,185,چکاوه,KSKA
1380-08-08,2001-10-30,185,چکاوه,KSKA
1380-08-09,2001-10-31,188,چکاوه,KSKA
1380-08-12,2001-11-03,191,چکاوه,KSKA
1380-08-13,2001-11-04,193,چکاوه,KSKA
1380-08-14,2001-11-05,195,چکاوه,KSKA
1380-08-15,2001-11-06,203,چکاوه,KSKA
1380-08-16,2001-11-07,203,چکاوه,KSKA
1380-08-19,2001-11-10,208,چکاوه,KSKA
1380-08-20,2001-11-11,207,چکاوه,KSKA
1380-08-21,2001-11-12,205,چکاوه,KSKA
1380-08-22,2001-11-13,198,چکاوه,KSKA
1380-08-23,2001-11-14,191,چکاوه,KSKA
1380-08-26,2001-11-17,194,چکاوه,KSKA
1380-08-27,2001-11-18,196,چکاوه,KSKA
1380-08-29,2001-11-20,194,چکاوه,KSKA
1380-09-03,2001-11-24,193,چکاوه,KSKA
1380-09-04,2001-11-25,193,چکاوه,KSKA
1380-09-05,2001-11-26,193,چکاوه,KSKA
1380-09-07,2001-11-28,188,چکاوه,KSKA
1380-09-10,2001-12-01,185,چکاوه,KSKA
1380-09-11,2001-12-02,188,چکاوه,KSKA
1380-09-12,2001-12-03,191,چکاوه,KSKA
1380-09-13,2001-12-04,188,چکاوه,KSKA
1380-09-14,2001-12-05,183,چکاوه,KSKA
1380-09-17,2001-12-08,183,چکاوه,KSKA
1380-09-18,2001-12-09,180,چکاوه,KSKA
1380-09-19,2001-12-10,176,چکاوه,KSKA
1380-10-12,2002-01-02,169,چکاوه,KSKA
1380-10-15,2002-01-05,163,چکاوه,KSKA
1380-10-16,2002-01-06,156,چکاوه,KSKA
1380-10-17,2002-01-07,162,چکاوه,KSKA
1380-10-18,2002-01-08,163,چکاوه,KSKA
1380-10-22,2002-01-12,164,چکاوه,KSKA
1380-10-23,2002-01-13,164,چکاوه,KSKA
1380-10-25,2002-01-15,164,چکاوه,KSKA
1380-10-26,2002-01-16,162,چکاوه,KSKA
1380-10-29,2002-01-19,164,چکاوه,KSKA
1380-11-02,2002-01-22,162,چکاوه,KSKA
1380-11-03,2002-01-23,159,چکاوه,KSKA
1380-11-06,2002-01-26,159,چکاوه,KSKA
1380-11-07,2002-01-27,159,چکاوه,KSKA
1380-11-08,2002-01-28,159,چکاوه,KSKA
1380-11-10,2002-01-30,159,چکاوه,KSKA
1380-11-13,2002-02-02,156,چکاوه,KSKA
1380-11-14,2002-02-03,154,چکاوه,KSKA
1380-11-16,2002-02-05,148,چکاوه,KSKA
1380-11-17,2002-02-06,146,چکاوه,KSKA
1380-11-20,2002-02-09,139,چکاوه,KSKA
1380-11-21,2002-02-10,140,چکاوه,KSKA
1380-11-23,2002-02-12,138,چکاوه,KSKA
1380-11-24,2002-02-13,139,چکاوه,KSKA
1380-11-29,2002-02-18,139,چکاوه,KSKA
1380-11-30,2002-02-19,140,چکاوه,KSKA
1380-12-01,2002-02-20,140,چکاوه,KSKA
1380-12-07,2002-02-26,141,چکاوه,KSKA
1380-12-08,2002-02-27,143,چکاوه,KSKA
1380-12-11,2002-03-02,143,چکاوه,KSKA
1380-12-14,2002-03-05,143,چکاوه,KSKA
1380-12-21,2002-03-12,185,چکاوه,KSKA
1381-05-29,2002-08-20,106,چکاوه,KSKA
1381-06-02,2002-08-24,100,چکاوه,KSKA
1381-07-22,2002-10-14,95,چکاوه,KSKA
1381-07-27,2002-10-19,91,چکاوه,KSKA
1381-08-07,2002-10-29,90,چکاوه,KSKA
1381-08-14,2002-11-05,89,چکاوه,KSKA
1381-09-09,2002-11-30,84,چکاوه,KSKA
1381-09-12,2002-12-03,80,چکاوه,KSKA
1381-09-17,2002-12-08,76,چکاوه,KSKA
1381-09-23,2002-12-14,76,چکاوه,KSKA
1381-09-24,2002-12-15,72,چکاوه,KSKA
1381-09-25,2002-12-16,72,چکاوه,KSKA
1381-09-26,2002-12-17,76,چکاوه,KSKA
1381-09-27,2002-12-18,80,چکاوه,KSKA
1381-09-30,2002-12-21,84,چکاوه,KSKA
1381-10-01,2002-12-22,88,چکاوه,KSKA
1381-10-02,2002-12-23,88,چکاوه,KSKA
1381-10-03,2002-12-24,88,چکاوه,KSKA
1381-10-04,2002-12-25,90,چکاوه,KSKA
1381-10-07,2002-12-28,90,چکاوه,KSKA
1381-10-10,2002-12-31,90,چکاوه,KSKA
1381-10-11,2003-01-01,90,چکاوه,KSKA
1381-10-16,2003-01-06,92,چکاوه,KSKA
1381-10-23,2003-01-13,92,چکاوه,KSKA
1381-10-24,2003-01-14,91,چکاوه,KSKA
1381-11-05,2003-01-25,90,چکاوه,KSKA
1381-11-21,2003-02-10,58,چکاوه,KSKA
1381-11-26,2003-02-15,58,چکاوه,KSKA
1381-11-27,2003-02-16,58,چکاوه,KSKA
1381-11-28,2003-02-17,58,چکاوه,KSKA
1381-11-29,2003-02-18,59,چکاوه,KSKA
1381-11-30,2003-02-19,62,چکاوه,KSKA
1381-12-03,2003-02-22,65,چکاوه,KSKA
1381-12-06,2003-02-25,63,چکاوه,KSKA
1381-12-07,2003-02-26,66,چکاوه,KSKA
1381-12-11,2003-03-02,66,چکاوه,KSKA
1381-12-12,2003-03-03,69,چکاوه,KSKA
1381-12-13,2003-03-04,69,چکاوه,KSKA
1381-12-14,2003-03-05,71,چکاوه,KSKA
1381-12-17,2003-03-08,74,چکاوه,KSKA
1381-12-18,2003-03-09,74,چکاوه,KSKA
1381-12-19,2003-03-10,74,چکاوه,KSKA
1381-12-20,2003-03-11,74,چکاوه,KSKA
1381-12-21,2003-03-12,74,چکاوه,KSKA
1382-03-04,2003-05-25,64,چکاوه,KSKA
1382-03-05,2003-05-26,67,چکاوه,KSKA
1382-03-25,2003-06-15,70,چکاوه,KSKA
1382-03-27,2003-06-17,74,چکاوه,KSKA
1382-03-28,2003-06-18,78,چکاوه,KSKA
1382-03-31,2003-06-21,82,چکاوه,KSKA
1382-04-01,2003-06-22,86,چکاوه,KSKA
1382-04-02,2003-06-23,90,چکاوه,KSKA
1382-04-03,2003-06-24,95,چکاوه,KSKA
1382-04-04,2003-06-25,99,چکاوه,KSKA
