J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-08-21,2013-11-12,88,کیسون,KSNP
1392-11-09,2014-01-29,88,کیسون,KSNP
1392-12-10,2014-03-01,94,کیسون,KSNP
1393-03-07,2014-05-28,112,کیسون,KSNP
1393-03-24,2014-06-14,176,کیسون,KSNP
1393-04-24,2014-07-15,554,کیسون,KSNP
1393-05-11,2014-08-02,558,کیسون,KSNP
1393-05-12,2014-08-03,558,کیسون,KSNP
1393-06-02,2014-08-24,626,کیسون,KSNP
1393-06-09,2014-08-31,537,کیسون,KSNP
1393-06-12,2014-09-03,466,کیسون,KSNP
1393-06-15,2014-09-06,465,کیسون,KSNP
1393-07-29,2014-10-21,563,کیسون,KSNP
1393-08-21,2014-11-12,306,کیسون,KSNP
1393-08-25,2014-11-16,315,کیسون,KSNP
1393-08-26,2014-11-17,313,کیسون,KSNP
1393-08-27,2014-11-18,304,کیسون,KSNP
1393-08-28,2014-11-19,299,کیسون,KSNP
1393-09-01,2014-11-22,286,کیسون,KSNP
1393-09-05,2014-11-26,232,کیسون,KSNP
1393-09-08,2014-11-29,268,کیسون,KSNP
1393-09-09,2014-11-30,241,کیسون,KSNP
1393-09-10,2014-12-01,232,کیسون,KSNP
1393-09-12,2014-12-03,209,کیسون,KSNP
1393-09-15,2014-12-06,179,کیسون,KSNP
1393-09-16,2014-12-07,179,کیسون,KSNP
1393-09-17,2014-12-08,183,کیسون,KSNP
1393-09-18,2014-12-09,222,کیسون,KSNP
1393-09-19,2014-12-10,196,کیسون,KSNP
1393-09-23,2014-12-14,182,کیسون,KSNP
1393-09-24,2014-12-15,184,کیسون,KSNP
1393-09-25,2014-12-16,186,کیسون,KSNP
1393-09-26,2014-12-17,185,کیسون,KSNP
1393-09-29,2014-12-20,202,کیسون,KSNP
1393-10-01,2014-12-22,196,کیسون,KSNP
1393-10-03,2014-12-24,193,کیسون,KSNP
1393-10-06,2014-12-27,230,کیسون,KSNP
1393-10-07,2014-12-28,250,کیسون,KSNP
1393-10-08,2014-12-29,232,کیسون,KSNP
1393-10-09,2014-12-30,248,کیسون,KSNP
1393-10-10,2014-12-31,216,کیسون,KSNP
1393-10-13,2015-01-03,206,کیسون,KSNP
1393-10-14,2015-01-04,206,کیسون,KSNP
1393-10-15,2015-01-05,205,کیسون,KSNP
1393-10-16,2015-01-06,201,کیسون,KSNP
1393-10-17,2015-01-07,192,کیسون,KSNP
1393-10-20,2015-01-10,196,کیسون,KSNP
1393-10-21,2015-01-11,188,کیسون,KSNP
1393-10-22,2015-01-12,196,کیسون,KSNP
1393-10-24,2015-01-14,201,کیسون,KSNP
1393-10-27,2015-01-17,195,کیسون,KSNP
1393-10-28,2015-01-18,188,کیسون,KSNP
1393-10-29,2015-01-19,187,کیسون,KSNP
1393-10-30,2015-01-20,186,کیسون,KSNP
1393-11-01,2015-01-21,179,کیسون,KSNP
1393-11-04,2015-01-24,175,کیسون,KSNP
1393-11-05,2015-01-25,168,کیسون,KSNP
1393-11-06,2015-01-26,173,کیسون,KSNP
1393-11-08,2015-01-28,179,کیسون,KSNP
1393-11-11,2015-01-31,196,کیسون,KSNP
1393-11-12,2015-02-01,223,کیسون,KSNP
1393-11-13,2015-02-02,193,کیسون,KSNP
1393-11-14,2015-02-03,223,کیسون,KSNP
1393-11-15,2015-02-04,184,کیسون,KSNP
1393-11-18,2015-02-07,184,کیسون,KSNP
1393-11-19,2015-02-08,194,کیسون,KSNP
1393-11-20,2015-02-09,184,کیسون,KSNP
1393-11-21,2015-02-10,179,کیسون,KSNP
1393-11-25,2015-02-14,179,کیسون,KSNP
1393-11-26,2015-02-15,179,کیسون,KSNP
1393-11-27,2015-02-16,179,کیسون,KSNP
1393-11-28,2015-02-17,175,کیسون,KSNP
1393-11-29,2015-02-18,184,کیسون,KSNP
1393-12-02,2015-02-21,175,کیسون,KSNP
1393-12-03,2015-02-22,179,کیسون,KSNP
1393-12-05,2015-02-24,175,کیسون,KSNP
1393-12-06,2015-02-25,178,کیسون,KSNP
1393-12-09,2015-02-28,170,کیسون,KSNP
1393-12-10,2015-03-01,171,کیسون,KSNP
1393-12-11,2015-03-02,170,کیسون,KSNP
1393-12-12,2015-03-03,179,کیسون,KSNP
1393-12-13,2015-03-04,163,کیسون,KSNP
1393-12-16,2015-03-07,161,کیسون,KSNP
1393-12-18,2015-03-09,161,کیسون,KSNP
1393-12-19,2015-03-10,156,کیسون,KSNP
1393-12-20,2015-03-11,155,کیسون,KSNP
1393-12-23,2015-03-14,167,کیسون,KSNP
1393-12-24,2015-03-15,175,کیسون,KSNP
1393-12-25,2015-03-16,175,کیسون,KSNP
1393-12-26,2015-03-17,174,کیسون,KSNP
1393-12-27,2015-03-18,175,کیسون,KSNP
1394-01-05,2015-03-25,176,کیسون,KSNP
1394-01-08,2015-03-28,176,کیسون,KSNP
1394-01-09,2015-03-29,176,کیسون,KSNP
1394-01-10,2015-03-30,172,کیسون,KSNP
1394-01-11,2015-03-31,178,کیسون,KSNP
1394-01-15,2015-04-04,205,کیسون,KSNP
1394-01-16,2015-04-05,201,کیسون,KSNP
1394-01-17,2015-04-06,200,کیسون,KSNP
1394-01-18,2015-04-07,194,کیسون,KSNP
1394-01-19,2015-04-08,187,کیسون,KSNP
1394-01-22,2015-04-11,179,کیسون,KSNP
1394-01-24,2015-04-13,168,کیسون,KSNP
1394-01-25,2015-04-14,163,کیسون,KSNP
1394-01-26,2015-04-15,179,کیسون,KSNP
1394-01-29,2015-04-18,179,کیسون,KSNP
1394-01-30,2015-04-19,179,کیسون,KSNP
1394-01-31,2015-04-20,186,کیسون,KSNP
1394-02-01,2015-04-21,180,کیسون,KSNP
1394-02-02,2015-04-22,179,کیسون,KSNP
1394-02-05,2015-04-25,186,کیسون,KSNP
1394-02-06,2015-04-26,186,کیسون,KSNP
1394-02-07,2015-04-27,180,کیسون,KSNP
1394-02-08,2015-04-28,184,کیسون,KSNP
1394-02-09,2015-04-29,181,کیسون,KSNP
1394-02-13,2015-05-03,179,کیسون,KSNP
1394-02-14,2015-05-04,168,کیسون,KSNP
1394-02-15,2015-05-05,181,کیسون,KSNP
1394-02-19,2015-05-09,177,کیسون,KSNP
1394-02-21,2015-05-11,168,کیسون,KSNP
1394-02-23,2015-05-13,161,کیسون,KSNP
1394-02-28,2015-05-18,161,کیسون,KSNP
1394-02-29,2015-05-19,162,کیسون,KSNP
1394-02-30,2015-05-20,163,کیسون,KSNP
1394-03-02,2015-05-23,161,کیسون,KSNP
1394-03-03,2015-05-24,161,کیسون,KSNP
1394-03-04,2015-05-25,162,کیسون,KSNP
1394-03-05,2015-05-26,162,کیسون,KSNP
1394-03-06,2015-05-27,157,کیسون,KSNP
1394-03-09,2015-05-30,152,کیسون,KSNP
1394-03-10,2015-05-31,150,کیسون,KSNP
1394-03-11,2015-06-01,152,کیسون,KSNP
1394-03-12,2015-06-02,160,کیسون,KSNP
1394-03-16,2015-06-06,162,کیسون,KSNP
1394-03-17,2015-06-07,161,کیسون,KSNP
1394-03-18,2015-06-08,152,کیسون,KSNP
1394-03-19,2015-06-09,148,کیسون,KSNP
1394-03-20,2015-06-10,162,کیسون,KSNP
1394-03-23,2015-06-13,153,کیسون,KSNP
1394-03-24,2015-06-14,153,کیسون,KSNP
1394-03-25,2015-06-15,151,کیسون,KSNP
1394-03-26,2015-06-16,159,کیسون,KSNP
1394-03-27,2015-06-17,154,کیسون,KSNP
1394-03-30,2015-06-20,154,کیسون,KSNP
1394-03-31,2015-06-21,154,کیسون,KSNP
1394-04-01,2015-06-22,160,کیسون,KSNP
1394-04-02,2015-06-23,155,کیسون,KSNP
1394-04-03,2015-06-24,161,کیسون,KSNP
1394-04-06,2015-06-27,154,کیسون,KSNP
1394-04-07,2015-06-28,157,کیسون,KSNP
1394-04-08,2015-06-29,153,کیسون,KSNP
1394-04-09,2015-06-30,160,کیسون,KSNP
1394-04-10,2015-07-01,164,کیسون,KSNP
1394-04-13,2015-07-04,175,کیسون,KSNP
1394-04-14,2015-07-05,173,کیسون,KSNP
1394-04-15,2015-07-06,170,کیسون,KSNP
1394-04-16,2015-07-07,179,کیسون,KSNP
1394-04-20,2015-07-11,184,کیسون,KSNP
1394-04-21,2015-07-12,184,کیسون,KSNP
1394-04-22,2015-07-13,187,کیسون,KSNP
1394-04-23,2015-07-14,196,کیسون,KSNP
1394-04-24,2015-07-15,180,کیسون,KSNP
1394-04-30,2015-07-21,179,کیسون,KSNP
1394-04-31,2015-07-22,177,کیسون,KSNP
1394-05-03,2015-07-25,167,کیسون,KSNP
1394-05-04,2015-07-26,167,کیسون,KSNP
