J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-06-17,2021-09-08,8310,کیمیاتک,KTEK
1400-06-20,2021-09-11,8726,کیمیاتک,KTEK
1400-06-21,2021-09-12,9160,کیمیاتک,KTEK
1400-06-22,2021-09-13,9615,کیمیاتک,KTEK
1400-06-23,2021-09-14,10095,کیمیاتک,KTEK
1400-06-24,2021-09-15,10598,کیمیاتک,KTEK
1400-06-27,2021-09-18,11125,کیمیاتک,KTEK
1400-06-28,2021-09-19,11678,کیمیاتک,KTEK
1400-06-29,2021-09-20,12260,کیمیاتک,KTEK
1400-06-30,2021-09-21,12870,کیمیاتک,KTEK
1400-07-04,2021-09-26,12227,کیمیاتک,KTEK
1400-07-06,2021-09-28,11631,کیمیاتک,KTEK
1400-07-07,2021-09-29,12249,کیمیاتک,KTEK
1400-07-10,2021-10-02,12484,کیمیاتک,KTEK
1400-07-11,2021-10-03,11823,کیمیاتک,KTEK
1400-07-12,2021-10-04,11743,کیمیاتک,KTEK
1400-07-14,2021-10-06,11472,کیمیاتک,KTEK
1400-07-17,2021-10-09,11060,کیمیاتک,KTEK
1400-07-18,2021-10-10,11165,کیمیاتک,KTEK
1400-07-19,2021-10-11,11140,کیمیاتک,KTEK
1400-07-20,2021-10-12,10706,کیمیاتک,KTEK
1400-07-21,2021-10-13,10424,کیمیاتک,KTEK
1400-07-24,2021-10-16,10641,کیمیاتک,KTEK
1400-07-25,2021-10-17,10334,کیمیاتک,KTEK
1400-07-26,2021-10-18,10569,کیمیاتک,KTEK
1400-07-27,2021-10-19,10475,کیمیاتک,KTEK
1400-07-28,2021-10-20,10074,کیمیاتک,KTEK
1400-08-01,2021-10-23,9662,کیمیاتک,KTEK
1400-08-03,2021-10-25,9326,کیمیاتک,KTEK
1400-08-04,2021-10-26,9481,کیمیاتک,KTEK
1400-08-05,2021-10-27,9467,کیمیاتک,KTEK
1400-08-08,2021-10-30,9214,کیمیاتک,KTEK
1400-08-09,2021-10-31,9048,کیمیاتک,KTEK
1400-08-10,2021-11-01,9564,کیمیاتک,KTEK
1400-08-11,2021-11-02,9459,کیمیاتک,KTEK
1400-08-12,2021-11-03,9850,کیمیاتک,KTEK
1400-08-15,2021-11-06,10038,کیمیاتک,KTEK
1400-08-16,2021-11-07,9611,کیمیاتک,KTEK
1400-08-17,2021-11-08,9441,کیمیاتک,KTEK
1400-08-18,2021-11-09,9322,کیمیاتک,KTEK
1400-08-19,2021-11-10,9575,کیمیاتک,KTEK
1400-08-22,2021-11-13,9221,کیمیاتک,KTEK
1400-08-23,2021-11-14,9485,کیمیاتک,KTEK
1400-08-24,2021-11-15,9409,کیمیاتک,KTEK
1400-08-25,2021-11-16,9481,کیمیاتک,KTEK
1400-08-26,2021-11-17,9665,کیمیاتک,KTEK
1400-08-29,2021-11-20,9597,کیمیاتک,KTEK
1400-08-30,2021-11-21,9795,کیمیاتک,KTEK
1400-09-01,2021-11-22,9759,کیمیاتک,KTEK
1400-09-02,2021-11-23,9506,کیمیاتک,KTEK
1400-09-03,2021-11-24,9351,کیمیاتک,KTEK
1400-09-06,2021-11-27,8917,کیمیاتک,KTEK
1400-09-07,2021-11-28,9033,کیمیاتک,KTEK
1400-09-08,2021-11-29,9015,کیمیاتک,KTEK
1400-09-09,2021-11-30,9004,کیمیاتک,KTEK
1400-09-10,2021-12-01,8870,کیمیاتک,KTEK
1400-09-13,2021-12-04,9033,کیمیاتک,KTEK
1400-09-14,2021-12-05,8935,کیمیاتک,KTEK
1400-09-15,2021-12-06,8870,کیمیاتک,KTEK
1400-09-16,2021-12-07,8849,کیمیاتک,KTEK
1400-09-17,2021-12-08,8889,کیمیاتک,KTEK
1400-09-20,2021-12-11,8874,کیمیاتک,KTEK
1400-09-21,2021-12-12,8816,کیمیاتک,KTEK
1400-09-22,2021-12-13,8708,کیمیاتک,KTEK
1400-09-23,2021-12-14,8740,کیمیاتک,KTEK
1400-09-24,2021-12-15,8816,کیمیاتک,KTEK
1400-09-27,2021-12-18,8784,کیمیاتک,KTEK
1400-09-28,2021-12-19,8639,کیمیاتک,KTEK
1400-09-29,2021-12-20,8513,کیمیاتک,KTEK
1400-09-30,2021-12-21,8686,کیمیاتک,KTEK
1400-10-01,2021-12-22,8892,کیمیاتک,KTEK
1400-10-04,2021-12-25,8816,کیمیاتک,KTEK
1400-10-05,2021-12-26,8722,کیمیاتک,KTEK
1400-10-06,2021-12-27,8816,کیمیاتک,KTEK
1400-10-07,2021-12-28,8907,کیمیاتک,KTEK
1400-10-08,2021-12-29,8751,کیمیاتک,KTEK
1400-10-11,2022-01-01,8632,کیمیاتک,KTEK
1400-10-12,2022-01-02,8563,کیمیاتک,KTEK
1400-10-13,2022-01-03,8574,کیمیاتک,KTEK
1400-10-14,2022-01-04,8636,کیمیاتک,KTEK
1400-10-15,2022-01-05,8636,کیمیاتک,KTEK
1400-10-18,2022-01-08,8639,کیمیاتک,KTEK
1400-10-19,2022-01-09,8487,کیمیاتک,KTEK
1400-10-20,2022-01-10,8683,کیمیاتک,KTEK
1400-10-21,2022-01-11,8672,کیمیاتک,KTEK
1400-10-22,2022-01-12,8719,کیمیاتک,KTEK
1400-10-25,2022-01-15,8769,کیمیاتک,KTEK
1400-10-26,2022-01-16,9120,کیمیاتک,KTEK
1400-10-27,2022-01-17,9058,کیمیاتک,KTEK
1400-10-28,2022-01-18,8715,کیمیاتک,KTEK
1400-10-29,2022-01-19,8719,کیمیاتک,KTEK
1400-11-02,2022-01-22,8545,کیمیاتک,KTEK
1400-11-03,2022-01-23,8354,کیمیاتک,KTEK
1400-11-04,2022-01-24,8426,کیمیاتک,KTEK
1400-11-05,2022-01-25,8057,کیمیاتک,KTEK
1400-11-06,2022-01-26,8332,کیمیاتک,KTEK
1400-11-09,2022-01-29,8762,کیمیاتک,KTEK
1400-11-10,2022-01-30,8599,کیمیاتک,KTEK
1400-11-11,2022-01-31,8563,کیمیاتک,KTEK
1400-11-12,2022-02-01,8393,کیمیاتک,KTEK
1400-11-13,2022-02-02,8372,کیمیاتک,KTEK
1400-11-16,2022-02-05,8267,کیمیاتک,KTEK
1400-11-17,2022-02-06,8278,کیمیاتک,KTEK
1400-11-18,2022-02-07,8227,کیمیاتک,KTEK
1400-11-19,2022-02-08,8206,کیمیاتک,KTEK
1400-11-20,2022-02-09,8195,کیمیاتک,KTEK
