J-Date,Date,Adj Close,Ticker,Ticker(4)
1388-07-07,2009-09-29,8,پکویر,KVRZ
1388-07-08,2009-09-30,9,پکویر,KVRZ
1388-07-11,2009-10-03,9,پکویر,KVRZ
1388-07-12,2009-10-04,10,پکویر,KVRZ
1388-07-13,2009-10-05,10,پکویر,KVRZ
1388-07-14,2009-10-06,11,پکویر,KVRZ
1388-07-15,2009-10-07,10,پکویر,KVRZ
1388-07-18,2009-10-10,10,پکویر,KVRZ
1388-07-19,2009-10-11,9,پکویر,KVRZ
1388-07-20,2009-10-12,9,پکویر,KVRZ
1388-07-21,2009-10-13,9,پکویر,KVRZ
1388-07-25,2009-10-17,9,پکویر,KVRZ
1388-07-26,2009-10-18,9,پکویر,KVRZ
1388-07-27,2009-10-19,9,پکویر,KVRZ
1388-07-28,2009-10-20,8,پکویر,KVRZ
1388-07-29,2009-10-21,8,پکویر,KVRZ
1388-08-02,2009-10-24,8,پکویر,KVRZ
1388-08-03,2009-10-25,8,پکویر,KVRZ
1388-08-04,2009-10-26,9,پکویر,KVRZ
1388-08-05,2009-10-27,8,پکویر,KVRZ
1388-08-06,2009-10-28,8,پکویر,KVRZ
1388-08-09,2009-10-31,8,پکویر,KVRZ
1388-08-10,2009-11-01,8,پکویر,KVRZ
1388-08-11,2009-11-02,8,پکویر,KVRZ
1388-08-12,2009-11-03,7,پکویر,KVRZ
1388-08-13,2009-11-04,7,پکویر,KVRZ
1388-08-16,2009-11-07,7,پکویر,KVRZ
1388-08-17,2009-11-08,7,پکویر,KVRZ
1388-08-18,2009-11-09,7,پکویر,KVRZ
1388-08-19,2009-11-10,7,پکویر,KVRZ
1388-08-20,2009-11-11,8,پکویر,KVRZ
1388-08-23,2009-11-14,8,پکویر,KVRZ
1388-08-24,2009-11-15,8,پکویر,KVRZ
1388-08-25,2009-11-16,9,پکویر,KVRZ
1388-08-26,2009-11-17,8,پکویر,KVRZ
1388-08-27,2009-11-18,8,پکویر,KVRZ
1388-08-30,2009-11-21,8,پکویر,KVRZ
1388-09-01,2009-11-22,8,پکویر,KVRZ
1388-09-02,2009-11-23,8,پکویر,KVRZ
1388-09-03,2009-11-24,8,پکویر,KVRZ
1388-09-04,2009-11-25,8,پکویر,KVRZ
1388-09-08,2009-11-29,8,پکویر,KVRZ
1388-09-09,2009-11-30,8,پکویر,KVRZ
1388-09-10,2009-12-01,8,پکویر,KVRZ
1388-09-11,2009-12-02,8,پکویر,KVRZ
1388-09-14,2009-12-05,8,پکویر,KVRZ
1388-09-16,2009-12-07,8,پکویر,KVRZ
1388-09-17,2009-12-08,8,پکویر,KVRZ
1388-09-18,2009-12-09,8,پکویر,KVRZ
1388-09-21,2009-12-12,8,پکویر,KVRZ
1388-09-22,2009-12-13,8,پکویر,KVRZ
1388-09-23,2009-12-14,8,پکویر,KVRZ
1388-09-24,2009-12-15,7,پکویر,KVRZ
1388-09-25,2009-12-16,7,پکویر,KVRZ
1388-09-28,2009-12-19,7,پکویر,KVRZ
1388-09-29,2009-12-20,7,پکویر,KVRZ
1388-09-30,2009-12-21,8,پکویر,KVRZ
1388-10-01,2009-12-22,7,پکویر,KVRZ
1388-10-09,2009-12-30,7,پکویر,KVRZ
1388-10-12,2010-01-02,7,پکویر,KVRZ
1388-10-13,2010-01-03,7,پکویر,KVRZ
1388-10-14,2010-01-04,7,پکویر,KVRZ
1388-10-15,2010-01-05,7,پکویر,KVRZ
1388-10-16,2010-01-06,7,پکویر,KVRZ
1388-10-19,2010-01-09,7,پکویر,KVRZ
1388-10-20,2010-01-10,7,پکویر,KVRZ
1388-10-21,2010-01-11,7,پکویر,KVRZ
1388-10-22,2010-01-12,7,پکویر,KVRZ
1388-10-23,2010-01-13,7,پکویر,KVRZ
1388-10-26,2010-01-16,7,پکویر,KVRZ
1388-10-27,2010-01-17,7,پکویر,KVRZ
1388-10-28,2010-01-18,7,پکویر,KVRZ
1388-10-29,2010-01-19,7,پکویر,KVRZ
1388-10-30,2010-01-20,7,پکویر,KVRZ
1388-11-03,2010-01-23,7,پکویر,KVRZ
1388-11-05,2010-01-25,7,پکویر,KVRZ
1388-11-06,2010-01-26,7,پکویر,KVRZ
1388-11-07,2010-01-27,7,پکویر,KVRZ
1388-11-10,2010-01-30,7,پکویر,KVRZ
1388-11-11,2010-01-31,7,پکویر,KVRZ
1388-11-13,2010-02-02,7,پکویر,KVRZ
1388-11-14,2010-02-03,7,پکویر,KVRZ
1388-11-18,2010-02-07,7,پکویر,KVRZ
1388-11-19,2010-02-08,7,پکویر,KVRZ
1388-11-20,2010-02-09,7,پکویر,KVRZ
1388-11-21,2010-02-10,7,پکویر,KVRZ
1388-11-25,2010-02-14,7,پکویر,KVRZ
1388-12-04,2010-02-23,7,پکویر,KVRZ
