J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-10-01,2015-12-22,87,کیمیا,KZGZ
1394-10-02,2015-12-23,91,کیمیا,KZGZ
1394-10-05,2015-12-26,92,کیمیا,KZGZ
1394-10-06,2015-12-27,95,کیمیا,KZGZ
1394-10-07,2015-12-28,99,کیمیا,KZGZ
1394-10-09,2015-12-30,103,کیمیا,KZGZ
1394-10-12,2016-01-02,108,کیمیا,KZGZ
1394-10-13,2016-01-03,112,کیمیا,KZGZ
1394-10-14,2016-01-04,117,کیمیا,KZGZ
1394-10-15,2016-01-05,115,کیمیا,KZGZ
1394-10-16,2016-01-06,111,کیمیا,KZGZ
1394-10-19,2016-01-09,106,کیمیا,KZGZ
1394-10-20,2016-01-10,104,کیمیا,KZGZ
1394-10-21,2016-01-11,103,کیمیا,KZGZ
1394-10-22,2016-01-12,100,کیمیا,KZGZ
1394-10-23,2016-01-13,99,کیمیا,KZGZ
1394-10-26,2016-01-16,98,کیمیا,KZGZ
1394-10-27,2016-01-17,95,کیمیا,KZGZ
1394-10-28,2016-01-18,93,کیمیا,KZGZ
1394-10-29,2016-01-19,98,کیمیا,KZGZ
1394-10-30,2016-01-20,99,کیمیا,KZGZ
1394-11-03,2016-01-23,100,کیمیا,KZGZ
1394-11-04,2016-01-24,104,کیمیا,KZGZ
1394-11-05,2016-01-25,107,کیمیا,KZGZ
1394-11-06,2016-01-26,108,کیمیا,KZGZ
1394-11-07,2016-01-27,107,کیمیا,KZGZ
1394-11-10,2016-01-30,105,کیمیا,KZGZ
1394-11-11,2016-01-31,106,کیمیا,KZGZ
1394-11-12,2016-02-01,108,کیمیا,KZGZ
1394-11-13,2016-02-02,106,کیمیا,KZGZ
1394-11-14,2016-02-03,103,کیمیا,KZGZ
1394-11-17,2016-02-06,102,کیمیا,KZGZ
1394-11-18,2016-02-07,109,کیمیا,KZGZ
1394-11-19,2016-02-08,113,کیمیا,KZGZ
1394-11-20,2016-02-09,107,کیمیا,KZGZ
1394-11-21,2016-02-10,107,کیمیا,KZGZ
1394-11-24,2016-02-13,102,کیمیا,KZGZ
1394-11-25,2016-02-14,99,کیمیا,KZGZ
1394-11-26,2016-02-15,105,کیمیا,KZGZ
1394-11-27,2016-02-16,101,کیمیا,KZGZ
1394-11-28,2016-02-17,101,کیمیا,KZGZ
1394-12-01,2016-02-20,107,کیمیا,KZGZ
1394-12-02,2016-02-21,112,کیمیا,KZGZ
1394-12-03,2016-02-22,117,کیمیا,KZGZ
1394-12-04,2016-02-23,114,کیمیا,KZGZ
1394-12-05,2016-02-24,110,کیمیا,KZGZ
1394-12-08,2016-02-27,115,کیمیا,KZGZ
1394-12-09,2016-02-28,114,کیمیا,KZGZ
1394-12-10,2016-02-29,114,کیمیا,KZGZ
1394-12-11,2016-03-01,122,کیمیا,KZGZ
1394-12-12,2016-03-02,125,کیمیا,KZGZ
1394-12-15,2016-03-05,131,کیمیا,KZGZ
1394-12-16,2016-03-06,132,کیمیا,KZGZ
1394-12-17,2016-03-07,128,کیمیا,KZGZ
1394-12-18,2016-03-08,129,کیمیا,KZGZ
1394-12-19,2016-03-09,132,کیمیا,KZGZ
1394-12-22,2016-03-12,132,کیمیا,KZGZ
1394-12-24,2016-03-14,127,کیمیا,KZGZ
1394-12-25,2016-03-15,123,کیمیا,KZGZ
1394-12-26,2016-03-16,122,کیمیا,KZGZ
1395-01-07,2016-03-26,128,کیمیا,KZGZ
1395-01-08,2016-03-27,124,کیمیا,KZGZ
1395-01-09,2016-03-28,120,کیمیا,KZGZ
1395-01-10,2016-03-29,121,کیمیا,KZGZ
1395-01-11,2016-03-30,121,کیمیا,KZGZ
1395-01-14,2016-04-02,124,کیمیا,KZGZ
1395-01-15,2016-04-03,119,کیمیا,KZGZ
1395-01-16,2016-04-04,116,کیمیا,KZGZ
1395-01-17,2016-04-05,121,کیمیا,KZGZ
1395-01-18,2016-04-06,119,کیمیا,KZGZ
1395-01-21,2016-04-09,119,کیمیا,KZGZ
1395-01-22,2016-04-10,117,کیمیا,KZGZ
1395-01-23,2016-04-11,118,کیمیا,KZGZ
1395-01-24,2016-04-12,118,کیمیا,KZGZ
1395-01-25,2016-04-13,121,کیمیا,KZGZ
1395-01-28,2016-04-16,121,کیمیا,KZGZ
1395-01-29,2016-04-17,121,کیمیا,KZGZ
1395-01-30,2016-04-18,128,کیمیا,KZGZ
1395-01-31,2016-04-19,130,کیمیا,KZGZ
1395-02-01,2016-04-20,125,کیمیا,KZGZ
1395-02-04,2016-04-23,121,کیمیا,KZGZ
1395-02-05,2016-04-24,123,کیمیا,KZGZ
1395-02-06,2016-04-25,124,کیمیا,KZGZ
1395-02-07,2016-04-26,121,کیمیا,KZGZ
1395-02-08,2016-04-27,123,کیمیا,KZGZ
1395-02-11,2016-04-30,119,کیمیا,KZGZ
1395-02-12,2016-05-01,119,کیمیا,KZGZ
1395-02-13,2016-05-02,119,کیمیا,KZGZ
1395-02-14,2016-05-03,120,کیمیا,KZGZ
1395-02-15,2016-05-04,120,کیمیا,KZGZ
1395-02-18,2016-05-07,125,کیمیا,KZGZ
1395-02-19,2016-05-08,126,کیمیا,KZGZ
1395-02-20,2016-05-09,125,کیمیا,KZGZ
1395-02-21,2016-05-10,121,کیمیا,KZGZ
1395-02-22,2016-05-11,119,کیمیا,KZGZ
1395-02-25,2016-05-14,120,کیمیا,KZGZ
1395-02-26,2016-05-15,118,کیمیا,KZGZ
1395-02-27,2016-05-16,119,کیمیا,KZGZ
1395-02-28,2016-05-17,119,کیمیا,KZGZ
1395-02-29,2016-05-18,119,کیمیا,KZGZ
1395-03-01,2016-05-21,119,کیمیا,KZGZ
1395-03-03,2016-05-23,121,کیمیا,KZGZ
1395-03-04,2016-05-24,121,کیمیا,KZGZ
1395-03-05,2016-05-25,122,کیمیا,KZGZ
1395-03-08,2016-05-28,121,کیمیا,KZGZ
1395-03-09,2016-05-29,121,کیمیا,KZGZ
1395-03-10,2016-05-30,121,کیمیا,KZGZ
1395-03-11,2016-05-31,120,کیمیا,KZGZ
1395-03-12,2016-06-01,120,کیمیا,KZGZ
1395-03-16,2016-06-05,120,کیمیا,KZGZ
1395-03-17,2016-06-06,121,کیمیا,KZGZ
1395-03-18,2016-06-07,118,کیمیا,KZGZ
1395-03-19,2016-06-08,117,کیمیا,KZGZ
1395-03-22,2016-06-11,117,کیمیا,KZGZ
1395-03-23,2016-06-12,119,کیمیا,KZGZ
1395-03-24,2016-06-13,117,کیمیا,KZGZ
1395-03-25,2016-06-14,117,کیمیا,KZGZ
1395-03-26,2016-06-15,112,کیمیا,KZGZ
1395-03-29,2016-06-18,113,کیمیا,KZGZ
1395-03-30,2016-06-19,105,کیمیا,KZGZ
1395-03-31,2016-06-20,101,کیمیا,KZGZ
1395-04-01,2016-06-21,105,کیمیا,KZGZ
1395-04-02,2016-06-22,108,کیمیا,KZGZ
1395-04-05,2016-06-25,105,کیمیا,KZGZ
1395-04-06,2016-06-26,108,کیمیا,KZGZ
1395-04-08,2016-06-28,111,کیمیا,KZGZ
1395-04-09,2016-06-29,110,کیمیا,KZGZ
1395-04-12,2016-07-02,118,کیمیا,KZGZ
1395-04-13,2016-07-03,117,کیمیا,KZGZ
1395-04-14,2016-07-04,122,کیمیا,KZGZ
1395-04-15,2016-07-05,120,کیمیا,KZGZ
1395-04-19,2016-07-09,119,کیمیا,KZGZ
1395-04-20,2016-07-10,124,کیمیا,KZGZ
1395-04-21,2016-07-11,118,کیمیا,KZGZ
1395-04-22,2016-07-12,121,کیمیا,KZGZ
1395-04-23,2016-07-13,125,کیمیا,KZGZ
1395-04-26,2016-07-16,131,کیمیا,KZGZ
1395-04-27,2016-07-17,135,کیمیا,KZGZ
1395-05-03,2016-07-24,137,کیمیا,KZGZ
1395-05-04,2016-07-25,141,کیمیا,KZGZ
1395-05-05,2016-07-26,142,کیمیا,KZGZ
1395-05-06,2016-07-27,142,کیمیا,KZGZ
1395-05-10,2016-07-31,145,کیمیا,KZGZ
1395-05-11,2016-08-01,146,کیمیا,KZGZ
1395-05-12,2016-08-02,154,کیمیا,KZGZ
1395-05-13,2016-08-03,152,کیمیا,KZGZ
1395-05-16,2016-08-06,153,کیمیا,KZGZ
1395-05-17,2016-08-07,155,کیمیا,KZGZ
1395-05-18,2016-08-08,151,کیمیا,KZGZ
1395-05-19,2016-08-09,147,کیمیا,KZGZ
1395-05-20,2016-08-10,153,کیمیا,KZGZ
1395-05-23,2016-08-13,145,کیمیا,KZGZ
1395-05-24,2016-08-14,141,کیمیا,KZGZ
1395-05-25,2016-08-15,141,کیمیا,KZGZ
1395-05-26,2016-08-16,148,کیمیا,KZGZ
1395-05-27,2016-08-17,155,کیمیا,KZGZ
1395-05-30,2016-08-20,161,کیمیا,KZGZ
1395-05-31,2016-08-21,155,کیمیا,KZGZ
1395-06-01,2016-08-22,157,کیمیا,KZGZ
1395-06-02,2016-08-23,154,کیمیا,KZGZ
1395-06-03,2016-08-24,154,کیمیا,KZGZ
1395-06-06,2016-08-27,153,کیمیا,KZGZ
1395-06-07,2016-08-28,147,کیمیا,KZGZ
1395-06-08,2016-08-29,154,کیمیا,KZGZ
1395-06-09,2016-08-30,152,کیمیا,KZGZ
1395-06-10,2016-08-31,149,کیمیا,KZGZ
1395-06-13,2016-09-03,149,کیمیا,KZGZ
1395-06-14,2016-09-04,148,کیمیا,KZGZ
1395-06-15,2016-09-05,146,کیمیا,KZGZ
1395-06-16,2016-09-06,146,کیمیا,KZGZ
1395-06-17,2016-09-07,150,کیمیا,KZGZ
1395-06-20,2016-09-10,145,کیمیا,KZGZ
1395-06-21,2016-09-11,145,کیمیا,KZGZ
1395-06-23,2016-09-13,149,کیمیا,KZGZ
1395-06-24,2016-09-14,147,کیمیا,KZGZ
1395-06-27,2016-09-17,143,کیمیا,KZGZ
1395-06-28,2016-09-18,138,کیمیا,KZGZ
1395-06-29,2016-09-19,145,کیمیا,KZGZ
1395-06-31,2016-09-21,151,کیمیا,KZGZ
1395-07-03,2016-09-24,158,کیمیا,KZGZ
1395-07-04,2016-09-25,163,کیمیا,KZGZ
1395-07-05,2016-09-26,172,کیمیا,KZGZ
1395-07-06,2016-09-27,180,کیمیا,KZGZ
1395-07-07,2016-09-28,189,کیمیا,KZGZ
1395-07-10,2016-10-01,193,کیمیا,KZGZ
1395-07-11,2016-10-02,185,کیمیا,KZGZ
1395-07-12,2016-10-03,194,کیمیا,KZGZ
1395-07-13,2016-10-04,191,کیمیا,KZGZ
1395-07-14,2016-10-05,197,کیمیا,KZGZ
1395-07-17,2016-10-08,189,کیمیا,KZGZ
1395-07-18,2016-10-09,191,کیمیا,KZGZ
1395-07-19,2016-10-10,194,کیمیا,KZGZ
1395-07-24,2016-10-15,185,کیمیا,KZGZ
1395-07-25,2016-10-16,189,کیمیا,KZGZ
1395-07-26,2016-10-17,188,کیمیا,KZGZ
1395-07-27,2016-10-18,179,کیمیا,KZGZ
1395-07-28,2016-10-19,188,کیمیا,KZGZ
1395-08-01,2016-10-22,178,کیمیا,KZGZ
1395-08-02,2016-10-23,179,کیمیا,KZGZ
1395-08-03,2016-10-24,175,کیمیا,KZGZ
1395-08-04,2016-10-25,184,کیمیا,KZGZ
1395-08-05,2016-10-26,193,کیمیا,KZGZ
1395-08-18,2016-11-08,228,کیمیا,KZGZ
1395-08-19,2016-11-09,240,کیمیا,KZGZ
1395-08-22,2016-11-12,246,کیمیا,KZGZ
1395-08-23,2016-11-13,240,کیمیا,KZGZ
1395-08-24,2016-11-14,253,کیمیا,KZGZ
1395-08-25,2016-11-15,244,کیمیا,KZGZ
1395-08-26,2016-11-16,242,کیمیا,KZGZ
1395-08-29,2016-11-19,244,کیمیا,KZGZ
1395-09-01,2016-11-21,252,کیمیا,KZGZ
1395-09-02,2016-11-22,253,کیمیا,KZGZ
1395-09-03,2016-11-23,252,کیمیا,KZGZ
1395-09-06,2016-11-26,266,کیمیا,KZGZ
1395-09-07,2016-11-27,280,کیمیا,KZGZ
1395-09-09,2016-11-29,294,کیمیا,KZGZ
1395-09-13,2016-12-03,289,کیمیا,KZGZ
1395-09-14,2016-12-04,295,کیمیا,KZGZ
1395-09-15,2016-12-05,310,کیمیا,KZGZ
1395-09-16,2016-12-06,325,کیمیا,KZGZ
1395-09-17,2016-12-07,341,کیمیا,KZGZ
1395-09-20,2016-12-10,330,کیمیا,KZGZ
1395-09-21,2016-12-11,349,کیمیا,KZGZ
1395-09-22,2016-12-12,347,کیمیا,KZGZ
1395-09-23,2016-12-13,340,کیمیا,KZGZ
1395-09-24,2016-12-14,332,کیمیا,KZGZ
1395-09-28,2016-12-18,324,کیمیا,KZGZ
1395-09-29,2016-12-19,328,کیمیا,KZGZ
1395-09-30,2016-12-20,321,کیمیا,KZGZ
1395-10-01,2016-12-21,335,کیمیا,KZGZ
1395-10-04,2016-12-24,321,کیمیا,KZGZ
1395-10-05,2016-12-25,334,کیمیا,KZGZ
1395-10-06,2016-12-26,341,کیمیا,KZGZ
1395-10-07,2016-12-27,357,کیمیا,KZGZ
1395-10-08,2016-12-28,358,کیمیا,KZGZ
1395-10-11,2016-12-31,370,کیمیا,KZGZ
1395-10-12,2017-01-01,378,کیمیا,KZGZ
1395-10-13,2017-01-02,391,کیمیا,KZGZ
1395-10-14,2017-01-03,409,کیمیا,KZGZ
1395-10-15,2017-01-04,389,کیمیا,KZGZ
1395-10-18,2017-01-07,374,کیمیا,KZGZ
1395-10-19,2017-01-08,361,کیمیا,KZGZ
1395-10-20,2017-01-09,379,کیمیا,KZGZ
1395-10-22,2017-01-11,390,کیمیا,KZGZ
1395-10-25,2017-01-14,392,کیمیا,KZGZ
1395-10-26,2017-01-15,385,کیمیا,KZGZ
1395-10-27,2017-01-16,386,کیمیا,KZGZ
1395-10-28,2017-01-17,387,کیمیا,KZGZ
1395-10-29,2017-01-18,399,کیمیا,KZGZ
1395-11-02,2017-01-21,416,کیمیا,KZGZ
1395-11-16,2017-02-04,408,کیمیا,KZGZ
1395-11-17,2017-02-05,428,کیمیا,KZGZ
1395-11-18,2017-02-06,447,کیمیا,KZGZ
1395-11-19,2017-02-07,450,کیمیا,KZGZ
1395-11-20,2017-02-08,446,کیمیا,KZGZ
1395-11-23,2017-02-11,435,کیمیا,KZGZ
1395-11-24,2017-02-12,423,کیمیا,KZGZ
1395-11-25,2017-02-13,413,کیمیا,KZGZ
1395-11-26,2017-02-14,413,کیمیا,KZGZ
1395-11-27,2017-02-15,397,کیمیا,KZGZ
1395-11-30,2017-02-18,378,کیمیا,KZGZ
1395-12-01,2017-02-19,399,کیمیا,KZGZ
1395-12-02,2017-02-20,407,کیمیا,KZGZ
1395-12-03,2017-02-21,400,کیمیا,KZGZ
1395-12-04,2017-02-22,388,کیمیا,KZGZ
1395-12-07,2017-02-25,372,کیمیا,KZGZ
1395-12-08,2017-02-26,369,کیمیا,KZGZ
1395-12-09,2017-02-27,358,کیمیا,KZGZ
1395-12-10,2017-02-28,338,کیمیا,KZGZ
1395-12-11,2017-03-01,346,کیمیا,KZGZ
1395-12-14,2017-03-04,331,کیمیا,KZGZ
1395-12-15,2017-03-05,323,کیمیا,KZGZ
1395-12-16,2017-03-06,337,کیمیا,KZGZ
1395-12-17,2017-03-07,327,کیمیا,KZGZ
1395-12-18,2017-03-08,322,کیمیا,KZGZ
1395-12-21,2017-03-11,332,کیمیا,KZGZ
